"dataset","valAccuracy","nhidden","layerForm","testAccuracy","nlayers","learningrate"
"heart-hungarian",0.930434799194336,512,"cone",0.849315047264099,2,0.1
"heart-hungarian",0.908695673942566,1024,"cone",0.849315047264099,2,0.01
"heart-hungarian",0.895652198791504,256,"cone",0.780821859836578,4,0.1
"heart-hungarian",0.89130437374115,1024,"cone",0.849315047264099,3,0.01
"heart-hungarian",0.89130437374115,512,"cone",0.767123281955719,3,1
"heart-hungarian",0.882608723640442,512,"cone",0.821917772293091,4,0.01
"heart-hungarian",0.873913073539734,1024,"rect",0.726027369499207,16,0.01
"heart-hungarian",0.873913073539734,1024,"rect",0.849315047264099,2,0.01
"heart-hungarian",0.873913067579269,1024,"rect",0.643835604190826,8,0.1
"heart-hungarian",0.86956524848938,256,"rect",0.835616409778595,32,0.01
"heart-hungarian",0.86956524848938,1024,"cone",0.794520497322083,4,0.01
"heart-hungarian",0.86956524848938,512,"rect",0.821917772293091,4,0.01
"heart-hungarian",0.86956524848938,256,"cone",0.808219134807587,3,0.01
"heart-hungarian",0.86956524848938,256,"cone",0.794520497322083,2,0.01
"heart-hungarian",0.865217423439026,1024,"cone",0.794520497322083,8,0.01
"heart-hungarian",0.852173948287964,512,"cone",0.780821859836578,4,1
"heart-hungarian",0.852173948287964,512,"cone",0.794520497322083,3,0.1
"heart-hungarian",0.84782612323761,1024,"cone",0.794520497322083,8,0.1
"heart-hungarian",0.84782612323761,512,"cone",0.821917772293091,4,0.1
"heart-hungarian",0.843478298187256,512,"rect",0.808219194412231,8,0.01
"heart-hungarian",0.843478292226791,512,"rect",0.821917772293091,4,0.1
"heart-hungarian",0.839130473136902,512,"rect",0.821917772293091,2,0.01
"heart-hungarian",0.839130467176437,256,"cone",0.821917772293091,3,1
"heart-hungarian",0.834782648086548,256,"rect",0.780821859836578,8,0.1
"heart-hungarian",0.834782648086548,512,"rect",0.808219134807587,2,0.1
"heart-hungarian",0.830434823036194,1024,"rect",0.780821919441223,4,0.01
"heart-hungarian",0.830434823036194,256,"rect",0.808219134807587,3,0.1
"heart-hungarian",0.830434823036194,256,"rect",0.849315047264099,2,0.1
"heart-hungarian",0.82608699798584,256,"cone",0.794520556926727,2,1
"heart-hungarian",0.82608699798584,512,"cone",0.753424644470215,8,0.01
"heart-hungarian",0.82608699798584,256,"cone",0.767123281955719,8,0.01
"heart-hungarian",0.82608699798584,256,"rect",0.767123222351074,8,0.01
"heart-hungarian",0.82608699798584,256,"cone",0.849315047264099,4,0.01
"heart-hungarian",0.82608699798584,256,"rect",0.808219134807587,4,0.1
"heart-hungarian",0.82608699798584,256,"rect",0.780821859836578,3,0.01
"heart-hungarian",0.821739172935486,256,"rect",0.794520497322083,4,0.01
"heart-hungarian",0.817391335964203,1024,"rect",0.849315047264099,3,0.1
"heart-hungarian",0.813043516874313,1024,"cone",0.767123222351074,3,0.1
"heart-hungarian",0.813043510913849,1024,"cone",0.767123281955719,4,0.1
"heart-hungarian",0.808695697784424,256,"cone",0.808219194412231,4,1
"heart-hungarian",0.808695697784424,256,"cone",0.808219134807587,2,0.1
"heart-hungarian",0.80869567990303,512,"rect",0.726027369499207,8,0.1
"heart-hungarian",0.80869567990303,512,"cone",0.863013684749603,8,0.1
"heart-hungarian",0.80869567990303,1024,"cone",0.821917772293091,4,1
"heart-hungarian",0.808695673942566,1024,"cone",0.821917772293091,3,1
"heart-hungarian",0.804347860813141,512,"rect",0.808219134807587,3,0.1
"heart-hungarian",0.800000041723251,1024,"rect",0.739726006984711,3,0.01
"heart-hungarian",0.795652222633362,1024,"rect",0.643835604190826,32,0.01
"heart-hungarian",0.795652222633362,1024,"rect",0.808219134807587,2,0.1
"heart-hungarian",0.795652198791504,1024,"cone",0.780821919441223,2,1
"heart-hungarian",0.79565218091011,1024,"cone",0.821917772293091,2,0.1
"heart-hungarian",0.786956572532654,256,"rect",0.767123222351074,16,0.01
"heart-hungarian",0.7826087474823,512,"rect",0.643835604190826,32,0.01
"heart-hungarian",0.7826087474823,512,"cone",0.835616409778595,8,1
"heart-hungarian",0.7826087474823,256,"rect",0.808219194412231,2,0.01
"heart-hungarian",0.782608699798584,512,"cone",0.835616409778595,2,1
"heart-hungarian",0.769565224647522,1024,"rect",0.821917772293091,4,0.1
"heart-hungarian",0.765217411518097,256,"cone",0.767123222351074,3,0.1
"heart-hungarian",0.747826147079468,512,"rect",0.643835604190826,2,1
"heart-hungarian",0.747826099395752,256,"cone",0.808219134807587,8,0.1
"heart-hungarian",0.743478262424469,512,"rect",0.767123222351074,16,0.01
"heart-hungarian",0.743478262424469,512,"cone",0.808219134807587,3,0.01
"heart-hungarian",0.743478262424469,512,"cone",0.726027369499207,2,0.01
"heart-hungarian",0.73913049697876,1024,"cone",0.643835604190826,32,0.01
