"dataset","learningrate","nhidden","layerForm","valAccuracy","nlayers","testAccuracy"
"hill-valley",0.01,256,"rect",0.567741924524307,3,0.504950523376465
"hill-valley",0.01,1024,"cone",0.558064490556717,2,0.547854840755463
"hill-valley",0.01,512,"rect",0.549999988079071,4,0.552805304527283
"hill-valley",0.01,256,"cone",0.54838707447052,2,0.539604008197784
"hill-valley",0.01,1024,"cone",0.548387050628662,32,0.493399322032928
"hill-valley",0.01,512,"cone",0.548387050628662,32,0.493399322032928
"hill-valley",0.1,1024,"cone",0.548387050628662,32,0.493399322032928
"hill-valley",0.01,512,"cone",0.548387050628662,16,0.493399322032928
"hill-valley",0.01,256,"cone",0.548387050628662,16,0.493399322032928
"hill-valley",0.1,1024,"cone",0.548387050628662,16,0.493399322032928
"hill-valley",0.1,512,"cone",0.548387050628662,16,0.493399322032928
"hill-valley",1,512,"rect",0.548387050628662,16,0.493399322032928
"hill-valley",1,512,"rect",0.548387050628662,3,0.493399322032928
"hill-valley",0.01,512,"cone",0.546774166822434,8,0.526402652263641
"hill-valley",0.01,512,"cone",0.54516127705574,4,0.579207956790924
"hill-valley",0.01,512,"cone",0.545161256194115,3,0.561056077480316
"hill-valley",0.01,512,"rect",0.543548369407654,3,0.509900987148285
"hill-valley",0.01,512,"cone",0.541935461759567,2,0.526402652263641
"hill-valley",0.01,512,"rect",0.540322560071945,8,0.531353175640106
"hill-valley",0.01,1024,"cone",0.538709658384323,3,0.524752497673035
"hill-valley",0.1,512,"cone",0.538709634542465,32,0.493399381637573
"hill-valley",0.1,256,"cone",0.538709634542465,32,0.493399322032928
"hill-valley",0.1,256,"rect",0.538709634542465,16,0.493399322032928
"hill-valley",0.01,256,"rect",0.535483840107918,2,0.509900987148285
"hill-valley",0.1,512,"cone",0.530645146965981,3,0.546204626560211
"hill-valley",0.01,256,"cone",0.530645143985748,4,0.533003330230713
"hill-valley",0.01,256,"rect",0.529032245278358,4,0.552805304527283
"hill-valley",0.01,512,"rect",0.52903223335743,2,0.51980197429657
"hill-valley",1,1024,"cone",0.529032218456268,32,0.493399322032928
"hill-valley",0.1,256,"cone",0.529032218456268,16,0.493399322032928
"hill-valley",1,1024,"cone",0.529032218456268,4,0.493399322032928
"hill-valley",0.1,1024,"rect",0.529032218456268,32,0.506600677967072
"hill-valley",1,256,"cone",0.529032218456268,32,0.490099012851715
"hill-valley",0.1,256,"cone",0.527419322729111,8,0.49504953622818
"hill-valley",0.1,1024,"rect",0.522580620646477,2,0.521452188491821
"hill-valley",0.1,1024,"cone",0.520967718958855,4,0.508250832557678
"hill-valley",0.01,1024,"rect",0.520967715978622,4,0.518151819705963
"hill-valley",0.01,256,"cone",0.520967715978622,3,0.531353116035461
"hill-valley",0.01,1024,"rect",0.519354811310768,3,0.498349875211716
"hill-valley",0.01,256,"rect",0.519354802370071,32,0.506600677967072
"hill-valley",0.1,512,"rect",0.519354802370071,32,0.493399322032928
"hill-valley",1,512,"cone",0.519354802370071,16,0.493399322032928
"hill-valley",1,256,"cone",0.519354802370071,16,0.493399322032928
"hill-valley",1,1024,"rect",0.519354802370071,8,0.493399322032928
"hill-valley",1,512,"rect",0.519354802370071,2,0.493399322032928
"hill-valley",1,256,"rect",0.519354802370071,32,0.506600677967072
"hill-valley",1,256,"cone",0.517741903662682,3,0.49504953622818
"hill-valley",0.1,512,"cone",0.517741900682449,4,0.521452188491821
"hill-valley",0.01,1024,"cone",0.516129007935524,4,0.53465348482132
"hill-valley",0.1,256,"cone",0.516129007935524,2,0.511551141738892
"hill-valley",0.01,1024,"rect",0.514516109228134,8,0.557755827903748
"hill-valley",0.1,512,"cone",0.514516106247902,2,0.513201355934143
"hill-valley",0.01,1024,"rect",0.51451610326767,2,0.495049506425858
"hill-valley",0.1,256,"rect",0.514516097307205,4,0.501650154590607
"hill-valley",0.1,256,"rect",0.514516097307205,2,0.503300309181213
"hill-valley",0.01,256,"rect",0.512903201580048,16,0.5297030210495
"hill-valley",0.01,256,"rect",0.512903198599815,8,0.518151879310608
"hill-valley",1,1024,"rect",0.512903198599815,3,0.506600618362427
"hill-valley",0.1,1024,"rect",0.512903195619583,8,0.506600677967072
"hill-valley",0.1,1024,"cone",0.512903192639351,8,0.488448858261108
"hill-valley",0.1,256,"rect",0.512903192639351,3,0.511551141738892
"hill-valley",1,1024,"rect",0.511290290951729,4,0.493399381637573
"hill-valley",0.1,1024,"rect",0.511290287971497,3,0.506600677967072
"hill-valley",0.1,512,"rect",0.511290287971497,3,0.493399322032928
"hill-valley",0.1,512,"rect",0.511290287971497,2,0.50495046377182
"hill-valley",1,1024,"cone",0.511290287971497,2,0.493399322032928
"hill-valley",1,1024,"cone",0.509677398204803,3,0.503300309181213
"hill-valley",0.1,1024,"cone",0.509677395224571,2,0.534653544425964
"hill-valley",0.1,256,"rect",0.509677386283875,32,0.506600677967072
"hill-valley",1,512,"cone",0.509677386283875,32,0.506600677967072
"hill-valley",1,512,"rect",0.509677386283875,32,0.493399322032928
"hill-valley",1,1024,"rect",0.509677386283875,16,0.506600677967072
"hill-valley",1,256,"rect",0.509677386283875,16,0.493399322032928
"hill-valley",1,512,"rect",0.509677386283875,8,0.493399322032928
"hill-valley",1,512,"rect",0.509677386283875,4,0.493399322032928
"hill-valley",1,256,"rect",0.509677386283875,4,0.493399381637573
"hill-valley",1,256,"rect",0.509677386283874,3,0.506600677967072
"hill-valley",1,1024,"rect",0.508064484596253,2,0.493399322032928
"hill-valley",0.1,512,"rect",0.506451588869095,8,0.508250832557678
"hill-valley",0.1,256,"rect",0.504838678240776,8,0.506600677967072
"hill-valley",0.1,1024,"rect",0.504838675260544,4,0.495049506425858
"hill-valley",0.1,512,"cone",0.503225785493851,8,0.503300368785858
"hill-valley",0.01,1024,"rect",0.503225779533386,16,0.501650154590607
"hill-valley",1,512,"cone",0.503225779533386,2,0.493399322032928
"hill-valley",0.1,512,"rect",0.503225773572922,4,0.503300309181213
"hill-valley",0.01,512,"rect",0.501612877845764,16,0.496699690818787
"hill-valley",0.1,1024,"cone",0.5016128718853,3,0.490099012851715
"hill-valley",0.1,512,"rect",0.499999970197678,16,0.506600677967072
"hill-valley",1,512,"cone",0.499999970197678,8,0.508250832557678
"hill-valley",1,256,"rect",0.499999970197678,8,0.493399322032928
"hill-valley",1,256,"rect",0.499999970197678,2,0.493399322032928
"hill-valley",0.01,1024,"rect",0.499999970197678,32,0.506600677967072
"hill-valley",0.01,512,"rect",0.499999970197678,32,0.493399322032928
"hill-valley",1,1024,"rect",0.499999970197678,32,0.506600677967072
"hill-valley",0.1,1024,"rect",0.499999970197678,16,0.493399322032928
"hill-valley",1,1024,"cone",0.49838707447052,8,0.50495046377182
"hill-valley",1,256,"cone",0.496774166822433,4,0.506600677967072
"hill-valley",1,256,"cone",0.496774163842201,2,0.491749227046967
"hill-valley",1,512,"cone",0.487096756696701,3,0.508250832557678
"hill-valley",1,256,"cone",0.485483849048615,8,0.493399322032928
"hill-valley",0.01,1024,"cone",0.483870953321457,16,0.504950523376465
"hill-valley",1,512,"cone",0.480645135045052,4,0.506600677967072
"hill-valley",0.1,256,"cone",0.480645135045052,3,0.516501665115356
"hill-valley",0.1,256,"cone",0.479032239317894,4,0.503300309181213
"hill-valley",0.01,1024,"cone",0.472580620646477,8,0.503300309181213
"hill-valley",0.01,256,"cone",0.467741906642914,8,0.506600677967072
"hill-valley",0.01,256,"cone",0.451612889766693,32,0.506600677967072
"hill-valley",1,1024,"cone",0.451612889766693,16,0.506600677967072
