"dataset","layerForm","learningrate","nlayers","testAccuracy","valAccuracy","nhidden"
"iris","cone",0.01,4,0.972972989082336,1,256
"iris","rect",1,2,1,0.979999995231628,256
"iris","cone",0.1,8,1,0.959999990463257,512
"iris","cone",0.01,2,1,0.959999990463257,1024
"iris","cone",0.1,2,1,0.959999990463257,256
"iris","rect",0.1,3,0.972972989082336,0.949999988079071,1024
"iris","cone",0.01,8,0.918918967247009,0.949999988079071,1024
"iris","cone",0.1,4,1,0.949999988079071,256
"iris","cone",1,3,0.864864945411682,0.949999988079071,512
"iris","cone",0.01,2,1,0.949999988079071,256
"iris","cone",0.1,4,1,0.939999985694885,512
"iris","cone",0.01,2,1,0.939999985694885,512
"iris","cone",0.1,3,0.972972989082336,0.939999985694885,256
"iris","cone",0.1,4,1,0.9299999833107,1024
"iris","rect",0.01,3,0.972972989082336,0.9299999833107,1024
"iris","cone",0.1,3,0.864864945411682,0.9299999833107,512
"iris","rect",0.1,3,0.972972989082336,0.9299999833107,256
"iris","cone",1,3,1,0.9299999833107,256
"iris","rect",0.01,2,0.972972989082336,0.9299999833107,512
"iris","rect",0.1,2,0.972972989082336,0.9299999833107,512
"iris","cone",1,4,0.783783793449402,0.919999986886978,1024
"iris","cone",1,2,1,0.919999986886978,256
"iris","cone",0.01,8,0.891891956329346,0.919999980926514,256
"iris","rect",0.1,4,0.972972989082336,0.919999980926514,512
"iris","cone",1,4,0.945945918560028,0.919999980926514,512
"iris","cone",0.1,3,1,0.919999980926514,1024
"iris","cone",0.1,2,0.972972989082336,0.919999980926514,1024
"iris","rect",0.1,2,0.972972989082336,0.919999980926514,256
"iris","cone",1,4,0.945945978164673,0.919999980926514,256
"iris","cone",1,2,0.972972989082336,0.909999984502793,1024
"iris","cone",1,2,0.972972989082336,0.909999984502793,512
"iris","rect",0.01,4,1,0.909999978542328,1024
"iris","rect",0.01,4,0.918918967247009,0.909999978542328,512
"iris","rect",0.1,4,0.972972989082336,0.909999978542328,256
"iris","cone",0.01,3,1,0.909999978542328,1024
"iris","cone",0.1,2,1,0.909999978542328,512
"iris","rect",0.01,8,0.972972989082336,0.899999976158142,1024
"iris","cone",0.01,8,0.864864945411682,0.899999976158142,512
"iris","rect",0.01,8,0.891891956329346,0.899999976158142,512
"iris","cone",0.1,8,0.837837934494019,0.899999976158142,1024
"iris","rect",0.1,8,0.864864945411682,0.899999976158142,512
"iris","cone",0.1,8,0.972972989082336,0.899999976158142,256
"iris","rect",0.1,8,0.891891956329346,0.899999976158142,256
"iris","cone",0.01,4,0.864864945411682,0.899999976158142,1024
"iris","cone",0.01,4,0.918918967247009,0.899999976158142,512
"iris","rect",0.1,4,0.783783793449402,0.899999976158142,1024
"iris","cone",0.01,3,0.972972989082336,0.899999976158142,512
"iris","rect",0.01,3,1,0.899999976158142,512
"iris","cone",0.01,3,0.945945978164673,0.899999976158142,256
"iris","rect",0.01,3,0.891891956329346,0.899999976158142,256
"iris","rect",0.1,3,1,0.899999976158142,512
"iris","rect",0.01,2,1,0.899999976158142,1024
"iris","rect",0.01,2,1,0.899999976158142,256
"iris","rect",0.1,2,0.945945978164673,0.899999976158142,1024
"iris","rect",0.01,16,0.945945978164673,0.889999979734421,512
"iris","rect",0.01,16,0.810810923576355,0.889999979734421,256
"iris","rect",0.01,4,0.945945978164673,0.889999979734421,256
