"dataset","nlayers","layerForm","valAccuracy","nhidden","learningrate","testAccuracy"
"led-display",16,"cone",0.79142861366272,256,0.01,0.648000001907349
"led-display",16,"cone",0.785714328289032,512,0.01,0.704000055789948
"led-display",2,"cone",0.780000048875809,256,0.1,0.712000012397766
"led-display",2,"cone",0.780000042915344,1024,1,0.723999977111816
"led-display",3,"rect",0.778571474552155,256,0.1,0.696000039577484
"led-display",2,"cone",0.7771429002285,256,1,0.728000044822693
"led-display",8,"rect",0.777142894268036,256,0.1,0.692000091075897
"led-display",2,"cone",0.775714319944382,512,1,0.716000020503998
"led-display",3,"cone",0.772857183218002,512,0.1,0.712000012397766
"led-display",2,"cone",0.771428620815277,512,0.01,0.740000009536743
"led-display",2,"cone",0.771428620815277,1024,0.1,0.700000047683716
"led-display",3,"cone",0.770000034570694,512,1,0.715999960899353
"led-display",4,"cone",0.768571484088898,1024,0.1,0.723999977111816
"led-display",2,"rect",0.768571472167969,1024,0.01,0.708000063896179
"led-display",2,"rect",0.768571472167969,256,0.1,0.716000020503998
"led-display",16,"rect",0.768571454286575,256,0.1,0.671999990940094
"led-display",16,"rect",0.767142909765244,1024,0.01,0.695999979972839
"led-display",2,"rect",0.767142909765244,512,0.01,0.695999979972839
"led-display",16,"rect",0.767142885923386,512,0.1,0.703999996185303
"led-display",4,"cone",0.765714341402054,512,0.1,0.716000020503998
"led-display",3,"cone",0.765714329481125,1024,0.01,0.728000044822693
"led-display",16,"rect",0.76571432352066,256,0.01,0.699999988079071
"led-display",3,"cone",0.764285761117935,1024,1,0.708000063896179
"led-display",3,"cone",0.764285761117935,256,1,0.716000020503998
"led-display",8,"cone",0.764285749197006,512,0.1,0.683999955654144
"led-display",2,"rect",0.764285749197006,256,1,0.720000028610229
"led-display",16,"rect",0.762857192754746,512,0.01,0.688000023365021
"led-display",8,"rect",0.762857192754746,512,0.01,0.703999996185303
"led-display",3,"cone",0.762857192754746,256,0.1,0.704000055789948
"led-display",4,"cone",0.762857186794281,1024,1,0.723999977111816
"led-display",2,"cone",0.762857186794281,512,0.1,0.716000020503998
"led-display",8,"cone",0.762857180833817,1024,1,0.708000004291534
"led-display",4,"rect",0.761428618431091,512,0.1,0.660000026226044
"led-display",3,"rect",0.761428618431091,1024,0.01,0.696000099182129
"led-display",4,"cone",0.761428606510162,256,0.1,0.712000012397766
"led-display",4,"cone",0.758571481704712,512,1,0.688000023365021
"led-display",4,"rect",0.758571481704712,512,0.01,0.708000004291534
"led-display",8,"cone",0.758571475744247,256,0.1,0.695999979972839
"led-display",8,"cone",0.757142913341522,1024,0.01,0.688000023365021
"led-display",8,"rect",0.757142913341522,1024,0.01,0.667999982833862
"led-display",4,"cone",0.757142907381058,256,1,0.716000020503998
"led-display",8,"cone",0.757142901420593,512,1,0.699999988079071
"led-display",4,"rect",0.757142901420593,1024,0.01,0.712000012397766
