"dataset","learningrate","nlayers","layerForm","testAccuracy","nhidden","valAccuracy"
"lung-cancer",0.01,32,"cone",0.25,512,1
"lung-cancer",0.1,8,"cone",0.625,256,0.95
"lung-cancer",0.01,16,"cone",0.25,256,0.8
"lung-cancer",1,2,"cone",0.5,256,0.7
"lung-cancer",0.01,16,"rect",0.625,1024,0.65
"lung-cancer",0.1,8,"rect",0.375,512,0.65
"lung-cancer",0.1,8,"cone",0.625,1024,0.6
"lung-cancer",1,4,"rect",0.25,1024,0.6
"lung-cancer",1,3,"rect",0.125,512,0.6
"lung-cancer",0.01,16,"cone",0.5,1024,0.55
"lung-cancer",0.1,3,"rect",0.5,1024,0.55
"lung-cancer",0.1,4,"cone",0.375,256,0.55
"lung-cancer",0.01,3,"rect",0.625,1024,0.55
"lung-cancer",1,3,"cone",0.25,1024,0.55
"lung-cancer",0.1,2,"cone",0.375,256,0.55
"lung-cancer",1,2,"cone",0.25,512,0.55
"lung-cancer",1,32,"rect",0.5,512,0.5
"lung-cancer",0.1,16,"rect",0.25,512,0.5
"lung-cancer",1,8,"rect",0.5,512,0.5
"lung-cancer",0.01,8,"cone",0.375,1024,0.5
"lung-cancer",0.01,8,"rect",0.875,1024,0.5
"lung-cancer",0.01,8,"cone",0.625,512,0.5
"lung-cancer",0.01,8,"cone",0.5,256,0.5
"lung-cancer",0.01,4,"cone",0.5,1024,0.5
"lung-cancer",0.01,4,"rect",0.5,512,0.5
"lung-cancer",1,4,"cone",0.5,512,0.5
"lung-cancer",0.01,3,"cone",0.375,512,0.5
"lung-cancer",0.01,3,"cone",0.375,256,0.5
"lung-cancer",0.01,3,"rect",0.5,256,0.5
"lung-cancer",0.1,3,"cone",0.625,1024,0.5
"lung-cancer",0.1,3,"cone",0.625,512,0.5
"lung-cancer",0.1,3,"rect",0.375,256,0.5
"lung-cancer",0.01,2,"rect",0.25,1024,0.5
"lung-cancer",0.01,2,"cone",0.25,512,0.5
"lung-cancer",0.01,2,"rect",0.375,512,0.5
"lung-cancer",0.01,2,"cone",0.375,256,0.5
"lung-cancer",0.01,2,"rect",0.375,256,0.5
"lung-cancer",0.1,2,"cone",0.25,512,0.5
"lung-cancer",0.1,2,"rect",0.375,512,0.5
"lung-cancer",0.1,2,"rect",0.5,256,0.5
"lung-cancer",0.1,8,"rect",0.75,256,0.45
"lung-cancer",1,4,"cone",0.25,1024,0.45
"lung-cancer",0.01,32,"rect",0.25,1024,0.4
"lung-cancer",0.01,32,"rect",0.5,512,0.4
"lung-cancer",0.1,32,"rect",0.25,1024,0.4
"lung-cancer",1,32,"rect",0.5,1024,0.4
"lung-cancer",1,32,"rect",0.25,256,0.4
"lung-cancer",1,16,"rect",0.5,1024,0.4
"lung-cancer",1,8,"cone",0.5,512,0.4
"lung-cancer",1,8,"rect",0.25,256,0.4
"lung-cancer",1,3,"rect",0.5,256,0.4
"lung-cancer",1,2,"cone",0.5,1024,0.4
"lung-cancer",1,2,"rect",0.25,512,0.4
"lung-cancer",1,2,"rect",0.625,256,0.4
"lung-cancer",1,32,"cone",0.125,256,0.35
"lung-cancer",0.1,4,"rect",0.5,1024,0.35
"lung-cancer",1,4,"cone",0.5,256,0.35
"lung-cancer",0.01,32,"rect",0.5,256,0.3
"lung-cancer",1,16,"rect",0.25,512,0.3
"lung-cancer",1,8,"cone",0.25,1024,0.3
"lung-cancer",1,4,"rect",0.25,512,0.3
"lung-cancer",0.1,8,"cone",0.5,512,0.25
"lung-cancer",0.1,32,"rect",0.25,256,0.2
"lung-cancer",0.1,16,"rect",0.25,1024,0.2
"lung-cancer",1,16,"cone",0.5,256,0.2
"lung-cancer",1,16,"rect",0.25,256,0.2
"lung-cancer",1,8,"rect",0.25,1024,0.2
"lung-cancer",1,8,"cone",0.5,256,0.2
"lung-cancer",1,3,"rect",0.5,1024,0.2
"lung-cancer",0.1,2,"rect",0.5,1024,0.2
"lung-cancer",0.1,4,"rect",0.375,512,0.15
"lung-cancer",0.1,3,"rect",0.25,512,0.15
"lung-cancer",1,3,"cone",0.25,512,0.15
"lung-cancer",1,3,"cone",0.5,256,0.15
"lung-cancer",0.1,32,"rect",0.5,512,0.1
"lung-cancer",1,32,"cone",0.25,1024,0.1
"lung-cancer",0.01,16,"cone",0.5,512,0.1
"lung-cancer",0.01,16,"rect",0.125,512,0.1
"lung-cancer",1,16,"cone",0.25,512,0.1
"lung-cancer",0.1,8,"rect",0.25,1024,0.1
"lung-cancer",0.1,4,"cone",0.625,512,0.1
"lung-cancer",0.1,2,"cone",0.5,1024,0.1
"lung-cancer",0.01,16,"rect",0.5,256,0.05
"lung-cancer",0.1,4,"rect",0.75,256,0.05
"lung-cancer",1,2,"rect",0.5,1024,0.05
"lung-cancer",0.01,32,"cone",0.25,1024,0
"lung-cancer",0.01,32,"cone",0.5,256,0
"lung-cancer",0.1,32,"cone",0.5,1024,0
"lung-cancer",0.1,32,"cone",0.5,512,0
"lung-cancer",0.1,32,"cone",0.25,256,0
"lung-cancer",1,32,"cone",0.25,512,0
"lung-cancer",0.1,16,"cone",0.5,1024,0
"lung-cancer",0.1,16,"cone",0.5,512,0
"lung-cancer",0.1,16,"cone",0.5,256,0
"lung-cancer",0.1,16,"rect",0.25,256,0
"lung-cancer",1,16,"cone",0.25,1024,0
"lung-cancer",0.01,8,"rect",0.5,512,0
"lung-cancer",0.01,8,"rect",0.25,256,0
"lung-cancer",0.01,4,"rect",0.5,1024,0
"lung-cancer",0.01,4,"cone",0.5,512,0
"lung-cancer",0.01,4,"cone",0.375,256,0
"lung-cancer",0.01,4,"rect",0.5,256,0
"lung-cancer",0.1,4,"cone",0.75,1024,0
"lung-cancer",1,4,"rect",0.25,256,0
"lung-cancer",0.01,3,"cone",0.125,1024,0
"lung-cancer",0.01,3,"rect",0.375,512,0
"lung-cancer",0.1,3,"cone",0.5,256,0
"lung-cancer",0.01,2,"cone",0.5,1024,0
