"dataset","nhidden","valAccuracy","nlayers","testAccuracy","learningrate","layerForm"
"magic",512,0.878881150484085,4,0.862040042877197,1,"cone"
"magic",256,0.87867134809494,3,0.86687707901001,1,"cone"
"magic",256,0.878041988611221,2,0.86687707901001,1,"cone"
"magic",1024,0.877132886648178,3,0.86351215839386,1,"cone"
"magic",512,0.876993054151535,2,0.863301873207092,0.01,"cone"
"magic",512,0.876783257722855,2,0.865404963493347,1,"cone"
"magic",256,0.876083934307099,4,0.862040042877197,1,"cone"
"magic",1024,0.87580423951149,2,0.869821310043335,0.1,"cone"
"magic",1024,0.875174868106842,2,0.868559539318085,0.01,"cone"
"magic",256,0.875174862146378,2,0.85972672700882,0.01,"cone"
"magic",512,0.874475574493408,3,0.85930609703064,0.1,"cone"
"magic",256,0.874195855855942,2,0.859306037425995,0.01,"rect"
"magic",1024,0.874125945568085,4,0.86393278837204,1,"cone"
"magic",1024,0.873916125297546,3,0.86519455909729,0.1,"cone"
"magic",512,0.873566478490829,2,0.861619353294373,0.1,"cone"
"magic",256,0.873496526479721,2,0.867507994174957,0.1,"cone"
"magic",512,0.873426616191864,3,0.865825474262238,1,"cone"
"magic",512,0.873146891593933,3,0.86309152841568,0.01,"rect"
"magic",256,0.872937113046646,8,0.854469060897827,0.01,"rect"
"magic",512,0.872727334499359,2,0.86140912771225,0.01,"rect"
"magic",256,0.872727316617966,3,0.855099976062775,0.01,"rect"
"magic",1024,0.872447609901428,4,0.85888546705246,0.1,"cone"
"magic",256,0.87244758605957,4,0.860357582569122,0.01,"cone"
"magic",1024,0.872307735681534,8,0.85552054643631,1,"cone"
"magic",1024,0.872167873382568,2,0.865825533866882,1,"cone"
"magic",1024,0.872097945213318,8,0.862460732460022,0.1,"cone"
"magic",256,0.871888148784637,8,0.863091468811035,0.1,"cone"
"magic",1024,0.871608448028565,2,0.861198782920837,0.01,"rect"
"magic",1024,0.871468555927277,3,0.856992721557617,0.01,"cone"
"magic",512,0.871118921041489,4,0.869190394878387,0.1,"cone"
"magic",256,0.871118921041489,4,0.858254551887512,0.1,"cone"
"magic",1024,0.870909124612808,3,0.858885526657104,0.01,"rect"
"magic",256,0.870559483766556,3,0.867718279361725,0.1,"cone"
"magic",512,0.870489549636841,8,0.858254551887512,0.1,"cone"
"magic",256,0.870000034570694,2,0.859936952590942,0.1,"rect"
"magic",512,0.869930100440979,2,0.854679346084595,0.1,"rect"
"magic",512,0.869790256023407,3,0.854679465293884,0.1,"rect"
"magic",1024,0.869160878658295,4,0.860988616943359,0.01,"cone"
"magic",1024,0.868811231851578,8,0.85425877571106,0.01,"rect"
"magic",256,0.868671369552612,3,0.853627800941467,0.1,"rect"
"magic",512,0.868251800537109,8,0.852786540985107,0.1,"rect"
"magic",1024,0.867622417211533,16,0.86603581905365,0.1,"rect"
"magic",1024,0.867552489042282,8,0.863301873207092,0.1,"rect"
"magic",1024,0.867342704534531,4,0.85846483707428,0.01,"rect"
"magic",1024,0.867062991857529,8,0.859095811843872,0.01,"cone"
"magic",512,0.866993045806885,4,0.860988557338715,0.01,"rect"
"magic",256,0.86699303984642,4,0.853207230567932,0.01,"rect"
"magic",256,0.865454572439194,3,0.864563703536987,0.01,"cone"
"magic",256,0.86496507525444,8,0.85678243637085,0.01,"cone"
"magic",512,0.864615404605866,4,0.857203006744385,0.1,"rect"
"magic",512,0.864265775680542,3,0.85678243637085,0.01,"cone"
"magic",512,0.864195841550827,4,0.855730891227722,0.01,"cone"
"magic",1024,0.864125901460648,2,0.837013721466064,0.1,"rect"
"magic",256,0.863986033201218,4,0.865404903888702,0.1,"rect"
"magic",1024,0.863007026910782,3,0.844374418258667,0.1,"rect"
"magic",512,0.862867188453674,8,0.859516382217407,0.01,"cone"
"magic",1024,0.862167906761169,4,0.856992721557617,0.1,"rect"
"magic",512,0.861328715085983,8,0.853207290172577,0.01,"rect"
"magic",256,0.860769283771515,8,0.838275611400604,0.1,"rect"
"magic",512,0.860419595241547,8,0.860147297382355,1,"cone"
"magic",256,0.859720313549042,32,0.857833862304688,0.01,"rect"
"magic",512,0.859090954065323,16,0.852786600589752,0.01,"rect"
"magic",1024,0.856363677978516,16,0.857833862304688,0.01,"rect"
"magic",256,0.854195833206177,16,0.845636248588562,0.01,"rect"
"magic",512,0.852237796783447,32,0.844164073467255,0.01,"rect"
"magic",256,0.794685333967209,16,0.768454313278198,0.1,"rect"
"magic",256,0.734965085983276,8,0.73333340883255,1,"cone"
"magic",512,0.701398622989654,16,0.702418506145477,0.1,"cone"
"magic",512,0.657342672348022,16,0.670452237129211,1,"cone"
"magic",512,0.634195846319199,16,0.648370146751404,0.1,"rect"
"magic",1024,0.632167875766754,32,0.648370146751404,0.01,"cone"
"magic",512,0.632167875766754,32,0.648370146751404,0.01,"cone"
"magic",256,0.632167875766754,32,0.648370146751404,0.01,"cone"
"magic",1024,0.632167875766754,32,0.648370146751404,0.1,"cone"
"magic",1024,0.632167875766754,32,0.648370146751404,0.1,"rect"
"magic",512,0.632167875766754,32,0.648370146751404,0.1,"cone"
"magic",512,0.632167875766754,32,0.648370146751404,0.1,"rect"
"magic",256,0.632167875766754,32,0.648370146751404,0.1,"cone"
"magic",256,0.632167875766754,32,0.648370206356049,0.1,"rect"
"magic",1024,0.632167875766754,32,0.648370146751404,1,"cone"
"magic",1024,0.632167875766754,32,0.648370146751404,1,"rect"
"magic",512,0.632167875766754,32,0.648370146751404,1,"cone"
"magic",512,0.632167875766754,32,0.648370146751404,1,"rect"
"magic",256,0.632167875766754,32,0.648370146751404,1,"cone"
"magic",256,0.632167875766754,32,0.648370206356049,1,"rect"
"magic",1024,0.632167875766754,16,0.648370146751404,0.01,"cone"
"magic",512,0.632167875766754,16,0.648370146751404,0.01,"cone"
"magic",256,0.632167875766754,16,0.648370146751404,0.01,"cone"
"magic",1024,0.632167875766754,16,0.648370206356049,0.1,"cone"
"magic",256,0.632167875766754,16,0.648370146751404,0.1,"cone"
"magic",1024,0.632167875766754,16,0.648370146751404,1,"cone"
