"dataset","layerForm","testAccuracy","nlayers","valAccuracy","nhidden","learningrate"
"monks-2","rect",0.516203701496124,8,0.916666686534882,256,0.01
"monks-2","rect",0.541666686534882,3,0.775000017881393,1024,0.01
"monks-2","rect",0.476851850748062,8,0.758333337306976,1024,0.01
"monks-2","rect",0.48842591047287,8,0.75,512,0.01
"monks-2","rect",0.576388835906982,2,0.741666686534882,256,0.01
"monks-2","cone",0.520833373069763,4,0.741666668653488,256,0.01
"monks-2","cone",0.59722226858139,8,0.733333337306976,256,0.01
"monks-2","rect",0.581018567085266,2,0.725000023841858,1024,0.01
"monks-2","cone",0.608796358108521,4,0.725000011920929,1024,0.01
"monks-2","rect",0.456018507480621,4,0.708333343267441,1024,0.01
"monks-2","cone",0.615740776062012,4,0.708333343267441,512,0.01
"monks-2","rect",0.560185194015503,2,0.708333343267441,512,0.01
"monks-2","rect",0.472222238779068,3,0.700000023841858,256,0.01
"monks-2","rect",0.479166686534882,4,0.700000011920929,512,0.01
"monks-2","rect",0.537037074565887,4,0.700000011920929,256,0.1
"monks-2","rect",0.541666686534882,3,0.691666680574417,512,0.01
"monks-2","cone",0.5625,3,0.683333349227905,256,0.1
"monks-2","cone",0.527777791023254,2,0.683333349227905,512,0.01
"monks-2","cone",0.53935182094574,4,0.675000017881393,512,0.1
"monks-2","cone",0.486111104488373,3,0.666666692495346,1024,0.01
"monks-2","cone",0.560185194015503,4,0.666666686534882,256,0.1
"monks-2","cone",0.671296358108521,32,0.666666686534881,1024,0.01
"monks-2","cone",0.671296298503876,32,0.666666686534881,512,0.01
"monks-2","cone",0.671296298503876,32,0.666666686534881,256,0.01
"monks-2","cone",0.671296358108521,32,0.666666686534881,1024,0.1
"monks-2","rect",0.671296358108521,32,0.666666686534881,1024,0.1
"monks-2","cone",0.671296358108521,32,0.666666686534881,512,0.1
"monks-2","cone",0.671296298503876,32,0.666666686534881,256,0.1
"monks-2","rect",0.671296358108521,32,0.666666686534881,256,0.1
"monks-2","cone",0.671296358108521,32,0.666666686534881,1024,1
"monks-2","cone",0.671296358108521,32,0.666666686534881,512,1
"monks-2","cone",0.671296358108521,32,0.666666686534881,256,1
"monks-2","cone",0.671296358108521,16,0.666666686534881,1024,0.01
"monks-2","cone",0.671296358108521,16,0.666666686534881,512,0.01
"monks-2","cone",0.671296358108521,16,0.666666686534881,256,0.01
"monks-2","cone",0.671296358108521,16,0.666666686534881,1024,0.1
"monks-2","cone",0.671296358108521,16,0.666666686534881,512,0.1
"monks-2","rect",0.641203761100769,16,0.666666686534881,512,0.1
"monks-2","cone",0.671296298503876,16,0.666666686534881,256,0.1
"monks-2","rect",0.66435182094574,16,0.666666686534881,256,0.1
"monks-2","cone",0.671296358108521,16,0.666666686534881,1024,1
"monks-2","cone",0.671296358108521,16,0.666666686534881,512,1
"monks-2","cone",0.671296358108521,16,0.666666686534881,256,1
"monks-2","cone",0.479166686534882,8,0.666666686534881,1024,0.01
"monks-2","cone",0.61342591047287,8,0.666666686534881,512,0.01
"monks-2","cone",0.481481492519379,8,0.666666686534881,1024,0.1
"monks-2","rect",0.421296268701553,8,0.666666686534881,1024,0.1
"monks-2","cone",0.493055522441864,8,0.666666686534881,512,0.1
"monks-2","rect",0.414351880550385,8,0.666666686534881,512,0.1
"monks-2","cone",0.65277773141861,8,0.666666686534881,256,0.1
"monks-2","rect",0.611111044883728,8,0.666666686534881,256,0.1
"monks-2","cone",0.671296358108521,8,0.666666686534881,1024,1
"monks-2","cone",0.671296358108521,8,0.666666686534881,512,1
"monks-2","cone",0.671296358108521,8,0.666666686534881,256,1
"monks-2","rect",0.671296298503876,4,0.666666686534881,1024,1
"monks-2","rect",0.671296358108521,4,0.666666686534881,512,1
"monks-2","cone",0.671296358108521,4,0.666666686534881,256,1
"monks-2","cone",0.555555582046509,3,0.666666686534881,256,0.01
"monks-2","rect",0.465277761220932,3,0.666666686534881,1024,0.1
"monks-2","rect",0.418981492519379,3,0.666666686534881,512,0.1
"monks-2","rect",0.671296358108521,3,0.666666686534881,1024,1
"monks-2","rect",0.671296298503876,3,0.666666686534881,512,1
"monks-2","rect",0.456018507480621,2,0.666666686534881,512,0.1
"monks-2","cone",0.671296358108521,2,0.666666686534881,512,1
"monks-2","cone",0.671296298503876,2,0.666666686534881,256,1
"monks-2","rect",0.671296358108521,2,0.666666686534881,256,1
"monks-2","cone",0.569444417953491,3,0.650000023841858,512,0.1
"monks-2","rect",0.483796298503876,2,0.650000023841858,1024,0.1
"monks-2","rect",0.497685194015503,16,0.650000017881393,256,0.01
"monks-2","cone",0.599537074565887,2,0.650000017881393,1024,0.1
"monks-2","cone",0.502314805984497,3,0.641666692495346,512,0.01
"monks-2","cone",0.513888895511627,2,0.641666686534882,256,0.1
"monks-2","rect",0.671296358108521,32,0.633333352208137,1024,0.01
"monks-2","rect",0.671296298503876,32,0.633333352208137,512,0.1
"monks-2","rect",0.671296358108521,16,0.633333352208137,1024,0.1
"monks-2","rect",0.671296298503876,16,0.633333352208137,1024,1
"monks-2","rect",0.671296358108521,16,0.633333352208137,512,1
"monks-2","cone",0.414351880550385,4,0.633333352208137,1024,0.1
"monks-2","rect",0.502314805984497,4,0.633333352208137,512,0.1
"monks-2","cone",0.671296358108521,4,0.633333352208137,512,1
"monks-2","cone",0.671296358108521,3,0.633333352208137,512,1
"monks-2","rect",0.671296358108521,3,0.633333352208137,256,1
