"dataset","valAccuracy","learningrate","testAccuracy","layerForm","nhidden","nlayers"
"mushroom",1,0.01,0.9995077252388,"rect",256,32
"mushroom",1,0.01,1.00000011920929,"rect",1024,16
"mushroom",1,0.01,0.998522937297821,"rect",512,16
"mushroom",1,0.01,0.998030543327332,"rect",256,16
"mushroom",1,0.1,1.00000011920929,"rect",256,16
"mushroom",1,0.01,1.00000011920929,"rect",1024,8
"mushroom",1,0.01,0.9995077252388,"cone",512,8
"mushroom",1,0.01,1.00000011920929,"rect",512,8
"mushroom",1,0.01,1.00000011920929,"rect",256,8
"mushroom",1,0.1,0.999015271663666,"rect",1024,8
"mushroom",1,0.1,1.00000011920929,"cone",512,8
"mushroom",1,0.1,1.00000011920929,"rect",512,8
"mushroom",1,0.1,1.00000011920929,"rect",256,8
"mushroom",1,0.01,1.00000011920929,"cone",1024,4
"mushroom",1,0.01,1.00000011920929,"rect",1024,4
"mushroom",1,0.01,1.00000011920929,"cone",512,4
"mushroom",1,0.01,1.00000011920929,"rect",512,4
"mushroom",1,0.01,1.00000011920929,"cone",256,4
"mushroom",1,0.01,1.00000011920929,"rect",256,4
"mushroom",1,0.1,1.00000011920929,"cone",1024,4
"mushroom",1,0.1,1.00000011920929,"rect",1024,4
"mushroom",1,0.1,1,"cone",512,4
"mushroom",1,0.1,1,"rect",512,4
"mushroom",1,0.1,1,"rect",256,4
"mushroom",1,1,1.00000011920929,"cone",1024,4
"mushroom",1,1,1.00000011920929,"cone",512,4
"mushroom",1,1,1.00000011920929,"cone",256,4
"mushroom",1,0.01,1.00000011920929,"cone",1024,3
"mushroom",1,0.01,1.00000011920929,"rect",1024,3
"mushroom",1,0.01,1.00000011920929,"cone",512,3
"mushroom",1,0.01,1.00000011920929,"rect",512,3
"mushroom",1,0.01,0.999507665634155,"cone",256,3
"mushroom",1,0.01,1.00000011920929,"rect",256,3
"mushroom",1,0.1,1.00000011920929,"cone",1024,3
"mushroom",1,0.1,1.00000011920929,"rect",1024,3
"mushroom",1,0.1,1.00000011920929,"cone",512,3
"mushroom",1,0.1,1.00000011920929,"rect",512,3
"mushroom",1,0.1,1.00000011920929,"cone",256,3
"mushroom",1,0.1,1.00000011920929,"rect",256,3
"mushroom",1,1,1,"cone",1024,3
"mushroom",1,1,1.00000011920929,"cone",512,3
"mushroom",1,1,1.00000011920929,"cone",256,3
"mushroom",1,0.01,1.00000011920929,"cone",1024,2
"mushroom",1,0.01,1.00000011920929,"rect",1024,2
"mushroom",1,0.01,1.00000011920929,"cone",512,2
"mushroom",1,0.01,1.00000011920929,"rect",512,2
