"dataset","learningrate","testAccuracy","nhidden","nlayers","layerForm","valAccuracy"
"musk-1",0.1,0.899159789085388,1024,8,"cone",0.945945918560028
"musk-1",0.1,0.873949646949768,1024,8,"rect",0.937837845087051
"musk-1",1,0.890756368637085,256,3,"cone",0.92702705860138
"musk-1",0.1,0.865546226501465,256,4,"rect",0.921621650457382
"musk-1",1,0.932773113250732,1024,4,"cone",0.921621638536453
"musk-1",0.1,0.873949646949768,512,8,"rect",0.918918967247009
"musk-1",0.1,0.865546226501465,256,8,"rect",0.918918907642364
"musk-1",1,0.890756368637085,512,3,"cone",0.918918907642364
"musk-1",1,0.890756368637085,1024,2,"cone",0.918918907642364
"musk-1",1,0.915966391563416,512,2,"cone",0.918918907642364
"musk-1",0.01,0.857142925262451,1024,3,"cone",0.916216260194778
"musk-1",0.1,0.890756368637085,256,3,"cone",0.913513559103012
"musk-1",1,0.882352948188782,1024,3,"cone",0.91081086397171
"musk-1",0.1,0.865546226501465,512,2,"cone",0.910810816287994
"musk-1",1,0.890756368637085,256,2,"cone",0.91081081032753
"musk-1",0.1,0.815126180648804,512,8,"cone",0.90810815691948
"musk-1",1,0.899159789085388,256,4,"cone",0.905405455827713
"musk-1",0.01,0.865546345710754,1024,2,"cone",0.902702760696411
"musk-1",0.01,0.840336203575134,512,2,"cone",0.89729734659195
"musk-1",0.1,0.890756368637085,1024,3,"rect",0.897297304868698
"musk-1",0.1,0.873949646949768,1024,4,"rect",0.894594603776932
"musk-1",0.01,0.857142925262451,1024,2,"rect",0.894594597816468
"musk-1",0.01,0.857142925262451,1024,4,"rect",0.891891956329346
"musk-1",0.1,0.882353067398071,512,4,"rect",0.891891896724701
"musk-1",0.01,0.890756368637085,1024,3,"rect",0.891891896724701
"musk-1",0.1,0.890756368637085,1024,2,"cone",0.891891896724701
"musk-1",0.1,0.848739624023438,256,4,"cone",0.886486506462097
"musk-1",0.1,0.882352948188782,512,2,"rect",0.8810810983181
"musk-1",0.01,0.848739504814148,512,3,"rect",0.878378427028656
"musk-1",1,0.848739624023438,512,4,"cone",0.878378403186798
"musk-1",0.01,0.773109316825867,256,2,"rect",0.870270347595215
"musk-1",0.1,0.78151261806488,256,8,"cone",0.870270335674286
"musk-1",0.1,0.890756368637085,1024,4,"cone",0.870270299911499
"musk-1",0.1,0.890756368637085,256,2,"rect",0.867567586898804
"musk-1",0.1,0.865546226501465,512,3,"cone",0.864864945411682
"musk-1",0.01,0.865546345710754,512,2,"rect",0.864864945411682
"musk-1",0.01,0.882352948188782,1024,8,"rect",0.864864891767502
"musk-1",0.01,0.773109316825867,256,3,"cone",0.864864885807037
"musk-1",0.1,0.857142925262451,1024,3,"cone",0.864864885807037
"musk-1",0.1,0.890756368637085,512,3,"rect",0.864864885807037
"musk-1",0.1,0.857142925262451,1024,2,"rect",0.864864885807037
"musk-1",0.01,0.831932902336121,512,3,"cone",0.851351380348206
"musk-1",0.1,0.882353067398071,512,4,"cone",0.84054057598114
"musk-1",0.1,0.899159669876099,256,2,"cone",0.84054057598114
"musk-1",0.01,0.840336203575134,1024,8,"cone",0.837837934494019
"musk-1",0.01,0.865546345710754,1024,16,"rect",0.837837874889374
"musk-1",0.01,0.848739504814148,256,3,"rect",0.837837874889374
"musk-1",0.1,0.857142925262451,256,3,"rect",0.824324381351471
"musk-1",0.01,0.840336203575134,256,2,"cone",0.824324369430542
"musk-1",0.01,0.840336203575134,256,16,"rect",0.813513565063477
"musk-1",0.01,0.8067227602005,512,8,"rect",0.810810923576355
"musk-1",0.01,0.882352948188782,512,4,"rect",0.81081086397171
"musk-1",0.01,0.747899174690247,256,4,"cone",0.81081086397171
"musk-1",0.01,0.815126061439514,1024,4,"cone",0.800000059604645
"musk-1",0.01,0.705882430076599,512,8,"cone",0.772973036766052
"musk-1",0.01,0.747899174690247,512,4,"cone",0.756756842136383
"musk-1",0.01,0.848739504814148,256,4,"rect",0.756756782531738
"musk-1",0.01,0.840336203575134,512,16,"rect",0.732432472705841
"musk-1",0.01,0.798319458961487,256,8,"rect",0.729729771614075
"musk-1",0.01,0.714285850524902,256,8,"cone",0.613513553142548
"musk-1",1,0.638655543327332,256,8,"cone",0.608108133077622
"musk-1",0.1,0.655462265014648,512,16,"rect",0.594594597816467
"musk-1",1,0.689075708389282,1024,8,"cone",0.594594597816467
"musk-1",1,0.588235318660736,256,3,"rect",0.583783793449402
"musk-1",0.01,0.546218574047089,512,16,"cone",0.567567586898804
"musk-1",0.1,0.571428656578064,1024,32,"cone",0.551351380348206
"musk-1",0.1,0.504201710224152,1024,16,"rect",0.54864866733551
"musk-1",1,0.571428656578064,512,2,"rect",0.543243277072906
"musk-1",1,0.571428656578064,256,2,"rect",0.543243277072906
"musk-1",0.01,0.571428656578064,512,32,"rect",0.543243271112442
"musk-1",0.1,0.621848821640015,256,16,"rect",0.543243265151978
"musk-1",0.01,0.571428656578064,1024,32,"cone",0.54054057598114
"musk-1",0.01,0.571428656578064,512,32,"cone",0.54054057598114
"musk-1",0.01,0.571428656578064,256,32,"cone",0.54054057598114
"musk-1",0.1,0.571428656578064,512,32,"cone",0.54054057598114
"musk-1",0.1,0.571428656578064,256,32,"cone",0.54054057598114
"musk-1",1,0.571428656578064,1024,32,"cone",0.54054057598114
"musk-1",1,0.571428656578064,512,32,"cone",0.54054057598114
"musk-1",1,0.571428656578064,256,32,"cone",0.54054057598114
"musk-1",1,0.571428656578064,256,32,"rect",0.54054057598114
"musk-1",0.01,0.470588266849518,1024,16,"cone",0.54054057598114
"musk-1",0.01,0.571428656578064,256,16,"cone",0.54054057598114
"musk-1",0.1,0.571428656578064,1024,16,"cone",0.54054057598114
"musk-1",0.1,0.571428656578064,512,16,"cone",0.54054057598114
"musk-1",0.1,0.571428656578064,256,16,"cone",0.54054057598114
"musk-1",1,0.571428656578064,1024,16,"cone",0.54054057598114
"musk-1",1,0.571428656578064,1024,16,"rect",0.54054057598114
"musk-1",1,0.571428656578064,512,16,"cone",0.54054057598114
"musk-1",1,0.571428656578064,512,16,"rect",0.54054057598114
"musk-1",1,0.571428656578064,256,16,"cone",0.54054057598114
"musk-1",1,0.571428656578064,256,16,"rect",0.54054057598114
"musk-1",1,0.571428656578064,1024,8,"rect",0.54054057598114
"musk-1",1,0.571428656578064,512,8,"cone",0.54054057598114
"musk-1",1,0.571428656578064,512,8,"rect",0.54054057598114
"musk-1",1,0.571428656578064,1024,4,"rect",0.54054057598114
"musk-1",1,0.571428656578064,512,3,"rect",0.54054057598114
"musk-1",1,0.571428656578064,1024,2,"rect",0.54054057598114
"musk-1",0.1,0.571428656578064,1024,32,"rect",0.532432466745376
"musk-1",0.1,0.571428656578064,512,32,"rect",0.532432466745376
"musk-1",1,0.571428656578064,1024,32,"rect",0.532432466745376
"musk-1",1,0.571428656578064,512,32,"rect",0.532432466745376
"musk-1",1,0.571428656578064,256,8,"rect",0.524324357509613
"musk-1",1,0.571428656578064,256,4,"rect",0.524324357509613
"musk-1",1,0.571428656578064,1024,3,"rect",0.524324357509613
"musk-1",1,0.428571462631226,512,4,"rect",0.518918949365616
"musk-1",0.1,0.571428656578064,256,32,"rect",0.516216248273849
"musk-1",0.01,0.571428656578064,1024,32,"rect",0.508108139038086
"musk-1",0.01,0.478991627693176,256,32,"rect",0.505405429005623
