"dataset","valAccuracy","learningrate","nhidden","nlayers","testAccuracy","layerForm"
"nursery",1,0.1,1024,16,0.996604919433594,"rect"
"nursery",1,1,1024,2,0.999382734298706,"cone"
"nursery",0.999900788068771,1,512,2,0.999382734298706,"cone"
"nursery",0.999603170156479,1,256,3,0.999074101448059,"cone"
"nursery",0.99950395822525,1,512,4,0.999382734298706,"cone"
"nursery",0.999305534362793,1,1024,3,0.999382734298706,"cone"
"nursery",0.999206346273422,1,1024,4,0.999382734298706,"cone"
"nursery",0.999107104539871,0.1,1024,4,0.997222185134888,"cone"
"nursery",0.999107104539871,1,512,3,0.998765468597412,"cone"
"nursery",0.999007934331894,0.1,512,2,0.998456835746765,"cone"
"nursery",0.999007928371429,1,256,2,0.999074101448059,"cone"
"nursery",0.998908686637878,0.1,1024,2,0.998765468597412,"cone"
"nursery",0.998710280656815,1,1024,8,0.998765408992767,"cone"
"nursery",0.998511850833893,1,256,4,0.999074101448059,"cone"
"nursery",0.998511850833893,0.1,256,3,0.997222185134888,"cone"
"nursery",0.998313438892364,0.1,512,4,0.998765468597412,"cone"
"nursery",0.998115026950836,0.1,256,8,0.996913433074951,"cone"
"nursery",0.998015838861465,0.1,1024,3,0.998148083686829,"cone"
"nursery",0.99761905670166,0.1,1024,16,0.997530817985535,"cone"
"nursery",0.997519797086716,0.1,256,2,0.998456656932831,"cone"
"nursery",0.997519791126251,0.1,512,16,0.996604919433594,"rect"
"nursery",0.997321397066117,0.1,256,3,0.996913552284241,"rect"
"nursery",0.99702377319336,0.1,256,2,0.997530817985535,"rect"
"nursery",0.996329361200333,0.1,1024,3,0.997222125530243,"rect"
"nursery",0.996329319477081,0.1,512,3,0.998456716537476,"cone"
"nursery",0.996230161190033,0.1,1024,2,0.996604800224304,"rect"
"nursery",0.996130919456482,0.1,1024,8,0.998765349388123,"cone"
"nursery",0.99603174328804,0.1,512,8,0.996913552284241,"cone"
"nursery",0.995932513475418,0.1,512,8,0.996913492679596,"rect"
"nursery",0.995634877681732,0.1,512,2,0.997839450836182,"rect"
"nursery",0.995039641857147,0.1,256,4,0.997530877590179,"cone"
"nursery",0.994940435886383,0.1,1024,8,0.994753003120422,"rect"
"nursery",0.994841265678406,0.1,512,4,0.995987594127655,"rect"
"nursery",0.99424604177475,0.1,512,3,0.996913552284241,"rect"
"nursery",0.994146800041199,0.1,256,4,0.996604919433594,"rect"
"nursery",0.994047582149506,0.1,256,8,0.997222185134888,"rect"
"nursery",0.993452352285385,0.1,256,16,0.996296226978302,"rect"
"nursery",0.993154728412628,0.1,1024,4,0.995678901672363,"rect"
"nursery",0.991269814968109,0.01,1024,2,0.993827104568481,"cone"
"nursery",0.991071403026581,0.01,1024,16,0.99043208360672,"rect"
"nursery",0.990972197055817,0.01,1024,4,0.99351841211319,"rect"
"nursery",0.990872991085053,0.01,512,2,0.993209838867188,"rect"
"nursery",0.990476167201996,0.01,1024,8,0.987654209136963,"rect"
"nursery",0.990476167201996,0.01,512,3,0.992592453956604,"rect"
"nursery",0.990376961231232,0.01,512,16,0.991049349308014,"cone"
"nursery",0.990079343318939,0.01,512,8,0.990123391151428,"cone"
"nursery",0.989682519435882,0.01,1024,16,0.988271534442902,"cone"
"nursery",0.989484107494354,0.01,512,2,0.993209719657898,"cone"
"nursery",0.988591253757477,0.01,1024,3,0.992283880710602,"rect"
"nursery",0.988392841815949,0.01,1024,2,0.991357922554016,"rect"
"nursery",0.988392841815948,0.01,256,2,0.990740656852722,"rect"
"nursery",0.988293635845184,0.01,256,16,0.991357922554016,"cone"
"nursery",0.98819442987442,0.01,1024,3,0.991049349308014,"cone"
"nursery",0.987499988079071,0.01,256,2,0.988888800144196,"cone"
