"dataset","layerForm","testAccuracy","learningrate","nhidden","valAccuracy","nlayers"
"planning","rect",0.688888907432556,0.1,1024,0.771428608894348,8
"planning","cone",0.688888907432556,0.1,512,0.742857170104981,8
"planning","rect",0.600000023841858,0.01,256,0.735714310407639,16
"planning","cone",0.644444465637207,1,1024,0.714285737276077,4
"planning","cone",0.622222244739532,1,512,0.714285731315613,4
"planning","cone",0.711111128330231,0.01,1024,0.714285731315613,32
"planning","cone",0.711111128330231,0.01,512,0.714285731315613,32
"planning","cone",0.711111128330231,0.01,256,0.714285731315613,32
"planning","cone",0.711111128330231,0.1,1024,0.714285731315613,32
"planning","cone",0.711111128330231,0.1,512,0.714285731315613,32
"planning","rect",0.711111128330231,0.1,512,0.714285731315613,32
"planning","cone",0.711111128330231,0.1,256,0.714285731315613,32
"planning","rect",0.711111128330231,0.1,256,0.714285731315613,32
"planning","cone",0.711111128330231,1,1024,0.714285731315613,32
"planning","cone",0.711111128330231,1,512,0.714285731315613,32
"planning","rect",0.711111128330231,1,512,0.714285731315613,32
"planning","cone",0.711111128330231,1,256,0.714285731315613,32
"planning","cone",0.711111128330231,0.01,1024,0.714285731315613,16
"planning","cone",0.711111128330231,0.01,512,0.714285731315613,16
"planning","cone",0.711111128330231,0.01,256,0.714285731315613,16
"planning","cone",0.711111128330231,0.1,1024,0.714285731315613,16
"planning","rect",0.711111128330231,0.1,1024,0.714285731315613,16
"planning","cone",0.711111128330231,0.1,512,0.714285731315613,16
"planning","rect",0.711111128330231,0.1,512,0.714285731315613,16
"planning","cone",0.711111128330231,0.1,256,0.714285731315613,16
"planning","rect",0.711111128330231,0.1,256,0.714285731315613,16
"planning","cone",0.711111128330231,1,1024,0.714285731315613,16
"planning","cone",0.711111128330231,1,512,0.714285731315613,16
"planning","rect",0.711111128330231,1,512,0.714285731315613,16
"planning","cone",0.711111128330231,1,256,0.714285731315613,16
"planning","cone",0.711111128330231,1,1024,0.714285731315613,8
"planning","rect",0.711111128330231,1,1024,0.714285731315613,8
"planning","cone",0.711111128330231,1,512,0.714285731315613,8
"planning","cone",0.711111128330231,1,256,0.714285731315613,8
"planning","rect",0.711111128330231,1,1024,0.714285731315613,4
"planning","rect",0.711111128330231,1,256,0.714285731315613,4
"planning","rect",0.577777802944183,0.01,1024,0.714285731315613,3
"planning","rect",0.622222244739532,0.01,512,0.714285731315613,3
"planning","cone",0.644444465637207,1,256,0.714285731315613,3
"planning","rect",0.711111128330231,1,1024,0.714285731315613,2
"planning","rect",0.711111128330231,1,512,0.714285731315613,2
"planning","cone",0.666666686534882,1,1024,0.707142877578735,2
"planning","cone",0.711111128330231,0.1,256,0.707142877578735,8
"planning","cone",0.666666686534882,0.1,256,0.707142877578735,4
"planning","cone",0.711111128330231,1,256,0.707142877578735,4
"planning","cone",0.577777802944183,0.1,256,0.692857164144516,2
"planning","rect",0.711111128330231,0.01,256,0.692857158184051,32
"planning","rect",0.711111128330231,0.01,1024,0.671428588032722,32
"planning","rect",0.711111128330231,0.1,1024,0.671428588032722,32
"planning","rect",0.711111128330231,1,1024,0.671428588032722,32
"planning","rect",0.711111128330231,1,256,0.671428588032722,16
"planning","rect",0.711111128330231,1,512,0.671428588032722,8
"planning","rect",0.711111128330231,1,256,0.671428588032722,8
"planning","rect",0.711111128330231,1,512,0.671428588032722,4
"planning","rect",0.711111128330231,1,512,0.671428588032722,3
"planning","rect",0.711111128330231,1,256,0.671428588032722,3
"planning","rect",0.466666698455811,1,256,0.671428588032722,2
"planning","cone",0.488888919353485,0.1,1024,0.664285749197006,8
"planning","cone",0.555555582046509,0.01,512,0.657142895460129,8
"planning","rect",0.533333361148834,0.01,512,0.657142889499664,2
"planning","cone",0.688888907432556,1,1024,0.6571428835392,3
"planning","cone",0.688888907432556,1,512,0.6571428835392,3
"planning","cone",0.622222244739532,1,256,0.657142877578735,2
"planning","rect",0.600000023841858,0.01,256,0.650000047683716,8
"planning","cone",0.688888907432556,0.01,256,0.642857193946838,8
"planning","rect",0.688888907432556,0.1,1024,0.64285718202591,4
"planning","cone",0.533333361148834,1,512,0.635714310407639,2
"planning","rect",0.533333361148834,0.1,512,0.628571462631226,8
"planning","cone",0.577777802944183,0.1,256,0.628571459650993,3
"planning","rect",0.711111128330231,1,256,0.628571444749832,32
"planning","rect",0.711111128330231,1,1024,0.628571444749832,16
"planning","rect",0.711111128330231,1,1024,0.628571444749832,3
"planning","rect",0.711111128330231,0.01,512,0.628571444749832,32
"planning","cone",0.577777802944183,0.01,512,0.621428608894348,3
"planning","cone",0.666666686534882,0.1,512,0.621428602933884,3
"planning","rect",0.666666686534882,0.1,512,0.621428602933884,2
"planning","rect",0.51111114025116,0.01,256,0.614285755157471,2
"planning","rect",0.644444465637207,0.1,1024,0.607142889499664,3
"planning","cone",0.555555582046509,0.01,512,0.607142871618271,4
"planning","cone",0.555555582046509,0.01,256,0.600000035762787,4
"planning","cone",0.533333361148834,0.01,1024,0.600000023841858,3
"planning","rect",0.51111114025116,0.01,512,0.600000017881393,16
"planning","rect",0.644444465637207,0.1,512,0.592857179045677,4
"planning","rect",0.555555582046509,0.01,1024,0.592857170104981,2
"planning","cone",0.577777802944183,0.1,512,0.592857167124748,2
"planning","cone",0.600000023841858,0.01,1024,0.585714310407639,4
"planning","cone",0.555555582046509,0.01,256,0.571428596973419,2
"planning","cone",0.666666746139526,0.01,512,0.571428596973419,2
"planning","cone",0.600000023841858,0.1,1024,0.564285746216774,2
"planning","rect",0.555555582046509,0.1,256,0.564285743236542,2
"planning","rect",0.644444465637207,0.1,512,0.564285743236542,3
"planning","rect",0.622222244739532,0.1,1024,0.557142886519432,2
"planning","rect",0.577777802944183,0.1,256,0.5571428835392,8
"planning","cone",0.644444465637207,0.1,1024,0.557142877578735,4
"planning","rect",0.600000023841858,0.01,1024,0.550000017881394,4
"planning","cone",0.600000023841858,0.1,512,0.542857173085213,4
"planning","cone",0.533333361148834,0.1,1024,0.54285717010498,3
"planning","rect",0.666666686534882,0.1,256,0.528571453690529,3
"planning","cone",0.666666686534882,0.01,1024,0.521428591012955,8
"planning","cone",0.577777802944183,0.01,1024,0.514285725355148,2
"planning","rect",0.577777802944183,0.01,1024,0.514285719394684,8
"planning","rect",0.577777802944183,0.1,256,0.514285719394684,4
"planning","rect",0.600000023841858,0.01,256,0.514285719394684,3
"planning","rect",0.488888919353485,0.01,1024,0.485714304447174,16
"planning","rect",0.666666746139526,0.01,512,0.485714292526245,8
"planning","cone",0.688888907432556,0.01,256,0.457142877578735,3
"planning","rect",0.666666746139526,0.01,512,0.450000002980232,4
"planning","rect",0.555555582046509,0.01,256,0.435714316368103,4
