"dataset","nhidden","valAccuracy","layerForm","testAccuracy","nlayers","learningrate"
"plant-shape",512,0.6,"cone",0.677500009536743,3,0.1
"plant-shape",512,0.6,"rect",0.644999980926514,3,0.1
"plant-shape",256,0.596460163593292,"rect",0.677500009536743,4,0.1
"plant-shape",1024,0.593805301189423,"cone",0.669999957084656,3,0.1
"plant-shape",512,0.592920339107514,"rect",0.674999952316284,4,0.1
"plant-shape",512,0.591150432825089,"cone",0.672500014305115,4,0.1
"plant-shape",1024,0.589380520582199,"rect",0.652500033378601,3,0.1
"plant-shape",1024,0.585840731859207,"rect",0.6875,4,0.1
"plant-shape",1024,0.583185821771622,"cone",0.654999971389771,2,1
"plant-shape",256,0.582300895452499,"cone",0.659999966621399,3,1
"plant-shape",256,0.582300895452499,"cone",0.657500028610229,2,1
"plant-shape",256,0.582300877571106,"rect",0.669999957084656,2,0.1
"plant-shape",256,0.577876102924347,"rect",0.602499961853027,3,0.01
"plant-shape",1024,0.569026565551758,"cone",0.665000021457672,4,0.1
"plant-shape",512,0.569026559591293,"cone",0.649999976158142,2,0.1
"plant-shape",1024,0.568141621351242,"cone",0.595000028610229,2,0.01
"plant-shape",1024,0.56814159154892,"rect",0.632499933242798,2,0.1
"plant-shape",1024,0.565486723184585,"rect",0.642499923706055,2,0.01
"plant-shape",1024,0.564601767063141,"rect",0.610000014305115,4,0.01
"plant-shape",256,0.563716840744019,"rect",0.664999961853027,2,1
"plant-shape",512,0.563716799020767,"rect",0.577499985694885,3,0.01
"plant-shape",512,0.562831848859787,"rect",0.614999949932098,2,0.1
"plant-shape",256,0.561946892738342,"rect",0.667500019073486,3,0.1
"plant-shape",1024,0.561061960458755,"cone",0.632499933242798,2,0.1
"plant-shape",1024,0.559292036294937,"cone",0.584999918937683,4,0.01
"plant-shape",256,0.557522118091583,"cone",0.622499942779541,3,0.1
"plant-shape",1024,0.555752211809158,"cone",0.567499995231628,3,0.01
"plant-shape",256,0.554867255687714,"cone",0.6875,4,0.1
"plant-shape",1024,0.55309733748436,"rect",0.605000019073486,3,0.01
"plant-shape",512,0.552212393283844,"rect",0.585000038146973,4,0.01
"plant-shape",256,0.548672580718994,"cone",0.642499923706055,2,0.1
"plant-shape",512,0.548672562837601,"cone",0.559999942779541,4,0.01
"plant-shape",512,0.542477875947952,"cone",0.644999980926514,8,0.1
"plant-shape",512,0.542477875947952,"rect",0.615000009536743,2,0.01
"plant-shape",512,0.541592925786972,"cone",0.652500033378601,4,1
"plant-shape",256,0.540707981586456,"rect",0.619999945163727,3,1
"plant-shape",512,0.540707966685295,"cone",0.594999969005585,3,1
"plant-shape",1024,0.538938063383102,"cone",0.589999973773956,8,0.01
"plant-shape",512,0.538938063383102,"rect",0.542500019073486,8,0.1
"plant-shape",1024,0.532743376493454,"rect",0.634999990463257,8,0.1
"plant-shape",1024,0.531858390569687,"cone",0.654999971389771,8,0.1
"plant-shape",1024,0.529203546047211,"cone",0.594999969005585,3,1
"plant-shape",1024,0.525663724541664,"cone",0.612499952316284,4,1
"plant-shape",512,0.523008850216865,"cone",0.584999978542328,3,0.01
"plant-shape",256,0.50973451435566,"rect",0.592499971389771,2,0.01
"plant-shape",512,0.509734505414963,"cone",0.602499961853027,2,1
"plant-shape",512,0.507079666852951,"cone",0.589999973773956,2,0.01
"plant-shape",256,0.505309742689133,"rect",0.584999978542328,4,0.01
"plant-shape",256,0.502654865384102,"cone",0.589999914169312,4,1
"plant-shape",256,0.499115055799484,"cone",0.579999983310699,4,0.01
"plant-shape",512,0.496460169553757,"rect",0.504999995231628,2,1
"plant-shape",1024,0.495575222373009,"rect",0.582499980926514,8,0.01
"plant-shape",256,0.493805316090584,"cone",0.5625,2,0.01
"plant-shape",512,0.493805304169655,"cone",0.547500014305115,8,0.01
"plant-shape",256,0.489380523562431,"rect",0.557500004768372,8,0.1
"plant-shape",256,0.480530965328217,"cone",0.542499959468842,8,0.1
"plant-shape",512,0.47345133125782,"cone",0.524999976158142,16,0.01
"plant-shape",1024,0.45929202735424,"rect",0.577499985694885,16,0.01
"plant-shape",512,0.458407074213028,"rect",0.537499964237213,16,0.01
"plant-shape",256,0.439822992682457,"cone",0.504999935626984,3,0.01
"plant-shape",512,0.435398232936859,"rect",0.572499990463257,8,0.01
"plant-shape",256,0.426548659801483,"rect",0.550000071525574,16,0.01
"plant-shape",256,0.42477875649929,"rect",0.477499961853027,8,0.01
"plant-shape",256,0.423893791437149,"rect",0.444999992847443,4,1
"plant-shape",256,0.409734517335892,"cone",0.462499976158142,8,0.01
"plant-shape",1024,0.394690263271332,"cone",0.474999964237213,16,0.01
"plant-shape",256,0.366371682286263,"cone",0.322499990463257,16,0.1
"plant-shape",256,0.341592919826508,"cone",0.355000019073486,16,0.01
"plant-shape",512,0.331858414411545,"cone",0.357499986886978,16,0.1
"plant-shape",256,0.328318575024605,"rect",0.354999959468842,16,0.1
"plant-shape",1024,0.246017697453499,"cone",0.322500020265579,16,0.1
"plant-shape",1024,0.137168145179749,"rect",0.127499997615814,16,0.1
"plant-shape",512,0.114159293472767,"cone",0.137499988079071,8,1
"plant-shape",1024,0.10796460211277,"cone",0.115000002086163,8,1
"plant-shape",1024,0.106194690614939,"rect",0.142499983310699,32,0.01
"plant-shape",256,0.102654869109392,"cone",0.139999985694885,8,1
"plant-shape",512,0.0955752220004797,"rect",0.129999995231628,16,0.1
"plant-shape",512,0.0884955752640963,"rect",0.0874999910593033,32,0.01
"plant-shape",256,0.0548672564327717,"rect",0.0724999979138374,8,1
"plant-shape",256,0.0442477874457836,"cone",0.0549999997019768,32,0.01
"plant-shape",512,0.0300884954631329,"cone",0.03999999538064,32,0.01
"plant-shape",1024,0.0194690264761448,"rect",0.00999999977648258,2,1
"plant-shape",256,0.0176991149783134,"rect",0.00999999977648258,32,1
"plant-shape",512,0.0176991149783134,"rect",0.00999999977648258,16,1
"plant-shape",512,0.0176991149783134,"rect",0.00999999977648258,4,1
"plant-shape",1024,0.0168141592293978,"rect",0.00999999977648258,16,1
"plant-shape",512,0.0168141592293978,"rect",0.00999999977648258,8,1
"plant-shape",1024,0.0141592919826508,"rect",0.00999999977648258,3,1
"plant-shape",512,0.0141592919826508,"rect",0.00999999977648258,3,1
"plant-shape",1024,0.0132743362337351,"cone",0.0175000000745058,32,0.01
"plant-shape",512,0.0123893804848194,"rect",0.00999999977648258,32,1
"plant-shape",256,0.0115044247359037,"rect",0.0175000000745058,32,0.01
"plant-shape",512,0.0097345132380724,"cone",0.0199999995529652,16,1
"plant-shape",1024,0.0097345132380724,"rect",0.00999999977648258,8,1
