"dataset","nlayers","nhidden","valAccuracy","layerForm","testAccuracy","learningrate"
"post-operative",8,256,0.633333349227905,"rect",0.772727310657501,0.1
"post-operative",3,256,0.616666680574417,"cone",0.681818187236786,0.01
"post-operative",16,512,0.583333343267441,"rect",0.545454561710358,0.01
"post-operative",4,512,0.566666677594185,"rect",0.636363685131073,0.1
"post-operative",16,256,0.566666674613953,"rect",0.681818246841431,0.01
"post-operative",32,1024,0.550000005960464,"rect",0.727272748947144,0.01
"post-operative",3,1024,0.533333341777325,"rect",0.636363685131073,0.1
"post-operative",4,1024,0.533333337306976,"cone",0.772727310657501,0.01
"post-operative",2,512,0.533333337306976,"rect",0.727272748947144,1
"post-operative",32,512,0.51666667163372,"rect",0.727272748947144,0.01
"post-operative",2,1024,0.51666667163372,"cone",0.636363625526428,1
"post-operative",8,1024,0.516666668653488,"rect",0.636363625526428,0.01
"post-operative",8,256,0.516666668653488,"cone",0.590909123420715,0.1
"post-operative",3,512,0.516666668653488,"rect",0.727272748947144,0.1
"post-operative",3,1024,0.516666668653488,"rect",0.727272748947144,1
"post-operative",2,512,0.516666668653488,"rect",0.727272748947144,0.1
"post-operative",16,1024,0.516666668653488,"rect",0.636363625526428,0.01
"post-operative",8,256,0.516666668653488,"cone",0.727272748947144,1
"post-operative",4,512,0.516666668653488,"cone",0.636363625526428,0.01
"post-operative",4,256,0.516666668653488,"cone",0.545454561710358,0.01
"post-operative",4,256,0.516666668653488,"rect",0.681818187236786,0.1
"post-operative",4,1024,0.516666668653488,"cone",0.727272748947144,1
"post-operative",4,1024,0.516666668653488,"rect",0.727272748947144,1
"post-operative",3,512,0.516666668653488,"cone",0.727272748947144,0.1
"post-operative",3,512,0.516666668653488,"rect",0.727272748947144,1
"post-operative",2,1024,0.516666668653488,"rect",0.590909123420715,0.1
"post-operative",2,1024,0.516666668653488,"rect",0.727272748947144,1
"post-operative",2,512,0.516666668653488,"cone",0.545454561710358,1
"post-operative",4,1024,0.500000005960464,"rect",0.727272748947144,0.1
"post-operative",32,1024,0.5,"cone",0.727272748947144,0.01
"post-operative",32,512,0.5,"cone",0.272727280855179,0.01
"post-operative",32,256,0.5,"cone",0.681818187236786,0.01
"post-operative",32,256,0.5,"rect",0.727272748947144,0.01
"post-operative",32,1024,0.5,"cone",0.727272748947144,0.1
"post-operative",32,1024,0.5,"rect",0.727272748947144,0.1
"post-operative",32,512,0.5,"cone",0.727272748947144,0.1
"post-operative",32,512,0.5,"rect",0.727272748947144,0.1
"post-operative",32,256,0.5,"cone",0.727272748947144,0.1
"post-operative",32,256,0.5,"rect",0.727272748947144,0.1
"post-operative",32,1024,0.5,"cone",0.727272748947144,1
"post-operative",32,1024,0.5,"rect",0.727272748947144,1
"post-operative",32,512,0.5,"cone",0.727272748947144,1
"post-operative",32,512,0.5,"rect",0.272727280855179,1
"post-operative",32,256,0.5,"cone",0.727272748947144,1
"post-operative",32,256,0.5,"rect",0.727272748947144,1
"post-operative",16,1024,0.5,"cone",0.727272748947144,0.01
"post-operative",16,512,0.5,"cone",0.727272748947144,0.01
"post-operative",16,256,0.5,"cone",0.636363625526428,0.01
"post-operative",16,1024,0.5,"cone",0.727272748947144,0.1
"post-operative",16,1024,0.5,"rect",0.727272748947144,0.1
"post-operative",16,512,0.5,"cone",0.727272748947144,0.1
"post-operative",16,512,0.5,"rect",0.727272748947144,0.1
"post-operative",16,256,0.5,"cone",0.727272748947144,0.1
"post-operative",16,256,0.5,"rect",0.363636374473572,0.1
"post-operative",16,1024,0.5,"cone",0.727272748947144,1
"post-operative",16,512,0.5,"cone",0.727272748947144,1
"post-operative",16,512,0.5,"rect",0.272727280855179,1
"post-operative",16,256,0.5,"cone",0.727272748947144,1
"post-operative",16,256,0.5,"rect",0.727272748947144,1
"post-operative",8,512,0.5,"cone",0.772727310657501,0.01
"post-operative",8,512,0.5,"rect",0.727272748947144,0.01
"post-operative",8,256,0.5,"cone",0.545454561710358,0.01
"post-operative",8,1024,0.5,"rect",0.727272748947144,0.1
"post-operative",8,512,0.5,"cone",0.727272748947144,0.1
"post-operative",8,1024,0.5,"cone",0.727272748947144,1
"post-operative",8,512,0.5,"cone",0.727272748947144,1
"post-operative",4,1024,0.5,"rect",0.727272748947144,0.01
"post-operative",4,512,0.5,"rect",0.681818187236786,0.01
"post-operative",4,256,0.5,"rect",0.681818246841431,0.01
"post-operative",4,1024,0.5,"cone",0.590909123420715,0.1
"post-operative",4,256,0.5,"cone",0.727272748947144,0.1
"post-operative",4,512,0.5,"cone",0.727272748947144,1
"post-operative",4,512,0.5,"rect",0.727272748947144,1
"post-operative",4,256,0.5,"cone",0.727272748947144,1
"post-operative",4,256,0.5,"rect",0.727272748947144,1
"post-operative",3,1024,0.5,"cone",0.681818246841431,0.01
"post-operative",3,1024,0.5,"rect",0.590909123420715,0.01
"post-operative",3,512,0.5,"rect",0.727272748947144,0.01
"post-operative",3,256,0.5,"rect",0.636363625526428,0.01
"post-operative",3,1024,0.5,"cone",0.727272748947144,0.1
"post-operative",3,256,0.5,"cone",0.727272748947144,0.1
"post-operative",3,256,0.5,"rect",0.590909123420715,0.1
