"dataset","valAccuracy","nlayers","nhidden","learningrate","testAccuracy","layerForm"
"statlog-vehicle",0.810144972801209,2,256,0.1,0.791469216346741,"rect"
"statlog-vehicle",0.798550772666931,2,1024,0.01,0.800947904586792,"rect"
"statlog-vehicle",0.786956572532654,4,512,0.1,0.800947844982147,"rect"
"statlog-vehicle",0.781159472465515,2,512,0.01,0.843601882457733,"rect"
"statlog-vehicle",0.779710197448731,3,512,0.1,0.824644505977631,"rect"
"statlog-vehicle",0.771014547348023,3,256,0.1,0.815165936946869,"rect"
"statlog-vehicle",0.771014547348022,2,1024,0.01,0.819905281066895,"cone"
"statlog-vehicle",0.762318879365921,3,256,0.01,0.834123253822327,"cone"
"statlog-vehicle",0.759420329332352,2,1024,0.1,0.786729872226715,"cone"
"statlog-vehicle",0.757971036434174,2,512,0.1,0.81990522146225,"cone"
"statlog-vehicle",0.753623223304749,3,1024,0.01,0.791469216346741,"rect"
"statlog-vehicle",0.752173960208893,3,512,0.01,0.800947904586792,"rect"
"statlog-vehicle",0.750724655389786,2,512,0.01,0.753554463386536,"cone"
"statlog-vehicle",0.749275362491608,2,1024,0.1,0.829383909702301,"rect"
"statlog-vehicle",0.746376818418503,2,512,0.1,0.829383909702301,"rect"
"statlog-vehicle",0.742029011249542,4,256,0.01,0.758293807506561,"cone"
"statlog-vehicle",0.742028987407684,4,1024,0.1,0.805687308311462,"rect"
"statlog-vehicle",0.739130449295044,3,512,0.1,0.815165877342224,"cone"
"statlog-vehicle",0.739130437374115,3,256,0.1,0.843601882457733,"cone"
"statlog-vehicle",0.739130431413651,2,256,0.1,0.810426592826843,"cone"
"statlog-vehicle",0.739130431413651,2,256,1,0.82464462518692,"cone"
"statlog-vehicle",0.737681144475937,3,256,0.01,0.78672993183136,"rect"
"statlog-vehicle",0.734782648086548,4,256,0.1,0.796208560466766,"rect"
"statlog-vehicle",0.731884062290192,8,256,0.1,0.744075834751129,"rect"
"statlog-vehicle",0.727536243200302,3,512,1,0.800947904586792,"cone"
"statlog-vehicle",0.724637705087662,4,1024,0.01,0.781990528106689,"rect"
"statlog-vehicle",0.72318839430809,3,1024,0.1,0.800947904586792,"rect"
"statlog-vehicle",0.721739131212235,8,512,0.1,0.791469156742096,"rect"
"statlog-vehicle",0.721739131212235,2,512,1,0.720379173755646,"cone"
"statlog-vehicle",0.72028985619545,3,512,0.01,0.805687248706818,"cone"
"statlog-vehicle",0.717391282320023,8,1024,0.01,0.720379114151001,"cone"
"statlog-vehicle",0.714492732286453,8,512,0.1,0.800947904586792,"cone"
"statlog-vehicle",0.713043481111526,3,1024,0.1,0.767772495746613,"cone"
"statlog-vehicle",0.711594206094742,4,512,0.1,0.78672993183136,"cone"
"statlog-vehicle",0.711594194173813,4,512,0.01,0.772511839866638,"cone"
"statlog-vehicle",0.711594188213348,4,256,1,0.781990587711334,"cone"
"statlog-vehicle",0.711594152450562,3,256,1,0.758293867111206,"cone"
"statlog-vehicle",0.708695608377457,4,512,0.01,0.805687189102173,"rect"
"statlog-vehicle",0.704347807168961,3,1024,1,0.78672993183136,"cone"
"statlog-vehicle",0.704347789287567,4,256,0.01,0.763033211231232,"rect"
"statlog-vehicle",0.702898532152176,4,1024,0.01,0.805687308311462,"cone"
"statlog-vehicle",0.702898514270782,2,256,0.01,0.763033211231232,"rect"
"statlog-vehicle",0.699999982118607,4,1024,1,0.791469275951385,"cone"
"statlog-vehicle",0.695652151107788,4,256,0.1,0.763033211231232,"cone"
"statlog-vehicle",0.688405752182007,2,256,0.01,0.829383969306946,"cone"
"statlog-vehicle",0.685507214069366,8,1024,0.1,0.791469275951385,"rect"
"statlog-vehicle",0.681159377098084,8,1024,0.01,0.744075834751129,"rect"
"statlog-vehicle",0.679710119962692,4,1024,0.1,0.772511839866638,"cone"
"statlog-vehicle",0.678260827064514,8,256,0.01,0.739336609840393,"rect"
