"dataset","layerForm","testAccuracy","valAccuracy","nhidden","learningrate","nlayers"
"titanic","cone",0.789090871810913,0.78205132484436,512,1,8
"titanic","cone",0.790909111499786,0.78205132484436,1024,0.01,4
"titanic","cone",0.787272691726685,0.78205132484436,256,0.01,4
"titanic","cone",0.792727291584015,0.78205132484436,512,0.1,4
"titanic","cone",0.789090812206268,0.78205132484436,512,0.1,3
"titanic","cone",0.790909171104431,0.78205132484436,1024,0.1,2
"titanic","cone",0.789090871810913,0.78205132484436,256,0.1,2
"titanic","rect",0.790909171104431,0.782051318883896,256,0.01,16
"titanic","rect",0.79272735118866,0.782051318883896,256,0.01,4
"titanic","cone",0.790909111499786,0.782051318883896,1024,1,4
"titanic","rect",0.790909051895142,0.782051318883896,512,0.01,3
"titanic","cone",0.790909111499786,0.782051318883896,256,0.01,3
"titanic","cone",0.790909111499786,0.782051318883896,256,0.01,2
"titanic","rect",0.792727291584015,0.782051312923432,256,0.01,8
"titanic","cone",0.790909051895142,0.782051312923432,1024,0.1,4
"titanic","rect",0.790909171104431,0.782051312923432,256,0.01,3
"titanic","cone",0.790909051895142,0.782051312923432,512,1,3
"titanic","cone",0.790909111499786,0.782051312923432,256,1,3
"titanic","cone",0.790909171104431,0.782051312923432,512,0.1,2
"titanic","rect",0.790909111499786,0.782051306962967,512,0.01,8
"titanic","cone",0.79272735118866,0.782051306962967,512,0.01,4
"titanic","cone",0.787272691726685,0.782051306962967,512,0.01,3
"titanic","cone",0.790909111499786,0.782051306962967,256,0.1,3
"titanic","rect",0.790909111499786,0.782051306962967,512,0.01,2
"titanic","rect",0.789090812206268,0.782051306962967,256,0.01,2
"titanic","cone",0.789090871810913,0.782051306962967,1024,0.01,3
"titanic","cone",0.790909111499786,0.782051306962967,1024,0.1,3
"titanic","cone",0.789090871810913,0.782051301002503,512,1,4
"titanic","cone",0.790909171104431,0.782051301002503,1024,0.01,2
"titanic","cone",0.790909171104431,0.782051295042038,256,1,4
"titanic","cone",0.787272691726685,0.782051295042038,512,0.01,2
"titanic","rect",0.79272735118866,0.780769264698029,1024,0.1,2
"titanic","rect",0.787272691726685,0.780769258737564,1024,0.01,4
"titanic","rect",0.792727291584015,0.7807692527771,1024,0.01,8
"titanic","cone",0.790909051895142,0.780769246816635,1024,0.1,8
"titanic","rect",0.790909171104431,0.779487216472626,512,0.01,4
"titanic","rect",0.779999971389771,0.779487216472626,512,0.1,4
"titanic","rect",0.779999971389771,0.779487210512161,1024,0.01,16
"titanic","cone",0.790909111499786,0.779487204551697,256,0.1,4
"titanic","rect",0.790909111499786,0.778846198320389,256,0.1,8
"titanic","rect",0.790909111499786,0.778205174207688,1024,0.1,4
"titanic","rect",0.789090812206268,0.778205168247223,1024,0.1,3
"titanic","rect",0.790909111499786,0.778205162286759,256,0.1,3
"titanic","rect",0.790909111499786,0.77820515036583,512,0.01,16
"titanic","cone",0.774545431137085,0.776923102140427,512,0.1,8
"titanic","rect",0.772727370262146,0.776923102140427,512,0.1,2
