"dataset","learningrate","nlayers","layerForm","nhidden","testAccuracy","valAccuracy"
"vertebral-column-2clases",0.01,3,"cone",256,0.844155848026276,0.847999978065491
"vertebral-column-2clases",0.1,3,"cone",1024,0.857142865657806,0.847999978065491
"vertebral-column-2clases",0.1,4,"cone",512,0.857142865657806,0.839999985694885
"vertebral-column-2clases",1,2,"cone",512,0.818181812763214,0.839999973773956
"vertebral-column-2clases",0.01,4,"cone",512,0.857142865657806,0.839999973773956
"vertebral-column-2clases",1,2,"cone",256,0.84415590763092,0.839999973773956
"vertebral-column-2clases",0.1,2,"cone",256,0.896103918552399,0.835999977588654
"vertebral-column-2clases",1,4,"cone",256,0.792207777500153,0.835999977588654
"vertebral-column-2clases",0.1,8,"cone",512,0.792207837104797,0.831999981403351
"vertebral-column-2clases",0.1,3,"cone",512,0.870129883289337,0.827999979257584
"vertebral-column-2clases",0.01,2,"cone",1024,0.844155848026276,0.827999967336655
"vertebral-column-2clases",0.01,2,"cone",256,0.844155848026276,0.827999967336655
"vertebral-column-2clases",0.01,3,"cone",512,0.84415590763092,0.827999967336655
"vertebral-column-2clases",0.1,4,"rect",512,0.818181812763214,0.823999977111816
"vertebral-column-2clases",0.01,4,"cone",256,0.844155848026276,0.823999971151352
"vertebral-column-2clases",0.1,3,"cone",256,0.896103918552399,0.823999965190888
"vertebral-column-2clases",0.1,2,"cone",1024,0.870129883289337,0.823999965190887
"vertebral-column-2clases",0.01,3,"rect",256,0.844155848026276,0.819999969005585
"vertebral-column-2clases",0.01,2,"cone",512,0.870129883289337,0.819999969005585
"vertebral-column-2clases",0.1,4,"cone",256,0.857142865657806,0.81999996304512
"vertebral-column-2clases",0.1,2,"cone",512,0.818181812763214,0.815999966859818
"vertebral-column-2clases",0.01,3,"cone",1024,0.805194854736328,0.815999966859817
"vertebral-column-2clases",0.1,3,"rect",1024,0.870129883289337,0.815999960899353
"vertebral-column-2clases",0.1,2,"rect",256,0.818181872367859,0.815999960899353
"vertebral-column-2clases",0.1,3,"rect",512,0.883116900920868,0.811999970674515
"vertebral-column-2clases",0.1,4,"rect",1024,0.792207837104797,0.807999968528748
"vertebral-column-2clases",0.01,8,"rect",1024,0.831168830394745,0.807999962568283
"vertebral-column-2clases",0.1,2,"rect",1024,0.792207837104797,0.803999966382981
"vertebral-column-2clases",0.1,8,"rect",256,0.870129883289337,0.80399996638298
"vertebral-column-2clases",0.01,4,"rect",1024,0.844155848026276,0.80399996638298
"vertebral-column-2clases",0.01,2,"rect",1024,0.844155848026276,0.799999970197678
"vertebral-column-2clases",0.01,8,"rect",512,0.779220759868622,0.799999952316284
"vertebral-column-2clases",0.01,3,"rect",1024,0.844155848026276,0.791999971866608
"vertebral-column-2clases",1,3,"cone",1024,0.844155848026276,0.791999965906143
"vertebral-column-2clases",1,4,"cone",512,0.675324678421021,0.791999959945679
"vertebral-column-2clases",0.1,2,"rect",512,0.857142865657806,0.787999963760376
"vertebral-column-2clases",1,3,"cone",512,0.883116900920868,0.783999979496002
"vertebral-column-2clases",1,4,"cone",1024,0.831168830394745,0.783999961614609
"vertebral-column-2clases",0.1,4,"cone",1024,0.818181872367859,0.783999961614609
"vertebral-column-2clases",0.01,4,"rect",256,0.766233801841736,0.779999977350235
