"dataset","testAccuracy","nlayers","nhidden","learningrate","valAccuracy","layerForm"
"wine-quality-red",0.60999995470047,3,256,0.01,0.682727265357971,"cone"
"wine-quality-red",0.659999907016754,8,512,0.01,0.675454556941986,"rect"
"wine-quality-red",0.602499961853027,16,512,0.01,0.668181812763214,"cone"
"wine-quality-red",0.567499935626984,8,512,0.01,0.668181812763214,"cone"
"wine-quality-red",0.602499961853027,3,1024,0.1,0.668181800842285,"rect"
"wine-quality-red",0.634999990463257,4,1024,0.01,0.663636362552643,"rect"
"wine-quality-red",0.569999933242798,3,512,0.01,0.663636326789856,"rect"
"wine-quality-red",0.622500002384186,8,256,0.01,0.660909068584442,"rect"
"wine-quality-red",0.622499942779541,3,512,0.1,0.659999996423721,"rect"
"wine-quality-red",0.622500002384186,16,256,0.01,0.659090918302536,"rect"
"wine-quality-red",0.594999969005585,3,256,0.1,0.656363648176193,"rect"
"wine-quality-red",0.572499930858612,2,1024,0.01,0.656363624334335,"rect"
"wine-quality-red",0.612500011920929,4,256,0.01,0.654545468091965,"rect"
"wine-quality-red",0.620000004768372,2,1024,0.1,0.654545438289642,"rect"
"wine-quality-red",0.599999964237213,2,512,0.01,0.653636360168457,"cone"
"wine-quality-red",0.612500011920929,4,1024,0.1,0.652727252244949,"rect"
"wine-quality-red",0.607499957084656,8,256,0.1,0.651818186044693,"cone"
"wine-quality-red",0.634999990463257,8,1024,0.01,0.651818156242371,"rect"
"wine-quality-red",0.582499980926514,2,512,0.1,0.650909072160721,"cone"
"wine-quality-red",0.612499952316284,3,512,0.01,0.648181825876236,"cone"
"wine-quality-red",0.574999928474426,2,512,0.01,0.647272706031799,"rect"
"wine-quality-red",0.559999942779541,3,256,0.01,0.646363615989685,"rect"
"wine-quality-red",0.60999995470047,2,1024,0.01,0.645454519987106,"cone"
"wine-quality-red",0.564999997615814,4,512,0.1,0.644545459747314,"rect"
"wine-quality-red",0.572499930858612,4,256,0.01,0.644545435905457,"cone"
"wine-quality-red",0.612500011920929,2,512,0.1,0.644545435905457,"rect"
"wine-quality-red",0.587499976158142,16,1024,0.1,0.643636363744736,"cone"
"wine-quality-red",0.602499961853027,2,256,0.1,0.642727273702622,"rect"
"wine-quality-red",0.587499976158142,3,1024,0.1,0.642727249860764,"cone"
"wine-quality-red",0.604999959468842,16,1024,0.01,0.640909075737,"cone"
"wine-quality-red",0.552500009536743,32,512,0.01,0.640000015497208,"rect"
"wine-quality-red",0.577499985694885,3,512,1,0.636363625526428,"cone"
