"dataset","testAccuracy","nhidden","learningrate","layerForm","nlayers","valAccuracy"
"wine-quality-white",0.654411792755127,1024,0.01,"rect",16,0.66586018204689
"wine-quality-white",0.653594851493835,512,0.01,"rect",16,0.658602124452591
"wine-quality-white",0.628268003463745,1024,0.01,"cone",4,0.64516127705574
"wine-quality-white",0.629902005195618,1024,0.1,"rect",8,0.644354820251465
"wine-quality-white",0.636437952518463,256,0.01,"rect",8,0.641935467720032
"wine-quality-white",0.649509847164154,1024,0.01,"rect",4,0.641666650772095
"wine-quality-white",0.64705890417099,512,0.1,"rect",8,0.637096762657166
"wine-quality-white",0.627451062202454,512,0.01,"rect",8,0.636827945709229
"wine-quality-white",0.64705890417099,1024,0.01,"rect",8,0.63575267791748
"wine-quality-white",0.651960849761963,1024,0.1,"rect",4,0.635483860969543
"wine-quality-white",0.649509787559509,1024,0.1,"rect",3,0.630913972854614
"wine-quality-white",0.641339898109436,256,0.1,"rect",3,0.627150499820709
"wine-quality-white",0.573529422283173,512,0.01,"cone",3,0.626612889766693
"wine-quality-white",0.645424902439117,512,0.01,"rect",3,0.625806450843811
"wine-quality-white",0.632352948188782,512,0.01,"rect",4,0.625537616014481
"wine-quality-white",0.65032684803009,1024,0.01,"rect",3,0.624462348222733
"wine-quality-white",0.637254953384399,256,0.1,"rect",4,0.624462348222732
"wine-quality-white",0.630719006061554,512,0.1,"rect",3,0.623655891418457
"wine-quality-white",0.630719006061554,1024,0.1,"cone",4,0.623387098312378
"wine-quality-white",0.607026219367981,512,0.01,"cone",16,0.623387086391449
"wine-quality-white",0.637254953384399,512,0.1,"rect",4,0.623387086391449
"wine-quality-white",0.656045794487,256,0.01,"rect",4,0.620430105924606
"wine-quality-white",0.603758215904236,256,0.1,"rect",16,0.619354826211929
"wine-quality-white",0.625817060470581,256,0.1,"cone",8,0.617204296588898
"wine-quality-white",0.619281053543091,256,0.1,"rect",8,0.615053743124008
"wine-quality-white",0.63153600692749,512,0.1,"rect",2,0.614784944057465
"wine-quality-white",0.642156898975372,1024,0.1,"rect",2,0.614516097307205
"wine-quality-white",0.619281113147736,1024,0.01,"rect",2,0.613709688186646
"wine-quality-white",0.622549057006836,512,0.01,"cone",8,0.608602106571198
"wine-quality-white",0.61274516582489,256,0.01,"rect",16,0.608333343267441
"wine-quality-white",0.610294222831726,512,0.1,"cone",3,0.606451618671417
"wine-quality-white",0.611111164093018,1024,0.1,"cone",2,0.605913954973221
"wine-quality-white",0.611111164093018,1024,0.01,"cone",3,0.603763443231583
"wine-quality-white",0.627451002597809,1024,0.01,"cone",8,0.603494602441788
"wine-quality-white",0.611928105354309,256,0.01,"rect",3,0.602688187360764
"wine-quality-white",0.598039209842682,512,0.01,"rect",2,0.602150541543961
"wine-quality-white",0.607026219367981,256,0.1,"cone",3,0.600537633895874
"wine-quality-white",0.570261538028717,256,0.01,"cone",4,0.598924744129181
"wine-quality-white",0.552287578582764,1024,0.01,"cone",2,0.597849470376968
"wine-quality-white",0.608660161495209,1024,0.1,"cone",3,0.596236562728882
"wine-quality-white",0.586601376533508,512,1,"cone",4,0.595161277055741
"wine-quality-white",0.611111164093018,512,0.01,"cone",4,0.59301073551178
