"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"audiology-std",2,"<function dropout at 0x7ff95568ab70>",512,1,"rect",0,2,0.858064508438111,0.679999947547913
"audiology-std",2,"<function dropout at 0x7f6aad247a60>",256,0.1,"cone",0,2,0.838709652423859,0.679999947547913
"audiology-std",2,"<function dropout at 0x7ff95568ab70>",1024,0.1,"rect",0.5,2,0.832258033752441,0.719999969005585
"audiology-std",2,"<function dropout at 0x7ff95568ab70>",512,0.1,"rect",0.5,2,0.806451582908631,0.719999969005585
"audiology-std",2,"<function dropout at 0x7f6aad247a60>",1024,0.1,"cone",0.5,2,0.806451570987701,0.759999990463257
"audiology-std",2,"<function dropout at 0x7f6aad247a60>",512,0.1,"cone",0,2,0.806451559066772,0.759999990463257
"audiology-std",2,"<function dropout at 0x7ff95568ab70>",1024,0.01,"rect",0.5,2,0.803225755691528,0.759999990463257
"audiology-std",3,"<function dropout at 0x7f6aad247a60>",1024,0.1,"cone",0.5,2,0.796774160861969,0.679999947547913
"audiology-std",3,"<function dropout at 0x7ff95568ab70>",512,0.1,"rect",0.5,2,0.780645138025284,0.719999969005585
"audiology-std",2,"<function dropout at 0x7f6aad247a60>",256,0.1,"cone",0.5,2,0.777419328689575,0.719999969005585
"audiology-std",2,"<function dropout at 0x7ff95568ab70>",256,0.1,"rect",0.5,2,0.777419328689575,0.759999990463257
"audiology-std",2,"<function dropout at 0x7f6aad247a60>",1024,0.1,"cone",0,2,0.777419328689575,0.719999969005585
"audiology-std",8,"<function dropout at 0x7ff95568ab70>",256,0.01,"rect",0,2,0.774193525314331,0.679999947547913
"audiology-std",4,"<function dropout at 0x7ff95568ab70>",512,0.01,"rect",0,2,0.774193525314331,0.759999990463257
"audiology-std",4,"<function dropout at 0x7f6aad247a60>",1024,0.1,"cone",0,2,0.774193525314331,0.719999969005585
"audiology-std",2,"<function dropout at 0x7ff95568ab70>",512,0.01,"rect",0.5,2,0.774193525314331,0.759999990463257
"audiology-std",2,"<function dropout at 0x7ff95568ab70>",1024,0.1,"rect",0,2,0.774193525314331,0.719999969005585
"audiology-std",3,"<function dropout at 0x7ff95568ab70>",1024,0.1,"rect",0,2,0.767741918563843,0.639999985694885
"audiology-std",3,"<function dropout at 0x7ff95568ab70>",1024,0.01,"rect",0.5,2,0.748387092351913,0.799999952316284
"audiology-std",2,"<function dropout at 0x7ff95568ab70>",256,1,"rect",0,2,0.748387086391449,0.639999985694885
"audiology-std",4,"<function dropout at 0x7ff95568ab70>",1024,0.1,"rect",0.5,2,0.74516127705574,0.759999990463257
"audiology-std",8,"<function dropout at 0x7ff95568ab70>",512,0.01,"rect",0,2,0.74193549156189,0.599999964237213
"audiology-std",4,"<function dropout at 0x7f6aad247a60>",512,0.01,"cone",0,2,0.74193549156189,0.639999985694885
"audiology-std",4,"<function dropout at 0x7ff95568ab70>",512,0.1,"rect",0,2,0.74193549156189,0.679999947547913
"audiology-std",4,"<function dropout at 0x7ff95568ab70>",1024,0.1,"rect",0,2,0.74193549156189,0.759999990463257
"audiology-std",2,"<function dropout at 0x7f6aad247a60>",512,0.01,"cone",0,2,0.74193549156189,0.719999969005585
"audiology-std",2,"<function dropout at 0x7ff95568ab70>",1024,0.01,"rect",0,2,0.74193549156189,0.679999947547913
"audiology-std",4,"<function dropout at 0x7ff95568ab70>",1024,0.01,"rect",0.5,2,0.741935485601425,0.759999990463257
"audiology-std",2,"<function dropout at 0x7f6aad247a60>",1024,0.01,"cone",0.5,2,0.738709682226181,0.719999969005585
"audiology-std",8,"<function dropout at 0x7ff95568ab70>",512,0.1,"rect",0,2,0.735483872890472,0.639999985694885
"audiology-std",3,"<function dropout at 0x7ff95568ab70>",1024,0.1,"rect",0.5,2,0.735483860969543,0.679999947547913
"audiology-std",2,"<function dropout at 0x7f6aad247a60>",512,0.1,"cone",0.5,2,0.735483855009079,0.599999964237213
"audiology-std",8,"<function dropout at 0x7f6aad247a60>",256,0.1,"cone",0,2,0.73225804567337,0.559999942779541
"audiology-std",3,"<function dropout at 0x7f6aad247a60>",256,0.1,"cone",0.5,2,0.729032254219055,0.719999969005585
"audiology-std",4,"<function dropout at 0x7ff95568ab70>",1024,0.01,"rect",0,2,0.722580635547638,0.759999990463257
"audiology-std",4,"<function dropout at 0x7ff95568ab70>",512,0.01,"rect",0.5,2,0.719354826211929,0.759999990463257
"audiology-std",2,"<function dropout at 0x7ff95568ab70>",512,0.1,"rect",0,2,0.719354826211929,0.639999985694885
"audiology-std",4,"<function dropout at 0x7ff95568ab70>",512,0.1,"rect",0.5,2,0.719354814291,0.679999947547913
"audiology-std",3,"<function dropout at 0x7f6aad247a60>",1024,0.1,"cone",0,2,0.712903207540512,0.799999952316284
"audiology-std",8,"<function dropout at 0x7ff95568ab70>",1024,0.01,"rect",0,2,0.709677398204803,0.759999990463257
"audiology-std",4,"<function dropout at 0x7f6aad247a60>",256,0.01,"cone",0,2,0.709677398204803,0.759999990463257
"audiology-std",3,"<function dropout at 0x7f6aad247a60>",1024,0.01,"cone",0,2,0.709677398204803,0.639999985694885
"audiology-std",3,"<function dropout at 0x7ff95568ab70>",512,0.01,"rect",0,2,0.709677398204803,0.679999947547913
"audiology-std",3,"<function dropout at 0x7f6aad247a60>",512,0.1,"cone",0,2,0.709677398204803,0.719999969005585
"audiology-std",3,"<function dropout at 0x7ff95568ab70>",256,0.1,"rect",0,2,0.709677398204803,0.639999985694885
"audiology-std",2,"<function dropout at 0x7f6aad247a60>",1024,0.01,"cone",0,2,0.709677398204803,0.679999947547913
"audiology-std",2,"<function dropout at 0x7ff95568ab70>",512,0.01,"rect",0,2,0.709677398204803,0.679999947547913
"audiology-std",2,"<function dropout at 0x7ff95568ab70>",256,0.1,"rect",0,2,0.709677398204803,0.759999990463257
