"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"balloons",32,"<function dropout at 0x7fa4031abb70>",256,0.01,"rect",0,2,1,0.5
"balloons",32,"<function dropout at 0x7fa4031abb70>",1024,0.01,"rect",0,2,1,0.5
"balloons",16,"<function dropout at 0x7f1334496a60>",256,0.01,"cone",0,2,1,0.5
"balloons",16,"<function dropout at 0x7f1334496a60>",512,0.01,"cone",0,2,1,0.5
"balloons",16,"<function dropout at 0x7f1334496a60>",1024,0.01,"cone",0,2,1,0.25
"balloons",16,"<function dropout at 0x7fa4031abb70>",256,0.01,"rect",0,2,1,0.5
"balloons",16,"<function dropout at 0x7fa4031abb70>",512,0.01,"rect",0,2,1,0.75
"balloons",16,"<function dropout at 0x7fa4031abb70>",1024,0.01,"rect",0,2,1,0.75
"balloons",8,"<function dropout at 0x7f1334496a60>",1024,0.01,"cone",0,2,1,1
"balloons",8,"<function dropout at 0x7fa4031abb70>",512,0.01,"rect",0,2,1,0.5
"balloons",8,"<function dropout at 0x7fa4031abb70>",1024,0.01,"rect",0,2,1,0.75
"balloons",4,"<function dropout at 0x7f1334496a60>",256,0.01,"cone",0.5,2,1,0.5
"balloons",4,"<function dropout at 0x7f1334496a60>",512,0.01,"cone",0.5,2,1,0.25
"balloons",4,"<function dropout at 0x7fa4031abb70>",256,0.01,"rect",0.5,2,1,0.75
"balloons",4,"<function dropout at 0x7f1334496a60>",256,0.01,"cone",0,2,1,0.75
"balloons",4,"<function dropout at 0x7f1334496a60>",512,0.01,"cone",0,2,1,0.75
"balloons",4,"<function dropout at 0x7f1334496a60>",1024,0.01,"cone",0,2,1,0.75
"balloons",4,"<function dropout at 0x7fa4031abb70>",256,0.01,"rect",0,2,1,0.75
"balloons",4,"<function dropout at 0x7fa4031abb70>",512,0.01,"rect",0,2,1,0.75
"balloons",4,"<function dropout at 0x7fa4031abb70>",1024,0.01,"rect",0,2,1,0.75
"balloons",4,"<function dropout at 0x7f1334496a60>",256,0.1,"cone",0,2,1,0.75
"balloons",4,"<function dropout at 0x7f1334496a60>",1024,0.1,"cone",0,2,1,1
"balloons",4,"<function dropout at 0x7fa4031abb70>",256,0.1,"rect",0,2,1,1
"balloons",3,"<function dropout at 0x7f1334496a60>",256,0.01,"cone",0.5,2,1,0.75
"balloons",3,"<function dropout at 0x7f1334496a60>",512,0.01,"cone",0.5,2,1,1
"balloons",3,"<function dropout at 0x7fa4031abb70>",256,0.01,"rect",0.5,2,1,0.75
"balloons",3,"<function dropout at 0x7fa4031abb70>",512,0.01,"rect",0.5,2,1,0.75
"balloons",3,"<function dropout at 0x7fa4031abb70>",1024,0.01,"rect",0.5,2,1,0.75
"balloons",3,"<function dropout at 0x7f1334496a60>",256,0.01,"cone",0,2,1,0.75
"balloons",3,"<function dropout at 0x7f1334496a60>",512,0.01,"cone",0,2,1,1
"balloons",3,"<function dropout at 0x7f1334496a60>",1024,0.01,"cone",0,2,1,0.75
"balloons",3,"<function dropout at 0x7fa4031abb70>",256,0.01,"rect",0,2,1,0.75
"balloons",3,"<function dropout at 0x7fa4031abb70>",512,0.01,"rect",0,2,1,1
"balloons",3,"<function dropout at 0x7fa4031abb70>",1024,0.01,"rect",0,2,1,0.75
"balloons",3,"<function dropout at 0x7f1334496a60>",256,0.1,"cone",0,2,1,0.75
"balloons",3,"<function dropout at 0x7f1334496a60>",512,0.1,"cone",0,2,1,0.75
"balloons",3,"<function dropout at 0x7fa4031abb70>",256,0.1,"rect",0,2,1,0.75
"balloons",3,"<function dropout at 0x7fa4031abb70>",512,0.1,"rect",0,2,1,0.75
"balloons",2,"<function dropout at 0x7f1334496a60>",256,0.01,"cone",0.5,2,1,0.75
"balloons",2,"<function dropout at 0x7f1334496a60>",512,0.01,"cone",0.5,2,1,0.5
"balloons",2,"<function dropout at 0x7f1334496a60>",1024,0.01,"cone",0.5,2,1,0.75
"balloons",2,"<function dropout at 0x7fa4031abb70>",256,0.01,"rect",0.5,2,1,0.75
"balloons",2,"<function dropout at 0x7fa4031abb70>",512,0.01,"rect",0.5,2,1,0.75
"balloons",2,"<function dropout at 0x7fa4031abb70>",1024,0.01,"rect",0.5,2,1,0.75
"balloons",2,"<function dropout at 0x7f1334496a60>",512,0.01,"cone",0,2,1,0.75
"balloons",2,"<function dropout at 0x7f1334496a60>",1024,0.01,"cone",0,2,1,0.75
"balloons",2,"<function dropout at 0x7fa4031abb70>",256,0.01,"rect",0,2,1,0.75
"balloons",2,"<function dropout at 0x7fa4031abb70>",512,0.01,"rect",0,2,1,1
"balloons",2,"<function dropout at 0x7fa4031abb70>",1024,0.01,"rect",0,2,1,1
"balloons",2,"<function dropout at 0x7f1334496a60>",256,0.1,"cone",0.5,2,1,0.75
"balloons",2,"<function dropout at 0x7f1334496a60>",512,0.1,"cone",0.5,2,1,0.75
"balloons",2,"<function dropout at 0x7f1334496a60>",1024,0.1,"cone",0.5,2,1,0.75
"balloons",2,"<function dropout at 0x7f1334496a60>",256,0.1,"cone",0,2,1,1
"balloons",2,"<function dropout at 0x7f1334496a60>",512,0.1,"cone",0,2,1,1
"balloons",2,"<function dropout at 0x7f1334496a60>",1024,0.1,"cone",0,2,1,0.75
"balloons",2,"<function dropout at 0x7fa4031abb70>",256,0.1,"rect",0,2,1,0.75
"balloons",2,"<function dropout at 0x7fa4031abb70>",512,0.1,"rect",0,2,1,0.75
"balloons",2,"<function dropout at 0x7fa4031abb70>",1024,0.1,"rect",0,2,1,0.75
"balloons",32,"<function dropout at 0x7fa4031abb70>",512,0.01,"rect",0.5,2,0.9,0.25
"balloons",4,"<function dropout at 0x7fa4031abb70>",512,0.01,"rect",0.5,2,0.9,0.75
"balloons",3,"<function dropout at 0x7f1334496a60>",1024,0.01,"cone",0.5,2,0.9,0.75
"balloons",32,"<function dropout at 0x7f1334496a60>",256,1,"cone",0,2,0.8,0.25
"balloons",32,"<function dropout at 0x7f1334496a60>",1024,1,"cone",0,2,0.8,0.25
"balloons",16,"<function dropout at 0x7f1334496a60>",256,0.01,"cone",0.5,2,0.8,0.25
"balloons",2,"<function dropout at 0x7fa4031abb70>",256,0.1,"rect",0.5,2,0.8,0.75
"balloons",2,"<function dropout at 0x7f1334496a60>",1024,1,"cone",0,2,0.8,0.5
"balloons",16,"<function dropout at 0x7f1334496a60>",256,1,"cone",0.5,2,0.7,0.25
"balloons",16,"<function dropout at 0x7f1334496a60>",1024,1,"cone",0,2,0.7,0.75
"balloons",4,"<function dropout at 0x7f1334496a60>",1024,1,"cone",0,2,0.7,0.75
"balloons",32,"<function dropout at 0x7f1334496a60>",512,0.1,"cone",0,2,0.6,0.25
"balloons",32,"<function dropout at 0x7f1334496a60>",512,1,"cone",0.5,2,0.6,0.25
"balloons",32,"<function dropout at 0x7fa4031abb70>",1024,1,"rect",0.5,2,0.6,0.25
"balloons",16,"<function dropout at 0x7fa4031abb70>",1024,1,"rect",0.5,2,0.6,0.75
"balloons",16,"<function dropout at 0x7f1334496a60>",256,1,"cone",0,2,0.6,0.75
"balloons",8,"<function dropout at 0x7f1334496a60>",512,0.1,"cone",0,2,0.6,1
"balloons",8,"<function dropout at 0x7f1334496a60>",512,1,"cone",0.5,2,0.6,0.25
"balloons",8,"<function dropout at 0x7f1334496a60>",256,1,"cone",0,2,0.6,0.25
"balloons",8,"<function dropout at 0x7f1334496a60>",512,1,"cone",0,2,0.6,0.25
"balloons",4,"<function dropout at 0x7fa4031abb70>",1024,0.01,"rect",0.5,2,0.6,0.25
"balloons",4,"<function dropout at 0x7fa4031abb70>",256,1,"rect",0.5,2,0.6,0.25
"balloons",4,"<function dropout at 0x7f1334496a60>",256,1,"cone",0,2,0.6,0.75
"balloons",32,"<function dropout at 0x7f1334496a60>",1024,1,"cone",0.5,2,0.5,0.25
"balloons",32,"<function dropout at 0x7fa4031abb70>",512,1,"rect",0.5,2,0.5,0.25
"balloons",32,"<function dropout at 0x7f1334496a60>",512,1,"cone",0,2,0.5,0.75
"balloons",16,"<function dropout at 0x7f1334496a60>",256,0.1,"cone",0,2,0.5,0.75
"balloons",16,"<function dropout at 0x7f1334496a60>",512,1,"cone",0.5,2,0.5,0.25
"balloons",16,"<function dropout at 0x7fa4031abb70>",512,1,"rect",0.5,2,0.5,0.75
"balloons",8,"<function dropout at 0x7f1334496a60>",256,0.01,"cone",0.5,2,0.5,0.25
"balloons",8,"<function dropout at 0x7f1334496a60>",512,0.01,"cone",0,2,0.5,0.75
"balloons",8,"<function dropout at 0x7f1334496a60>",1024,1,"cone",0,2,0.5,0.25
"balloons",4,"<function dropout at 0x7f1334496a60>",512,1,"cone",0.5,2,0.5,0.75
"balloons",4,"<function dropout at 0x7f1334496a60>",1024,1,"cone",0.5,2,0.5,0.25
"balloons",3,"<function dropout at 0x7f1334496a60>",256,1,"cone",0.5,2,0.5,0.75
"balloons",2,"<function dropout at 0x7f1334496a60>",256,1,"cone",0,2,0.5,0.75
"balloons",32,"<function dropout at 0x7f1334496a60>",256,1,"cone",0.5,2,0.4,0.25
"balloons",16,"<function dropout at 0x7f1334496a60>",1024,0.01,"cone",0.5,2,0.4,0.75
"balloons",16,"<function dropout at 0x7f1334496a60>",512,1,"cone",0,2,0.4,0.75
"balloons",4,"<function dropout at 0x7f1334496a60>",512,1,"cone",0,2,0.4,0.75
"balloons",32,"<function dropout at 0x7fa4031abb70>",1024,0.1,"rect",0.5,2,0.3,0.25
"balloons",16,"<function dropout at 0x7f1334496a60>",512,0.1,"cone",0,2,0.3,0.75
"balloons",16,"<function dropout at 0x7f1334496a60>",1024,0.1,"cone",0,2,0.3,0.75
"balloons",16,"<function dropout at 0x7f1334496a60>",1024,1,"cone",0.5,2,0.3,0.25
"balloons",8,"<function dropout at 0x7f1334496a60>",1024,0.1,"cone",0.5,2,0.3,0.75
"balloons",4,"<function dropout at 0x7f1334496a60>",1024,0.01,"cone",0.5,2,0.3,0.75
"balloons",3,"<function dropout at 0x7f1334496a60>",512,0.1,"cone",0.5,2,0.3,0.75
"balloons",2,"<function dropout at 0x7fa4031abb70>",1024,0.1,"rect",0.5,2,0.3,0.25
"balloons",2,"<function dropout at 0x7fa4031abb70>",1024,1,"rect",0,2,0.3,0.25
"balloons",32,"<function dropout at 0x7fa4031abb70>",512,0.01,"rect",0,2,0.2,0.75
"balloons",16,"<function dropout at 0x7f1334496a60>",1024,0.1,"cone",0.5,2,0.2,0.75
"balloons",16,"<function dropout at 0x7fa4031abb70>",512,0.1,"rect",0.5,2,0.2,0.25
"balloons",16,"<function dropout at 0x7fa4031abb70>",1024,0.1,"rect",0.5,2,0.2,0.25
"balloons",16,"<function dropout at 0x7fa4031abb70>",256,1,"rect",0.5,2,0.2,0.75
"balloons",8,"<function dropout at 0x7f1334496a60>",512,0.01,"cone",0.5,2,0.2,1
"balloons",8,"<function dropout at 0x7fa4031abb70>",512,0.01,"rect",0.5,2,0.2,0.75
"balloons",8,"<function dropout at 0x7f1334496a60>",1024,0.1,"cone",0,2,0.2,0.25
"balloons",4,"<function dropout at 0x7fa4031abb70>",1024,0.1,"rect",0,2,0.2,0.25
"balloons",3,"<function dropout at 0x7f1334496a60>",1024,0.1,"cone",0.5,2,0.2,0.25
"balloons",3,"<function dropout at 0x7fa4031abb70>",1024,0.1,"rect",0.5,2,0.2,0.25
"balloons",3,"<function dropout at 0x7f1334496a60>",256,1,"cone",0,2,0.2,0.25
"balloons",2,"<function dropout at 0x7f1334496a60>",256,1,"cone",0.5,2,0.2,0.75
"balloons",2,"<function dropout at 0x7f1334496a60>",512,1,"cone",0,2,0.2,0.25
"balloons",2,"<function dropout at 0x7fa4031abb70>",256,1,"rect",0,2,0.2,0.25
"balloons",32,"<function dropout at 0x7f1334496a60>",512,0.01,"cone",0.5,2,0.1,0.75
"balloons",32,"<function dropout at 0x7f1334496a60>",512,0.1,"cone",0.5,2,0.1,0.25
"balloons",32,"<function dropout at 0x7f1334496a60>",256,0.1,"cone",0,2,0.1,0.25
"balloons",8,"<function dropout at 0x7f1334496a60>",1024,0.01,"cone",0.5,2,0.1,0.25
"balloons",8,"<function dropout at 0x7fa4031abb70>",1024,0.01,"rect",0.5,2,0.1,0.25
"balloons",8,"<function dropout at 0x7fa4031abb70>",512,0.1,"rect",0,2,0.1,0.25
"balloons",8,"<function dropout at 0x7fa4031abb70>",1024,0.1,"rect",0,2,0.1,0.25
"balloons",4,"<function dropout at 0x7f1334496a60>",256,0.1,"cone",0.5,2,0.1,0.25
"balloons",4,"<function dropout at 0x7f1334496a60>",1024,0.1,"cone",0.5,2,0.1,0.75
"balloons",4,"<function dropout at 0x7fa4031abb70>",512,0.1,"rect",0.5,2,0.1,0.25
"balloons",4,"<function dropout at 0x7f1334496a60>",256,1,"cone",0.5,2,0.1,0.25
"balloons",4,"<function dropout at 0x7fa4031abb70>",512,1,"rect",0,2,0.1,0.25
"balloons",4,"<function dropout at 0x7fa4031abb70>",1024,1,"rect",0,2,0.1,0.25
"balloons",3,"<function dropout at 0x7f1334496a60>",256,0.1,"cone",0.5,2,0.1,0.75
"balloons",3,"<function dropout at 0x7fa4031abb70>",256,0.1,"rect",0.5,2,0.1,0.5
"balloons",3,"<function dropout at 0x7fa4031abb70>",512,0.1,"rect",0.5,2,0.1,0.25
"balloons",3,"<function dropout at 0x7f1334496a60>",1024,0.1,"cone",0,2,0.1,0.25
"balloons",3,"<function dropout at 0x7fa4031abb70>",1024,0.1,"rect",0,2,0.1,0.5
"balloons",3,"<function dropout at 0x7fa4031abb70>",512,1,"rect",0.5,2,0.1,0.25
"balloons",2,"<function dropout at 0x7fa4031abb70>",512,0.1,"rect",0.5,2,0.1,0.75
"balloons",2,"<function dropout at 0x7f1334496a60>",512,1,"cone",0.5,2,0.1,0.75
"balloons",2,"<function dropout at 0x7f1334496a60>",1024,1,"cone",0.5,2,0.1,0.75
"balloons",2,"<function dropout at 0x7fa4031abb70>",256,1,"rect",0.5,2,0.1,0.75
"balloons",2,"<function dropout at 0x7fa4031abb70>",1024,1,"rect",0.5,2,0.1,0.25
