"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"bank",3,"<function dropout at 0x7fe2ec59fb70>",512,0.01,"rect",0,2,0.883054029941559,0.887610614299774
"bank",4,"<function dropout at 0x7fe2ec59fb70>",512,0.01,"rect",0,2,0.882495349645615,0.884955763816833
"bank",2,"<function dropout at 0x7f5226a0ba60>",256,0.1,"cone",0,2,0.881378018856049,0.886725664138794
"bank",2,"<function dropout at 0x7f5226a0ba60>",1024,0.01,"cone",0,2,0.88119181394577,0.890265464782715
"bank",8,"<function dropout at 0x7fe2ec59fb70>",512,0.01,"rect",0,2,0.881191790103912,0.885840654373169
"bank",3,"<function dropout at 0x7fe2ec59fb70>",1024,0.01,"rect",0,2,0.880446934700012,0.893805325031281
"bank",2,"<function dropout at 0x7f5226a0ba60>",512,0.01,"cone",0,2,0.87914337515831,0.89203542470932
"bank",16,"<function dropout at 0x7f5226a0ba60>",512,0.01,"cone",0,2,0.878584748506546,0.872566282749176
"bank",4,"<function dropout at 0x7fe2ec59fb70>",1024,0.01,"rect",0,2,0.878584730625153,0.889380514621735
"bank",4,"<function dropout at 0x7fe2ec59fb70>",1024,0.1,"rect",0,2,0.877281212806702,0.889380514621735
"bank",3,"<function dropout at 0x7fe2ec59fb70>",1024,0.1,"rect",0,2,0.877094995975494,0.897345066070557
"bank",3,"<function dropout at 0x7f5226a0ba60>",512,0.01,"cone",0,2,0.876908749341965,0.892035484313965
"bank",2,"<function dropout at 0x7fe2ec59fb70>",256,0.1,"rect",0.5,2,0.876722550392151,0.888495564460754
"bank",4,"<function dropout at 0x7f5226a0ba60>",256,0.01,"cone",0,2,0.876536303758621,0.894690334796906
"bank",3,"<function dropout at 0x7fe2ec59fb70>",256,0.1,"rect",0,2,0.876350104808808,0.884070873260498
"bank",3,"<function dropout at 0x7f5226a0ba60>",1024,0.01,"cone",0,2,0.876350092887878,0.8929203748703
"bank",3,"<function dropout at 0x7f5226a0ba60>",256,0.1,"cone",0,2,0.876163893938065,0.884070813655853
"bank",3,"<function dropout at 0x7fe2ec59fb70>",256,0.1,"rect",0.5,2,0.875977671146393,0.892035365104675
"bank",4,"<function dropout at 0x7fe2ec59fb70>",512,0.1,"rect",0,2,0.875977665185928,0.884070813655853
"bank",2,"<function dropout at 0x7fe2ec59fb70>",256,0.01,"rect",0.5,2,0.87579146027565,0.891150414943695
"bank",4,"<function dropout at 0x7fe2ec59fb70>",512,0.1,"rect",0.5,2,0.87504660487175,0.898230135440826
"bank",8,"<function dropout at 0x7fe2ec59fb70>",1024,0.01,"rect",0,2,0.874860376119614,0.884955763816833
"bank",8,"<function dropout at 0x7fe2ec59fb70>",512,0.1,"rect",0,2,0.874674135446548,0.890265464782715
"bank",8,"<function dropout at 0x7fe2ec59fb70>",256,0.01,"rect",0,2,0.874487900733948,0.892035365104675
"bank",2,"<function dropout at 0x7f5226a0ba60>",1024,0.1,"cone",0,2,0.873929238319397,0.886725664138794
"bank",2,"<function dropout at 0x7fe2ec59fb70>",256,0.01,"rect",0,2,0.873370587825775,0.898230075836182
"bank",2,"<function dropout at 0x7f5226a0ba60>",256,1,"cone",0,2,0.873184370994568,0.885840713977814
"bank",2,"<function dropout at 0x7fe2ec59fb70>",1024,0.01,"rect",0,2,0.872811925411224,0.899999916553497
"bank",16,"<function dropout at 0x7fe2ec59fb70>",1024,0.01,"rect",0,2,0.872811907529831,0.885840713977814
"bank",4,"<function dropout at 0x7f5226a0ba60>",512,0.1,"cone",0,2,0.872625708580017,0.89026552438736
"bank",3,"<function dropout at 0x7fe2ec59fb70>",256,0.01,"rect",0,2,0.872625702619553,0.884070813655853
"bank",3,"<function dropout at 0x7fe2ec59fb70>",1024,0.01,"rect",0.5,2,0.872625696659088,0.898230135440826
"bank",3,"<function dropout at 0x7fe2ec59fb70>",512,0.1,"rect",0,2,0.872625696659088,0.887610614299774
"bank",8,"<function dropout at 0x7f5226a0ba60>",512,0.1,"cone",0,2,0.872439467906952,0.885840713977814
"bank",3,"<function dropout at 0x7fe2ec59fb70>",1024,0.1,"rect",0.5,2,0.872253280878067,0.888495564460754
"bank",3,"<function dropout at 0x7fe2ec59fb70>",512,0.1,"rect",0.5,2,0.872253280878067,0.891150414943695
"bank",2,"<function dropout at 0x7fe2ec59fb70>",1024,1,"rect",0,2,0.871880841255188,0.883185803890228
"bank",16,"<function dropout at 0x7fe2ec59fb70>",512,0.01,"rect",0,2,0.871880811452866,0.886725604534149
"bank",2,"<function dropout at 0x7fe2ec59fb70>",256,1,"rect",0,2,0.871694606542587,0.878761112689972
"bank",8,"<function dropout at 0x7fe2ec59fb70>",256,0.1,"rect",0,2,0.871694600582123,0.889380514621735
"bank",4,"<function dropout at 0x7fe2ec59fb70>",256,0.01,"rect",0,2,0.871508419513702,0.889380574226379
"bank",4,"<function dropout at 0x7f5226a0ba60>",512,0.01,"cone",0,2,0.871322172880173,0.887610554695129
"bank",2,"<function dropout at 0x7f5226a0ba60>",512,0.1,"cone",0,2,0.871322160959244,0.888495624065399
"bank",2,"<function dropout at 0x7fe2ec59fb70>",512,0.1,"rect",0,2,0.871322154998779,0.874336302280426
"bank",3,"<function dropout at 0x7f5226a0ba60>",256,0.01,"cone",0,2,0.87113596200943,0.896460175514221
"bank",3,"<function dropout at 0x7f5226a0ba60>",1024,0.1,"cone",0,2,0.871135902404785,0.888495564460754
"bank",16,"<function dropout at 0x7fe2ec59fb70>",256,0.01,"rect",0,2,0.870949739217758,0.883185863494873
"bank",2,"<function dropout at 0x7fe2ec59fb70>",256,0.1,"rect",0,2,0.870949739217758,0.886725604534149
"bank",2,"<function dropout at 0x7fe2ec59fb70>",512,1,"rect",0,2,0.870949733257294,0.883185803890228
"bank",2,"<function dropout at 0x7fe2ec59fb70>",512,0.01,"rect",0.5,2,0.870949709415436,0.894690275192261
"bank",8,"<function dropout at 0x7f5226a0ba60>",1024,0.01,"cone",0,2,0.870763504505158,0.892035365104675
"bank",4,"<function dropout at 0x7fe2ec59fb70>",256,0.1,"rect",0,2,0.870391082763672,0.873451352119446
"bank",8,"<function dropout at 0x7fe2ec59fb70>",1024,0.1,"rect",0,2,0.870391082763672,0.885840654373169
"bank",16,"<function dropout at 0x7f5226a0ba60>",512,0.1,"cone",0,2,0.870391070842743,0.880531013011932
"bank",2,"<function dropout at 0x7fe2ec59fb70>",256,1,"rect",0.5,2,0.870204859972,0.880530953407288
"bank",32,"<function dropout at 0x7fe2ec59fb70>",512,0.01,"rect",0,2,0.870204842090607,0.891150534152985
"bank",8,"<function dropout at 0x7f5226a0ba60>",256,0.1,"cone",0,2,0.870018649101257,0.883185803890228
"bank",3,"<function dropout at 0x7f5226a0ba60>",512,0.1,"cone",0,2,0.870018625259399,0.88938045501709
"bank",8,"<function dropout at 0x7f5226a0ba60>",512,0.01,"cone",0,2,0.869832426309586,0.880531013011932
"bank",2,"<function dropout at 0x7f5226a0ba60>",256,0.1,"cone",0.5,2,0.869646233320236,0.889380574226379
"bank",4,"<function dropout at 0x7f5226a0ba60>",1024,0.01,"cone",0,2,0.869646203517914,0.892035365104675
"bank",3,"<function dropout at 0x7fe2ec59fb70>",256,0.01,"rect",0.5,2,0.869646185636521,0.890265464782715
"bank",4,"<function dropout at 0x7fe2ec59fb70>",1024,0.1,"rect",0.5,2,0.869459974765778,0.895575225353241
"bank",2,"<function dropout at 0x7fe2ec59fb70>",512,0.01,"rect",0,2,0.869459968805313,0.896460175514221
"bank",16,"<function dropout at 0x7fe2ec59fb70>",512,0.1,"rect",0,2,0.869273751974106,0.888495564460754
"bank",4,"<function dropout at 0x7f5226a0ba60>",1024,0.1,"cone",0,2,0.869087535142899,0.884955823421478
"bank",2,"<function dropout at 0x7fe2ec59fb70>",1024,1,"rect",0.5,2,0.869087517261505,0.882300913333893
"bank",32,"<function dropout at 0x7fe2ec59fb70>",1024,0.01,"rect",0,2,0.868901324272156,0.891150414943695
"bank",2,"<function dropout at 0x7f5226a0ba60>",1024,0.1,"cone",0.5,2,0.868715119361878,0.886725664138794
"bank",2,"<function dropout at 0x7f5226a0ba60>",1024,1,"cone",0,2,0.868715119361878,0.883185803890228
"bank",2,"<function dropout at 0x7fe2ec59fb70>",512,0.1,"rect",0.5,2,0.86871509552002,0.891150414943695
"bank",2,"<function dropout at 0x7fe2ec59fb70>",1024,0.1,"rect",0.5,2,0.868528884649277,0.881415963172913
