"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"blood",4,"<function dropout at 0x7fc0c88b8a60>",512,0.01,"cone",0,2,0.88043475151062,0.775400996208191
"blood",4,"<function dropout at 0x7f1715256b70>",1024,0.1,"rect",0,2,0.876086926460266,0.770053386688232
"blood",4,"<function dropout at 0x7f1715256b70>",1024,0.01,"rect",0.5,2,0.876086926460266,0.748663127422333
"blood",4,"<function dropout at 0x7f1715256b70>",512,0.01,"rect",0.5,2,0.874999970197678,0.770053446292877
"blood",2,"<function dropout at 0x7f1715256b70>",1024,0.01,"rect",0.5,2,0.874999970197678,0.780748605728149
"blood",2,"<function dropout at 0x7f1715256b70>",1024,1,"rect",0.5,2,0.874999970197678,0.780748605728149
"blood",8,"<function dropout at 0x7fc0c88b8a60>",256,0.1,"cone",0,2,0.873913013935089,0.786096215248108
"blood",2,"<function dropout at 0x7f1715256b70>",512,0.01,"rect",0.5,2,0.873913013935089,0.764705896377563
"blood",2,"<function dropout at 0x7f1715256b70>",256,0.01,"rect",0.5,2,0.873913013935089,0.775401055812836
"blood",2,"<function dropout at 0x7f1715256b70>",256,0.01,"rect",0,2,0.873913013935089,0.780748605728149
"blood",8,"<function dropout at 0x7f1715256b70>",256,0.1,"rect",0,2,0.873913013935089,0.786096215248108
"blood",16,"<function dropout at 0x7f1715256b70>",256,0.1,"rect",0,2,0.872826057672501,0.759358286857605
"blood",3,"<function dropout at 0x7f1715256b70>",512,0.01,"rect",0.5,2,0.870652145147324,0.775400996208191
"blood",2,"<function dropout at 0x7fc0c88b8a60>",1024,0.01,"cone",0,2,0.870652145147324,0.802139043807983
"blood",2,"<function dropout at 0x7fc0c88b8a60>",512,0.01,"cone",0,2,0.870652145147324,0.786096215248108
"blood",8,"<function dropout at 0x7f1715256b70>",512,0.1,"rect",0,2,0.868478232622147,0.770053386688232
"blood",4,"<function dropout at 0x7f1715256b70>",256,0.1,"rect",0,2,0.868478232622147,0.786096215248108
"blood",4,"<function dropout at 0x7f1715256b70>",512,0.1,"rect",0,2,0.868478232622147,0.775401055812836
"blood",8,"<function dropout at 0x7fc0c88b8a60>",512,0.1,"cone",0,2,0.868478232622147,0.791443824768066
"blood",2,"<function dropout at 0x7f1715256b70>",512,0.1,"rect",0,2,0.867391276359558,0.786096215248108
"blood",32,"<function dropout at 0x7f1715256b70>",256,0.01,"rect",0,2,0.867391276359558,0.786096215248108
"blood",32,"<function dropout at 0x7f1715256b70>",512,0.01,"rect",0,2,0.867391276359558,0.780748605728149
"blood",3,"<function dropout at 0x7f1715256b70>",256,0.01,"rect",0.5,2,0.867391276359558,0.75935822725296
"blood",16,"<function dropout at 0x7f1715256b70>",256,0.01,"rect",0,2,0.865217363834381,0.775401055812836
"blood",16,"<function dropout at 0x7f1715256b70>",512,0.01,"rect",0,2,0.865217363834381,0.748663067817688
"blood",16,"<function dropout at 0x7f1715256b70>",1024,0.01,"rect",0,2,0.865217363834381,0.764705836772919
"blood",4,"<function dropout at 0x7f1715256b70>",256,0.01,"rect",0,2,0.865217363834381,0.775401055812836
"blood",4,"<function dropout at 0x7fc0c88b8a60>",256,0.1,"cone",0,2,0.865217363834381,0.786096215248108
"blood",3,"<function dropout at 0x7f1715256b70>",1024,0.1,"rect",0,2,0.865217363834381,0.780748665332794
"blood",3,"<function dropout at 0x7f1715256b70>",512,0.1,"rect",0,2,0.864130407571793,0.791443824768066
"blood",2,"<function dropout at 0x7fc0c88b8a60>",1024,0.01,"cone",0.5,2,0.864130407571793,0.764705836772919
"blood",2,"<function dropout at 0x7f1715256b70>",1024,0.1,"rect",0,2,0.864130407571793,0.791443824768066
"blood",3,"<function dropout at 0x7fc0c88b8a60>",256,0.1,"cone",0,2,0.863043451309204,0.796791434288025
"blood",2,"<function dropout at 0x7f1715256b70>",256,0.1,"rect",0,2,0.863043451309204,0.796791434288025
"blood",32,"<function dropout at 0x7f1715256b70>",1024,0.01,"rect",0,2,0.863043451309204,0.764705836772919
"blood",8,"<function dropout at 0x7f1715256b70>",256,0.01,"rect",0,2,0.861956495046616,0.770053446292877
"blood",2,"<function dropout at 0x7f1715256b70>",512,0.1,"rect",0.5,2,0.861956495046616,0.791443824768066
"blood",16,"<function dropout at 0x7fc0c88b8a60>",512,0.1,"cone",0,2,0.861956495046616,0.780748605728149
"blood",8,"<function dropout at 0x7f1715256b70>",512,0.01,"rect",0,2,0.861956495046616,0.775401055812836
"blood",8,"<function dropout at 0x7fc0c88b8a60>",1024,0.1,"cone",0,2,0.860869538784027,0.764705836772919
"blood",2,"<function dropout at 0x7fc0c88b8a60>",512,0.1,"cone",0,2,0.860869538784027,0.791443884372711
"blood",3,"<function dropout at 0x7f1715256b70>",1024,0.01,"rect",0.5,2,0.859782582521439,0.727272689342499
"blood",2,"<function dropout at 0x7f1715256b70>",512,0.01,"rect",0,2,0.859782582521439,0.786096215248108
"blood",3,"<function dropout at 0x7fc0c88b8a60>",1024,0.01,"cone",0,2,0.859782582521438,0.780748605728149
"blood",2,"<function dropout at 0x7fc0c88b8a60>",1024,0.1,"cone",0,2,0.85869562625885,0.802138984203339
"blood",8,"<function dropout at 0x7fc0c88b8a60>",1024,0.01,"cone",0,2,0.85869562625885,0.764705836772919
"blood",4,"<function dropout at 0x7fc0c88b8a60>",256,0.01,"cone",0,2,0.85869562625885,0.770053446292877
"blood",4,"<function dropout at 0x7f1715256b70>",512,0.01,"rect",0,2,0.85869562625885,0.786096274852753
"blood",3,"<function dropout at 0x7f1715256b70>",512,0.1,"rect",0.5,2,0.85869562625885,0.802138984203339
"blood",2,"<function dropout at 0x7fc0c88b8a60>",256,0.1,"cone",0,2,0.85869562625885,0.786096215248108
"blood",3,"<function dropout at 0x7f1715256b70>",256,0.1,"rect",0.5,2,0.85869562625885,0.775401055812836
"blood",8,"<function dropout at 0x7f1715256b70>",1024,0.01,"rect",0,2,0.857608669996262,0.770053446292877
"blood",4,"<function dropout at 0x7fc0c88b8a60>",1024,0.1,"cone",0,2,0.857608669996262,0.786096215248108
"blood",3,"<function dropout at 0x7fc0c88b8a60>",512,0.1,"cone",0,2,0.857608669996262,0.780748605728149
"blood",2,"<function dropout at 0x7f1715256b70>",1024,0.01,"rect",0,2,0.857608669996262,0.770053446292877
"blood",2,"<function dropout at 0x7f1715256b70>",256,0.1,"rect",0.5,2,0.857608669996262,0.764705896377563
"blood",3,"<function dropout at 0x7f1715256b70>",256,0.1,"rect",0,2,0.857608669996262,0.791443824768066
"blood",2,"<function dropout at 0x7fc0c88b8a60>",512,0.01,"cone",0.5,2,0.857608669996262,0.780748665332794
"blood",3,"<function dropout at 0x7fc0c88b8a60>",256,0.01,"cone",0,2,0.856521713733673,0.770053446292877
"blood",3,"<function dropout at 0x7f1715256b70>",512,0.01,"rect",0,2,0.855434757471085,0.770053446292877
"blood",4,"<function dropout at 0x7fc0c88b8a60>",512,0.1,"cone",0,2,0.854347801208496,0.79679137468338
"blood",2,"<function dropout at 0x7f1715256b70>",256,1,"rect",0,2,0.853260844945907,0.780748605728149
"blood",2,"<function dropout at 0x7f1715256b70>",1024,0.1,"rect",0.5,2,0.852173888683319,0.791443824768066
