"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"breast-cancer-wisc-diag",16,"<function dropout at 0x7ff9648a5b70>",512,0.01,"rect",0,2,0.987500011920929,0.971831023693085
"breast-cancer-wisc-diag",16,"<function dropout at 0x7ff9648a5b70>",1024,0.01,"rect",0,2,0.987500011920929,0.964788794517517
"breast-cancer-wisc-diag",8,"<function dropout at 0x7ff9648a5b70>",256,0.01,"rect",0,2,0.987500011920929,0.985915541648865
"breast-cancer-wisc-diag",8,"<function dropout at 0x7ff9648a5b70>",512,0.01,"rect",0,2,0.987500011920929,0.964788734912872
"breast-cancer-wisc-diag",8,"<function dropout at 0x7ff9648a5b70>",1024,0.01,"rect",0,2,0.987500011920929,0.971831023693085
"breast-cancer-wisc-diag",8,"<function dropout at 0x7ff9648a5b70>",256,0.1,"rect",0,2,0.987500011920929,0.978873193264008
"breast-cancer-wisc-diag",4,"<function dropout at 0x7ff9648a5b70>",512,0.01,"rect",0,2,0.987500011920929,0.978873252868652
"breast-cancer-wisc-diag",4,"<function dropout at 0x7ff9648a5b70>",1024,0.01,"rect",0,2,0.987500011920929,0.978873133659363
"breast-cancer-wisc-diag",4,"<function dropout at 0x7ff9648a5b70>",512,0.1,"rect",0.5,2,0.987500011920929,0.978873193264008
"breast-cancer-wisc-diag",4,"<function dropout at 0x7ff9648a5b70>",256,0.1,"rect",0,2,0.987500011920929,0.978873252868652
"breast-cancer-wisc-diag",4,"<function dropout at 0x7ff9648a5b70>",512,0.1,"rect",0,2,0.987500011920929,0.97183096408844
"breast-cancer-wisc-diag",4,"<function dropout at 0x7ff9648a5b70>",1024,0.1,"rect",0,2,0.987500011920929,0.978873193264008
"breast-cancer-wisc-diag",3,"<function dropout at 0x7ff9648a5b70>",512,0.01,"rect",0.5,2,0.987500011920929,0.964788675308228
"breast-cancer-wisc-diag",3,"<function dropout at 0x7ff9648a5b70>",1024,0.01,"rect",0.5,2,0.987500011920929,0.978873193264008
"breast-cancer-wisc-diag",3,"<function dropout at 0x7ff9648a5b70>",256,0.01,"rect",0,2,0.987500011920929,0.97183096408844
"breast-cancer-wisc-diag",3,"<function dropout at 0x7ff9648a5b70>",512,0.01,"rect",0,2,0.987500011920929,0.97183096408844
"breast-cancer-wisc-diag",3,"<function dropout at 0x7ff9648a5b70>",1024,0.01,"rect",0,2,0.987500011920929,0.978873252868652
"breast-cancer-wisc-diag",3,"<function dropout at 0x7ff9648a5b70>",256,0.1,"rect",0.5,2,0.987500011920929,0.97183096408844
"breast-cancer-wisc-diag",3,"<function dropout at 0x7ff9648a5b70>",512,0.1,"rect",0.5,2,0.987500011920929,0.978873252868652
"breast-cancer-wisc-diag",3,"<function dropout at 0x7ff9648a5b70>",1024,0.1,"rect",0,2,0.987500011920929,0.97183096408844
"breast-cancer-wisc-diag",2,"<function dropout at 0x7ff9648a5b70>",512,0.01,"rect",0.5,2,0.987500011920929,0.964788675308228
"breast-cancer-wisc-diag",2,"<function dropout at 0x7ff9648a5b70>",1024,0.01,"rect",0.5,2,0.987500011920929,0.978873252868652
"breast-cancer-wisc-diag",2,"<function dropout at 0x7ff9648a5b70>",256,0.01,"rect",0,2,0.987500011920929,0.964788794517517
"breast-cancer-wisc-diag",2,"<function dropout at 0x7ff9648a5b70>",256,0.1,"rect",0,2,0.987500011920929,0.978873193264008
