"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"breast-cancer",16,"<function dropout at 0x7f99abfdfa60>",256,0.01,"cone",0,2,0.900000011920929,0.690140843391418
"breast-cancer",8,"<function dropout at 0x7f99abfdfa60>",1024,0.01,"cone",0,2,0.875,0.746478855609894
"breast-cancer",3,"<function dropout at 0x7f99abfdfa60>",256,0.01,"cone",0,2,0.875,0.704225301742554
"breast-cancer",3,"<function dropout at 0x7f99abfdfa60>",1024,0.01,"cone",0.5,2,0.870833349227905,0.746478796005249
"breast-cancer",4,"<function dropout at 0x7fa458980b70>",256,0.1,"rect",0.5,2,0.870833337306976,0.760563373565674
"breast-cancer",4,"<function dropout at 0x7fa458980b70>",512,0.1,"rect",0.5,2,0.854166680574417,0.746478796005249
"breast-cancer",16,"<function dropout at 0x7fa458980b70>",256,0.1,"rect",0,2,0.850000023841858,0.704225301742554
"breast-cancer",2,"<function dropout at 0x7f99abfdfa60>",512,0.1,"cone",0.5,2,0.850000023841858,0.704225301742554
"breast-cancer",4,"<function dropout at 0x7f99abfdfa60>",256,0.01,"cone",0,2,0.845833361148834,0.704225361347198
"breast-cancer",3,"<function dropout at 0x7f99abfdfa60>",256,0.01,"cone",0.5,2,0.845833361148834,0.647887289524078
"breast-cancer",3,"<function dropout at 0x7f99abfdfa60>",512,0.1,"cone",0.5,2,0.845833361148834,0.718309819698334
"breast-cancer",3,"<function dropout at 0x7f99abfdfa60>",1024,0.1,"cone",0.5,2,0.841666698455811,0.718309819698334
"breast-cancer",2,"<function dropout at 0x7fa458980b70>",256,1,"rect",0.5,2,0.841666692495346,0.704225361347198
"breast-cancer",8,"<function dropout at 0x7f99abfdfa60>",512,0.01,"cone",0.5,2,0.837500035762787,0.704225301742554
"breast-cancer",8,"<function dropout at 0x7fa458980b70>",512,0.01,"rect",0.5,2,0.837500035762787,0.704225301742554
"breast-cancer",4,"<function dropout at 0x7f99abfdfa60>",256,0.1,"cone",0.5,2,0.837500035762787,0.704225301742554
"breast-cancer",3,"<function dropout at 0x7f99abfdfa60>",256,0.1,"cone",0.5,2,0.837500035762787,0.704225301742554
