"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"breast-tissue",16,"<function dropout at 0x7f2ec3aeea60>",256,0.01,"cone",0,2,0.678571462631226,0.46153849363327
"breast-tissue",8,"<function dropout at 0x7f2ec3aeea60>",1024,0.01,"cone",0,2,0.664285749197006,0.576923131942749
"breast-tissue",8,"<function dropout at 0x7f2ec3aeea60>",1024,0.1,"cone",0,2,0.592857164144516,0.576923131942749
"breast-tissue",16,"<function dropout at 0x7fde3cbb0b70>",1024,0.01,"rect",0,2,0.58125,0.653846144676208
"breast-tissue",4,"<function dropout at 0x7f2ec3aeea60>",256,0.1,"cone",0,2,0.564285737276077,0.5
"breast-tissue",3,"<function dropout at 0x7f2ec3aeea60>",512,0.1,"cone",0,2,0.550000023841858,0.576923131942749
"breast-tissue",3,"<function dropout at 0x7fde3cbb0b70>",1024,0.1,"rect",0,2,0.54375,0.653846144676208
"breast-tissue",2,"<function dropout at 0x7f2ec3aeea60>",256,0.1,"cone",0,2,0.542857158184052,0.538461565971375
"breast-tissue",4,"<function dropout at 0x7fde3cbb0b70>",512,0.01,"rect",0,2,0.5375,0.692307710647583
"breast-tissue",2,"<function dropout at 0x7f2ec3aeea60>",256,0.01,"cone",0.5,2,0.528571438789368,0.5
"breast-tissue",4,"<function dropout at 0x7fde3cbb0b70>",512,0.1,"rect",0,2,0.525,0.730769276618958
"breast-tissue",8,"<function dropout at 0x7f2ec3aeea60>",512,0.01,"cone",0,2,0.521428591012955,0.615384697914124
"breast-tissue",8,"<function dropout at 0x7fde3cbb0b70>",512,0.01,"rect",0,2,0.51875,0.615384638309479
"breast-tissue",3,"<function dropout at 0x7fde3cbb0b70>",512,0.1,"rect",0,2,0.51875,0.653846144676208
"breast-tissue",2,"<function dropout at 0x7fde3cbb0b70>",1024,0.1,"rect",0,2,0.51875,0.692307710647583
"breast-tissue",3,"<function dropout at 0x7fde3cbb0b70>",256,0.1,"rect",0,2,0.5125,0.576923131942749
"breast-tissue",2,"<function dropout at 0x7f2ec3aeea60>",1024,0.01,"cone",0,2,0.507142871618271,0.615384697914124
"breast-tissue",2,"<function dropout at 0x7fde3cbb0b70>",512,0.1,"rect",0.5,2,0.50625,0.692307710647583
"breast-tissue",4,"<function dropout at 0x7fde3cbb0b70>",1024,0.1,"rect",0,2,0.5,0.730769276618958
"breast-tissue",3,"<function dropout at 0x7fde3cbb0b70>",1024,0.01,"rect",0,2,0.5,0.692307710647583
"breast-tissue",2,"<function dropout at 0x7fde3cbb0b70>",1024,0.01,"rect",0,2,0.49375,0.692307710647583
"breast-tissue",8,"<function dropout at 0x7f2ec3aeea60>",256,0.01,"cone",0,2,0.492857158184052,0.5
"breast-tissue",4,"<function dropout at 0x7fde3cbb0b70>",1024,0.01,"rect",0,2,0.4875,0.730769276618958
"breast-tissue",4,"<function dropout at 0x7fde3cbb0b70>",256,0.1,"rect",0,2,0.4875,0.692307710647583
"breast-tissue",2,"<function dropout at 0x7fde3cbb0b70>",256,0.1,"rect",0,2,0.4875,0.730769276618958
"breast-tissue",3,"<function dropout at 0x7fde3cbb0b70>",256,0.01,"rect",0,2,0.4875,0.730769276618958
"breast-tissue",2,"<function dropout at 0x7fde3cbb0b70>",512,0.1,"rect",0,2,0.4875,0.653846144676208
"breast-tissue",4,"<function dropout at 0x7f2ec3aeea60>",1024,0.01,"cone",0.5,2,0.485714304447174,0.5
"breast-tissue",4,"<function dropout at 0x7f2ec3aeea60>",512,0.1,"cone",0,2,0.48571429848671,0.653846204280853
"breast-tissue",2,"<function dropout at 0x7f2ec3aeea60>",512,0.01,"cone",0,2,0.485714292526245,0.576923131942749
"breast-tissue",8,"<function dropout at 0x7fde3cbb0b70>",256,0.01,"rect",0,2,0.48125,0.653846144676208
"breast-tissue",8,"<function dropout at 0x7fde3cbb0b70>",1024,0.01,"rect",0,2,0.48125,0.653846204280853
"breast-tissue",8,"<function dropout at 0x7f2ec3aeea60>",512,0.1,"cone",0,2,0.478571456670761,0.5
"breast-tissue",2,"<function dropout at 0x7f2ec3aeea60>",1024,0.1,"cone",0.5,2,0.478571450710297,0.384615421295166
"breast-tissue",16,"<function dropout at 0x7fde3cbb0b70>",256,0.01,"rect",0,2,0.475,0.692307710647583
"breast-tissue",3,"<function dropout at 0x7f2ec3aeea60>",1024,0.01,"cone",0.5,2,0.471428591012955,0.576923131942749
"breast-tissue",4,"<function dropout at 0x7f2ec3aeea60>",512,0.01,"cone",0.5,2,0.47142858505249,0.500000059604645
"breast-tissue",4,"<function dropout at 0x7f2ec3aeea60>",1024,0.1,"cone",0,2,0.47142858505249,0.576923131942749
"breast-tissue",2,"<function dropout at 0x7f2ec3aeea60>",512,0.1,"cone",0,2,0.471428579092026,0.615384638309479
"breast-tissue",3,"<function dropout at 0x7fde3cbb0b70>",512,0.1,"rect",0.5,2,0.46875,0.653846144676208
"breast-tissue",3,"<function dropout at 0x7f2ec3aeea60>",512,0.1,"cone",0.5,2,0.464285734295845,0.538461565971375
"breast-tissue",3,"<function dropout at 0x7f2ec3aeea60>",1024,0.01,"cone",0,2,0.464285731315613,0.615384697914124
"breast-tissue",3,"<function dropout at 0x7f2ec3aeea60>",512,0.01,"cone",0.5,2,0.464285725355148,0.692307710647583
"breast-tissue",3,"<function dropout at 0x7f2ec3aeea60>",1024,0.1,"cone",0,2,0.4571428835392,0.576923131942749
"breast-tissue",4,"<function dropout at 0x7f2ec3aeea60>",256,0.01,"cone",0,2,0.457142877578735,0.576923131942749
