"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"congressional-voting",4,"<function dropout at 0x7f57298e3a60>",256,0.01,"cone",0.5,2,0.638095235824585,0.605504512786865
"congressional-voting",3,"<function dropout at 0x7f57298e3a60>",256,0.01,"cone",0,2,0.635714286565781,0.614678859710693
"congressional-voting",3,"<function dropout at 0x7f57298e3a60>",256,0.01,"cone",0.5,2,0.628571438789368,0.605504512786865
"congressional-voting",16,"<function dropout at 0x7f78e2804b70>",512,0.01,"rect",0,2,0.626190495491028,0.596330225467682
"congressional-voting",2,"<function dropout at 0x7f78e2804b70>",1024,1,"rect",0,2,0.626190489530563,0.57798159122467
"congressional-voting",4,"<function dropout at 0x7f57298e3a60>",512,0.01,"cone",0,2,0.626190483570099,0.60550457239151
"congressional-voting",3,"<function dropout at 0x7f57298e3a60>",512,0.01,"cone",0,2,0.623809540271759,0.596330225467682
"congressional-voting",16,"<function dropout at 0x7f78e2804b70>",1024,0.01,"rect",0,2,0.621428591012955,0.587155938148499
"congressional-voting",32,"<function dropout at 0x7f78e2804b70>",512,0.01,"rect",0,2,0.62142858505249,0.559632956981659
"congressional-voting",16,"<function dropout at 0x7f78e2804b70>",256,0.01,"rect",0,2,0.61904764175415,0.605504512786865
"congressional-voting",8,"<function dropout at 0x7f78e2804b70>",256,0.01,"rect",0,2,0.61904764175415,0.587155938148499
"congressional-voting",8,"<function dropout at 0x7f78e2804b70>",1024,0.01,"rect",0,2,0.61904764175415,0.596330225467682
"congressional-voting",8,"<function dropout at 0x7f57298e3a60>",512,0.1,"cone",0,2,0.61904764175415,0.587155878543854
"congressional-voting",4,"<function dropout at 0x7f57298e3a60>",256,0.01,"cone",0,2,0.61904764175415,0.57798159122467
"congressional-voting",4,"<function dropout at 0x7f78e2804b70>",512,0.1,"rect",0,2,0.61904764175415,0.587155878543854
"congressional-voting",3,"<function dropout at 0x7f57298e3a60>",1024,0.01,"cone",0,2,0.61904764175415,0.60550457239151
"congressional-voting",3,"<function dropout at 0x7f78e2804b70>",256,0.1,"rect",0.5,2,0.61904764175415,0.559633016586304
"congressional-voting",3,"<function dropout at 0x7f57298e3a60>",256,0.1,"cone",0,2,0.61904764175415,0.587155938148499
"congressional-voting",2,"<function dropout at 0x7f57298e3a60>",1024,0.01,"cone",0.5,2,0.61904764175415,0.596330225467682
"congressional-voting",2,"<function dropout at 0x7f78e2804b70>",256,0.01,"rect",0,2,0.61904764175415,0.587155878543854
"congressional-voting",2,"<function dropout at 0x7f57298e3a60>",256,0.1,"cone",0,2,0.61904764175415,0.57798159122467
"congressional-voting",2,"<function dropout at 0x7f57298e3a60>",512,0.1,"cone",0,2,0.61904764175415,0.587155878543854
