"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"contrac",4,"<function dropout at 0x7f0ac3388a60>",1024,0.01,"cone",0,2,0.633540380001068,0.51358699798584
"contrac",3,"<function dropout at 0x7f0ac3388a60>",256,0.01,"cone",0,2,0.631677049398422,0.51358699798584
"contrac",2,"<function dropout at 0x7f0ac3388a60>",256,0.01,"cone",0,2,0.613664591312408,0.51902174949646
"contrac",2,"<function dropout at 0x7f0ac3388a60>",1024,0.1,"cone",0.5,2,0.609316784143448,0.529891312122345
"contrac",3,"<function dropout at 0x7f0ac3388a60>",1024,0.1,"cone",0,2,0.608695650100708,0.486413061618805
"contrac",3,"<function dropout at 0x7f4787f02b70>",512,0.01,"rect",0,2,0.606211191415787,0.49184787273407
"contrac",3,"<function dropout at 0x7f0ac3388a60>",1024,0.1,"cone",0.5,2,0.603726714849472,0.54619562625885
"contrac",2,"<function dropout at 0x7f0ac3388a60>",512,0.1,"cone",0.5,2,0.600000017881393,0.54347825050354
"contrac",2,"<function dropout at 0x7f4787f02b70>",256,0.01,"rect",0,2,0.598757773637772,0.510869562625885
"contrac",3,"<function dropout at 0x7f0ac3388a60>",512,0.1,"cone",0,2,0.598136669397354,0.49456524848938
"contrac",3,"<function dropout at 0x7f0ac3388a60>",256,0.1,"cone",0,2,0.595031064748764,0.52173912525177
"contrac",4,"<function dropout at 0x7f0ac3388a60>",256,0.1,"cone",0,2,0.5950310587883,0.47282612323761
"contrac",3,"<function dropout at 0x7f4787f02b70>",256,0.01,"rect",0,2,0.5950310587883,0.497282654047012
"contrac",3,"<function dropout at 0x7f0ac3388a60>",512,0.01,"cone",0,2,0.594409948587418,0.508152186870575
"contrac",3,"<function dropout at 0x7f4787f02b70>",1024,0.01,"rect",0,2,0.593788826465607,0.491847842931747
"contrac",3,"<function dropout at 0x7f4787f02b70>",1024,0.1,"rect",0,2,0.590062117576599,0.49728262424469
"contrac",3,"<function dropout at 0x7f4787f02b70>",256,0.1,"rect",0,2,0.589441007375717,0.489130407571793
"contrac",4,"<function dropout at 0x7f0ac3388a60>",256,0.01,"cone",0,2,0.589440995454788,0.491847813129425
"contrac",3,"<function dropout at 0x7f0ac3388a60>",1024,0.01,"cone",0,2,0.588819879293442,0.494565218687057
"contrac",4,"<function dropout at 0x7f0ac3388a60>",1024,0.1,"cone",0,2,0.588198763132095,0.491847813129425
"contrac",2,"<function dropout at 0x7f0ac3388a60>",512,0.1,"cone",0,2,0.587577652931213,0.5
"contrac",2,"<function dropout at 0x7f0ac3388a60>",512,0.01,"cone",0,2,0.586956554651261,0.502717435359955
"contrac",2,"<function dropout at 0x7f4787f02b70>",256,0.1,"rect",0,2,0.585093176364899,0.510869562625885
"contrac",3,"<function dropout at 0x7f4787f02b70>",512,0.1,"rect",0,2,0.585093170404434,0.5
"contrac",4,"<function dropout at 0x7f4787f02b70>",512,0.1,"rect",0,2,0.583850938081741,0.483695685863495
"contrac",2,"<function dropout at 0x7f0ac3388a60>",256,0.1,"cone",0,2,0.582608717679977,0.508152186870575
"contrac",4,"<function dropout at 0x7f0ac3388a60>",512,0.1,"cone",0,2,0.582608711719513,0.505434811115265
"contrac",2,"<function dropout at 0x7f4787f02b70>",512,0.01,"rect",0,2,0.581987583637238,0.489130437374115
"contrac",2,"<function dropout at 0x7f0ac3388a60>",1024,0.1,"cone",0,2,0.581987583637238,0.489130437374115
"contrac",4,"<function dropout at 0x7f4787f02b70>",1024,0.1,"rect",0,2,0.581366461515427,0.489130437374115
"contrac",4,"<function dropout at 0x7f4787f02b70>",512,0.01,"rect",0,2,0.580745357275009,0.532608687877655
"contrac",2,"<function dropout at 0x7f4787f02b70>",1024,0.1,"rect",0,2,0.580124235153198,0.486413061618805
"contrac",2,"<function dropout at 0x7f4787f02b70>",512,1,"rect",0,2,0.579503118991852,0.459239155054092
"contrac",8,"<function dropout at 0x7f4787f02b70>",256,0.01,"rect",0,2,0.578882002830505,0.510869562625885
"contrac",2,"<function dropout at 0x7f4787f02b70>",512,0.1,"rect",0.5,2,0.578260886669159,0.52173912525177
"contrac",8,"<function dropout at 0x7f4787f02b70>",1024,0.01,"rect",0,2,0.577639758586884,0.44021737575531
"contrac",8,"<function dropout at 0x7f0ac3388a60>",512,0.01,"cone",0,2,0.576397526264191,0.497282654047012
"contrac",8,"<function dropout at 0x7f4787f02b70>",512,0.01,"rect",0,2,0.576397508382797,0.489130467176437
"contrac",2,"<function dropout at 0x7f4787f02b70>",512,0.1,"rect",0,2,0.575776416063309,0.486413061618805
"contrac",4,"<function dropout at 0x7f4787f02b70>",256,0.1,"rect",0,2,0.575776398181915,0.491847813129425
"contrac",8,"<function dropout at 0x7f0ac3388a60>",512,0.1,"cone",0,2,0.574534165859222,0.51902174949646
"contrac",2,"<function dropout at 0x7f4787f02b70>",256,1,"rect",0.5,2,0.573913049697876,0.51630437374115
"contrac",2,"<function dropout at 0x7f4787f02b70>",256,0.01,"rect",0.5,2,0.573913049697876,0.505434811115265
"contrac",2,"<function dropout at 0x7f4787f02b70>",1024,1,"rect",0.5,2,0.57142858505249,0.50271737575531
"contrac",16,"<function dropout at 0x7f0ac3388a60>",512,0.1,"cone",0,2,0.570807468891144,0.407608687877655
"contrac",8,"<function dropout at 0x7f0ac3388a60>",1024,0.01,"cone",0,2,0.568322998285294,0.491847813129425
