"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"energy-y2",4,"<function dropout at 0x7fb49026fb70>",512,0.1,"rect",0,2,0.939024353027344,0.895833373069763
"energy-y2",3,"<function dropout at 0x7fb49026fb70>",1024,0.1,"rect",0,2,0.932926779985428,0.906250059604645
"energy-y2",8,"<function dropout at 0x7fd7e296ea60>",512,0.01,"cone",0,2,0.920731663703919,0.895833432674408
"energy-y2",3,"<function dropout at 0x7fd7e296ea60>",1024,0.1,"cone",0,2,0.919512152671814,0.90625011920929
"energy-y2",4,"<function dropout at 0x7fb49026fb70>",256,0.1,"rect",0,2,0.91951214671135,0.895833373069763
"energy-y2",8,"<function dropout at 0x7fb49026fb70>",1024,0.01,"rect",0,2,0.91829264163971,0.916666746139526
"energy-y2",16,"<function dropout at 0x7fb49026fb70>",512,0.01,"rect",0,2,0.918292635679245,0.901041746139526
"energy-y2",8,"<function dropout at 0x7fb49026fb70>",256,0.01,"rect",0,2,0.917073130607605,0.848958373069763
"energy-y2",8,"<function dropout at 0x7fb49026fb70>",256,0.1,"rect",0,2,0.914634108543396,0.869791686534882
"energy-y2",3,"<function dropout at 0x7fb49026fb70>",512,0.1,"rect",0,2,0.914634108543396,0.854166746139526
"energy-y2",8,"<function dropout at 0x7fd7e296ea60>",1024,0.1,"cone",0,2,0.914634096622467,0.90625
"energy-y2",4,"<function dropout at 0x7fd7e296ea60>",1024,0.1,"cone",0,2,0.914634096622467,0.880208432674408
"energy-y2",2,"<function dropout at 0x7fb49026fb70>",1024,0.1,"rect",0,2,0.914634096622467,0.880208373069763
"energy-y2",3,"<function dropout at 0x7fd7e296ea60>",1024,0.01,"cone",0,2,0.913414591550827,0.885416746139526
"energy-y2",8,"<function dropout at 0x7fb49026fb70>",512,0.01,"rect",0,2,0.913414585590363,0.895833432674408
"energy-y2",2,"<function dropout at 0x7fb49026fb70>",256,1,"rect",0,2,0.912195080518723,0.911458373069763
"energy-y2",4,"<function dropout at 0x7fd7e296ea60>",256,0.1,"cone",0,2,0.912195068597794,0.890625059604645
"energy-y2",8,"<function dropout at 0x7fd7e296ea60>",1024,0.01,"cone",0,2,0.910975575447083,0.880208373069763
"energy-y2",4,"<function dropout at 0x7fb49026fb70>",256,0.01,"rect",0,2,0.910975575447083,0.864583373069763
"energy-y2",2,"<function dropout at 0x7fd7e296ea60>",256,1,"cone",0.5,2,0.910975575447083,0.84375011920929
"energy-y2",4,"<function dropout at 0x7fd7e296ea60>",512,0.1,"cone",0,2,0.910975569486618,0.890625059604645
"energy-y2",8,"<function dropout at 0x7fb49026fb70>",512,0.1,"rect",0,2,0.910975563526154,0.833333373069763
"energy-y2",3,"<function dropout at 0x7fd7e296ea60>",512,0.1,"cone",0,2,0.910975563526154,0.911458432674408
"energy-y2",3,"<function dropout at 0x7fb49026fb70>",1024,0.01,"rect",0,2,0.909756064414978,0.864583373069763
"energy-y2",2,"<function dropout at 0x7fb49026fb70>",256,0.1,"rect",0,2,0.909756058454514,0.89062511920929
"energy-y2",4,"<function dropout at 0x7fb49026fb70>",1024,0.01,"rect",0,2,0.909756052494049,0.895833373069763
