"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"flags",2,"<function dropout at 0x7f8938e61a60>",256,0.1,"cone",0.5,2,0.71904764175415,0.458333373069763
"flags",3,"<function dropout at 0x7f8938e61a60>",512,0.1,"cone",0,2,0.671428591012955,0.458333343267441
"flags",2,"<function dropout at 0x7f8938e61a60>",512,0.01,"cone",0,2,0.666666746139526,0.5
"flags",3,"<function dropout at 0x7f8938e61a60>",1024,0.01,"cone",0,2,0.652381014823914,0.458333373069763
"flags",3,"<function dropout at 0x7f1a5fca3b70>",1024,0.1,"rect",0,2,0.644444417953491,0.541666686534882
"flags",2,"<function dropout at 0x7f8938e61a60>",256,0.1,"cone",0,2,0.638095283508301,0.416666686534882
"flags",2,"<function dropout at 0x7f8938e61a60>",512,0.1,"cone",0,2,0.633333379030228,0.4375
"flags",3,"<function dropout at 0x7f8938e61a60>",256,0.1,"cone",0,2,0.63333335518837,0.458333343267441
"flags",8,"<function dropout at 0x7f8938e61a60>",512,0.1,"cone",0,2,0.61904764175415,0.375
"flags",8,"<function dropout at 0x7f1a5fca3b70>",1024,0.01,"rect",0,2,0.618518525362015,0.395833343267441
"flags",8,"<function dropout at 0x7f1a5fca3b70>",256,0.01,"rect",0,2,0.611111110448837,0.458333343267441
"flags",3,"<function dropout at 0x7f1a5fca3b70>",256,0.1,"rect",0,2,0.607407426834107,0.416666686534882
"flags",4,"<function dropout at 0x7f1a5fca3b70>",512,0.01,"rect",0,2,0.596296298503876,0.458333343267441
"flags",2,"<function dropout at 0x7f1a5fca3b70>",512,1,"rect",0,2,0.596296298503876,0.375
"flags",8,"<function dropout at 0x7f8938e61a60>",512,0.01,"cone",0,2,0.595238119363785,0.416666686534882
"flags",4,"<function dropout at 0x7f8938e61a60>",512,0.1,"cone",0,2,0.595238119363785,0.458333373069763
"flags",4,"<function dropout at 0x7f1a5fca3b70>",256,0.1,"rect",0,2,0.592592597007752,0.520833373069763
"flags",16,"<function dropout at 0x7f8938e61a60>",512,0.01,"cone",0,2,0.590476214885712,0.4375
"flags",8,"<function dropout at 0x7f1a5fca3b70>",512,0.1,"rect",0,2,0.585185199975967,0.520833373069763
"flags",4,"<function dropout at 0x7f8938e61a60>",256,0.1,"cone",0,2,0.580952405929565,0.5
"flags",4,"<function dropout at 0x7f1a5fca3b70>",256,0.01,"rect",0,2,0.577777791023254,0.5625
"flags",3,"<function dropout at 0x7f1a5fca3b70>",256,0.01,"rect",0,2,0.577777791023254,0.520833373069763
"flags",3,"<function dropout at 0x7f1a5fca3b70>",512,0.1,"rect",0.5,2,0.577777791023254,0.479166686534882
"flags",2,"<function dropout at 0x7f8938e61a60>",512,0.1,"cone",0.5,2,0.576190513372421,0.541666686534882
"flags",4,"<function dropout at 0x7f1a5fca3b70>",512,0.1,"rect",0,2,0.57407408952713,0.5
"flags",2,"<function dropout at 0x7f1a5fca3b70>",512,0.1,"rect",0,2,0.57407408952713,0.520833373069763
"flags",4,"<function dropout at 0x7f8938e61a60>",1024,0.01,"cone",0,2,0.571428596973419,0.416666686534882
"flags",3,"<function dropout at 0x7f8938e61a60>",512,0.01,"cone",0,2,0.571428596973419,0.479166686534882
"flags",4,"<function dropout at 0x7f8938e61a60>",1024,0.1,"cone",0,2,0.566666698455811,0.479166686534882
"flags",2,"<function dropout at 0x7f8938e61a60>",1024,0.1,"cone",0.5,2,0.566666692495346,0.5
"flags",2,"<function dropout at 0x7f1a5fca3b70>",512,0.01,"rect",0,2,0.566666680574417,0.5625
"flags",16,"<function dropout at 0x7f1a5fca3b70>",256,0.01,"rect",0,2,0.559259283542633,0.458333373069763
"flags",16,"<function dropout at 0x7f1a5fca3b70>",512,0.01,"rect",0,2,0.555555582046509,0.458333373069763
"flags",8,"<function dropout at 0x7f1a5fca3b70>",512,0.01,"rect",0,2,0.555555582046509,0.458333373069763
"flags",4,"<function dropout at 0x7f1a5fca3b70>",512,0.01,"rect",0.5,2,0.555555582046509,0.5
"flags",2,"<function dropout at 0x7f1a5fca3b70>",256,0.1,"rect",0.5,2,0.555555576086044,0.416666686534882
"flags",4,"<function dropout at 0x7f1a5fca3b70>",1024,0.01,"rect",0,2,0.548148167133331,0.541666686534882
"flags",16,"<function dropout at 0x7f8938e61a60>",1024,0.01,"cone",0,2,0.547619074583053,0.520833373069763
"flags",8,"<function dropout at 0x7f8938e61a60>",1024,0.1,"cone",0,2,0.547619074583053,0.5
"flags",2,"<function dropout at 0x7f8938e61a60>",1024,0.01,"cone",0.5,2,0.547619074583053,0.5
"flags",2,"<function dropout at 0x7f8938e61a60>",256,1,"cone",0,2,0.547619074583053,0.437500029802322
"flags",3,"<function dropout at 0x7f1a5fca3b70>",512,0.01,"rect",0,2,0.544444465637207,0.583333373069763
"flags",3,"<function dropout at 0x7f1a5fca3b70>",512,0.01,"rect",0.5,2,0.544444459676742,0.5
"flags",4,"<function dropout at 0x7f1a5fca3b70>",512,0.1,"rect",0.5,2,0.544444453716278,0.479166686534882
"flags",2,"<function dropout at 0x7f1a5fca3b70>",256,0.01,"rect",0,2,0.540740752220154,0.4375
"flags",3,"<function dropout at 0x7f1a5fca3b70>",512,0.1,"rect",0,2,0.537037056684494,0.5
"flags",4,"<function dropout at 0x7f1a5fca3b70>",1024,0.1,"rect",0,2,0.53333335518837,0.5
"flags",3,"<function dropout at 0x7f1a5fca3b70>",256,0.1,"rect",0.5,2,0.53333335518837,0.5
"flags",8,"<function dropout at 0x7f1a5fca3b70>",256,0.1,"rect",0,2,0.529629662632942,0.458333373069763
"flags",2,"<function dropout at 0x7f8938e61a60>",1024,0.01,"cone",0,2,0.528571456670761,0.416666686534882
"flags",3,"<function dropout at 0x7f1a5fca3b70>",256,0.01,"rect",0.5,2,0.525925922393799,0.479166686534882
"flags",2,"<function dropout at 0x7f8938e61a60>",256,0.01,"cone",0,2,0.523809552192688,0.479166686534882
"flags",4,"<function dropout at 0x7f1a5fca3b70>",1024,0.01,"rect",0.5,2,0.522222259640694,0.458333343267441
"flags",2,"<function dropout at 0x7f1a5fca3b70>",1024,0.01,"rect",0,2,0.522222256660462,0.5
"flags",3,"<function dropout at 0x7f1a5fca3b70>",1024,0.01,"rect",0.5,2,0.522222247719765,0.437500029802322
"flags",4,"<function dropout at 0x7f1a5fca3b70>",1024,0.1,"rect",0.5,2,0.518518543243408,0.541666686534882
"flags",2,"<function dropout at 0x7f1a5fca3b70>",1024,0.1,"rect",0.5,2,0.514814832806587,0.520833373069763
"flags",2,"<function dropout at 0x7f1a5fca3b70>",512,0.01,"rect",0.5,2,0.514814829826355,0.520833373069763
"flags",2,"<function dropout at 0x7f8938e61a60>",256,0.01,"cone",0.5,2,0.514285743236542,0.416666686534882
"flags",3,"<function dropout at 0x7f8938e61a60>",1024,0.1,"cone",0,2,0.509523838758469,0.520833373069763
"flags",4,"<function dropout at 0x7f8938e61a60>",512,0.01,"cone",0,2,0.509523838758469,0.458333343267441
"flags",2,"<function dropout at 0x7f1a5fca3b70>",1024,0.1,"rect",0,2,0.507407432794571,0.520833373069763
"flags",4,"<function dropout at 0x7f1a5fca3b70>",256,0.1,"rect",0.5,2,0.507407411932945,0.4375
"flags",8,"<function dropout at 0x7f8938e61a60>",256,0.1,"cone",0,2,0.504761931300163,0.458333373069763
"flags",3,"<function dropout at 0x7f1a5fca3b70>",1024,0.01,"rect",0,2,0.503703725337982,0.479166686534882
"flags",2,"<function dropout at 0x7f8938e61a60>",1024,0.1,"cone",0,2,0.500000029802322,0.479166686534882
"flags",16,"<function dropout at 0x7f1a5fca3b70>",1024,0.01,"rect",0,2,0.496296310424805,0.395833373069763
"flags",3,"<function dropout at 0x7f8938e61a60>",256,0.1,"cone",0.5,2,0.495238125324249,0.437500029802322
"flags",2,"<function dropout at 0x7f1a5fca3b70>",512,0.1,"rect",0.5,2,0.492592617869377,0.416666686534882
"flags",3,"<function dropout at 0x7f8938e61a60>",1024,0.1,"cone",0.5,2,0.490476217865944,0.479166686534882
"flags",4,"<function dropout at 0x7f1a5fca3b70>",256,0.01,"rect",0.5,2,0.488888916373253,0.354166686534882
"flags",2,"<function dropout at 0x7f1a5fca3b70>",1024,0.01,"rect",0.5,2,0.488888910412788,0.458333343267441
"flags",8,"<function dropout at 0x7f8938e61a60>",256,0.01,"cone",0,2,0.48095241189003,0.5
"flags",3,"<function dropout at 0x7f8938e61a60>",512,0.1,"cone",0.5,2,0.476190507411957,0.5
"flags",2,"<function dropout at 0x7f8938e61a60>",512,0.01,"cone",0.5,2,0.476190507411957,0.5
"flags",3,"<function dropout at 0x7f8938e61a60>",512,0.01,"cone",0.5,2,0.466666698455811,0.354166686534882
"flags",16,"<function dropout at 0x7f8938e61a60>",512,0.1,"cone",0,2,0.466666692495346,0.354166686534882
"flags",3,"<function dropout at 0x7f1a5fca3b70>",1024,0.1,"rect",0.5,2,0.462962985038757,0.5
"flags",32,"<function dropout at 0x7f1a5fca3b70>",256,0.01,"rect",0,2,0.462962979078293,0.354166686534882
"flags",3,"<function dropout at 0x7f8938e61a60>",256,0.01,"cone",0,2,0.457142889499664,0.375
"flags",2,"<function dropout at 0x7f1a5fca3b70>",256,0.1,"rect",0,2,0.455555585026741,0.458333343267441
"flags",3,"<function dropout at 0x7f8938e61a60>",1024,0.01,"cone",0.5,2,0.452380979061127,0.395833343267441
"flags",32,"<function dropout at 0x7f1a5fca3b70>",512,0.01,"rect",0,2,0.440740749239922,0.395833343267441
"flags",2,"<function dropout at 0x7f1a5fca3b70>",256,0.01,"rect",0.5,2,0.440740743279457,0.458333343267441
"flags",16,"<function dropout at 0x7f8938e61a60>",1024,0.1,"cone",0,2,0.438095262646675,0.291666656732559
"flags",8,"<function dropout at 0x7f8938e61a60>",1024,0.01,"cone",0,2,0.433333361148834,0.5
"flags",32,"<function dropout at 0x7f1a5fca3b70>",1024,0.01,"rect",0,2,0.425925931334496,0.333333343267441
"flags",4,"<function dropout at 0x7f8938e61a60>",256,0.01,"cone",0,2,0.423809558153152,0.333333343267441
"flags",8,"<function dropout at 0x7f1a5fca3b70>",1024,0.01,"rect",0.5,2,0.422222235798836,0.16666667163372
"flags",32,"<function dropout at 0x7f8938e61a60>",512,0.01,"cone",0,2,0.404761931300163,0.25
"flags",2,"<function dropout at 0x7f1a5fca3b70>",256,1,"rect",0,2,0.348148158192635,0.458333373069763
"flags",8,"<function dropout at 0x7f1a5fca3b70>",512,0.01,"rect",0.5,2,0.348148149251938,0.270833343267441
"flags",32,"<function dropout at 0x7f8938e61a60>",256,0.01,"cone",0,2,0.342857159674168,0.354166686534882
"flags",2,"<function dropout at 0x7f8938e61a60>",512,1,"cone",0,2,0.319047629833221,0.333333373069763
"flags",3,"<function dropout at 0x7f8938e61a60>",256,0.01,"cone",0.5,2,0.280952391028404,0.270833343267441
"flags",8,"<function dropout at 0x7f1a5fca3b70>",256,0.01,"rect",0.5,2,0.26296296864748,0.229166656732559
"flags",32,"<function dropout at 0x7f1a5fca3b70>",256,0.01,"rect",0.5,2,0.259259283542633,0.20833332836628
"flags",32,"<function dropout at 0x7f1a5fca3b70>",512,0.01,"rect",0.5,2,0.259259283542633,0.20833332836628
"flags",32,"<function dropout at 0x7f1a5fca3b70>",256,0.1,"rect",0.5,2,0.259259283542633,0.20833332836628
"flags",32,"<function dropout at 0x7f1a5fca3b70>",512,0.1,"rect",0.5,2,0.259259283542633,0.20833332836628
"flags",32,"<function dropout at 0x7f1a5fca3b70>",1024,0.1,"rect",0.5,2,0.259259283542633,0.20833332836628
"flags",32,"<function dropout at 0x7f1a5fca3b70>",256,0.1,"rect",0,2,0.259259283542633,0.20833332836628
"flags",32,"<function dropout at 0x7f1a5fca3b70>",512,0.1,"rect",0,2,0.259259283542633,0.20833332836628
"flags",32,"<function dropout at 0x7f1a5fca3b70>",1024,0.1,"rect",0,2,0.259259283542633,0.20833332836628
"flags",32,"<function dropout at 0x7f1a5fca3b70>",1024,1,"rect",0.5,2,0.259259283542633,0.20833332836628
"flags",32,"<function dropout at 0x7f1a5fca3b70>",256,1,"rect",0,2,0.259259283542633,0.20833332836628
"flags",32,"<function dropout at 0x7f1a5fca3b70>",512,1,"rect",0,2,0.259259283542633,0.20833332836628
"flags",32,"<function dropout at 0x7f1a5fca3b70>",1024,1,"rect",0,2,0.259259283542633,0.20833332836628
"flags",16,"<function dropout at 0x7f1a5fca3b70>",256,0.1,"rect",0.5,2,0.259259283542633,0.20833332836628
"flags",16,"<function dropout at 0x7f1a5fca3b70>",512,0.1,"rect",0.5,2,0.259259283542633,0.20833332836628
"flags",16,"<function dropout at 0x7f1a5fca3b70>",1024,0.1,"rect",0.5,2,0.259259283542633,0.20833332836628
"flags",16,"<function dropout at 0x7f1a5fca3b70>",256,0.1,"rect",0,2,0.259259283542633,0.20833332836628
"flags",16,"<function dropout at 0x7f1a5fca3b70>",512,0.1,"rect",0,2,0.259259283542633,0.20833332836628
"flags",16,"<function dropout at 0x7f1a5fca3b70>",1024,0.1,"rect",0,2,0.259259283542633,0.20833332836628
"flags",16,"<function dropout at 0x7f1a5fca3b70>",256,1,"rect",0.5,2,0.259259283542633,0.20833332836628
"flags",16,"<function dropout at 0x7f1a5fca3b70>",512,1,"rect",0.5,2,0.259259283542633,0.20833332836628
"flags",16,"<function dropout at 0x7f1a5fca3b70>",1024,1,"rect",0.5,2,0.259259283542633,0.20833332836628
