"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"heart-switzerland",2,"<function dropout at 0x7fd9398bca60>",256,0.01,"cone",0,2,0.518181824684143,0.387096762657166
"heart-switzerland",2,"<function dropout at 0x7f0d62f4bb70>",256,0.01,"rect",0,2,0.500000014901161,0.483870953321457
"heart-switzerland",8,"<function dropout at 0x7fd9398bca60>",512,0.01,"cone",0,2,0.490909105539322,0.322580635547638
"heart-switzerland",4,"<function dropout at 0x7f0d62f4bb70>",256,0.01,"rect",0,2,0.463636377453804,0.580645143985748
"heart-switzerland",8,"<function dropout at 0x7fd9398bca60>",256,0.01,"cone",0,2,0.454545468091965,0.451612889766693
"heart-switzerland",3,"<function dropout at 0x7fd9398bca60>",256,0.01,"cone",0.5,2,0.454545468091965,0.483870953321457
"heart-switzerland",2,"<function dropout at 0x7f0d62f4bb70>",512,0.01,"rect",0,2,0.454545468091965,0.612903237342834
"heart-switzerland",2,"<function dropout at 0x7fd9398bca60>",1024,0.1,"cone",0,2,0.454545468091965,0.451612889766693
"heart-switzerland",8,"<function dropout at 0x7f0d62f4bb70>",256,0.01,"rect",0.5,2,0.4545454621315,0.25806450843811
"heart-switzerland",3,"<function dropout at 0x7f0d62f4bb70>",256,0.01,"rect",0,2,0.445454558730125,0.548387050628662
"heart-switzerland",4,"<function dropout at 0x7fd9398bca60>",1024,0.01,"cone",0,2,0.436363649368286,0.548387050628662
"heart-switzerland",2,"<function dropout at 0x7f0d62f4bb70>",256,0.01,"rect",0.5,2,0.436363649368286,0.548387050628662
"heart-switzerland",3,"<function dropout at 0x7f0d62f4bb70>",512,0.1,"rect",0.5,2,0.427272740006447,0.387096762657166
"heart-switzerland",3,"<function dropout at 0x7fd9398bca60>",1024,0.01,"cone",0,2,0.427272740006447,0.580645143985748
"heart-switzerland",2,"<function dropout at 0x7f0d62f4bb70>",256,0.1,"rect",0.5,2,0.427272737026215,0.548387050628662
"heart-switzerland",2,"<function dropout at 0x7f0d62f4bb70>",512,0.01,"rect",0.5,2,0.418181830644608,0.419354826211929
"heart-switzerland",2,"<function dropout at 0x7fd9398bca60>",1024,0.1,"cone",0.5,2,0.418181830644608,0.483870953321457
"heart-switzerland",2,"<function dropout at 0x7fd9398bca60>",512,0.1,"cone",0,2,0.418181830644608,0.322580635547638
"heart-switzerland",4,"<function dropout at 0x7f0d62f4bb70>",512,0.1,"rect",0.5,2,0.409090921282768,0.483870953321457
"heart-switzerland",16,"<function dropout at 0x7f0d62f4bb70>",512,0.01,"rect",0,2,0.400000011920929,0.419354826211929
"heart-switzerland",3,"<function dropout at 0x7f0d62f4bb70>",1024,0.01,"rect",0,2,0.400000011920929,0.516129016876221
"heart-switzerland",3,"<function dropout at 0x7f0d62f4bb70>",256,0.1,"rect",0.5,2,0.400000011920929,0.387096762657166
"heart-switzerland",16,"<function dropout at 0x7f0d62f4bb70>",256,0.01,"rect",0,2,0.39090910255909,0.322580635547638
"heart-switzerland",8,"<function dropout at 0x7fd9398bca60>",256,0.1,"cone",0,2,0.38181819319725,0.516129016876221
"heart-switzerland",2,"<function dropout at 0x7f0d62f4bb70>",1024,0.01,"rect",0,2,0.38181819319725,0.483870953321457
"heart-switzerland",3,"<function dropout at 0x7fd9398bca60>",512,0.01,"cone",0,2,0.372727283835411,0.129032254219055
"heart-switzerland",3,"<function dropout at 0x7fd9398bca60>",1024,0.1,"cone",0,2,0.372727283835411,0.612903237342834
"heart-switzerland",16,"<function dropout at 0x7fd9398bca60>",512,0.01,"cone",0,2,0.372727283835411,0.483870953321457
"heart-switzerland",8,"<function dropout at 0x7f0d62f4bb70>",256,0.01,"rect",0,2,0.372727283835411,0.548387050628662
"heart-switzerland",3,"<function dropout at 0x7fd9398bca60>",256,0.1,"cone",0,2,0.372727283835411,0.516129016876221
"heart-switzerland",2,"<function dropout at 0x7f0d62f4bb70>",1024,0.01,"rect",0.5,2,0.372727283835411,0.548387050628662
"heart-switzerland",2,"<function dropout at 0x7f0d62f4bb70>",256,1,"rect",0,2,0.372727283835411,0.322580635547638
"heart-switzerland",4,"<function dropout at 0x7fd9398bca60>",512,0.1,"cone",0,2,0.372727283835411,0.483870953321457
"heart-switzerland",32,"<function dropout at 0x7f0d62f4bb70>",512,0.01,"rect",0,2,0.363636374473572,0.419354826211929
"heart-switzerland",32,"<function dropout at 0x7f0d62f4bb70>",1024,0.01,"rect",0,2,0.363636374473572,0.25806450843811
"heart-switzerland",16,"<function dropout at 0x7fd9398bca60>",256,0.1,"cone",0,2,0.363636374473572,0.225806444883347
"heart-switzerland",2,"<function dropout at 0x7fd9398bca60>",256,0.1,"cone",0,2,0.363636374473572,0.612903237342834
"heart-switzerland",2,"<function dropout at 0x7fd9398bca60>",512,1,"cone",0,2,0.363636374473572,0.419354826211929
"heart-switzerland",32,"<function dropout at 0x7fd9398bca60>",1024,0.01,"cone",0,2,0.363636374473572,0.225806444883347
"heart-switzerland",4,"<function dropout at 0x7f0d62f4bb70>",1024,0.01,"rect",0.5,2,0.363636374473572,0.483870953321457
"heart-switzerland",4,"<function dropout at 0x7f0d62f4bb70>",512,0.01,"rect",0,2,0.363636374473572,0.548387050628662
"heart-switzerland",4,"<function dropout at 0x7f0d62f4bb70>",1024,0.01,"rect",0,2,0.363636374473572,0.548387050628662
"heart-switzerland",3,"<function dropout at 0x7f0d62f4bb70>",256,0.1,"rect",0,2,0.363636374473572,0.548387050628662
"heart-switzerland",3,"<function dropout at 0x7f0d62f4bb70>",512,0.1,"rect",0,2,0.363636374473572,0.483870953321457
"heart-switzerland",2,"<function dropout at 0x7fd9398bca60>",256,0.01,"cone",0.5,2,0.363636374473572,0.419354826211929
"heart-switzerland",2,"<function dropout at 0x7fd9398bca60>",1024,0.01,"cone",0,2,0.363636374473572,0.516129016876221
"heart-switzerland",2,"<function dropout at 0x7f0d62f4bb70>",512,0.1,"rect",0,2,0.363636374473572,0.451612889766693
"heart-switzerland",2,"<function dropout at 0x7f0d62f4bb70>",1024,1,"rect",0,2,0.354545465111733,0.387096762657166
"heart-switzerland",8,"<function dropout at 0x7fd9398bca60>",1024,0.01,"cone",0,2,0.354545465111732,0.516129016876221
"heart-switzerland",8,"<function dropout at 0x7f0d62f4bb70>",1024,0.01,"rect",0,2,0.354545465111732,0.483870953321457
"heart-switzerland",2,"<function dropout at 0x7f0d62f4bb70>",256,0.1,"rect",0,2,0.354545465111732,0.419354826211929
"heart-switzerland",8,"<function dropout at 0x7fd9398bca60>",512,0.01,"cone",0.5,2,0.345454555749893,0.419354826211929
"heart-switzerland",8,"<function dropout at 0x7f0d62f4bb70>",512,0.1,"rect",0,2,0.345454555749893,0.451612889766693
"heart-switzerland",3,"<function dropout at 0x7fd9398bca60>",512,0.01,"cone",0.5,2,0.345454555749893,0.419354826211929
"heart-switzerland",3,"<function dropout at 0x7f0d62f4bb70>",512,0.01,"rect",0.5,2,0.345454555749893,0.419354826211929
"heart-switzerland",2,"<function dropout at 0x7f0d62f4bb70>",512,0.1,"rect",0.5,2,0.345454555749893,0.419354826211929
"heart-switzerland",16,"<function dropout at 0x7fd9398bca60>",1024,0.1,"cone",0,2,0.336363646388054,0.419354826211929
"heart-switzerland",4,"<function dropout at 0x7f0d62f4bb70>",256,0.1,"rect",0.5,2,0.336363646388054,0.516129016876221
"heart-switzerland",4,"<function dropout at 0x7fd9398bca60>",256,0.1,"cone",0,2,0.336363646388054,0.483870953321457
"heart-switzerland",4,"<function dropout at 0x7f0d62f4bb70>",1024,0.1,"rect",0,2,0.336363646388054,0.451612889766693
"heart-switzerland",3,"<function dropout at 0x7f0d62f4bb70>",256,0.01,"rect",0.5,2,0.336363646388054,0.419354826211929
"heart-switzerland",3,"<function dropout at 0x7f0d62f4bb70>",1024,0.01,"rect",0.5,2,0.336363646388054,0.483870953321457
"heart-switzerland",3,"<function dropout at 0x7f0d62f4bb70>",1024,0.1,"rect",0.5,2,0.336363646388054,0.387096762657166
"heart-switzerland",2,"<function dropout at 0x7fd9398bca60>",256,0.1,"cone",0.5,2,0.336363646388054,0.451612889766693
"heart-switzerland",32,"<function dropout at 0x7fd9398bca60>",256,0.01,"cone",0,2,0.327272737026215,0.387096762657166
"heart-switzerland",32,"<function dropout at 0x7fd9398bca60>",512,0.01,"cone",0,2,0.327272737026215,0.419354826211929
"heart-switzerland",8,"<function dropout at 0x7f0d62f4bb70>",512,0.01,"rect",0,2,0.327272737026215,0.483870953321457
"heart-switzerland",4,"<function dropout at 0x7f0d62f4bb70>",256,0.1,"rect",0,2,0.327272737026215,0.548387050628662
"heart-switzerland",32,"<function dropout at 0x7f0d62f4bb70>",512,0.01,"rect",0.5,2,0.327272737026215,0.419354826211929
"heart-switzerland",8,"<function dropout at 0x7f0d62f4bb70>",256,0.1,"rect",0,2,0.327272737026215,0.483870953321457
"heart-switzerland",4,"<function dropout at 0x7fd9398bca60>",512,0.01,"cone",0,2,0.327272737026215,0.419354826211929
"heart-switzerland",32,"<function dropout at 0x7f0d62f4bb70>",256,0.01,"rect",0,2,0.318181827664375,0.25806450843811
"heart-switzerland",4,"<function dropout at 0x7fd9398bca60>",512,0.01,"cone",0.5,2,0.318181827664375,0.451612889766693
"heart-switzerland",3,"<function dropout at 0x7fd9398bca60>",256,0.01,"cone",0,2,0.318181827664375,0.419354826211929
"heart-switzerland",16,"<function dropout at 0x7f0d62f4bb70>",256,0.1,"rect",0,2,0.318181827664375,0.419354826211929
"heart-switzerland",4,"<function dropout at 0x7f0d62f4bb70>",256,0.01,"rect",0.5,2,0.318181827664375,0.516129016876221
"heart-switzerland",4,"<function dropout at 0x7f0d62f4bb70>",512,0.1,"rect",0,2,0.318181827664375,0.548387050628662
"heart-switzerland",3,"<function dropout at 0x7fd9398bca60>",512,0.1,"cone",0,2,0.318181827664375,0.483870953321457
"heart-switzerland",2,"<function dropout at 0x7fd9398bca60>",256,1,"cone",0,2,0.318181827664375,0.451612889766693
"heart-switzerland",16,"<function dropout at 0x7f0d62f4bb70>",1024,0.01,"rect",0,2,0.309090918302536,0.354838699102402
"heart-switzerland",8,"<function dropout at 0x7fd9398bca60>",256,0.01,"cone",0.5,2,0.309090918302536,0.419354826211929
"heart-switzerland",8,"<function dropout at 0x7fd9398bca60>",1024,0.1,"cone",0,2,0.309090918302536,0.419354826211929
"heart-switzerland",4,"<function dropout at 0x7fd9398bca60>",256,0.01,"cone",0.5,2,0.309090918302536,0.322580635547638
"heart-switzerland",2,"<function dropout at 0x7fd9398bca60>",512,0.1,"cone",0.5,2,0.309090918302536,0.387096762657166
"heart-switzerland",4,"<function dropout at 0x7fd9398bca60>",1024,0.1,"cone",0,2,0.300000008940697,0.483870953321457
"heart-switzerland",3,"<function dropout at 0x7fd9398bca60>",1024,0.01,"cone",0.5,2,0.300000008940697,0.451612889766693
