"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"hill-valley",4,"<function dropout at 0x7f003208db70>",256,0.01,"rect",0.5,2,0.59365086555481,0.511551141738892
"hill-valley",3,"<function dropout at 0x7f7bec4a0a60>",512,0.01,"cone",0.5,2,0.588095325231552,0.518151879310608
"hill-valley",2,"<function dropout at 0x7f7bec4a0a60>",256,0.01,"cone",0.5,2,0.587301671504974,0.511551141738892
"hill-valley",3,"<function dropout at 0x7f003208db70>",512,0.1,"rect",0.5,2,0.586508029699326,0.501650154590607
"hill-valley",8,"<function dropout at 0x7f003208db70>",256,0.01,"rect",0.5,2,0.586508017778397,0.506600677967072
"hill-valley",4,"<function dropout at 0x7f003208db70>",1024,0.1,"rect",0.5,2,0.585714370012283,0.506600677967072
"hill-valley",4,"<function dropout at 0x7f003208db70>",256,0.1,"rect",0.5,2,0.584127068519592,0.506600677967072
"hill-valley",2,"<function dropout at 0x7f003208db70>",256,0.1,"rect",0.5,2,0.583333414793014,0.506600677967072
"hill-valley",3,"<function dropout at 0x7f003208db70>",1024,0.1,"rect",0.5,2,0.581746113300324,0.506600677967072
"hill-valley",3,"<function dropout at 0x7f003208db70>",256,0.1,"rect",0.5,2,0.580158811807632,0.506600677967072
"hill-valley",2,"<function dropout at 0x7f003208db70>",512,0.1,"rect",0.5,2,0.579365164041519,0.485148519277573
"hill-valley",3,"<function dropout at 0x7f003208db70>",512,0.01,"rect",0.5,2,0.573015964031219,0.506600677967072
"hill-valley",2,"<function dropout at 0x7f003208db70>",1024,0.1,"rect",0.5,2,0.565873098373413,0.488448798656464
"hill-valley",4,"<function dropout at 0x7f003208db70>",512,0.01,"rect",0.5,2,0.565873092412949,0.490099012851715
"hill-valley",4,"<function dropout at 0x7f003208db70>",512,0.1,"rect",0.5,2,0.565873092412949,0.511551141738892
"hill-valley",2,"<function dropout at 0x7f003208db70>",1024,0.01,"rect",0,2,0.556349283456802,0.5297030210495
"hill-valley",8,"<function dropout at 0x7f7bec4a0a60>",512,0.01,"cone",0,2,0.553968331217766,0.51980197429657
"hill-valley",4,"<function dropout at 0x7f003208db70>",1024,0.01,"rect",0,2,0.548412770032883,0.541254162788391
"hill-valley",2,"<function dropout at 0x7f003208db70>",512,0.1,"rect",0,2,0.547619125247002,0.539604008197784
"hill-valley",4,"<function dropout at 0x7f7bec4a0a60>",256,0.01,"cone",0.5,2,0.546825468540192,0.493399351835251
"hill-valley",3,"<function dropout at 0x7f003208db70>",1024,0.01,"rect",0,2,0.53333340883255,0.554455459117889
"hill-valley",2,"<function dropout at 0x7f7bec4a0a60>",1024,0.01,"cone",0.5,2,0.526190549135208,0.511551141738892
"hill-valley",2,"<function dropout at 0x7f003208db70>",256,0.1,"rect",0,2,0.524603241682053,0.514851450920105
"hill-valley",4,"<function dropout at 0x7f003208db70>",256,0.1,"rect",0,2,0.522222292423248,0.523102343082428
