"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"ilpd-indian-liver",3,"<function dropout at 0x7fbe5d374a60>",1024,0.01,"cone",0,2,0.765079438686371,0.66438353061676
"ilpd-indian-liver",4,"<function dropout at 0x7fbe5d374a60>",1024,0.01,"cone",0,2,0.761904835700989,0.684931516647339
"ilpd-indian-liver",3,"<function dropout at 0x7fbe5d374a60>",256,0.01,"cone",0,2,0.757142931222916,0.719178080558777
"ilpd-indian-liver",4,"<function dropout at 0x7fbe5d374a60>",512,0.01,"cone",0,2,0.752381026744843,0.726027429103851
"ilpd-indian-liver",3,"<function dropout at 0x7fbe5d374a60>",1024,0.1,"cone",0,2,0.750793725252151,0.698630094528198
"ilpd-indian-liver",32,"<function dropout at 0x7fbe5d374a60>",512,0.01,"cone",0,2,0.74920642375946,0.691780805587769
"ilpd-indian-liver",2,"<function dropout at 0x7fbe5d374a60>",512,0.1,"cone",0,2,0.744444519281387,0.739726006984711
"ilpd-indian-liver",3,"<function dropout at 0x7fbe5d374a60>",256,0.1,"cone",0,2,0.744444519281387,0.698630094528198
"ilpd-indian-liver",4,"<function dropout at 0x7fbe5d374a60>",256,0.1,"cone",0,2,0.742857217788696,0.726027369499207
"ilpd-indian-liver",2,"<function dropout at 0x7fbe5d374a60>",256,0.01,"cone",0,2,0.742857217788696,0.705479443073273
"ilpd-indian-liver",2,"<function dropout at 0x7fb19267aa60>",1024,0.1,"rect",0.5,2,0.740697675943375,0.719178020954132
"ilpd-indian-liver",2,"<function dropout at 0x7fbe5d374a60>",1024,0.1,"cone",0.5,2,0.736508011817932,0.705479443073273
"ilpd-indian-liver",4,"<function dropout at 0x7fbe5d374a60>",1024,0.1,"cone",0,2,0.73333340883255,0.684931516647339
"ilpd-indian-liver",16,"<function dropout at 0x7fbe5d374a60>",1024,0.01,"cone",0,2,0.73333340883255,0.678082227706909
"ilpd-indian-liver",2,"<function dropout at 0x7fbe5d374a60>",256,0.1,"cone",0,2,0.731746107339859,0.719178080558777
"ilpd-indian-liver",2,"<function dropout at 0x7fbe5d374a60>",1024,0.1,"cone",0,2,0.730158805847168,0.712328791618347
"ilpd-indian-liver",2,"<function dropout at 0x7fb19267aa60>",256,1,"rect",0.5,2,0.729069775342941,0.719178080558777
"ilpd-indian-liver",8,"<function dropout at 0x7fbe5d374a60>",256,0.1,"cone",0,2,0.728571504354477,0.671232879161835
"ilpd-indian-liver",8,"<function dropout at 0x7fbe5d374a60>",1024,0.1,"cone",0,2,0.726984202861786,0.705479502677917
"ilpd-indian-liver",4,"<function dropout at 0x7fbe5d374a60>",256,0.01,"cone",0,2,0.726984202861786,0.726027369499207
"ilpd-indian-liver",2,"<function dropout at 0x7fbe5d374a60>",512,0.01,"cone",0,2,0.726984202861786,0.691780805587769
