"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"image-segmentation",8,"<function dropout at 0x7f9991ff0b70>",512,0.1,"rect",0,2,0.945999991893768,0.909047544002533
"image-segmentation",2,"<function dropout at 0x7f9991ff0b70>",1024,0.1,"rect",0,2,0.932000005245209,0.910476088523865
"image-segmentation",16,"<function dropout at 0x7f9991ff0b70>",512,0.01,"rect",0,2,0.922000002861023,0.893809378147125
"image-segmentation",4,"<function dropout at 0x7f9991ff0b70>",1024,0.01,"rect",0,2,0.91800000667572,0.899047493934631
"image-segmentation",8,"<function dropout at 0x7f7b6709da60>",1024,0.01,"cone",0,2,0.916000014543534,0.881904602050781
"image-segmentation",3,"<function dropout at 0x7f9991ff0b70>",1024,0.1,"rect",0,2,0.910000026226044,0.908095121383667
"image-segmentation",4,"<function dropout at 0x7f7b6709da60>",512,0.1,"cone",0,2,0.908000004291535,0.905238032341003
"image-segmentation",3,"<function dropout at 0x7f7b6709da60>",1024,0.1,"cone",0,2,0.906000030040741,0.891904592514038
"image-segmentation",2,"<function dropout at 0x7f7b6709da60>",512,0.1,"cone",0,2,0.906000030040741,0.904285609722137
"image-segmentation",4,"<function dropout at 0x7f9991ff0b70>",512,0.1,"rect",0,2,0.902000033855438,0.906190395355225
"image-segmentation",3,"<function dropout at 0x7f9991ff0b70>",512,0.1,"rect",0,2,0.900000011920929,0.903333187103271
"image-segmentation",2,"<function dropout at 0x7f7b6709da60>",1024,0.1,"cone",0.5,2,0.899999994039536,0.892380833625793
"image-segmentation",4,"<function dropout at 0x7f7b6709da60>",256,0.01,"cone",0,2,0.898000031709671,0.878095090389252
"image-segmentation",3,"<function dropout at 0x7f7b6709da60>",256,0.01,"cone",0,2,0.898000031709671,0.881428480148315
"image-segmentation",2,"<function dropout at 0x7f9991ff0b70>",1024,0.01,"rect",0,2,0.896000027656555,0.894285559654236
"image-segmentation",8,"<function dropout at 0x7f9991ff0b70>",1024,0.1,"rect",0,2,0.895999997854233,0.872857093811035
"image-segmentation",8,"<function dropout at 0x7f7b6709da60>",512,0.1,"cone",0,2,0.894000017642975,0.889523684978485
"image-segmentation",8,"<function dropout at 0x7f9991ff0b70>",256,0.1,"rect",0,2,0.893999987840653,0.894285619258881
"image-segmentation",3,"<function dropout at 0x7f7b6709da60>",1024,0.01,"cone",0,2,0.893999975919724,0.891904652118683
"image-segmentation",2,"<function dropout at 0x7f7b6709da60>",256,0.01,"cone",0,2,0.892000019550323,0.837618947029114
"image-segmentation",2,"<function dropout at 0x7f7b6709da60>",256,0.1,"cone",0,2,0.890000015497208,0.908571302890778
"image-segmentation",3,"<function dropout at 0x7f7b6709da60>",256,0.1,"cone",0,2,0.890000003576279,0.898571372032166
"image-segmentation",3,"<function dropout at 0x7f9991ff0b70>",256,0.1,"rect",0,2,0.88999999165535,0.900952339172363
"image-segmentation",8,"<function dropout at 0x7f9991ff0b70>",1024,0.01,"rect",0,2,0.888000005483627,0.878095149993896
"image-segmentation",2,"<function dropout at 0x7f9991ff0b70>",1024,0.1,"rect",0.5,2,0.887999981641769,0.884285628795624
"image-segmentation",32,"<function dropout at 0x7f9991ff0b70>",512,0.01,"rect",0,2,0.885999989509583,0.899047553539276
"image-segmentation",4,"<function dropout at 0x7f7b6709da60>",1024,0.01,"cone",0,2,0.885999989509583,0.8976189494133
"image-segmentation",4,"<function dropout at 0x7f9991ff0b70>",512,0.01,"rect",0,2,0.883999991416931,0.889523684978485
"image-segmentation",3,"<function dropout at 0x7f7b6709da60>",1024,0.1,"cone",0.5,2,0.883999985456467,0.891904652118683
"image-segmentation",4,"<function dropout at 0x7f7b6709da60>",256,0.1,"cone",0,2,0.883999979496002,0.890476107597351
"image-segmentation",3,"<function dropout at 0x7f7b6709da60>",512,0.1,"cone",0,2,0.881999999284744,0.891904652118683
"image-segmentation",2,"<function dropout at 0x7f9991ff0b70>",256,0.1,"rect",0.5,2,0.881999987363815,0.879047513008118
"image-segmentation",4,"<function dropout at 0x7f9991ff0b70>",256,0.1,"rect",0,2,0.881999969482422,0.899523675441742
"image-segmentation",3,"<function dropout at 0x7f9991ff0b70>",512,0.01,"rect",0.5,2,0.879999995231628,0.847618997097015
"image-segmentation",3,"<function dropout at 0x7f7b6709da60>",512,0.01,"cone",0,2,0.879999995231628,0.889047503471375
"image-segmentation",4,"<function dropout at 0x7f9991ff0b70>",1024,0.1,"rect",0,2,0.879999989271164,0.900476038455963
"image-segmentation",3,"<function dropout at 0x7f9991ff0b70>",512,0.01,"rect",0,2,0.879999989271164,0.890952229499817
"image-segmentation",2,"<function dropout at 0x7f7b6709da60>",512,0.1,"cone",0.5,2,0.877999997138977,0.903809428215027
"image-segmentation",2,"<function dropout at 0x7f9991ff0b70>",256,0.01,"rect",0,2,0.875999999046326,0.872857093811035
"image-segmentation",2,"<function dropout at 0x7f7b6709da60>",1024,0.01,"cone",0,2,0.875999993085861,0.882857024669647
"image-segmentation",2,"<function dropout at 0x7f7b6709da60>",1024,0.1,"cone",0,2,0.875999993085861,0.896666526794434
"image-segmentation",4,"<function dropout at 0x7f9991ff0b70>",256,0.1,"rect",0.5,2,0.875999963283539,0.858095109462738
"image-segmentation",2,"<function dropout at 0x7f9991ff0b70>",256,0.1,"rect",0,2,0.873999989032745,0.890476107597351
"image-segmentation",2,"<function dropout at 0x7f9991ff0b70>",512,0.1,"rect",0,2,0.873999983072281,0.899999856948853
"image-segmentation",16,"<function dropout at 0x7f9991ff0b70>",1024,0.01,"rect",0,2,0.873999965190888,0.887619018554688
"image-segmentation",2,"<function dropout at 0x7f9991ff0b70>",512,0.01,"rect",0.5,2,0.871999990940094,0.853809356689453
"image-segmentation",3,"<function dropout at 0x7f9991ff0b70>",256,0.01,"rect",0,2,0.871999979019165,0.847618877887726
