"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"low-res-spect",8,"<function dropout at 0x7f6af929cb70>",256,0.01,"rect",0,2,0.959322053194046,0.849624037742615
"low-res-spect",2,"<function dropout at 0x7f6af929cb70>",512,0.01,"rect",0,2,0.947457671165467,0.894736886024475
"low-res-spect",2,"<function dropout at 0x7f6af929cb70>",256,0.1,"rect",0,2,0.945762753486634,0.872180461883545
"low-res-spect",2,"<function dropout at 0x7fb31c6b9a60>",1024,0.01,"cone",0,2,0.944067788124084,0.887218058109283
"low-res-spect",8,"<function dropout at 0x7fb31c6b9a60>",512,0.01,"cone",0,2,0.937288153171539,0.894736886024475
"low-res-spect",16,"<function dropout at 0x7f6af929cb70>",512,0.01,"rect",0,2,0.932203412055969,0.879699230194092
"low-res-spect",3,"<function dropout at 0x7fb31c6b9a60>",512,0.01,"cone",0,2,0.932203412055969,0.84962409734726
"low-res-spect",4,"<function dropout at 0x7f6af929cb70>",512,0.1,"rect",0,2,0.932203352451324,0.902255654335022
"low-res-spect",8,"<function dropout at 0x7fb31c6b9a60>",512,0.1,"cone",0,2,0.930508494377136,0.894736886024475
"low-res-spect",4,"<function dropout at 0x7f6af929cb70>",512,0.01,"rect",0,2,0.930508494377136,0.864661633968353
"low-res-spect",4,"<function dropout at 0x7f6af929cb70>",1024,0.01,"rect",0,2,0.92711865901947,0.894736886024475
"low-res-spect",2,"<function dropout at 0x7fb31c6b9a60>",512,0.1,"cone",0,2,0.927118635177612,0.902255654335022
"low-res-spect",4,"<function dropout at 0x7f6af929cb70>",256,0.1,"rect",0,2,0.922033905982971,0.879699230194092
"low-res-spect",3,"<function dropout at 0x7f6af929cb70>",256,0.1,"rect",0,2,0.922033905982971,0.909774482250214
"low-res-spect",2,"<function dropout at 0x7fb31c6b9a60>",1024,0.1,"cone",0,2,0.920338988304138,0.909774422645569
"low-res-spect",8,"<function dropout at 0x7f6af929cb70>",512,0.1,"rect",0,2,0.918644070625305,0.909774422645569
"low-res-spect",2,"<function dropout at 0x7f6af929cb70>",512,0.1,"rect",0,2,0.918644070625305,0.894736886024475
"low-res-spect",2,"<function dropout at 0x7f6af929cb70>",1024,0.1,"rect",0,2,0.918644058704376,0.879699230194092
