"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"magic",4,"<function dropout at 0x7fbe4632bb70>",256,0.01,"rect",0,2,0.876571124792099,0.862881183624268
"magic",2,"<function dropout at 0x7fbe4632bb70>",512,0.01,"rect",0,2,0.875092393159866,0.857203006744385
"magic",3,"<function dropout at 0x7fbe4632bb70>",512,0.1,"rect",0,2,0.875092387199402,0.86309152841568
"magic",2,"<function dropout at 0x7f64458b8a60>",256,0.1,"cone",0,2,0.875046181678772,0.87108314037323
"magic",2,"<function dropout at 0x7fbe4632bb70>",1024,0.1,"rect",0,2,0.874399220943451,0.848790884017944
"magic",2,"<function dropout at 0x7fbe4632bb70>",256,1,"rect",0,2,0.874399203062058,0.860567927360535
"magic",3,"<function dropout at 0x7fbe4632bb70>",1024,0.01,"rect",0,2,0.874353033304215,0.86519455909729
"magic",4,"<function dropout at 0x7f64458b8a60>",1024,0.01,"cone",0,2,0.874353015422821,0.85930609703064
"magic",4,"<function dropout at 0x7fbe4632bb70>",512,0.01,"rect",0,2,0.874260592460632,0.866246163845062
"magic",3,"<function dropout at 0x7fbe4632bb70>",512,0.01,"rect",0,2,0.874075776338577,0.863301873207092
"magic",2,"<function dropout at 0x7fbe4632bb70>",256,0.1,"rect",0,2,0.873798507452011,0.870872855186462
"magic",2,"<function dropout at 0x7fbe4632bb70>",1024,1,"rect",0.5,2,0.873798471689224,0.871293485164642
"magic",2,"<function dropout at 0x7f64458b8a60>",1024,0.1,"cone",0,2,0.873613631725311,0.860357522964478
"magic",2,"<function dropout at 0x7fbe4632bb70>",1024,0.01,"rect",0,2,0.873151534795761,0.864353358745575
"magic",3,"<function dropout at 0x7fbe4632bb70>",1024,0.1,"rect",0,2,0.873151528835297,0.849632084369659
"magic",2,"<function dropout at 0x7fbe4632bb70>",512,0.1,"rect",0,2,0.872920495271683,0.858044266700745
"magic",3,"<function dropout at 0x7fbe4632bb70>",256,0.01,"rect",0,2,0.872828036546707,0.867928624153137
"magic",2,"<function dropout at 0x7fbe4632bb70>",1024,1,"rect",0,2,0.872643220424652,0.85509991645813
"magic",3,"<function dropout at 0x7fbe4632bb70>",256,0.1,"rect",0,2,0.872597008943558,0.86519467830658
"magic",3,"<function dropout at 0x7f64458b8a60>",1024,0.01,"cone",0,2,0.872504562139511,0.864563703536987
"magic",4,"<function dropout at 0x7fbe4632bb70>",512,0.1,"rect",0,2,0.872365939617157,0.865404903888702
