"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"molec-biol-promoter",3,"<function dropout at 0x7f467f98bb70>",256,0.01,"rect",0.5,2,0.836363673210144,0.769230782985687
"molec-biol-promoter",2,"<function dropout at 0x7f467f98bb70>",512,0.1,"rect",0,2,0.827272778749466,0.807692348957062
"molec-biol-promoter",3,"<function dropout at 0x7f0e42168a60>",256,0.01,"cone",0,2,0.818181872367859,0.692307710647583
"molec-biol-promoter",2,"<function dropout at 0x7f0e42168a60>",256,0.1,"cone",0.5,2,0.800000035762787,0.692307710647583
"molec-biol-promoter",32,"<function dropout at 0x7f467f98bb70>",512,0.01,"rect",0,2,0.772727313637734,0.615384697914124
"molec-biol-promoter",2,"<function dropout at 0x7f0e42168a60>",512,0.01,"cone",0.5,2,0.772727304697037,0.692307710647583
"molec-biol-promoter",3,"<function dropout at 0x7f467f98bb70>",512,0.01,"rect",0.5,2,0.763636404275894,0.692307710647583
"molec-biol-promoter",8,"<function dropout at 0x7f467f98bb70>",512,0.01,"rect",0,2,0.745454573631287,0.730769276618958
"molec-biol-promoter",4,"<function dropout at 0x7f467f98bb70>",256,0.1,"rect",0.5,2,0.736363667249679,0.692307710647583
"molec-biol-promoter",3,"<function dropout at 0x7f467f98bb70>",256,0.1,"rect",0.5,2,0.727272748947144,0.846153855323792
"molec-biol-promoter",16,"<function dropout at 0x7f467f98bb70>",512,0.01,"rect",0,2,0.727272748947143,0.846153855323792
"molec-biol-promoter",3,"<function dropout at 0x7f467f98bb70>",512,0.1,"rect",0,2,0.727272748947143,0.807692408561707
"molec-biol-promoter",2,"<function dropout at 0x7f0e42168a60>",256,1,"cone",0,2,0.727272748947143,0.769230842590332
"molec-biol-promoter",3,"<function dropout at 0x7f0e42168a60>",256,0.01,"cone",0.5,2,0.718181836605072,0.538461565971375
"molec-biol-promoter",2,"<function dropout at 0x7f0e42168a60>",256,0.1,"cone",0,2,0.709090936183929,0.730769276618958
"molec-biol-promoter",4,"<function dropout at 0x7f467f98bb70>",512,0.01,"rect",0.5,2,0.709090924263,0.807692348957062
