"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"monks-3",3,"<function dropout at 0x7fcddc353b70>",1024,0.01,"rect",0,2,0.96875,0.745370388031006
"monks-3",3,"<function dropout at 0x7fcddc353b70>",256,0.01,"rect",0,2,0.953125,0.722222208976746
"monks-3",4,"<function dropout at 0x7f6b55deca60>",512,0.01,"cone",0,2,0.95,0.719907402992249
"monks-3",2,"<function dropout at 0x7f6b55deca60>",512,0.01,"cone",0,2,0.95,0.706018507480621
"monks-3",4,"<function dropout at 0x7f6b55deca60>",256,0.01,"cone",0,2,0.940625,0.606481492519379
"monks-3",8,"<function dropout at 0x7fcddc353b70>",256,0.01,"rect",0,2,0.940625,0.745370388031006
"monks-3",4,"<function dropout at 0x7f6b55deca60>",512,0.1,"cone",0,2,0.93125,0.835648119449615
"monks-3",3,"<function dropout at 0x7fcddc353b70>",512,0.01,"rect",0,2,0.928125,0.805555582046509
"monks-3",2,"<function dropout at 0x7fcddc353b70>",256,0.01,"rect",0,2,0.925,0.666666626930237
"monks-3",8,"<function dropout at 0x7fcddc353b70>",1024,0.01,"rect",0,2,0.925,0.745370388031006
"monks-3",16,"<function dropout at 0x7fcddc353b70>",1024,0.01,"rect",0,2,0.921875,0.6875
"monks-3",16,"<function dropout at 0x7fcddc353b70>",512,0.01,"rect",0,2,0.921875,0.71527773141861
"monks-3",3,"<function dropout at 0x7f6b55deca60>",512,0.01,"cone",0,2,0.91875,0.701388895511627
"monks-3",4,"<function dropout at 0x7fcddc353b70>",1024,0.01,"rect",0,2,0.91875,0.668981432914734
"monks-3",2,"<function dropout at 0x7f6b55deca60>",1024,0.01,"cone",0,2,0.91875,0.706018447875977
"monks-3",4,"<function dropout at 0x7f6b55deca60>",1024,0.01,"cone",0,2,0.915625,0.678240776062012
"monks-3",3,"<function dropout at 0x7fcddc353b70>",256,0.1,"rect",0.5,2,0.9125,0.708333373069763
"monks-3",8,"<function dropout at 0x7f6b55deca60>",512,0.01,"cone",0,2,0.90625,0.759259283542633
"monks-3",4,"<function dropout at 0x7fcddc353b70>",256,0.01,"rect",0,2,0.90625,0.738425970077515
"monks-3",3,"<function dropout at 0x7fcddc353b70>",512,0.1,"rect",0,2,0.90625,0.571759283542633
"monks-3",3,"<function dropout at 0x7fcddc353b70>",256,0.1,"rect",0,2,0.903125,0.736111044883728
"monks-3",2,"<function dropout at 0x7fcddc353b70>",512,0.01,"rect",0,2,0.9,0.775462985038757
"monks-3",2,"<function dropout at 0x7f6b55deca60>",256,0.01,"cone",0,2,0.9,0.625
"monks-3",3,"<function dropout at 0x7fcddc353b70>",1024,0.1,"rect",0,2,0.896875,0.807870328426361
"monks-3",4,"<function dropout at 0x7fcddc353b70>",512,0.01,"rect",0,2,0.89375,0.733796358108521
"monks-3",32,"<function dropout at 0x7fcddc353b70>",512,0.01,"rect",0,2,0.890625,0.72685182094574
"monks-3",8,"<function dropout at 0x7fcddc353b70>",512,0.01,"rect",0,2,0.8875,0.606481552124023
"monks-3",2,"<function dropout at 0x7fcddc353b70>",1024,0.01,"rect",0,2,0.884375,0.766203761100769
"monks-3",2,"<function dropout at 0x7fcddc353b70>",256,0.1,"rect",0,2,0.884375,0.840277791023254
"monks-3",4,"<function dropout at 0x7fcddc353b70>",256,0.1,"rect",0,2,0.88125,0.733796238899231
"monks-3",2,"<function dropout at 0x7f6b55deca60>",1024,0.01,"cone",0.5,2,0.878125,0.72685182094574
"monks-3",4,"<function dropout at 0x7fcddc353b70>",256,0.01,"rect",0.5,2,0.875,0.638888895511627
"monks-3",2,"<function dropout at 0x7fcddc353b70>",1024,0.01,"rect",0.5,2,0.871875,0.759259223937988
"monks-3",8,"<function dropout at 0x7f6b55deca60>",1024,0.01,"cone",0,2,0.871875,0.715277791023254
"monks-3",3,"<function dropout at 0x7f6b55deca60>",256,0.1,"cone",0,2,0.871875,0.752314865589142
"monks-3",2,"<function dropout at 0x7fcddc353b70>",512,0.1,"rect",0,2,0.86875,0.657407402992249
"monks-3",3,"<function dropout at 0x7fcddc353b70>",512,0.1,"rect",0.5,2,0.865625,0.662037074565887
"monks-3",2,"<function dropout at 0x7f6b55deca60>",256,0.1,"cone",0.5,2,0.865625,0.701388895511627
"monks-3",16,"<function dropout at 0x7fcddc353b70>",256,0.01,"rect",0,2,0.865625,0.694444417953491
"monks-3",3,"<function dropout at 0x7f6b55deca60>",256,0.01,"cone",0,2,0.859375,0.58564817905426
"monks-3",3,"<function dropout at 0x7f6b55deca60>",1024,0.01,"cone",0,2,0.859375,0.715277791023254
"monks-3",2,"<function dropout at 0x7fcddc353b70>",1024,0.1,"rect",0.5,2,0.853125,0.805555582046509
"monks-3",2,"<function dropout at 0x7fcddc353b70>",512,0.01,"rect",0.5,2,0.85,0.756944417953491
"monks-3",16,"<function dropout at 0x7f6b55deca60>",512,0.01,"cone",0,2,0.85,0.55092591047287
"monks-3",3,"<function dropout at 0x7fcddc353b70>",512,0.01,"rect",0.5,2,0.85,0.738425970077515
"monks-3",3,"<function dropout at 0x7fcddc353b70>",256,0.01,"rect",0.5,2,0.846875,0.708333313465118
"monks-3",3,"<function dropout at 0x7f6b55deca60>",512,0.1,"cone",0,2,0.84375,0.768518567085266
"monks-3",32,"<function dropout at 0x7fcddc353b70>",256,0.01,"rect",0,2,0.84375,0.523148119449615
"monks-3",8,"<function dropout at 0x7f6b55deca60>",256,0.01,"cone",0,2,0.8375,0.625
"monks-3",3,"<function dropout at 0x7f6b55deca60>",1024,0.1,"cone",0,2,0.828125,0.775462985038757
"monks-3",2,"<function dropout at 0x7f6b55deca60>",512,0.01,"cone",0.5,2,0.821875,0.574074029922485
"monks-3",16,"<function dropout at 0x7f6b55deca60>",256,0.01,"cone",0,2,0.821875,0.576388895511627
"monks-3",3,"<function dropout at 0x7fcddc353b70>",1024,0.01,"rect",0.5,2,0.81875,0.745370388031006
"monks-3",4,"<function dropout at 0x7fcddc353b70>",512,0.01,"rect",0.5,2,0.809375,0.733796298503876
"monks-3",8,"<function dropout at 0x7f6b55deca60>",256,0.1,"cone",0,2,0.80625,0.55092591047287
"monks-3",2,"<function dropout at 0x7f6b55deca60>",256,0.01,"cone",0.5,2,0.80625,0.717592656612396
"monks-3",2,"<function dropout at 0x7f6b55deca60>",256,0.1,"cone",0,2,0.784375,0.564814865589142
"monks-3",2,"<function dropout at 0x7f6b55deca60>",256,1,"cone",0,2,0.784375,0.703703701496124
"monks-3",2,"<function dropout at 0x7fcddc353b70>",256,0.01,"rect",0.5,2,0.775,0.736111164093018
"monks-3",4,"<function dropout at 0x7fcddc353b70>",1024,0.01,"rect",0.5,2,0.775,0.717592597007751
"monks-3",2,"<function dropout at 0x7fcddc353b70>",256,0.1,"rect",0.5,2,0.771875,0.717592597007751
"monks-3",32,"<function dropout at 0x7f6b55deca60>",1024,0.01,"cone",0,2,0.75625,0.472222238779068
"monks-3",2,"<function dropout at 0x7fcddc353b70>",1024,0.1,"rect",0,2,0.7125,0.759259283542633
"monks-3",2,"<function dropout at 0x7fcddc353b70>",512,0.1,"rect",0.5,2,0.7125,0.819444477558136
"monks-3",2,"<function dropout at 0x7f6b55deca60>",1024,0.1,"cone",0.5,2,0.703125,0.71064817905426
"monks-3",16,"<function dropout at 0x7f6b55deca60>",512,0.1,"cone",0,2,0.68125,0.474537014961243
"monks-3",3,"<function dropout at 0x7f6b55deca60>",1024,0.01,"cone",0.5,2,0.678125,0.71527773141861
"monks-3",4,"<function dropout at 0x7f6b55deca60>",1024,0.1,"cone",0,2,0.634375,0.599537014961243
"monks-3",2,"<function dropout at 0x7f6b55deca60>",512,0.1,"cone",0.5,2,0.58125,0.365740746259689
"monks-3",3,"<function dropout at 0x7f6b55deca60>",256,0.01,"cone",0.5,2,0.571875,0.537037014961243
"monks-3",32,"<function dropout at 0x7fcddc353b70>",256,0.01,"rect",0.5,2,0.5625,0.472222238779068
"monks-3",32,"<function dropout at 0x7fcddc353b70>",1024,0.01,"rect",0.5,2,0.5625,0.472222238779068
"monks-3",32,"<function dropout at 0x7fcddc353b70>",1024,0.01,"rect",0,2,0.5625,0.472222238779068
"monks-3",32,"<function dropout at 0x7fcddc353b70>",512,0.1,"rect",0.5,2,0.5625,0.472222238779068
"monks-3",32,"<function dropout at 0x7fcddc353b70>",1024,0.1,"rect",0.5,2,0.5625,0.472222238779068
"monks-3",32,"<function dropout at 0x7fcddc353b70>",256,0.1,"rect",0,2,0.5625,0.472222238779068
"monks-3",32,"<function dropout at 0x7fcddc353b70>",512,0.1,"rect",0,2,0.5625,0.472222238779068
"monks-3",32,"<function dropout at 0x7fcddc353b70>",1024,0.1,"rect",0,2,0.5625,0.472222208976746
"monks-3",32,"<function dropout at 0x7fcddc353b70>",512,1,"rect",0.5,2,0.5625,0.472222238779068
"monks-3",32,"<function dropout at 0x7fcddc353b70>",1024,1,"rect",0.5,2,0.5625,0.472222238779068
"monks-3",32,"<function dropout at 0x7fcddc353b70>",256,1,"rect",0,2,0.5625,0.472222238779068
"monks-3",32,"<function dropout at 0x7fcddc353b70>",512,1,"rect",0,2,0.5625,0.472222238779068
"monks-3",32,"<function dropout at 0x7fcddc353b70>",1024,1,"rect",0,2,0.5625,0.472222238779068
"monks-3",16,"<function dropout at 0x7fcddc353b70>",512,0.1,"rect",0.5,2,0.5625,0.472222238779068
"monks-3",16,"<function dropout at 0x7fcddc353b70>",1024,0.1,"rect",0.5,2,0.5625,0.472222238779068
"monks-3",16,"<function dropout at 0x7fcddc353b70>",256,0.1,"rect",0,2,0.5625,0.472222238779068
"monks-3",16,"<function dropout at 0x7fcddc353b70>",512,0.1,"rect",0,2,0.5625,0.472222238779068
"monks-3",16,"<function dropout at 0x7fcddc353b70>",1024,0.1,"rect",0,2,0.5625,0.472222238779068
"monks-3",16,"<function dropout at 0x7fcddc353b70>",256,1,"rect",0.5,2,0.5625,0.472222238779068
"monks-3",16,"<function dropout at 0x7fcddc353b70>",256,1,"rect",0,2,0.5625,0.472222238779068
"monks-3",16,"<function dropout at 0x7fcddc353b70>",512,1,"rect",0,2,0.5625,0.472222238779068
"monks-3",16,"<function dropout at 0x7fcddc353b70>",1024,1,"rect",0,2,0.5625,0.472222238779068
"monks-3",8,"<function dropout at 0x7fcddc353b70>",256,0.1,"rect",0.5,2,0.5625,0.472222238779068
"monks-3",8,"<function dropout at 0x7fcddc353b70>",256,0.1,"rect",0,2,0.5625,0.472222238779068
"monks-3",8,"<function dropout at 0x7fcddc353b70>",512,0.1,"rect",0,2,0.5625,0.472222238779068
"monks-3",8,"<function dropout at 0x7fcddc353b70>",1024,0.1,"rect",0,2,0.5625,0.472222238779068
"monks-3",8,"<function dropout at 0x7fcddc353b70>",1024,1,"rect",0.5,2,0.5625,0.472222238779068
"monks-3",8,"<function dropout at 0x7fcddc353b70>",256,1,"rect",0,2,0.5625,0.472222238779068
"monks-3",8,"<function dropout at 0x7fcddc353b70>",512,1,"rect",0,2,0.5625,0.472222238779068
"monks-3",8,"<function dropout at 0x7fcddc353b70>",1024,1,"rect",0,2,0.5625,0.472222238779068
"monks-3",4,"<function dropout at 0x7f6b55deca60>",1024,0.01,"cone",0.5,2,0.5625,0.541666686534882
"monks-3",4,"<function dropout at 0x7fcddc353b70>",256,0.1,"rect",0.5,2,0.5625,0.472222238779068
"monks-3",4,"<function dropout at 0x7fcddc353b70>",1024,0.1,"rect",0.5,2,0.5625,0.472222238779068
"monks-3",4,"<function dropout at 0x7fcddc353b70>",512,0.1,"rect",0,2,0.5625,0.472222238779068
"monks-3",4,"<function dropout at 0x7fcddc353b70>",1024,0.1,"rect",0,2,0.5625,0.472222238779068
"monks-3",4,"<function dropout at 0x7f6b55deca60>",256,1,"cone",0.5,2,0.5625,0.472222238779068
"monks-3",4,"<function dropout at 0x7f6b55deca60>",512,1,"cone",0.5,2,0.5625,0.472222238779068
"monks-3",4,"<function dropout at 0x7fcddc353b70>",256,1,"rect",0.5,2,0.5625,0.472222238779068
"monks-3",4,"<function dropout at 0x7fcddc353b70>",1024,1,"rect",0.5,2,0.5625,0.472222238779068
"monks-3",4,"<function dropout at 0x7f6b55deca60>",512,1,"cone",0,2,0.5625,0.472222238779068
"monks-3",4,"<function dropout at 0x7fcddc353b70>",256,1,"rect",0,2,0.5625,0.472222238779068
"monks-3",4,"<function dropout at 0x7fcddc353b70>",512,1,"rect",0,2,0.5625,0.472222208976746
"monks-3",4,"<function dropout at 0x7fcddc353b70>",1024,1,"rect",0,2,0.5625,0.472222238779068
"monks-3",3,"<function dropout at 0x7fcddc353b70>",1024,0.1,"rect",0.5,2,0.5625,0.472222238779068
"monks-3",3,"<function dropout at 0x7f6b55deca60>",256,1,"cone",0.5,2,0.5625,0.472222238779068
"monks-3",3,"<function dropout at 0x7f6b55deca60>",512,1,"cone",0.5,2,0.5625,0.472222238779068
"monks-3",3,"<function dropout at 0x7fcddc353b70>",256,1,"rect",0.5,2,0.5625,0.472222238779068
"monks-3",3,"<function dropout at 0x7fcddc353b70>",512,1,"rect",0.5,2,0.5625,0.472222238779068
"monks-3",3,"<function dropout at 0x7fcddc353b70>",1024,1,"rect",0.5,2,0.5625,0.472222238779068
"monks-3",3,"<function dropout at 0x7f6b55deca60>",512,1,"cone",0,2,0.5625,0.472222238779068
"monks-3",3,"<function dropout at 0x7fcddc353b70>",256,1,"rect",0,2,0.5625,0.472222238779068
"monks-3",3,"<function dropout at 0x7fcddc353b70>",512,1,"rect",0,2,0.5625,0.472222238779068
"monks-3",3,"<function dropout at 0x7fcddc353b70>",1024,1,"rect",0,2,0.5625,0.472222238779068
"monks-3",2,"<function dropout at 0x7f6b55deca60>",512,1,"cone",0.5,2,0.5625,0.472222238779068
"monks-3",2,"<function dropout at 0x7f6b55deca60>",1024,1,"cone",0.5,2,0.5625,0.472222238779068
"monks-3",2,"<function dropout at 0x7fcddc353b70>",512,1,"rect",0.5,2,0.5625,0.472222238779068
"monks-3",2,"<function dropout at 0x7fcddc353b70>",1024,1,"rect",0.5,2,0.5625,0.472222238779068
"monks-3",2,"<function dropout at 0x7fcddc353b70>",1024,1,"rect",0,2,0.5625,0.472222238779068
"monks-3",8,"<function dropout at 0x7fcddc353b70>",512,0.01,"rect",0.5,2,0.559375,0.458333343267441
"monks-3",32,"<function dropout at 0x7f6b55deca60>",512,0.1,"cone",0,2,0.55625,0.527777791023254
"monks-3",16,"<function dropout at 0x7fcddc353b70>",1024,1,"rect",0.5,2,0.55,0.472222238779068
"monks-3",8,"<function dropout at 0x7f6b55deca60>",1024,0.01,"cone",0.5,2,0.546875,0.472222238779068
"monks-3",16,"<function dropout at 0x7f6b55deca60>",1024,0.01,"cone",0,2,0.546875,0.541666686534882
