"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"musk-1",2,"<function dropout at 0x7f8e49ff7b70>",1024,0.1,"rect",0.5,2,0.966666680574417,0.865546345710754
"musk-1",3,"<function dropout at 0x7f973eac8a60>",512,0.1,"cone",0,2,0.964912295341492,0.907563090324402
"musk-1",3,"<function dropout at 0x7f973eac8a60>",1024,0.1,"cone",0,2,0.963157910108566,0.899159789085388
"musk-1",4,"<function dropout at 0x7f8e49ff7b70>",512,0.01,"rect",0,2,0.961403524875641,0.890756368637085
"musk-1",2,"<function dropout at 0x7f8e49ff7b70>",512,0.1,"rect",0.5,2,0.952631598711014,0.890756368637085
"musk-1",16,"<function dropout at 0x7f8e49ff7b70>",256,0.1,"rect",0,2,0.947368443012238,0.857142925262451
"musk-1",4,"<function dropout at 0x7f8e49ff7b70>",512,0.1,"rect",0,2,0.947368443012238,0.873949646949768
"musk-1",4,"<function dropout at 0x7f8e49ff7b70>",1024,0.1,"rect",0,2,0.947368443012238,0.899159789085388
"musk-1",3,"<function dropout at 0x7f8e49ff7b70>",512,0.1,"rect",0,2,0.947368443012238,0.873949646949768
"musk-1",3,"<function dropout at 0x7f8e49ff7b70>",1024,0.1,"rect",0,2,0.947368443012238,0.907563090324402
"musk-1",8,"<function dropout at 0x7f8e49ff7b70>",1024,0.01,"rect",0,2,0.945614057779312,0.890756368637085
"musk-1",3,"<function dropout at 0x7f8e49ff7b70>",1024,0.1,"rect",0.5,2,0.942105287313461,0.865546226501465
"musk-1",4,"<function dropout at 0x7f973eac8a60>",1024,0.1,"cone",0,2,0.942105287313461,0.873949646949768
"musk-1",3,"<function dropout at 0x7f8e49ff7b70>",512,0.1,"rect",0.5,2,0.940350902080536,0.831932902336121
"musk-1",3,"<function dropout at 0x7f973eac8a60>",1024,0.1,"cone",0.5,2,0.940350896120071,0.890756368637085
"musk-1",3,"<function dropout at 0x7f973eac8a60>",256,0.1,"cone",0,2,0.938596516847611,0.840336203575134
"musk-1",2,"<function dropout at 0x7f973eac8a60>",512,0.1,"cone",0,2,0.938596516847611,0.890756368637085
"musk-1",2,"<function dropout at 0x7f8e49ff7b70>",512,0.01,"rect",0.5,2,0.931578975915909,0.848739624023438
"musk-1",4,"<function dropout at 0x7f8e49ff7b70>",1024,0.1,"rect",0.5,2,0.931578975915909,0.873949646949768
"musk-1",32,"<function dropout at 0x7f8e49ff7b70>",1024,0.01,"rect",0,2,0.929824590682984,0.865546226501465
"musk-1",4,"<function dropout at 0x7f8e49ff7b70>",1024,0.01,"rect",0,2,0.929824590682984,0.873949646949768
"musk-1",4,"<function dropout at 0x7f973eac8a60>",256,0.1,"cone",0,2,0.929824590682984,0.882352948188782
"musk-1",4,"<function dropout at 0x7f8e49ff7b70>",256,0.1,"rect",0,2,0.929824590682984,0.873949646949768
"musk-1",3,"<function dropout at 0x7f973eac8a60>",256,0.01,"cone",0,2,0.929824590682984,0.848739504814148
"musk-1",2,"<function dropout at 0x7f973eac8a60>",1024,0.01,"cone",0,2,0.929824590682984,0.857142925262451
"musk-1",2,"<function dropout at 0x7f8e49ff7b70>",1024,0.1,"rect",0,2,0.929824590682984,0.865546345710754
"musk-1",2,"<function dropout at 0x7f8e49ff7b70>",256,0.01,"rect",0,2,0.928070205450058,0.798319339752197
"musk-1",2,"<function dropout at 0x7f8e49ff7b70>",1024,0.01,"rect",0,2,0.928070199489594,0.882352948188782
"musk-1",2,"<function dropout at 0x7f8e49ff7b70>",512,0.1,"rect",0,2,0.928070199489594,0.890756368637085
"musk-1",2,"<function dropout at 0x7f973eac8a60>",1024,0.1,"cone",0,2,0.928070187568665,0.882353067398071
"musk-1",2,"<function dropout at 0x7f973eac8a60>",512,0.1,"cone",0.5,2,0.924561429023743,0.865546226501465
"musk-1",2,"<function dropout at 0x7f8e49ff7b70>",256,0.1,"rect",0.5,2,0.924561429023743,0.882352948188782
"musk-1",8,"<function dropout at 0x7f973eac8a60>",1024,0.1,"cone",0,2,0.924561417102814,0.882352948188782
"musk-1",4,"<function dropout at 0x7f8e49ff7b70>",512,0.1,"rect",0.5,2,0.922807049751282,0.815126180648804
"musk-1",4,"<function dropout at 0x7f8e49ff7b70>",256,0.01,"rect",0,2,0.922807037830353,0.848739624023438
"musk-1",3,"<function dropout at 0x7f8e49ff7b70>",256,0.1,"rect",0,2,0.922807025909424,0.882352948188782
"musk-1",4,"<function dropout at 0x7f973eac8a60>",512,0.1,"cone",0,2,0.921052664518356,0.899159789085388
"musk-1",3,"<function dropout at 0x7f8e49ff7b70>",512,0.01,"rect",0,2,0.921052634716034,0.865546226501465
"musk-1",16,"<function dropout at 0x7f8e49ff7b70>",512,0.01,"rect",0,2,0.921052634716034,0.840336203575134
"musk-1",2,"<function dropout at 0x7f973eac8a60>",256,0.1,"cone",0,2,0.919298243522644,0.899159789085388
"musk-1",2,"<function dropout at 0x7f973eac8a60>",256,0.1,"cone",0.5,2,0.917543858289719,0.823529481887817
"musk-1",2,"<function dropout at 0x7f973eac8a60>",1024,0.1,"cone",0.5,2,0.917543852329254,0.915966391563416
"musk-1",4,"<function dropout at 0x7f8e49ff7b70>",256,0.1,"rect",0.5,2,0.91578950881958,0.831932902336121
"musk-1",4,"<function dropout at 0x7f973eac8a60>",512,0.01,"cone",0,2,0.915789461135864,0.882352948188782
"musk-1",2,"<function dropout at 0x7f973eac8a60>",1024,0.01,"cone",0.5,2,0.915789461135864,0.848739624023438
"musk-1",8,"<function dropout at 0x7f8e49ff7b70>",256,0.1,"rect",0,2,0.914035075902939,0.890756368637085
"musk-1",8,"<function dropout at 0x7f973eac8a60>",1024,0.01,"cone",0,2,0.912280738353729,0.865546345710754
"musk-1",16,"<function dropout at 0x7f8e49ff7b70>",256,0.01,"rect",0,2,0.912280678749084,0.823529481887817
"musk-1",8,"<function dropout at 0x7f8e49ff7b70>",512,0.01,"rect",0,2,0.912280678749084,0.848739624023438
"musk-1",3,"<function dropout at 0x7f8e49ff7b70>",1024,0.01,"rect",0,2,0.910526299476624,0.882353067398071
"musk-1",2,"<function dropout at 0x7f973eac8a60>",512,0.01,"cone",0.5,2,0.908771908283234,0.823529481887817
"musk-1",2,"<function dropout at 0x7f973eac8a60>",512,0.01,"cone",0,2,0.908771908283234,0.882352948188782
"musk-1",4,"<function dropout at 0x7f8e49ff7b70>",256,0.01,"rect",0.5,2,0.905263167619705,0.78151273727417
"musk-1",2,"<function dropout at 0x7f8e49ff7b70>",256,0.1,"rect",0,2,0.901754379272461,0.840336203575134
"musk-1",4,"<function dropout at 0x7f8e49ff7b70>",1024,0.01,"rect",0.5,2,0.899999994039536,0.798319339752197
"musk-1",8,"<function dropout at 0x7f8e49ff7b70>",256,0.01,"rect",0,2,0.898245644569397,0.815126061439514
"musk-1",3,"<function dropout at 0x7f973eac8a60>",512,0.01,"cone",0,2,0.898245596885681,0.840336203575134
"musk-1",2,"<function dropout at 0x7f8e49ff7b70>",1024,0.01,"rect",0.5,2,0.896491223573685,0.823529481887817
"musk-1",2,"<function dropout at 0x7f8e49ff7b70>",512,0.01,"rect",0,2,0.89649121761322,0.890756368637085
"musk-1",8,"<function dropout at 0x7f973eac8a60>",512,0.1,"cone",0,2,0.894736886024475,0.848739504814148
"musk-1",4,"<function dropout at 0x7f973eac8a60>",1024,0.01,"cone",0,2,0.894736886024475,0.865546226501465
"musk-1",4,"<function dropout at 0x7f973eac8a60>",256,0.01,"cone",0,2,0.894736826419831,0.831932902336121
"musk-1",2,"<function dropout at 0x7f973eac8a60>",256,0.01,"cone",0,2,0.894736826419831,0.815126180648804
"musk-1",3,"<function dropout at 0x7f8e49ff7b70>",256,0.1,"rect",0.5,2,0.889473712444306,0.865546345710754
"musk-1",2,"<function dropout at 0x7f8e49ff7b70>",256,0.01,"rect",0.5,2,0.887719285488129,0.865546345710754
"musk-1",32,"<function dropout at 0x7f8e49ff7b70>",512,0.01,"rect",0,2,0.884210520982742,0.831932902336121
"musk-1",4,"<function dropout at 0x7f8e49ff7b70>",512,0.01,"rect",0.5,2,0.882456165552139,0.739495873451233
"musk-1",3,"<function dropout at 0x7f8e49ff7b70>",256,0.01,"rect",0,2,0.877192974090576,0.823529481887817
"musk-1",8,"<function dropout at 0x7f973eac8a60>",256,0.01,"cone",0,2,0.875438630580902,0.840336203575134
"musk-1",3,"<function dropout at 0x7f8e49ff7b70>",256,0.01,"rect",0.5,2,0.873684203624725,0.739495873451233
"musk-1",3,"<function dropout at 0x7f973eac8a60>",1024,0.01,"cone",0,2,0.8719298183918,0.865546345710754
"musk-1",3,"<function dropout at 0x7f8e49ff7b70>",1024,0.01,"rect",0.5,2,0.866666674613953,0.773109316825867
"musk-1",3,"<function dropout at 0x7f973eac8a60>",512,0.1,"cone",0.5,2,0.857894736528397,0.823529481887817
"musk-1",3,"<function dropout at 0x7f8e49ff7b70>",512,0.01,"rect",0.5,2,0.857894730567932,0.8067227602005
"musk-1",2,"<function dropout at 0x7f973eac8a60>",256,0.01,"cone",0.5,2,0.856140369176865,0.8067227602005
"musk-1",3,"<function dropout at 0x7f973eac8a60>",256,0.1,"cone",0.5,2,0.852631580829621,0.764705896377563
"musk-1",16,"<function dropout at 0x7f8e49ff7b70>",1024,0.01,"rect",0,2,0.85263158082962,0.840336203575134
"musk-1",32,"<function dropout at 0x7f8e49ff7b70>",256,0.01,"rect",0,2,0.843859654664993,0.848739504814148
"musk-1",16,"<function dropout at 0x7f973eac8a60>",1024,0.01,"cone",0,2,0.835087728500366,0.773109316825867
"musk-1",3,"<function dropout at 0x7f973eac8a60>",512,0.01,"cone",0.5,2,0.833333343267441,0.731092572212219
"musk-1",8,"<function dropout at 0x7f973eac8a60>",512,0.01,"cone",0,2,0.822807031869888,0.747899174690247
"musk-1",8,"<function dropout at 0x7f973eac8a60>",256,0.1,"cone",0,2,0.812280702590943,0.865546345710754
"musk-1",32,"<function dropout at 0x7f973eac8a60>",512,0.01,"cone",0,2,0.724561405181885,0.714285731315613
"musk-1",4,"<function dropout at 0x7f973eac8a60>",512,0.01,"cone",0.5,2,0.705263143777847,0.663865566253662
