"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"nursery",2,"<function dropout at 0x7f90c17f5a60>",512,1,"cone",0,2,1,0.998765468597412
"nursery",4,"<function dropout at 0x7f90c17f5a60>",512,0.1,"cone",0,2,0.999858355522156,0.997222065925598
"nursery",2,"<function dropout at 0x7f7a4628eb70>",256,1,"rect",0,2,0.999504244327545,0.998765408992767
"nursery",3,"<function dropout at 0x7f90c17f5a60>",512,0.1,"cone",0,2,0.998937666416168,0.996296226978302
"nursery",2,"<function dropout at 0x7f7a4628eb70>",512,1,"rect",0,2,0.998866850137711,0.996913492679596
"nursery",4,"<function dropout at 0x7f90c17f5a60>",1024,0.1,"cone",0,2,0.998796027898789,0.997222185134888
"nursery",3,"<function dropout at 0x7f90c17f5a60>",256,1,"cone",0,2,0.998796027898789,0.99753075838089
"nursery",2,"<function dropout at 0x7f7a4628eb70>",256,1,"rect",0.5,2,0.998725217580795,0.996296226978302
"nursery",3,"<function dropout at 0x7f90c17f5a60>",1024,0.1,"cone",0,2,0.998087823390961,0.996913433074951
"nursery",2,"<function dropout at 0x7f7a4628eb70>",512,0.1,"rect",0,2,0.998087811470032,0.996296286582947
"nursery",3,"<function dropout at 0x7f7a4628eb70>",256,0.1,"rect",0,2,0.998087811470032,0.993827104568481
"nursery",4,"<function dropout at 0x7f90c17f5a60>",256,0.1,"cone",0,2,0.998016995191574,0.995678901672363
"nursery",4,"<function dropout at 0x7f7a4628eb70>",1024,0.1,"rect",0,2,0.997804516553879,0.994753003120422
"nursery",2,"<function dropout at 0x7f7a4628eb70>",1024,1,"rect",0,2,0.997733747959137,0.995678901672363
"nursery",4,"<function dropout at 0x7f7a4628eb70>",512,0.1,"rect",0,2,0.99773371219635,0.994753062725067
"nursery",3,"<function dropout at 0x7f7a4628eb70>",1024,0.1,"rect",0,2,0.997733688354492,0.995987594127655
"nursery",8,"<function dropout at 0x7f7a4628eb70>",512,0.1,"rect",0,2,0.997167158126831,0.995061755180359
"nursery",2,"<function dropout at 0x7f7a4628eb70>",256,0.1,"rect",0,2,0.997167110443115,0.994135737419128
"nursery",2,"<function dropout at 0x7f90c17f5a60>",512,0.1,"cone",0,2,0.997096335887909,0.995370268821716
"nursery",2,"<function dropout at 0x7f7a4628eb70>",1024,0.1,"rect",0,2,0.997096329927445,0.99598753452301
"nursery",8,"<function dropout at 0x7f90c17f5a60>",512,0.1,"cone",0,2,0.997025489807129,0.995370268821716
"nursery",2,"<function dropout at 0x7f90c17f5a60>",256,0.1,"cone",0,2,0.996883898973465,0.996296226978302
"nursery",2,"<function dropout at 0x7f90c17f5a60>",1024,0.1,"cone",0,2,0.996742212772369,0.996913552284241
"nursery",3,"<function dropout at 0x7f7a4628eb70>",512,0.1,"rect",0,2,0.996529757976532,0.995061635971069
"nursery",8,"<function dropout at 0x7f90c17f5a60>",256,0.1,"cone",0,2,0.996458959579468,0.997839450836182
"nursery",16,"<function dropout at 0x7f7a4628eb70>",256,0.1,"rect",0,2,0.996458947658539,0.996296167373657
"nursery",2,"<function dropout at 0x7f7a4628eb70>",512,1,"rect",0.5,2,0.996104824542999,0.996604859828949
"nursery",4,"<function dropout at 0x7f7a4628eb70>",256,0.1,"rect",0,2,0.99582154750824,0.995678961277008
"nursery",8,"<function dropout at 0x7f7a4628eb70>",256,0.1,"rect",0,2,0.995679903030396,0.991666495800018
"nursery",8,"<function dropout at 0x7f7a4628eb70>",1024,0.01,"rect",0,2,0.995609110593796,0.991975247859955
"nursery",3,"<function dropout at 0x7f90c17f5a60>",256,0.1,"cone",0,2,0.995467460155487,0.996604800224304
"nursery",4,"<function dropout at 0x7f90c17f5a60>",1024,0.01,"cone",0,2,0.99518421292305,0.992592573165894
"nursery",4,"<function dropout at 0x7f7a4628eb70>",1024,0.01,"rect",0,2,0.995184183120728,0.994135737419128
"nursery",4,"<function dropout at 0x7f7a4628eb70>",512,0.01,"rect",0,2,0.994971740245819,0.991975247859955
"nursery",8,"<function dropout at 0x7f7a4628eb70>",512,0.01,"rect",0,2,0.994051003456116,0.992901146411896
"nursery",3,"<function dropout at 0x7f90c17f5a60>",1024,0.01,"cone",0,2,0.993626171350479,0.992901146411896
"nursery",16,"<function dropout at 0x7f7a4628eb70>",1024,0.01,"rect",0,2,0.99341367483139,0.989814698696136
"nursery",3,"<function dropout at 0x7f7a4628eb70>",512,0.01,"rect",0,2,0.992776268720627,0.991049289703369
"nursery",3,"<function dropout at 0x7f7a4628eb70>",1024,0.1,"rect",0.5,2,0.992776262760162,0.993827044963837
