"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"optical",4,"<function dropout at 0x7f4d376fca60>",1024,0.1,"cone",0.5,2,0.98636965751648,0.96661102771759
"optical",3,"<function dropout at 0x7f4d376fca60>",1024,0.1,"cone",0,2,0.985714375972748,0.963272154331207
"optical",2,"<function dropout at 0x7fa6e9044b70>",512,0.1,"rect",0.5,2,0.985583305358887,0.967167377471924
"optical",4,"<function dropout at 0x7fa6e9044b70>",1024,0.1,"rect",0.5,2,0.98519012928009,0.969393372535706
"optical",3,"<function dropout at 0x7f4d376fca60>",512,0.1,"cone",0.5,2,0.984927958250046,0.964941501617432
"optical",4,"<function dropout at 0x7f4d376fca60>",1024,0.01,"cone",0,2,0.984272718429565,0.958263754844666
"optical",2,"<function dropout at 0x7fa6e9044b70>",512,0.1,"rect",0,2,0.984010589122772,0.969949841499329
"optical",3,"<function dropout at 0x7fa6e9044b70>",512,0.1,"rect",0,2,0.983879500627518,0.965498089790344
"optical",2,"<function dropout at 0x7fa6e9044b70>",1024,0.1,"rect",0.5,2,0.983486306667328,0.97217583656311
"optical",2,"<function dropout at 0x7f4d376fca60>",1024,0.1,"cone",0.5,2,0.983355295658112,0.973288834095001
"optical",3,"<function dropout at 0x7f4d376fca60>",1024,0.01,"cone",0,2,0.983224189281464,0.959376692771912
"optical",2,"<function dropout at 0x7fa6e9044b70>",1024,0.1,"rect",0,2,0.982962065935135,0.969393312931061
"optical",4,"<function dropout at 0x7fa6e9044b70>",256,0.1,"rect",0.5,2,0.982831001281738,0.964941501617432
"optical",3,"<function dropout at 0x7fa6e9044b70>",512,0.1,"rect",0.5,2,0.982699978351593,0.973845243453979
"optical",4,"<function dropout at 0x7fa6e9044b70>",1024,0.1,"rect",0,2,0.982568895816803,0.963272035121918
"optical",2,"<function dropout at 0x7f4d376fca60>",512,1,"cone",0.5,2,0.982306778430939,0.959376692771912
"optical",2,"<function dropout at 0x7f4d376fca60>",256,0.1,"cone",0,2,0.982306772470474,0.964941501617432
"optical",2,"<function dropout at 0x7fa6e9044b70>",1024,0.01,"rect",0,2,0.98230676651001,0.957707226276398
"optical",3,"<function dropout at 0x7fa6e9044b70>",256,0.1,"rect",0.5,2,0.982306718826294,0.969949841499329
"optical",3,"<function dropout at 0x7f4d376fca60>",256,0.1,"cone",0,2,0.981913590431214,0.956594228744507
"optical",3,"<function dropout at 0x7fa6e9044b70>",1024,0.1,"rect",0.5,2,0.981913578510284,0.971062779426575
"optical",3,"<function dropout at 0x7f4d376fca60>",256,0.1,"cone",0.5,2,0.981782537698746,0.962159037590027
"optical",2,"<function dropout at 0x7f4d376fca60>",1024,0.1,"cone",0,2,0.981389349699021,0.967723906040192
"optical",2,"<function dropout at 0x7fa6e9044b70>",256,0.01,"rect",0,2,0.980340838432312,0.960489630699158
"optical",8,"<function dropout at 0x7fa6e9044b70>",512,0.1,"rect",0,2,0.980340820550919,0.958820164203644
"optical",2,"<function dropout at 0x7f4d376fca60>",256,1,"cone",0,2,0.980340814590454,0.963272094726562
"optical",3,"<function dropout at 0x7f4d376fca60>",1024,0.1,"cone",0.5,2,0.980209755897522,0.963828563690186
"optical",4,"<function dropout at 0x7fa6e9044b70>",1024,0.01,"rect",0,2,0.980078721046448,0.967723906040192
"optical",3,"<function dropout at 0x7fa6e9044b70>",512,0.01,"rect",0,2,0.979947662353516,0.963828563690186
"optical",2,"<function dropout at 0x7fa6e9044b70>",512,0.01,"rect",0,2,0.979947662353516,0.962159097194672
"optical",4,"<function dropout at 0x7f4d376fca60>",256,0.1,"cone",0,2,0.979947644472122,0.958263754844666
"optical",2,"<function dropout at 0x7fa6e9044b70>",256,0.1,"rect",0.5,2,0.979816597700119,0.963272094726562
"optical",3,"<function dropout at 0x7fa6e9044b70>",1024,0.1,"rect",0,2,0.979816579818725,0.963828504085541
"optical",3,"<function dropout at 0x7fa6e9044b70>",256,0.01,"rect",0,2,0.979816555976868,0.953255414962769
"optical",3,"<function dropout at 0x7f4d376fca60>",512,0.1,"cone",0,2,0.979685533046722,0.965498030185699
"optical",2,"<function dropout at 0x7f4d376fca60>",512,0.1,"cone",0.5,2,0.979554444551468,0.966054439544678
"optical",8,"<function dropout at 0x7f4d376fca60>",1024,0.1,"cone",0,2,0.979423427581787,0.963828563690186
"optical",2,"<function dropout at 0x7f4d376fca60>",1024,0.01,"cone",0.5,2,0.979423403739929,0.962159097194672
"optical",2,"<function dropout at 0x7f4d376fca60>",512,0.1,"cone",0,2,0.979161298274994,0.965497970581055
"optical",4,"<function dropout at 0x7fa6e9044b70>",256,0.01,"rect",0,2,0.979030203819275,0.957707226276398
"optical",2,"<function dropout at 0x7f4d376fca60>",1024,0.01,"cone",0,2,0.979030132293701,0.959376692771912
"optical",2,"<function dropout at 0x7f4d376fca60>",512,0.01,"cone",0,2,0.978637051582336,0.962159097194672
"optical",8,"<function dropout at 0x7fa6e9044b70>",1024,0.1,"rect",0,2,0.978637039661407,0.964384973049164
"optical",2,"<function dropout at 0x7fa6e9044b70>",256,1,"rect",0,2,0.978637027740479,0.966054499149323
"optical",3,"<function dropout at 0x7fa6e9044b70>",1024,0.01,"rect",0,2,0.978637015819549,0.963828504085541
"optical",2,"<function dropout at 0x7fa6e9044b70>",512,1,"rect",0,2,0.97837495803833,0.963828563690186
"optical",4,"<function dropout at 0x7fa6e9044b70>",512,0.1,"rect",0,2,0.977850663661957,0.965497970581055
"optical",4,"<function dropout at 0x7fa6e9044b70>",512,0.01,"rect",0,2,0.977719593048096,0.952142417430878
"optical",4,"<function dropout at 0x7f4d376fca60>",1024,0.1,"cone",0,2,0.977457451820374,0.964385032653809
"optical",4,"<function dropout at 0x7f4d376fca60>",512,0.1,"cone",0.5,2,0.977195316553116,0.956037759780884
"optical",8,"<function dropout at 0x7fa6e9044b70>",1024,0.01,"rect",0,2,0.976933193206787,0.957707226276398
"optical",2,"<function dropout at 0x7f4d376fca60>",256,0.1,"cone",0.5,2,0.976802134513855,0.961046099662781
"optical",2,"<function dropout at 0x7fa6e9044b70>",256,0.1,"rect",0,2,0.976671087741852,0.962159156799316
"optical",4,"<function dropout at 0x7fa6e9044b70>",512,0.1,"rect",0.5,2,0.976671075820923,0.970506370067596
"optical",8,"<function dropout at 0x7fa6e9044b70>",512,0.01,"rect",0,2,0.975491547584534,0.954368352890015
"optical",16,"<function dropout at 0x7fa6e9044b70>",1024,0.01,"rect",0,2,0.975360488891602,0.948803544044495
"optical",3,"<function dropout at 0x7fa6e9044b70>",256,0.1,"rect",0,2,0.975360488891602,0.963828504085541
"optical",4,"<function dropout at 0x7fa6e9044b70>",256,0.1,"rect",0,2,0.975229430198669,0.960489630699158
"optical",4,"<function dropout at 0x7f4d376fca60>",512,0.1,"cone",0,2,0.974967300891876,0.960489571094513
"optical",2,"<function dropout at 0x7fa6e9044b70>",256,0.01,"rect",0.5,2,0.974836254119873,0.953255355358124
"optical",2,"<function dropout at 0x7fa6e9044b70>",512,0.01,"rect",0.5,2,0.974443078041077,0.953255355358124
"optical",2,"<function dropout at 0x7fa6e9044b70>",1024,0.01,"rect",0.5,2,0.974443078041077,0.964385032653809
"optical",8,"<function dropout at 0x7f4d376fca60>",1024,0.01,"cone",0,2,0.973918807506561,0.948803544044495
"optical",2,"<function dropout at 0x7f4d376fca60>",256,1,"cone",0.5,2,0.973525643348694,0.949916541576385
"optical",4,"<function dropout at 0x7f4d376fca60>",256,0.01,"cone",0,2,0.973525643348694,0.953255414962769
"optical",3,"<function dropout at 0x7f4d376fca60>",256,1,"cone",0,2,0.973132467269898,0.959376692771912
"optical",16,"<function dropout at 0x7fa6e9044b70>",256,0.1,"rect",0,2,0.97313244342804,0.956594228744507
"optical",2,"<function dropout at 0x7f4d376fca60>",512,1,"cone",0,2,0.972608160972595,0.954368352890015
"optical",8,"<function dropout at 0x7fa6e9044b70>",256,0.1,"rect",0,2,0.972477167844772,0.947134077548981
"optical",4,"<function dropout at 0x7fa6e9044b70>",1024,0.01,"rect",0.5,2,0.971559715270996,0.955481350421906
"optical",3,"<function dropout at 0x7f4d376fca60>",512,0.01,"cone",0,2,0.971428662538528,0.954924821853638
"optical",16,"<function dropout at 0x7fa6e9044b70>",256,0.01,"rect",0,2,0.971166551113129,0.938230395317078
"optical",8,"<function dropout at 0x7fa6e9044b70>",256,0.01,"rect",0,2,0.971166509389877,0.947134077548981
"optical",8,"<function dropout at 0x7f4d376fca60>",512,0.1,"cone",0,2,0.970773303508758,0.957150757312775
"optical",2,"<function dropout at 0x7f4d376fca60>",256,0.01,"cone",0,2,0.969855904579163,0.945464670658112
"optical",3,"<function dropout at 0x7f4d376fca60>",256,0.01,"cone",0,2,0.969724833965302,0.956594347953796
"optical",3,"<function dropout at 0x7fa6e9044b70>",1024,0.01,"rect",0.5,2,0.969593787193298,0.958263754844666
"optical",4,"<function dropout at 0x7f4d376fca60>",512,0.01,"cone",0,2,0.96946274638176,0.950472950935364
"optical",2,"<function dropout at 0x7fa6e9044b70>",512,1,"rect",0.5,2,0.969331640005112,0.953255414962769
"optical",32,"<function dropout at 0x7f4d376fca60>",1024,0.01,"cone",0,2,0.969200617074967,0.936560928821564
"optical",8,"<function dropout at 0x7f4d376fca60>",256,0.1,"cone",0,2,0.968545246124268,0.948803603649139
"optical",16,"<function dropout at 0x7fa6e9044b70>",512,0.1,"rect",0,2,0.967627906799317,0.947134077548981
"optical",2,"<function dropout at 0x7fa6e9044b70>",256,1,"rect",0.5,2,0.966972553730011,0.957707226276398
"optical",32,"<function dropout at 0x7fa6e9044b70>",1024,0.01,"rect",0,2,0.966841459274292,0.956594228744507
"optical",3,"<function dropout at 0x7fa6e9044b70>",512,0.01,"rect",0.5,2,0.966710430383682,0.954368352890015
"optical",3,"<function dropout at 0x7f4d376fca60>",1024,0.01,"cone",0.5,2,0.96644834280014,0.951029539108276
"optical",2,"<function dropout at 0x7fa6e9044b70>",1024,1,"rect",0.5,2,0.96618617773056,0.946021199226379
"optical",2,"<function dropout at 0x7f4d376fca60>",512,0.01,"cone",0.5,2,0.965661907196045,0.952698826789856
"optical",4,"<function dropout at 0x7fa6e9044b70>",512,0.01,"rect",0.5,2,0.9655308842659,0.950472891330719
"optical",16,"<function dropout at 0x7f4d376fca60>",512,0.01,"cone",0,2,0.965137678384781,0.937673926353455
"optical",4,"<function dropout at 0x7f4d376fca60>",256,0.1,"cone",0.5,2,0.965006649494171,0.951029419898987
"optical",32,"<function dropout at 0x7fa6e9044b70>",512,0.01,"rect",0,2,0.963302862644196,0.933778524398804
"optical",16,"<function dropout at 0x7fa6e9044b70>",512,0.01,"rect",0,2,0.96330281496048,0.944351673126221
"optical",16,"<function dropout at 0x7f4d376fca60>",1024,0.01,"cone",0,2,0.963171780109406,0.930996060371399
"optical",2,"<function dropout at 0x7f4d376fca60>",256,0.01,"cone",0.5,2,0.962254357337952,0.933221936225891
"optical",32,"<function dropout at 0x7fa6e9044b70>",256,0.01,"rect",0,2,0.961468017101288,0.913745045661926
"optical",8,"<function dropout at 0x7f4d376fca60>",256,0.01,"cone",0,2,0.960943710803986,0.928770184516907
"optical",3,"<function dropout at 0x7f4d376fca60>",512,0.01,"cone",0.5,2,0.960943681001663,0.932665467262268
"optical",3,"<function dropout at 0x7fa6e9044b70>",256,0.01,"rect",0.5,2,0.960681617259979,0.941569268703461
"optical",8,"<function dropout at 0x7f4d376fca60>",512,0.01,"cone",0,2,0.959239929914475,0.946021139621735
"optical",4,"<function dropout at 0x7fa6e9044b70>",256,0.01,"rect",0.5,2,0.95557017326355,0.92932665348053
"optical",2,"<function dropout at 0x7f4d376fca60>",1024,1,"cone",0.5,2,0.955439138412476,0.937673926353455
"optical",16,"<function dropout at 0x7f4d376fca60>",256,0.01,"cone",0,2,0.954521697759628,0.917084038257599
"optical",4,"<function dropout at 0x7f4d376fca60>",1024,0.01,"cone",0.5,2,0.91887292265892,0.908180236816406
"optical",3,"<function dropout at 0x7f4d376fca60>",256,0.01,"cone",0.5,2,0.911009216308594,0.8697829246521
"optical",3,"<function dropout at 0x7f4d376fca60>",256,1,"cone",0.5,2,0.832372266054153,0.799666106700897
"optical",8,"<function dropout at 0x7fa6e9044b70>",512,0.1,"rect",0.5,2,0.789646220207214,0.75737339258194
"optical",32,"<function dropout at 0x7f4d376fca60>",256,0.01,"cone",0,2,0.623197931051254,0.637729525566101
"optical",4,"<function dropout at 0x7f4d376fca60>",256,0.01,"cone",0.5,2,0.615989547967911,0.583194255828857
"optical",16,"<function dropout at 0x7f4d376fca60>",256,0.1,"cone",0,2,0.584665820002556,0.621591508388519
"optical",16,"<function dropout at 0x7f4d376fca60>",512,0.1,"cone",0,2,0.569200566411018,0.487479150295258
"optical",32,"<function dropout at 0x7f4d376fca60>",512,0.1,"cone",0,2,0.455570143461227,0.411797404289246
"optical",32,"<function dropout at 0x7f4d376fca60>",512,0.01,"cone",0,2,0.417431217432022,0.494713395833969
"optical",16,"<function dropout at 0x7f4d376fca60>",1024,0.1,"cone",0,2,0.390039344131947,0.549805223941803
"optical",32,"<function dropout at 0x7f4d376fca60>",256,0.1,"cone",0,2,0.373001325130463,0.345019459724426
"optical",3,"<function dropout at 0x7fa6e9044b70>",256,1,"rect",0.5,2,0.304456099867821,0.0990539863705635
"optical",2,"<function dropout at 0x7f4d376fca60>",1024,1,"cone",0,2,0.215072093904018,0.197551488876343
"optical",8,"<function dropout at 0x7f4d376fca60>",1024,0.1,"cone",0.5,2,0.198034076392651,0.201446861028671
"optical",8,"<function dropout at 0x7fa6e9044b70>",1024,0.01,"rect",0.5,2,0.135124514251947,0.13188648223877
"optical",4,"<function dropout at 0x7f4d376fca60>",256,1,"cone",0.5,2,0.133420715481043,0.0990539938211441
"optical",32,"<function dropout at 0x7f4d376fca60>",1024,0.1,"cone",0,2,0.125950200855732,0.097941018640995
"optical",8,"<function dropout at 0x7fa6e9044b70>",512,0.01,"rect",0.5,2,0.125557018816471,0.128547579050064
"optical",8,"<function dropout at 0x7fa6e9044b70>",256,0.01,"rect",0.5,2,0.120183490216732,0.112409576773643
"optical",4,"<function dropout at 0x7f4d376fca60>",512,0.01,"cone",0.5,2,0.115334213525057,0.118530876934528
"optical",3,"<function dropout at 0x7f4d376fca60>",512,1,"cone",0.5,2,0.111140244454145,0.0990539863705635
"optical",4,"<function dropout at 0x7f4d376fca60>",512,1,"cone",0.5,2,0.109567501395941,0.1012799218297
"optical",8,"<function dropout at 0x7f4d376fca60>",512,0.01,"cone",0.5,2,0.104849278926849,0.0968280583620071
"optical",16,"<function dropout at 0x7f4d376fca60>",1024,1,"cone",0.5,2,0.103931855410337,0.0996104627847672
"optical",4,"<function dropout at 0x7f4d376fca60>",1024,1,"cone",0.5,2,0.103276547044516,0.1012799218297
"optical",8,"<function dropout at 0x7f4d376fca60>",256,0.01,"cone",0.5,2,0.102621233463287,0.102949365973473
"optical",16,"<function dropout at 0x7f4d376fca60>",1024,0.01,"cone",0.5,2,0.102228052914143,0.101836398243904
"optical",32,"<function dropout at 0x7fa6e9044b70>",256,0.01,"rect",0.5,2,0.102228051424026,0.101836405694485
"optical",8,"<function dropout at 0x7f4d376fca60>",256,0.1,"cone",0.5,2,0.102228051424026,0.101836398243904
"optical",32,"<function dropout at 0x7fa6e9044b70>",1024,1,"rect",0.5,2,0.101965931802988,0.10127991437912
"optical",32,"<function dropout at 0x7f4d376fca60>",1024,0.1,"cone",0.5,2,0.101572747528553,0.1012799218297
"optical",32,"<function dropout at 0x7f4d376fca60>",256,1,"cone",0,2,0.101572746783495,0.101836398243904
"optical",8,"<function dropout at 0x7f4d376fca60>",1024,1,"cone",0,2,0.101310622692108,0.101836398243904
"optical",16,"<function dropout at 0x7f4d376fca60>",256,0.01,"cone",0.5,2,0.10104850307107,0.1012799218297
"optical",4,"<function dropout at 0x7f4d376fca60>",256,1,"cone",0,2,0.101048497855663,0.0984974950551987
"optical",4,"<function dropout at 0x7fa6e9044b70>",256,1,"rect",0.5,2,0.100917439907789,0.1012799218297
"optical",8,"<function dropout at 0x7f4d376fca60>",1024,0.01,"cone",0.5,2,0.100917438417673,0.100166946649551
"optical",16,"<function dropout at 0x7f4d376fca60>",256,1,"cone",0.5,2,0.100786373019218,0.100723430514336
"optical",8,"<function dropout at 0x7f4d376fca60>",512,1,"cone",0,2,0.100393193215132,0.0990539863705635
"optical",8,"<function dropout at 0x7f4d376fca60>",256,1,"cone",0.5,2,0.100262132287025,0.0968280434608459
"optical",3,"<function dropout at 0x7f4d376fca60>",1024,1,"cone",0.5,2,0.100131071358919,0.10127991437912
"optical",16,"<function dropout at 0x7f4d376fca60>",256,1,"cone",0,2,0.0998689472675323,0.0996104627847672
"optical",8,"<function dropout at 0x7f4d376fca60>",512,0.1,"cone",0.5,2,0.099868942797184,0.101836398243904
"optical",16,"<function dropout at 0x7fa6e9044b70>",256,0.01,"rect",0.5,2,0.0996068246662617,0.100166946649551
"optical",32,"<function dropout at 0x7fa6e9044b70>",512,0.1,"rect",0.5,2,0.0994757607579231,0.1012799218297
"optical",16,"<function dropout at 0x7f4d376fca60>",1024,1,"cone",0,2,0.0990825794637203,0.10127991437912
"optical",8,"<function dropout at 0x7f4d376fca60>",1024,1,"cone",0.5,2,0.0989515155553818,0.1012799218297
"optical",16,"<function dropout at 0x7f4d376fca60>",512,1,"cone",0,2,0.0969855882227421,0.10127991437912
"optical",16,"<function dropout at 0x7f4d376fca60>",512,0.01,"cone",0.5,2,0.0939711734652519,0.0984975099563599
"optical",8,"<function dropout at 0x7fa6e9044b70>",256,0.1,"rect",0.5,2,0.0909567587077618,0.10127991437912
"optical",32,"<function dropout at 0x7fa6e9044b70>",1024,0.01,"rect",0.5,2,0.0878112807869911,0.0990539863705635
"optical",16,"<function dropout at 0x7f4d376fca60>",512,1,"cone",0.5,2,0.0878112807869911,0.0990539863705635
"optical",8,"<function dropout at 0x7fa6e9044b70>",1024,1,"rect",0.5,2,0.0878112807869911,0.0990539863705635
"optical",32,"<function dropout at 0x7fa6e9044b70>",1024,0.1,"rect",0.5,2,0.0878112800419331,0.0990539863705635
"optical",32,"<function dropout at 0x7fa6e9044b70>",512,0.1,"rect",0,2,0.0878112800419331,0.0990539863705635
"optical",32,"<function dropout at 0x7fa6e9044b70>",512,1,"rect",0,2,0.087811280041933,0.0990539863705635
"optical",4,"<function dropout at 0x7fa6e9044b70>",256,1,"rect",0,2,0.087811279296875,0.0990539863705635
"optical",3,"<function dropout at 0x7fa6e9044b70>",512,1,"rect",0,2,0.087811279296875,0.0990539863705635
"optical",16,"<function dropout at 0x7f4d376fca60>",1024,0.1,"cone",0.5,2,0.0878112785518169,0.0990539863705635
"optical",16,"<function dropout at 0x7fa6e9044b70>",1024,0.1,"rect",0,2,0.0878112785518169,0.0990539863705635
"optical",4,"<function dropout at 0x7f4d376fca60>",512,1,"cone",0,2,0.0878112785518169,0.0990539938211441
"optical",4,"<function dropout at 0x7f4d376fca60>",1024,1,"cone",0,2,0.0878112785518169,0.0990539863705635
"optical",3,"<function dropout at 0x7fa6e9044b70>",1024,1,"rect",0,2,0.0878112785518169,0.0990539863705635
"optical",2,"<function dropout at 0x7fa6e9044b70>",1024,1,"rect",0,2,0.0878112785518169,0.0990539863705635
"optical",32,"<function dropout at 0x7f4d376fca60>",512,0.1,"cone",0.5,2,0.0878112778067589,0.0990539863705635
"optical",32,"<function dropout at 0x7fa6e9044b70>",256,1,"rect",0.5,2,0.0878112778067589,0.0990539863705635
"optical",16,"<function dropout at 0x7fa6e9044b70>",256,0.1,"rect",0.5,2,0.0878112778067589,0.0990539863705635
"optical",16,"<function dropout at 0x7fa6e9044b70>",1024,0.1,"rect",0.5,2,0.0878112778067589,0.0990539863705635
"optical",8,"<function dropout at 0x7fa6e9044b70>",256,1,"rect",0.5,2,0.0878112778067589,0.0990539938211441
"optical",8,"<function dropout at 0x7fa6e9044b70>",256,1,"rect",0,2,0.0878112778067589,0.0990539863705635
"optical",32,"<function dropout at 0x7f4d376fca60>",1024,0.01,"cone",0.5,2,0.0878112770617008,0.0990539863705635
"optical",32,"<function dropout at 0x7fa6e9044b70>",256,0.1,"rect",0.5,2,0.0878112770617008,0.0990539863705635
"optical",32,"<function dropout at 0x7f4d376fca60>",1024,1,"cone",0,2,0.0878112770617008,0.0990539863705635
"optical",16,"<function dropout at 0x7fa6e9044b70>",1024,0.01,"rect",0.5,2,0.0878112770617008,0.0990539938211441
"optical",16,"<function dropout at 0x7fa6e9044b70>",512,0.1,"rect",0.5,2,0.0878112770617008,0.0990539938211441
"optical",16,"<function dropout at 0x7fa6e9044b70>",256,1,"rect",0,2,0.0878112770617008,0.0990539863705635
"optical",16,"<function dropout at 0x7fa6e9044b70>",1024,1,"rect",0,2,0.0878112770617008,0.0990539938211441
"optical",8,"<function dropout at 0x7fa6e9044b70>",1024,0.1,"rect",0.5,2,0.0878112770617008,0.0990539863705635
"optical",8,"<function dropout at 0x7f4d376fca60>",256,1,"cone",0,2,0.0878112770617008,0.0990539938211441
"optical",8,"<function dropout at 0x7fa6e9044b70>",1024,1,"rect",0,2,0.0878112770617008,0.0990539938211441
"optical",4,"<function dropout at 0x7fa6e9044b70>",1024,1,"rect",0.5,2,0.0878112770617008,0.0990539863705635
"optical",3,"<function dropout at 0x7fa6e9044b70>",1024,1,"rect",0.5,2,0.0878112770617008,0.0990539863705635
"optical",3,"<function dropout at 0x7f4d376fca60>",512,1,"cone",0,2,0.0878112770617008,0.0990539863705635
"optical",3,"<function dropout at 0x7f4d376fca60>",1024,1,"cone",0,2,0.0878112770617008,0.0990539938211441
"optical",32,"<function dropout at 0x7f4d376fca60>",256,0.01,"cone",0.5,2,0.0878112763166428,0.0990539863705635
"optical",32,"<function dropout at 0x7f4d376fca60>",512,0.01,"cone",0.5,2,0.0878112763166428,0.0990539863705635
"optical",32,"<function dropout at 0x7fa6e9044b70>",512,0.01,"rect",0.5,2,0.0878112763166428,0.0990539863705635
"optical",32,"<function dropout at 0x7f4d376fca60>",256,0.1,"cone",0.5,2,0.0878112763166428,0.0990539863705635
"optical",32,"<function dropout at 0x7fa6e9044b70>",256,0.1,"rect",0,2,0.0878112763166428,0.0990539863705635
"optical",32,"<function dropout at 0x7fa6e9044b70>",1024,0.1,"rect",0,2,0.0878112763166428,0.0990539863705635
"optical",32,"<function dropout at 0x7f4d376fca60>",256,1,"cone",0.5,2,0.0878112763166428,0.0990539863705635
"optical",32,"<function dropout at 0x7f4d376fca60>",512,1,"cone",0.5,2,0.0878112763166428,0.0990539863705635
"optical",32,"<function dropout at 0x7f4d376fca60>",1024,1,"cone",0.5,2,0.0878112763166428,0.0990539863705635
"optical",32,"<function dropout at 0x7fa6e9044b70>",512,1,"rect",0.5,2,0.0878112763166428,0.0990539863705635
"optical",32,"<function dropout at 0x7f4d376fca60>",512,1,"cone",0,2,0.0878112763166428,0.0990539863705635
"optical",32,"<function dropout at 0x7fa6e9044b70>",256,1,"rect",0,2,0.0878112763166428,0.0990539863705635
