"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"parkinsons",8,"<function dropout at 0x7f4aa78c6b70>",256,0.1,"rect",0,2,0.96153849363327,0.918367266654968
"parkinsons",2,"<function dropout at 0x7f4aa78c6b70>",256,0.1,"rect",0,2,0.946153891086579,0.938775420188904
"parkinsons",2,"<function dropout at 0x7f5b407eca60>",512,0.1,"cone",0,2,0.938461577892304,0.918367266654968
"parkinsons",16,"<function dropout at 0x7f5b407eca60>",1024,0.01,"cone",0,2,0.93461543917656,0.918367266654968
"parkinsons",32,"<function dropout at 0x7f4aa78c6b70>",256,0.01,"rect",0,2,0.923076987266541,0.877550959587097
"parkinsons",32,"<function dropout at 0x7f4aa78c6b70>",1024,0.01,"rect",0,2,0.923076987266541,0.938775479793549
"parkinsons",16,"<function dropout at 0x7f4aa78c6b70>",512,0.01,"rect",0,2,0.923076987266541,0.877550959587097
"parkinsons",8,"<function dropout at 0x7f4aa78c6b70>",1024,0.01,"rect",0,2,0.923076987266541,0.897959113121033
"parkinsons",8,"<function dropout at 0x7f5b407eca60>",256,0.1,"cone",0,2,0.923076987266541,0.897959113121033
"parkinsons",8,"<function dropout at 0x7f5b407eca60>",512,0.1,"cone",0,2,0.923076987266541,0.897959113121033
"parkinsons",8,"<function dropout at 0x7f4aa78c6b70>",512,0.1,"rect",0,2,0.923076987266541,0.918367266654968
"parkinsons",8,"<function dropout at 0x7f4aa78c6b70>",1024,0.1,"rect",0,2,0.923076987266541,0.897959113121033
"parkinsons",4,"<function dropout at 0x7f4aa78c6b70>",1024,0.01,"rect",0,2,0.923076987266541,0.897959113121033
"parkinsons",4,"<function dropout at 0x7f5b407eca60>",512,0.1,"cone",0,2,0.923076987266541,0.897959113121033
"parkinsons",4,"<function dropout at 0x7f4aa78c6b70>",256,0.1,"rect",0,2,0.923076987266541,0.877550959587097
"parkinsons",4,"<function dropout at 0x7f4aa78c6b70>",1024,0.1,"rect",0,2,0.923076987266541,0.897959113121033
"parkinsons",3,"<function dropout at 0x7f4aa78c6b70>",256,0.01,"rect",0,2,0.923076987266541,0.877550959587097
"parkinsons",3,"<function dropout at 0x7f5b407eca60>",1024,0.1,"cone",0,2,0.923076987266541,0.938775420188904
"parkinsons",3,"<function dropout at 0x7f4aa78c6b70>",256,0.1,"rect",0,2,0.923076987266541,0.897959113121033
"parkinsons",3,"<function dropout at 0x7f4aa78c6b70>",512,0.1,"rect",0,2,0.923076987266541,0.938775479793549
"parkinsons",3,"<function dropout at 0x7f4aa78c6b70>",1024,0.1,"rect",0,2,0.923076987266541,0.918367266654968
"parkinsons",2,"<function dropout at 0x7f5b407eca60>",1024,0.1,"cone",0,2,0.923076987266541,0.897959113121033
"parkinsons",2,"<function dropout at 0x7f4aa78c6b70>",1024,0.1,"rect",0,2,0.923076987266541,0.897959113121033
"parkinsons",4,"<function dropout at 0x7f4aa78c6b70>",256,0.01,"rect",0,2,0.919230830669403,0.877550959587097
"parkinsons",4,"<function dropout at 0x7f4aa78c6b70>",512,0.01,"rect",0,2,0.919230830669403,0.918367266654968
"parkinsons",3,"<function dropout at 0x7f4aa78c6b70>",256,0.1,"rect",0.5,2,0.919230824708939,0.897959113121033
"parkinsons",16,"<function dropout at 0x7f4aa78c6b70>",256,0.1,"rect",0,2,0.91538468003273,0.897959113121033
"parkinsons",3,"<function dropout at 0x7f4aa78c6b70>",1024,0.01,"rect",0,2,0.915384674072266,0.897959113121033
