"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"pendigits",4,"<function dropout at 0x7f7697ffbb70>",256,0.1,"rect",0,2,0.996528679132461,0.971412181854248
"pendigits",3,"<function dropout at 0x7f1a213f4a60>",512,0.1,"cone",0,2,0.996061444282532,0.968267500400543
"pendigits",3,"<function dropout at 0x7f7697ffbb70>",512,0.1,"rect",0,2,0.995994681119919,0.973127484321594
"pendigits",4,"<function dropout at 0x7f7697ffbb70>",512,0.01,"rect",0,2,0.995994627475739,0.968553364276886
"pendigits",3,"<function dropout at 0x7f7697ffbb70>",256,0.1,"rect",0,2,0.995927929878235,0.969696879386902
"pendigits",2,"<function dropout at 0x7f7697ffbb70>",1024,0.1,"rect",0,2,0.995727646350861,0.973127484321594
"pendigits",2,"<function dropout at 0x7f7697ffbb70>",1024,1,"rect",0.5,2,0.995594125986099,0.970268726348877
"pendigits",4,"<function dropout at 0x7f7697ffbb70>",256,0.01,"rect",0,2,0.995527386665344,0.970840394496918
"pendigits",3,"<function dropout at 0x7f7697ffbb70>",1024,0.1,"rect",0,2,0.995527362823486,0.973413348197937
"pendigits",2,"<function dropout at 0x7f1a213f4a60>",512,0.1,"cone",0.5,2,0.995393872261048,0.969982802867889
"pendigits",8,"<function dropout at 0x7f7697ffbb70>",512,0.1,"rect",0,2,0.995393842458725,0.972841620445251
"pendigits",3,"<function dropout at 0x7f7697ffbb70>",512,0.01,"rect",0,2,0.995327109098435,0.965694606304169
"pendigits",4,"<function dropout at 0x7f1a213f4a60>",512,0.1,"cone",0.5,2,0.995327085256577,0.971983969211578
"pendigits",4,"<function dropout at 0x7f1a213f4a60>",1024,0.1,"cone",0,2,0.995260363817215,0.971698105335236
"pendigits",4,"<function dropout at 0x7f1a213f4a60>",1024,0.01,"cone",0,2,0.995260357856751,0.971983969211578
"pendigits",4,"<function dropout at 0x7f7697ffbb70>",512,0.1,"rect",0,2,0.995260357856751,0.968553483486176
