"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"plant-margin",2,"<function dropout at 0x7f97e4dd7a60>",256,1,"cone",0,2,0.840588271617889,0.8125
"plant-margin",2,"<function dropout at 0x7eff1d6f0b70>",512,1,"rect",0,2,0.830588281154633,0.817499995231628
"plant-margin",2,"<function dropout at 0x7f97e4dd7a60>",1024,0.1,"cone",0.5,2,0.828823572397232,0.825000047683716
"plant-margin",2,"<function dropout at 0x7f97e4dd7a60>",1024,1,"cone",0,2,0.828823572397232,0.827499985694885
"plant-margin",3,"<function dropout at 0x7eff1d6f0b70>",1024,0.1,"rect",0.5,2,0.821176511049271,0.817499995231628
"plant-margin",3,"<function dropout at 0x7f97e4dd7a60>",1024,0.1,"cone",0,2,0.817058879137039,0.814999997615814
"plant-margin",3,"<function dropout at 0x7eff1d6f0b70>",256,0.1,"rect",0,2,0.814705920219421,0.802500009536743
"plant-margin",2,"<function dropout at 0x7eff1d6f0b70>",1024,0.1,"rect",0,2,0.810000067949295,0.827499985694885
"plant-margin",2,"<function dropout at 0x7eff1d6f0b70>",256,1,"rect",0,2,0.809411811828613,0.840000033378601
"plant-margin",2,"<function dropout at 0x7eff1d6f0b70>",512,0.1,"rect",0.5,2,0.808823573589325,0.815000057220459
"plant-margin",8,"<function dropout at 0x7eff1d6f0b70>",512,0.1,"rect",0,2,0.80764708518982,0.782500028610229
"plant-margin",4,"<function dropout at 0x7eff1d6f0b70>",1024,0.1,"rect",0,2,0.807058882713318,0.822499990463257
"plant-margin",3,"<function dropout at 0x7f97e4dd7a60>",256,1,"cone",0,2,0.805882382392883,0.809999942779541
"plant-margin",4,"<function dropout at 0x7eff1d6f0b70>",512,0.1,"rect",0,2,0.805294162034988,0.8125
"plant-margin",2,"<function dropout at 0x7eff1d6f0b70>",1024,1,"rect",0,2,0.804117685556412,0.842499971389771
"plant-margin",3,"<function dropout at 0x7eff1d6f0b70>",1024,0.1,"rect",0,2,0.802353000640869,0.827499985694885
"plant-margin",3,"<function dropout at 0x7f97e4dd7a60>",512,0.1,"cone",0,2,0.801764756441117,0.795000016689301
"plant-margin",2,"<function dropout at 0x7f97e4dd7a60>",512,0.1,"cone",0.5,2,0.801764744520187,0.834999918937683
"plant-margin",2,"<function dropout at 0x7f97e4dd7a60>",1024,0.1,"cone",0,2,0.800588274002075,0.837499976158142
"plant-margin",2,"<function dropout at 0x7eff1d6f0b70>",512,0.1,"rect",0,2,0.79823534488678,0.824999988079071
"plant-margin",2,"<function dropout at 0x7eff1d6f0b70>",1024,0.1,"rect",0.5,2,0.795294141769409,0.809999942779541
"plant-margin",3,"<function dropout at 0x7eff1d6f0b70>",512,0.1,"rect",0,2,0.794705933332443,0.832499980926514
"plant-margin",4,"<function dropout at 0x7f97e4dd7a60>",1024,0.1,"cone",0,2,0.792941206693649,0.819999933242798
"plant-margin",3,"<function dropout at 0x7eff1d6f0b70>",512,1,"rect",0,2,0.789411807060242,0.797500014305115
"plant-margin",3,"<function dropout at 0x7eff1d6f0b70>",512,0.1,"rect",0.5,2,0.78823533654213,0.797500014305115
"plant-margin",4,"<function dropout at 0x7eff1d6f0b70>",256,1,"rect",0,2,0.786470603942871,0.794999957084656
"plant-margin",2,"<function dropout at 0x7f97e4dd7a60>",512,0.1,"cone",0,2,0.784117698669434,0.819999992847443
"plant-margin",3,"<function dropout at 0x7f97e4dd7a60>",256,0.1,"cone",0,2,0.781764715909958,0.809999942779541
"plant-margin",4,"<function dropout at 0x7eff1d6f0b70>",1024,0.01,"rect",0,2,0.780588269233704,0.817499995231628
"plant-margin",2,"<function dropout at 0x7eff1d6f0b70>",256,0.1,"rect",0,2,0.780000042915344,0.804999947547913
"plant-margin",2,"<function dropout at 0x7f97e4dd7a60>",512,1,"cone",0,2,0.77705887556076,0.819999933242798
"plant-margin",2,"<function dropout at 0x7eff1d6f0b70>",1024,0.01,"rect",0,2,0.777058869600296,0.802500009536743
"plant-margin",3,"<function dropout at 0x7eff1d6f0b70>",256,1,"rect",0,2,0.776470595598221,0.809999942779541
"plant-margin",8,"<function dropout at 0x7eff1d6f0b70>",512,0.01,"rect",0,2,0.77529416680336,0.809999942779541
"plant-margin",2,"<function dropout at 0x7f97e4dd7a60>",256,0.1,"cone",0.5,2,0.772941213846207,0.819999992847443
"plant-margin",3,"<function dropout at 0x7eff1d6f0b70>",1024,0.01,"rect",0,2,0.771176540851593,0.8125
"plant-margin",4,"<function dropout at 0x7eff1d6f0b70>",1024,0.1,"rect",0.5,2,0.771176528930664,0.784999966621399
"plant-margin",8,"<function dropout at 0x7eff1d6f0b70>",1024,0.1,"rect",0,2,0.770588272809982,0.810000002384186
"plant-margin",3,"<function dropout at 0x7f97e4dd7a60>",1024,0.1,"cone",0.5,2,0.77000002861023,0.799999952316284
"plant-margin",3,"<function dropout at 0x7f97e4dd7a60>",1024,0.01,"cone",0,2,0.770000022649765,0.757499992847443
"plant-margin",4,"<function dropout at 0x7f97e4dd7a60>",1024,0.01,"cone",0,2,0.76882358789444,0.752499997615814
"plant-margin",2,"<function dropout at 0x7f97e4dd7a60>",1024,0.01,"cone",0,2,0.767647123336792,0.8125
"plant-margin",2,"<function dropout at 0x7eff1d6f0b70>",256,0.1,"rect",0.5,2,0.767647099494934,0.790000021457672
"plant-margin",8,"<function dropout at 0x7f97e4dd7a60>",1024,0.1,"cone",0,2,0.767058849334717,0.789999961853027
"plant-margin",2,"<function dropout at 0x7eff1d6f0b70>",512,0.01,"rect",0,2,0.76176478266716,0.787500023841858
"plant-margin",16,"<function dropout at 0x7eff1d6f0b70>",1024,0.1,"rect",0,2,0.75882356762886,0.754999995231628
"plant-margin",2,"<function dropout at 0x7eff1d6f0b70>",256,1,"rect",0.5,2,0.758235335350037,0.762500047683716
"plant-margin",3,"<function dropout at 0x7f97e4dd7a60>",512,1,"cone",0,2,0.757058846950531,0.797500014305115
"plant-margin",2,"<function dropout at 0x7eff1d6f0b70>",1024,1,"rect",0.5,2,0.756470632553101,0.759999990463257
"plant-margin",8,"<function dropout at 0x7eff1d6f0b70>",1024,0.01,"rect",0,2,0.755882394313812,0.774999976158142
"plant-margin",4,"<function dropout at 0x7eff1d6f0b70>",256,0.1,"rect",0,2,0.754117679595947,0.754999995231628
