"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"soybean",8,"<function dropout at 0x7f75b273db70>",256,0.1,"rect",0,2,0.92711865901947,0.872340440750122
"soybean",3,"<function dropout at 0x7fc885929a60>",1024,0.1,"cone",0,2,0.920339000225067,0.872340321540833
"soybean",3,"<function dropout at 0x7f75b273db70>",512,0.1,"rect",0,2,0.920338988304138,0.893617033958435
"soybean",2,"<function dropout at 0x7fc885929a60>",1024,0.1,"cone",0,2,0.918644094467163,0.893616914749146
"soybean",32,"<function dropout at 0x7f75b273db70>",1024,0.01,"rect",0,2,0.915254235267639,0.829787254333496
"soybean",3,"<function dropout at 0x7fc885929a60>",512,0.1,"cone",0,2,0.911864411830902,0.906914830207825
"soybean",3,"<function dropout at 0x7f75b273db70>",256,0.1,"rect",0,2,0.908474564552307,0.87499988079071
"soybean",8,"<function dropout at 0x7f75b273db70>",1024,0.1,"rect",0,2,0.905084729194641,0.888297855854034
"soybean",4,"<function dropout at 0x7fc885929a60>",256,0.1,"cone",0,2,0.901694941520691,0.867021203041077
"soybean",4,"<function dropout at 0x7fc885929a60>",1024,0.1,"cone",0,2,0.901694893836975,0.877659559249878
"soybean",4,"<function dropout at 0x7f75b273db70>",1024,0.01,"rect",0,2,0.900000017881394,0.885638236999512
"soybean",8,"<function dropout at 0x7fc885929a60>",1024,0.1,"cone",0,2,0.898305118083954,0.875
"soybean",4,"<function dropout at 0x7f75b273db70>",256,0.01,"rect",0,2,0.898305070400238,0.877659559249878
"soybean",3,"<function dropout at 0x7f75b273db70>",1024,0.1,"rect",0,2,0.898305058479309,0.877659559249878
"soybean",16,"<function dropout at 0x7f75b273db70>",1024,0.01,"rect",0,2,0.896610206365586,0.872340440750122
"soybean",2,"<function dropout at 0x7f75b273db70>",512,0.1,"rect",0.5,2,0.896610170602799,0.882978677749634
"soybean",2,"<function dropout at 0x7fc885929a60>",1024,0.1,"cone",0.5,2,0.896610152721405,0.901595711708069
"soybean",4,"<function dropout at 0x7f75b273db70>",1024,0.1,"rect",0,2,0.896610146760941,0.885638236999512
"soybean",4,"<function dropout at 0x7fc885929a60>",1024,0.01,"cone",0,2,0.894915235042572,0.874999940395355
"soybean",2,"<function dropout at 0x7f75b273db70>",1024,0.1,"rect",0.5,2,0.89322035908699,0.896276593208313
"soybean",8,"<function dropout at 0x7f75b273db70>",512,0.1,"rect",0,2,0.891525411605835,0.88829779624939
"soybean",4,"<function dropout at 0x7f75b273db70>",256,0.1,"rect",0,2,0.891525387763977,0.890957415103912
"soybean",2,"<function dropout at 0x7f75b273db70>",256,0.1,"rect",0,2,0.889830493927002,0.877659559249878
"soybean",2,"<function dropout at 0x7fc885929a60>",256,0.1,"cone",0,2,0.888135600090027,0.872340440750122
"soybean",2,"<function dropout at 0x7fc885929a60>",256,0.1,"cone",0.5,2,0.886440706253052,0.901595711708069
"soybean",4,"<function dropout at 0x7f75b273db70>",1024,0.1,"rect",0.5,2,0.884745782613754,0.904255270957947
"soybean",3,"<function dropout at 0x7fc885929a60>",1024,0.1,"cone",0.5,2,0.883050906658173,0.904255270957947
"soybean",3,"<function dropout at 0x7f75b273db70>",1024,0.1,"rect",0.5,2,0.883050888776779,0.901595711708069
"soybean",8,"<function dropout at 0x7f75b273db70>",1024,0.01,"rect",0,2,0.883050853013992,0.867021262645721
"soybean",2,"<function dropout at 0x7fc885929a60>",512,0.1,"cone",0.5,2,0.881355994939804,0.896276593208313
"soybean",2,"<function dropout at 0x7f75b273db70>",512,1,"rect",0,2,0.881355941295624,0.877659559249878
"soybean",2,"<function dropout at 0x7fc885929a60>",512,0.1,"cone",0,2,0.881355911493302,0.896276593208313
"soybean",3,"<function dropout at 0x7f75b273db70>",1024,0.01,"rect",0,2,0.879661083221436,0.888297855854034
"soybean",4,"<function dropout at 0x7f75b273db70>",512,0.1,"rect",0.5,2,0.879661059379578,0.906914830207825
"soybean",2,"<function dropout at 0x7f75b273db70>",256,0.1,"rect",0.5,2,0.877966165542603,0.885638236999512
"soybean",4,"<function dropout at 0x7fc885929a60>",512,0.1,"cone",0,2,0.877966105937958,0.880319118499756
"soybean",2,"<function dropout at 0x7fc885929a60>",256,1,"cone",0,2,0.876271188259125,0.851063847541809
"soybean",2,"<function dropout at 0x7f75b273db70>",512,0.1,"rect",0,2,0.876271146535874,0.885638236999512
"soybean",8,"<function dropout at 0x7fc885929a60>",256,0.1,"cone",0,2,0.872881323099137,0.829787254333496
"soybean",2,"<function dropout at 0x7f75b273db70>",1024,0.1,"rect",0,2,0.872881323099136,0.890957355499268
"soybean",2,"<function dropout at 0x7f75b273db70>",256,1,"rect",0,2,0.871186417341232,0.880319118499756
"soybean",2,"<function dropout at 0x7f75b273db70>",512,0.01,"rect",0.5,2,0.869491577148438,0.882978677749634
"soybean",3,"<function dropout at 0x7fc885929a60>",512,0.01,"cone",0,2,0.864406824111938,0.843085110187531
"soybean",2,"<function dropout at 0x7f75b273db70>",1024,0.01,"rect",0.5,2,0.864406824111938,0.888297855854034
"soybean",2,"<function dropout at 0x7f75b273db70>",512,0.01,"rect",0,2,0.864406824111938,0.872340381145477
"soybean",8,"<function dropout at 0x7f75b273db70>",512,0.01,"rect",0,2,0.864406758546829,0.877659559249878
"soybean",4,"<function dropout at 0x7f75b273db70>",512,0.01,"rect",0,2,0.862711906433105,0.896276593208313
"soybean",3,"<function dropout at 0x7f75b273db70>",512,0.01,"rect",0,2,0.862711852788925,0.882978677749634
"soybean",3,"<function dropout at 0x7f75b273db70>",256,0.1,"rect",0.5,2,0.861016941070557,0.885638296604156
"soybean",3,"<function dropout at 0x7fc885929a60>",256,0.1,"cone",0,2,0.861016941070557,0.872340440750122
"soybean",3,"<function dropout at 0x7f75b273db70>",512,0.1,"rect",0.5,2,0.859322035312653,0.885638236999512
"soybean",8,"<function dropout at 0x7fc885929a60>",512,0.1,"cone",0,2,0.85762711763382,0.874999940395355
"soybean",8,"<function dropout at 0x7f75b273db70>",256,0.01,"rect",0,2,0.85762711763382,0.827127695083618
"soybean",3,"<function dropout at 0x7f75b273db70>",1024,0.01,"rect",0.5,2,0.849152565002441,0.875
"soybean",2,"<function dropout at 0x7fc885929a60>",512,0.01,"cone",0,2,0.847457647323608,0.853723406791687
