"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"spectf",4,"<function dropout at 0x7f288447ca60>",512,0.01,"cone",0,2,0.728571474552155,0.604278087615967
"spectf",8,"<function dropout at 0x7f08898fbb70>",512,0.01,"rect",0,2,0.728571456670761,0.92513370513916
"spectf",3,"<function dropout at 0x7f08898fbb70>",512,0.01,"rect",0,2,0.723809552192688,0.88770055770874
"spectf",8,"<function dropout at 0x7f08898fbb70>",1024,0.01,"rect",0,2,0.709523862600327,0.919786095619202
"spectf",2,"<function dropout at 0x7f08898fbb70>",1024,0.01,"rect",0,2,0.709523838758469,0.914438605308533
"spectf",4,"<function dropout at 0x7f08898fbb70>",1024,0.01,"rect",0,2,0.704761934280395,0.909090995788574
"spectf",2,"<function dropout at 0x7f08898fbb70>",1024,0.1,"rect",0.5,2,0.700000041723251,0.893048167228699
"spectf",3,"<function dropout at 0x7f08898fbb70>",1024,0.01,"rect",0,2,0.690476208925247,0.919786095619202
"spectf",3,"<function dropout at 0x7f08898fbb70>",512,0.1,"rect",0,2,0.685714310407639,0.914438486099243
"spectf",4,"<function dropout at 0x7f288447ca60>",1024,0.01,"cone",0,2,0.68095241189003,0.673796832561493
"spectf",8,"<function dropout at 0x7f288447ca60>",256,0.01,"cone",0,2,0.676190519332886,0.919786095619202
"spectf",3,"<function dropout at 0x7f288447ca60>",1024,0.01,"cone",0,2,0.666666716337204,0.240641728043556
"spectf",2,"<function dropout at 0x7f08898fbb70>",512,0.01,"rect",0,2,0.666666710376739,0.855615019798279
"spectf",3,"<function dropout at 0x7f08898fbb70>",256,0.01,"rect",0,2,0.666666686534881,0.88770055770874
"spectf",8,"<function dropout at 0x7f08898fbb70>",256,0.01,"rect",0,2,0.661904788017273,0.882352948188782
"spectf",2,"<function dropout at 0x7f08898fbb70>",512,0.01,"rect",0.5,2,0.661904782056808,0.641711235046387
"spectf",3,"<function dropout at 0x7f08898fbb70>",1024,0.1,"rect",0,2,0.657142889499664,0.85026741027832
"spectf",2,"<function dropout at 0x7f288447ca60>",512,0.01,"cone",0,2,0.6571428835392,0.8128342628479
"spectf",3,"<function dropout at 0x7f288447ca60>",256,0.01,"cone",0,2,0.6571428835392,0.743315517902374
"spectf",2,"<function dropout at 0x7f08898fbb70>",256,0.1,"rect",0,2,0.657142877578735,0.909090995788574
"spectf",32,"<function dropout at 0x7f288447ca60>",1024,0.01,"cone",0,2,0.652380990982056,0.893048167228699
"spectf",2,"<function dropout at 0x7f08898fbb70>",512,0.1,"rect",0.5,2,0.647619086503983,0.87165778875351
"spectf",2,"<function dropout at 0x7f288447ca60>",1024,0.01,"cone",0,2,0.647619086503982,0.759358286857605
"spectf",4,"<function dropout at 0x7f08898fbb70>",512,0.01,"rect",0,2,0.647619068622589,0.914438605308533
"spectf",2,"<function dropout at 0x7f288447ca60>",256,0.01,"cone",0,2,0.647619068622589,0.893048167228699
"spectf",16,"<function dropout at 0x7f08898fbb70>",256,0.01,"rect",0,2,0.642857176065445,0.92513370513916
"spectf",2,"<function dropout at 0x7f08898fbb70>",512,0.1,"rect",0,2,0.633333373069763,0.919786214828491
"spectf",2,"<function dropout at 0x7f08898fbb70>",256,0.01,"rect",0.5,2,0.623809564113617,0.732620298862457
"spectf",32,"<function dropout at 0x7f08898fbb70>",256,0.01,"rect",0,2,0.623809558153152,0.919786095619202
"spectf",2,"<function dropout at 0x7f08898fbb70>",1024,0.01,"rect",0.5,2,0.623809552192688,0.791443824768066
"spectf",2,"<function dropout at 0x7f08898fbb70>",256,0.1,"rect",0.5,2,0.623809552192688,0.898395776748657
"spectf",4,"<function dropout at 0x7f288447ca60>",256,0.01,"cone",0,2,0.61904764175415,0.310160428285599
"spectf",4,"<function dropout at 0x7f08898fbb70>",512,0.01,"rect",0.5,2,0.614285737276077,0.807486593723297
"spectf",2,"<function dropout at 0x7f08898fbb70>",256,0.01,"rect",0,2,0.609523850679398,0.85026741027832
"spectf",3,"<function dropout at 0x7f08898fbb70>",512,0.1,"rect",0.5,2,0.609523844718933,0.919786095619202
"spectf",4,"<function dropout at 0x7f08898fbb70>",256,0.01,"rect",0,2,0.609523838758468,0.903743386268616
"spectf",16,"<function dropout at 0x7f08898fbb70>",512,0.01,"rect",0,2,0.609523832798004,0.903743267059326
"spectf",4,"<function dropout at 0x7f08898fbb70>",256,0.1,"rect",0,2,0.604761946201325,0.919786214828491
"spectf",8,"<function dropout at 0x7f288447ca60>",512,0.01,"cone",0,2,0.60476194024086,0.63101601600647
"spectf",3,"<function dropout at 0x7f08898fbb70>",256,0.1,"rect",0,2,0.604761934280395,0.866310119628906
"spectf",3,"<function dropout at 0x7f288447ca60>",512,0.01,"cone",0,2,0.604761928319931,0.844919800758362
"spectf",2,"<function dropout at 0x7f288447ca60>",512,0.01,"cone",0.5,2,0.600000029802322,0.406417101621628
"spectf",32,"<function dropout at 0x7f08898fbb70>",512,0.01,"rect",0,2,0.600000029802322,0.903743386268616
"spectf",3,"<function dropout at 0x7f288447ca60>",256,0.1,"cone",0,2,0.590476220846176,0.796791434288025
"spectf",4,"<function dropout at 0x7f288447ca60>",256,0.1,"cone",0,2,0.585714310407638,0.577540099620819
"spectf",32,"<function dropout at 0x7f08898fbb70>",1024,0.01,"rect",0,2,0.58095241189003,0.828877031803131
"spectf",16,"<function dropout at 0x7f288447ca60>",256,0.01,"cone",0,2,0.580952405929565,0.711229920387268
"spectf",4,"<function dropout at 0x7f08898fbb70>",1024,0.01,"rect",0.5,2,0.571428596973419,0.63101601600647
"spectf",3,"<function dropout at 0x7f288447ca60>",1024,0.1,"cone",0,2,0.571428596973419,0.866310119628906
