"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"statlog-australian-credit",3,"<function dropout at 0x7f8044e74a60>",256,0.01,"cone",0,2,0.722222208976746,0.680232584476471
"statlog-australian-credit",3,"<function dropout at 0x7fceb74afb70>",256,0.1,"rect",0.5,2,0.708333349227905,0.67441862821579
"statlog-australian-credit",2,"<function dropout at 0x7f8044e74a60>",256,0.1,"cone",0,2,0.706944483518601,0.639534890651703
"statlog-australian-credit",2,"<function dropout at 0x7f8044e74a60>",512,0.01,"cone",0.5,2,0.705555564165115,0.668604671955109
"statlog-australian-credit",4,"<function dropout at 0x7f8044e74a60>",1024,0.01,"cone",0,2,0.705555546283722,0.645348846912384
"statlog-australian-credit",2,"<function dropout at 0x7fceb74afb70>",256,0.1,"rect",0.5,2,0.701388913393021,0.686046540737152
"statlog-australian-credit",4,"<function dropout at 0x7f8044e74a60>",256,0.01,"cone",0,2,0.701388895511627,0.67441862821579
"statlog-australian-credit",2,"<function dropout at 0x7f8044e74a60>",256,0.01,"cone",0,2,0.697222256660461,0.67441862821579
"statlog-australian-credit",3,"<function dropout at 0x7fceb74afb70>",1024,0.1,"rect",0.5,2,0.69583335518837,0.686046540737152
"statlog-australian-credit",3,"<function dropout at 0x7fceb74afb70>",256,0.01,"rect",0,2,0.694444465637207,0.67441862821579
"statlog-australian-credit",3,"<function dropout at 0x7f8044e74a60>",512,0.01,"cone",0,2,0.694444417953491,0.656976759433746
"statlog-australian-credit",2,"<function dropout at 0x7f8044e74a60>",256,0.01,"cone",0.5,2,0.694444417953491,0.697674453258514
"statlog-australian-credit",3,"<function dropout at 0x7fceb74afb70>",256,0.1,"rect",0,2,0.693055582046509,0.67441862821579
"statlog-australian-credit",8,"<function dropout at 0x7fceb74afb70>",1024,0.01,"rect",0,2,0.69305557012558,0.633720934391022
"statlog-australian-credit",2,"<function dropout at 0x7fceb74afb70>",256,1,"rect",0,2,0.691666692495346,0.662790715694427
"statlog-australian-credit",2,"<function dropout at 0x7fceb74afb70>",1024,1,"rect",0,2,0.691666692495346,0.651162803173065
"statlog-australian-credit",16,"<function dropout at 0x7f8044e74a60>",1024,0.01,"cone",0,2,0.690277808904648,0.691860496997833
"statlog-australian-credit",4,"<function dropout at 0x7f8044e74a60>",512,0.01,"cone",0,2,0.690277779102326,0.67441862821579
"statlog-australian-credit",4,"<function dropout at 0x7fceb74afb70>",256,0.1,"rect",0.5,2,0.687500029802322,0.680232584476471
"statlog-australian-credit",4,"<function dropout at 0x7f8044e74a60>",512,0.01,"cone",0.5,2,0.687500023841858,0.680232584476471
"statlog-australian-credit",3,"<function dropout at 0x7f8044e74a60>",512,0.1,"cone",0,2,0.687500017881393,0.447674423456192
"statlog-australian-credit",4,"<function dropout at 0x7f8044e74a60>",512,0.1,"cone",0,2,0.684722250699997,0.67441862821579
"statlog-australian-credit",3,"<function dropout at 0x7fceb74afb70>",512,0.01,"rect",0,2,0.684722238779068,0.645348846912384
"statlog-australian-credit",32,"<function dropout at 0x7f8044e74a60>",1024,0.01,"cone",0,2,0.683333361148834,0.680232584476471
"statlog-australian-credit",4,"<function dropout at 0x7fceb74afb70>",256,0.01,"rect",0,2,0.683333343267441,0.639534890651703
"statlog-australian-credit",4,"<function dropout at 0x7fceb74afb70>",512,0.01,"rect",0,2,0.683333325386047,0.67441862821579
"statlog-australian-credit",3,"<function dropout at 0x7fceb74afb70>",512,0.1,"rect",0.5,2,0.681944471597672,0.656976759433746
"statlog-australian-credit",8,"<function dropout at 0x7fceb74afb70>",256,0.01,"rect",0.5,2,0.681944471597672,0.680232584476471
"statlog-australian-credit",4,"<function dropout at 0x7f8044e74a60>",1024,0.01,"cone",0.5,2,0.681944471597672,0.67441862821579
"statlog-australian-credit",3,"<function dropout at 0x7f8044e74a60>",1024,0.01,"cone",0,2,0.681944471597672,0.662790715694427
"statlog-australian-credit",4,"<function dropout at 0x7f8044e74a60>",1024,0.1,"cone",0.5,2,0.681944465637207,0.680232584476471
"statlog-australian-credit",2,"<function dropout at 0x7fceb74afb70>",256,1,"rect",0.5,2,0.681944465637207,0.680232584476471
"statlog-australian-credit",3,"<function dropout at 0x7fceb74afb70>",256,0.01,"rect",0.5,2,0.681944447755814,0.656976759433746
"statlog-australian-credit",32,"<function dropout at 0x7f8044e74a60>",256,0.01,"cone",0.5,2,0.680555582046509,0.680232584476471
"statlog-australian-credit",32,"<function dropout at 0x7f8044e74a60>",512,0.01,"cone",0.5,2,0.680555582046509,0.680232584476471
"statlog-australian-credit",32,"<function dropout at 0x7f8044e74a60>",1024,0.01,"cone",0.5,2,0.680555582046509,0.680232584476471
