"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"statlog-image",4,"<function dropout at 0x7fa51ab6eb70>",1024,0.1,"rect",0,2,0.970863312482834,0.975736558437347
"statlog-image",4,"<function dropout at 0x7f46564f7a60>",1024,0.1,"cone",0,2,0.96978417634964,0.972270369529724
"statlog-image",2,"<function dropout at 0x7f46564f7a60>",256,1,"cone",0,2,0.968345326185227,0.979202747344971
"statlog-image",16,"<function dropout at 0x7fa51ab6eb70>",512,0.01,"rect",0,2,0.968345320224762,0.963604807853699
"statlog-image",8,"<function dropout at 0x7fa51ab6eb70>",256,0.01,"rect",0,2,0.967625904083252,0.956672549247742
"statlog-image",3,"<function dropout at 0x7fa51ab6eb70>",512,0.1,"rect",0,2,0.967625892162323,0.975736498832703
"statlog-image",4,"<function dropout at 0x7f46564f7a60>",512,0.1,"cone",0,2,0.966906481981277,0.965337991714478
"statlog-image",2,"<function dropout at 0x7fa51ab6eb70>",256,1,"rect",0,2,0.966187071800232,0.970537185668945
"statlog-image",16,"<function dropout at 0x7fa51ab6eb70>",256,0.01,"rect",0,2,0.964748203754425,0.972270309925079
"statlog-image",2,"<function dropout at 0x7fa51ab6eb70>",256,0.1,"rect",0,2,0.962949693202972,0.954939365386963
"statlog-image",32,"<function dropout at 0x7fa51ab6eb70>",512,0.01,"rect",0,2,0.962949645519257,0.970537185668945
"statlog-image",2,"<function dropout at 0x7f46564f7a60>",512,0.1,"cone",0,2,0.961151146888733,0.967071056365967
"statlog-image",2,"<function dropout at 0x7fa51ab6eb70>",512,1,"rect",0,2,0.961151111125946,0.960138618946075
"statlog-image",3,"<function dropout at 0x7fa51ab6eb70>",1024,0.01,"rect",0,2,0.960791409015656,0.948006868362427
"statlog-image",8,"<function dropout at 0x7fa51ab6eb70>",256,0.1,"rect",0,2,0.960791385173798,0.967071056365967
"statlog-image",4,"<function dropout at 0x7fa51ab6eb70>",512,0.01,"rect",0,2,0.960791385173798,0.956672430038452
"statlog-image",8,"<function dropout at 0x7fa51ab6eb70>",1024,0.01,"rect",0,2,0.959352552890778,0.965337812900543
"statlog-image",3,"<function dropout at 0x7fa51ab6eb70>",256,0.1,"rect",0,2,0.958992850780487,0.963604807853699
"statlog-image",8,"<function dropout at 0x7f46564f7a60>",256,0.1,"cone",0,2,0.958633083105087,0.965337872505188
"statlog-image",2,"<function dropout at 0x7fa51ab6eb70>",1024,0.1,"rect",0,2,0.958633083105087,0.965337932109833
"statlog-image",2,"<function dropout at 0x7f46564f7a60>",1024,0.01,"cone",0,2,0.957554006576538,0.958405554294586
"statlog-image",3,"<function dropout at 0x7fa51ab6eb70>",512,0.01,"rect",0,2,0.957554000616074,0.956672430038452
"statlog-image",2,"<function dropout at 0x7fa51ab6eb70>",1024,0.1,"rect",0.5,2,0.957553988695145,0.958405494689941
"statlog-image",2,"<function dropout at 0x7fa51ab6eb70>",256,1,"rect",0.5,2,0.956834590435028,0.953206181526184
"statlog-image",2,"<function dropout at 0x7f46564f7a60>",1024,0.1,"cone",0,2,0.956834572553635,0.965337872505188
"statlog-image",16,"<function dropout at 0x7fa51ab6eb70>",1024,0.01,"rect",0,2,0.956834560632706,0.951473116874695
"statlog-image",3,"<function dropout at 0x7f46564f7a60>",1024,0.1,"cone",0,2,0.956474852561951,0.956672370433807
"statlog-image",8,"<function dropout at 0x7fa51ab6eb70>",512,0.01,"rect",0,2,0.956115126609802,0.977469623088837
"statlog-image",2,"<function dropout at 0x7fa51ab6eb70>",1024,0.01,"rect",0,2,0.955755430459976,0.954939365386963
"statlog-image",2,"<function dropout at 0x7fa51ab6eb70>",256,0.1,"rect",0.5,2,0.955395770072937,0.949740052223206
"statlog-image",3,"<function dropout at 0x7f46564f7a60>",1024,0.01,"cone",0,2,0.955395746231079,0.946273803710938
"statlog-image",3,"<function dropout at 0x7f46564f7a60>",256,0.1,"cone",0,2,0.955395722389221,0.970537304878235
"statlog-image",2,"<function dropout at 0x7fa51ab6eb70>",512,0.01,"rect",0,2,0.95503603219986,0.956672430038452
"statlog-image",4,"<function dropout at 0x7fa51ab6eb70>",256,0.01,"rect",0,2,0.955036002397537,0.953206181526184
"statlog-image",2,"<function dropout at 0x7fa51ab6eb70>",1024,1,"rect",0.5,2,0.955035996437073,0.963604807853699
"statlog-image",4,"<function dropout at 0x7fa51ab6eb70>",512,0.1,"rect",0,2,0.954676306247711,0.970537185668945
"statlog-image",2,"<function dropout at 0x7fa51ab6eb70>",512,0.1,"rect",0,2,0.954316574335098,0.958405494689941
"statlog-image",3,"<function dropout at 0x7fa51ab6eb70>",256,0.01,"rect",0,2,0.953956890106201,0.958405554294586
"statlog-image",3,"<function dropout at 0x7f46564f7a60>",256,0.01,"cone",0,2,0.953956884145737,0.954939365386963
"statlog-image",2,"<function dropout at 0x7f46564f7a60>",512,0.1,"cone",0.5,2,0.953956872224808,0.958405494689941
"statlog-image",8,"<function dropout at 0x7f46564f7a60>",256,0.01,"cone",0,2,0.953956860303879,0.965337932109833
"statlog-image",3,"<function dropout at 0x7fa51ab6eb70>",256,0.1,"rect",0.5,2,0.953237456083298,0.951473116874695
"statlog-image",2,"<function dropout at 0x7f46564f7a60>",1024,0.1,"cone",0.5,2,0.952877748012543,0.954939365386963
"statlog-image",3,"<function dropout at 0x7f46564f7a60>",512,0.1,"cone",0,2,0.952877742052078,0.954939305782318
"statlog-image",4,"<function dropout at 0x7f46564f7a60>",256,0.01,"cone",0,2,0.952877736091614,0.956672430038452
"statlog-image",2,"<function dropout at 0x7f46564f7a60>",256,0.1,"cone",0,2,0.952877712249756,0.953206121921539
"statlog-image",3,"<function dropout at 0x7fa51ab6eb70>",512,0.1,"rect",0.5,2,0.952518045902252,0.953206181526184
"statlog-image",2,"<function dropout at 0x7f46564f7a60>",512,0.01,"cone",0,2,0.952517998218536,0.949740052223206
"statlog-image",3,"<function dropout at 0x7fa51ab6eb70>",1024,0.1,"rect",0,2,0.952517992258072,0.954939305782318
"statlog-image",8,"<function dropout at 0x7f46564f7a60>",512,0.01,"cone",0,2,0.952517992258072,0.967070996761322
"statlog-image",8,"<function dropout at 0x7f46564f7a60>",1024,0.1,"cone",0,2,0.952158308029175,0.949739992618561
"statlog-image",8,"<function dropout at 0x7f46564f7a60>",1024,0.01,"cone",0,2,0.951798588037491,0.954939365386963
"statlog-image",2,"<function dropout at 0x7fa51ab6eb70>",256,0.01,"rect",0,2,0.951438891887665,0.949740052223206
"statlog-image",4,"<function dropout at 0x7f46564f7a60>",512,0.01,"cone",0,2,0.951438879966736,0.961871683597565
"statlog-image",3,"<function dropout at 0x7f46564f7a60>",512,0.01,"cone",0,2,0.951438874006271,0.958405613899231
"statlog-image",16,"<function dropout at 0x7f46564f7a60>",512,0.01,"cone",0,2,0.951079159975052,0.958405554294586
