"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"statlog-landsat",4,"<function dropout at 0x7fd296c7fb70>",1024,0.1,"rect",0,2,0.925720632076263,0.907500088214874
"statlog-landsat",4,"<function dropout at 0x7fe9859b0a60>",512,0.1,"cone",0,2,0.924833714962006,0.910000085830688
"statlog-landsat",3,"<function dropout at 0x7fd296c7fb70>",1024,0.1,"rect",0,2,0.924833714962006,0.906500101089478
"statlog-landsat",2,"<function dropout at 0x7fd296c7fb70>",512,0.1,"rect",0,2,0.923946797847748,0.906000077724457
"statlog-landsat",4,"<function dropout at 0x7fd296c7fb70>",512,0.1,"rect",0,2,0.922949016094208,0.89900004863739
"statlog-landsat",8,"<function dropout at 0x7fd296c7fb70>",512,0.1,"rect",0,2,0.92106431722641,0.901000022888184
"statlog-landsat",3,"<function dropout at 0x7fd296c7fb70>",512,0.1,"rect",0,2,0.920509994029999,0.905000150203705
"statlog-landsat",16,"<function dropout at 0x7fd296c7fb70>",256,0.1,"rect",0,2,0.91973392367363,0.905500054359436
"statlog-landsat",2,"<function dropout at 0x7fd296c7fb70>",1024,0.1,"rect",0,2,0.918957889080048,0.906000018119812
"statlog-landsat",2,"<function dropout at 0x7fe9859b0a60>",512,0.1,"cone",0,2,0.918625295162201,0.900000035762787
"statlog-landsat",3,"<function dropout at 0x7fe9859b0a60>",1024,0.1,"cone",0,2,0.918292689323425,0.90500009059906
"statlog-landsat",4,"<function dropout at 0x7fd296c7fb70>",512,0.01,"rect",0,2,0.917738378047943,0.89900004863739
"statlog-landsat",8,"<function dropout at 0x7fd296c7fb70>",256,0.1,"rect",0,2,0.91751663684845,0.862000107765198
"statlog-landsat",4,"<function dropout at 0x7fe9859b0a60>",256,0.1,"cone",0,2,0.917184054851532,0.893500089645386
"statlog-landsat",4,"<function dropout at 0x7fd296c7fb70>",1024,0.01,"rect",0,2,0.915964543819427,0.904000043869019
"statlog-landsat",2,"<function dropout at 0x7fe9859b0a60>",256,0.1,"cone",0,2,0.915299355983734,0.897500038146973
"statlog-landsat",3,"<function dropout at 0x7fd296c7fb70>",256,0.1,"rect",0,2,0.915077614784241,0.884000062942505
"statlog-landsat",4,"<function dropout at 0x7fd296c7fb70>",256,0.1,"rect",0,2,0.913968968391419,0.91100001335144
"statlog-landsat",2,"<function dropout at 0x7fe9859b0a60>",1024,0.1,"cone",0,2,0.913747251033783,0.899500131607056
"statlog-landsat",16,"<function dropout at 0x7fd296c7fb70>",256,0.01,"rect",0,2,0.913414651155472,0.893500030040741
"statlog-landsat",4,"<function dropout at 0x7fe9859b0a60>",1024,0.1,"cone",0,2,0.913303792476654,0.894500017166138
"statlog-landsat",2,"<function dropout at 0x7fd296c7fb70>",256,1,"rect",0.5,2,0.912749463319778,0.901500046253204
"statlog-landsat",3,"<function dropout at 0x7fe9859b0a60>",256,0.1,"cone",0,2,0.911973416805267,0.874500095844269
"statlog-landsat",2,"<function dropout at 0x7fd296c7fb70>",256,0.1,"rect",0,2,0.911973416805267,0.894000053405762
"statlog-landsat",8,"<function dropout at 0x7fd296c7fb70>",512,0.01,"rect",0,2,0.911862546205521,0.898500084877014
"statlog-landsat",16,"<function dropout at 0x7fd296c7fb70>",1024,0.01,"rect",0,2,0.911419081687927,0.904999971389771
"statlog-landsat",4,"<function dropout at 0x7fe9859b0a60>",1024,0.01,"cone",0,2,0.910753905773163,0.901500105857849
"statlog-landsat",8,"<function dropout at 0x7fd296c7fb70>",1024,0.01,"rect",0,2,0.910753899812698,0.874000072479248
"statlog-landsat",3,"<function dropout at 0x7fe9859b0a60>",512,0.1,"cone",0,2,0.909756124019623,0.906000018119812
"statlog-landsat",8,"<function dropout at 0x7fe9859b0a60>",512,0.01,"cone",0,2,0.909756100177765,0.892500042915344
"statlog-landsat",3,"<function dropout at 0x7fe9859b0a60>",1024,0.01,"cone",0,2,0.907538831233978,0.89000004529953
"statlog-landsat",3,"<function dropout at 0x7fe9859b0a60>",512,0.01,"cone",0,2,0.907427966594696,0.8960000872612
"statlog-landsat",16,"<function dropout at 0x7fe9859b0a60>",256,0.1,"cone",0,2,0.906984496116638,0.902500092983246
"statlog-landsat",32,"<function dropout at 0x7fd296c7fb70>",1024,0.01,"rect",0,2,0.904988926649094,0.892500042915344
"statlog-landsat",8,"<function dropout at 0x7fe9859b0a60>",512,0.1,"cone",0,2,0.904767191410065,0.876500070095062
"statlog-landsat",3,"<function dropout at 0x7fd296c7fb70>",512,0.01,"rect",0,2,0.904102027416229,0.890500009059906
"statlog-landsat",8,"<function dropout at 0x7fe9859b0a60>",1024,0.01,"cone",0,2,0.9038802921772,0.888000011444092
"statlog-landsat",4,"<function dropout at 0x7fd296c7fb70>",256,0.01,"rect",0,2,0.9036585688591,0.893999993801117
"statlog-landsat",2,"<function dropout at 0x7fd296c7fb70>",1024,0.01,"rect",0,2,0.903104209899902,0.885000050067902
"statlog-landsat",3,"<function dropout at 0x7fd296c7fb70>",256,0.01,"rect",0,2,0.90266078710556,0.878499984741211
"statlog-landsat",3,"<function dropout at 0x7fd296c7fb70>",1024,0.01,"rect",0,2,0.902106463909149,0.889500081539154
"statlog-landsat",16,"<function dropout at 0x7fe9859b0a60>",512,0.01,"cone",0,2,0.900776034593582,0.875000059604645
"statlog-landsat",8,"<function dropout at 0x7fe9859b0a60>",256,0.1,"cone",0,2,0.900221741199493,0.878000140190125
"statlog-landsat",2,"<function dropout at 0x7fe9859b0a60>",1024,0.01,"cone",0,2,0.900110840797424,0.88700008392334
"statlog-landsat",2,"<function dropout at 0x7fd296c7fb70>",1024,0.1,"rect",0.5,2,0.900000035762787,0.889000058174133
"statlog-landsat",2,"<function dropout at 0x7fe9859b0a60>",512,0.1,"cone",0.5,2,0.899889129400253,0.879000067710876
"statlog-landsat",2,"<function dropout at 0x7fd296c7fb70>",256,0.1,"rect",0.5,2,0.899113112688065,0.897000014781952
"statlog-landsat",8,"<function dropout at 0x7fd296c7fb70>",256,0.01,"rect",0,2,0.8988913834095,0.893999993801117
"statlog-landsat",2,"<function dropout at 0x7fe9859b0a60>",512,0.01,"cone",0,2,0.898447871208191,0.880500078201294
"statlog-landsat",2,"<function dropout at 0x7fd296c7fb70>",256,0.01,"rect",0,2,0.898115319013596,0.881500124931335
"statlog-landsat",2,"<function dropout at 0x7fe9859b0a60>",1024,0.1,"cone",0.5,2,0.897450107336044,0.884500026702881
"statlog-landsat",4,"<function dropout at 0x7fe9859b0a60>",512,0.01,"cone",0,2,0.89600887298584,0.890000104904175
"statlog-landsat",16,"<function dropout at 0x7fd296c7fb70>",512,0.01,"rect",0,2,0.894678509235382,0.887500047683716
"statlog-landsat",32,"<function dropout at 0x7fd296c7fb70>",512,0.01,"rect",0,2,0.894345921278,0.892000079154968
"statlog-landsat",2,"<function dropout at 0x7fe9859b0a60>",256,0.01,"cone",0,2,0.893902480602264,0.879500031471252
"statlog-landsat",2,"<function dropout at 0x7fe9859b0a60>",256,0.1,"cone",0.5,2,0.89368069767952,0.865000069141388
