"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"thyroid",2,"<function dropout at 0x7fd9e06deb70>",256,1,"rect",0,2,0.976251655817032,0.976954579353333
"thyroid",3,"<function dropout at 0x7fa3d1579a60>",256,0.1,"cone",0,2,0.975738197565079,0.974620938301086
"thyroid",4,"<function dropout at 0x7fa3d1579a60>",1024,0.1,"cone",0,2,0.974711221456528,0.975787758827209
"thyroid",2,"<function dropout at 0x7fa3d1579a60>",256,1,"cone",0,2,0.974582839012146,0.972870588302612
"thyroid",2,"<function dropout at 0x7fd9e06deb70>",512,1,"rect",0,2,0.974454492330551,0.969953417778015
"thyroid",2,"<function dropout at 0x7fa3d1579a60>",512,0.1,"cone",0,2,0.974454462528229,0.975495994091034
"thyroid",3,"<function dropout at 0x7fd9e06deb70>",512,0.1,"rect",0,2,0.974326103925705,0.972287118434906
"thyroid",2,"<function dropout at 0x7fa3d1579a60>",512,1,"cone",0,2,0.97394101023674,0.970536828041077
"thyroid",4,"<function dropout at 0x7fa3d1579a60>",512,0.1,"cone",0,2,0.973555886745453,0.972870588302612
"thyroid",4,"<function dropout at 0x7fd9e06deb70>",1024,0.1,"rect",0,2,0.973427504301071,0.972578883171082
"thyroid",4,"<function dropout at 0x7fa3d1579a60>",256,1,"cone",0,2,0.973170775175095,0.974912643432617
"thyroid",2,"<function dropout at 0x7fa3d1579a60>",256,0.1,"cone",0,2,0.973170751333237,0.972870588302612
"thyroid",2,"<function dropout at 0x7fd9e06deb70>",512,0.1,"rect",0,2,0.97291402220726,0.972578883171082
"thyroid",3,"<function dropout at 0x7fd9e06deb70>",256,1,"rect",0,2,0.972785639762878,0.960910201072693
"thyroid",2,"<function dropout at 0x7fd9e06deb70>",256,0.1,"rect",0,2,0.972400569915772,0.97403746843338
"thyroid",3,"<function dropout at 0x7fa3d1579a60>",512,0.1,"cone",0,2,0.972272205352783,0.974037408828735
"thyroid",2,"<function dropout at 0x7fd9e06deb70>",1024,1,"rect",0,2,0.972015458345413,0.968494892120361
"thyroid",2,"<function dropout at 0x7fa3d1579a60>",1024,0.1,"cone",0,2,0.971373635530472,0.972870647907257
"thyroid",3,"<function dropout at 0x7fa3d1579a60>",256,1,"cone",0,2,0.971373617649078,0.968494892120361
"thyroid",2,"<function dropout at 0x7fd9e06deb70>",512,1,"rect",0.5,2,0.97124519944191,0.975495994091034
"thyroid",2,"<function dropout at 0x7fd9e06deb70>",256,1,"rect",0.5,2,0.971116852760315,0.976662874221802
"thyroid",8,"<function dropout at 0x7fd9e06deb70>",512,0.01,"rect",0,2,0.970603388547898,0.969370007514954
"thyroid",3,"<function dropout at 0x7fd9e06deb70>",256,0.1,"rect",0,2,0.969704794883728,0.973162293434143
"thyroid",2,"<function dropout at 0x7fa3d1579a60>",256,1,"cone",0.5,2,0.969576418399811,0.958576500415802
"thyroid",3,"<function dropout at 0x7fd9e06deb70>",1024,0.01,"rect",0,2,0.96944807767868,0.967327952384949
"thyroid",8,"<function dropout at 0x7fd9e06deb70>",256,0.1,"rect",0,2,0.969319719076157,0.967327952384949
"thyroid",8,"<function dropout at 0x7fa3d1579a60>",1024,0.1,"cone",0,2,0.96931968331337,0.97199547290802
"thyroid",4,"<function dropout at 0x7fd9e06deb70>",256,0.1,"rect",0,2,0.96919133067131,0.971703708171844
"thyroid",4,"<function dropout at 0x7fa3d1579a60>",512,0.01,"cone",0,2,0.969191324710846,0.968203127384186
"thyroid",16,"<function dropout at 0x7fa3d1579a60>",256,0.1,"cone",0,2,0.968934589624405,0.957409620285034
"thyroid",3,"<function dropout at 0x7fa3d1579a60>",1024,0.1,"cone",0,2,0.968934583663941,0.974329233169556
"thyroid",4,"<function dropout at 0x7fa3d1579a60>",1024,0.01,"cone",0,2,0.968549454212189,0.972870528697968
"thyroid",4,"<function dropout at 0x7fa3d1579a60>",256,0.1,"cone",0,2,0.968421107530594,0.967619657516479
"thyroid",16,"<function dropout at 0x7fd9e06deb70>",1024,0.1,"rect",0,2,0.96816434264183,0.967328011989594
"thyroid",8,"<function dropout at 0x7fd9e06deb70>",1024,0.1,"rect",0,2,0.967265772819519,0.966161131858826
"thyroid",32,"<function dropout at 0x7fa3d1579a60>",512,0.1,"cone",0,2,0.967009019851685,0.968494832515717
"thyroid",2,"<function dropout at 0x7fd9e06deb70>",1024,0.1,"rect",0,2,0.966752296686173,0.971120297908783
"thyroid",4,"<function dropout at 0x7fd9e06deb70>",512,0.1,"rect",0,2,0.966752290725708,0.973745703697205
"thyroid",3,"<function dropout at 0x7fd9e06deb70>",1024,0.1,"rect",0,2,0.966623902320862,0.96616119146347
"thyroid",2,"<function dropout at 0x7fa3d1579a60>",1024,0.01,"cone",0,2,0.966623902320862,0.962660551071167
"thyroid",3,"<function dropout at 0x7fa3d1579a60>",512,1,"cone",0,2,0.966495561599731,0.973745703697205
"thyroid",3,"<function dropout at 0x7fd9e06deb70>",512,1,"rect",0,2,0.966367161273956,0.971120297908783
"thyroid",8,"<function dropout at 0x7fd9e06deb70>",512,0.1,"rect",0,2,0.965982085466385,0.969661712646484
"thyroid",3,"<function dropout at 0x7fa3d1579a60>",1024,0.01,"cone",0,2,0.965982073545456,0.969370007514954
"thyroid",8,"<function dropout at 0x7fd9e06deb70>",1024,0.01,"rect",0,2,0.965725314617157,0.967619657516479
"thyroid",8,"<function dropout at 0x7fa3d1579a60>",1024,0.01,"cone",0,2,0.965468573570252,0.96382737159729
"thyroid",8,"<function dropout at 0x7fa3d1579a60>",256,0.1,"cone",0,2,0.965340238809586,0.955659329891205
"thyroid",4,"<function dropout at 0x7fd9e06deb70>",256,0.01,"rect",0,2,0.965340232849121,0.964410841464996
"thyroid",8,"<function dropout at 0x7fa3d1579a60>",256,0.01,"cone",0,2,0.96508349776268,0.962952256202698
"thyroid",4,"<function dropout at 0x7fd9e06deb70>",512,0.01,"rect",0,2,0.964313280582428,0.966161131858826
"thyroid",8,"<function dropout at 0x7fa3d1579a60>",512,0.1,"cone",0,2,0.964313268661499,0.966452836990356
"thyroid",2,"<function dropout at 0x7fa3d1579a60>",1024,0.1,"cone",0.5,2,0.96392816901207,0.966161072254181
"thyroid",16,"<function dropout at 0x7fd9e06deb70>",512,0.1,"rect",0,2,0.963671427965164,0.961201965808868
"thyroid",8,"<function dropout at 0x7fd9e06deb70>",256,0.01,"rect",0,2,0.963543033599854,0.963243961334229
"thyroid",4,"<function dropout at 0x7fd9e06deb70>",1024,0.01,"rect",0,2,0.962644463777542,0.959743440151215
"thyroid",2,"<function dropout at 0x7fd9e06deb70>",1024,0.01,"rect",0,2,0.961745870113373,0.959743440151215
"thyroid",2,"<function dropout at 0x7fa3d1579a60>",512,1,"cone",0.5,2,0.961617511510849,0.967619776725769
"thyroid",16,"<function dropout at 0x7fd9e06deb70>",256,0.1,"rect",0,2,0.960975652933121,0.956242799758911
"thyroid",2,"<function dropout at 0x7fa3d1579a60>",512,0.01,"cone",0,2,0.960975652933121,0.956242799758911
"thyroid",16,"<function dropout at 0x7fd9e06deb70>",512,0.01,"rect",0,2,0.959948682785034,0.961493670940399
"thyroid",2,"<function dropout at 0x7fd9e06deb70>",256,0.1,"rect",0.5,2,0.959050101041794,0.95390909910202
"thyroid",2,"<function dropout at 0x7fd9e06deb70>",512,0.01,"rect",0,2,0.958921736478806,0.956534504890442
