"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"tic-tac-toe",2,"<function dropout at 0x7f7e89c1ab70>",256,1,"rect",0.5,2,0.990163886547089,0.983263611793518
"tic-tac-toe",4,"<function dropout at 0x7f416a9fda60>",512,0.1,"cone",0,2,0.988524544239044,0.987447738647461
"tic-tac-toe",16,"<function dropout at 0x7f7e89c1ab70>",512,0.01,"rect",0,2,0.983606517314911,0.979079484939575
"tic-tac-toe",8,"<function dropout at 0x7f416a9fda60>",256,0.1,"cone",0,2,0.983606517314911,0.97907954454422
"tic-tac-toe",3,"<function dropout at 0x7f416a9fda60>",1024,0.1,"cone",0.5,2,0.983606517314911,0.987447738647461
"tic-tac-toe",3,"<function dropout at 0x7f416a9fda60>",512,0.1,"cone",0,2,0.983606517314911,0.983263611793518
"tic-tac-toe",2,"<function dropout at 0x7f7e89c1ab70>",1024,0.1,"rect",0.5,2,0.983606517314911,0.983263611793518
"tic-tac-toe",2,"<function dropout at 0x7f416a9fda60>",256,0.1,"cone",0,2,0.983606517314911,0.979079484939575
"tic-tac-toe",2,"<function dropout at 0x7f416a9fda60>",256,1,"cone",0,2,0.983606517314911,0.97907954454422
"tic-tac-toe",2,"<function dropout at 0x7f7e89c1ab70>",256,1,"rect",0,2,0.983606517314911,0.979079484939575
"tic-tac-toe",2,"<function dropout at 0x7f7e89c1ab70>",512,1,"rect",0.5,2,0.981967175006867,0.991631865501404
"tic-tac-toe",2,"<function dropout at 0x7f416a9fda60>",512,0.1,"cone",0,2,0.980327808856964,0.974895358085632
"tic-tac-toe",3,"<function dropout at 0x7f416a9fda60>",1024,0.1,"cone",0,2,0.977049100399017,0.987447738647461
"tic-tac-toe",2,"<function dropout at 0x7f7e89c1ab70>",1024,1,"rect",0,2,0.977049100399017,0.97907954454422
"tic-tac-toe",2,"<function dropout at 0x7f416a9fda60>",1024,0.1,"cone",0.5,2,0.976229423284531,0.995815932750702
"tic-tac-toe",4,"<function dropout at 0x7f416a9fda60>",512,0.01,"cone",0,2,0.975409805774689,0.953974902629852
"tic-tac-toe",8,"<function dropout at 0x7f7e89c1ab70>",1024,0.01,"rect",0,2,0.975409746170044,0.962343096733093
"tic-tac-toe",8,"<function dropout at 0x7f416a9fda60>",512,0.1,"cone",0,2,0.975409746170044,0.974895417690277
"tic-tac-toe",4,"<function dropout at 0x7f7e89c1ab70>",1024,0.01,"rect",0,2,0.975409746170044,0.983263611793518
"tic-tac-toe",4,"<function dropout at 0x7f7e89c1ab70>",512,0.1,"rect",0.5,2,0.975409746170044,0.97907954454422
"tic-tac-toe",4,"<function dropout at 0x7f7e89c1ab70>",1024,0.1,"rect",0.5,2,0.975409746170044,0.983263611793518
"tic-tac-toe",4,"<function dropout at 0x7f416a9fda60>",256,0.1,"cone",0,2,0.975409746170044,0.974895358085632
"tic-tac-toe",4,"<function dropout at 0x7f416a9fda60>",1024,0.1,"cone",0,2,0.975409746170044,0.987447738647461
"tic-tac-toe",4,"<function dropout at 0x7f7e89c1ab70>",256,0.1,"rect",0,2,0.975409746170044,0.970711290836334
"tic-tac-toe",4,"<function dropout at 0x7f7e89c1ab70>",512,0.1,"rect",0,2,0.975409746170044,0.983263611793518
"tic-tac-toe",4,"<function dropout at 0x7f7e89c1ab70>",1024,0.1,"rect",0,2,0.975409746170044,0.983263611793518
"tic-tac-toe",3,"<function dropout at 0x7f416a9fda60>",256,0.01,"cone",0,2,0.975409746170044,0.966527104377747
"tic-tac-toe",3,"<function dropout at 0x7f7e89c1ab70>",256,0.01,"rect",0,2,0.975409746170044,0.966527163982391
"tic-tac-toe",3,"<function dropout at 0x7f416a9fda60>",256,0.1,"cone",0,2,0.975409746170044,0.987447679042816
"tic-tac-toe",3,"<function dropout at 0x7f7e89c1ab70>",256,0.1,"rect",0,2,0.975409746170044,0.974895417690277
"tic-tac-toe",3,"<function dropout at 0x7f7e89c1ab70>",512,0.1,"rect",0,2,0.975409746170044,0.983263611793518
"tic-tac-toe",3,"<function dropout at 0x7f7e89c1ab70>",1024,0.1,"rect",0,2,0.975409746170044,0.987447738647461
"tic-tac-toe",2,"<function dropout at 0x7f416a9fda60>",512,0.01,"cone",0,2,0.975409746170044,0.970711350440979
"tic-tac-toe",2,"<function dropout at 0x7f7e89c1ab70>",512,0.1,"rect",0.5,2,0.975409746170044,0.983263611793518
"tic-tac-toe",2,"<function dropout at 0x7f416a9fda60>",1024,0.1,"cone",0,2,0.975409746170044,0.97907954454422
"tic-tac-toe",2,"<function dropout at 0x7f7e89c1ab70>",256,0.1,"rect",0,2,0.975409746170044,0.974895417690277
"tic-tac-toe",2,"<function dropout at 0x7f7e89c1ab70>",512,0.1,"rect",0,2,0.975409746170044,0.974895417690277
"tic-tac-toe",2,"<function dropout at 0x7f7e89c1ab70>",1024,0.1,"rect",0,2,0.975409746170044,0.979079484939575
"tic-tac-toe",3,"<function dropout at 0x7f7e89c1ab70>",512,0.1,"rect",0.5,2,0.974590086936951,0.970711350440979
"tic-tac-toe",3,"<function dropout at 0x7f7e89c1ab70>",1024,0.1,"rect",0.5,2,0.974590075016022,0.974895417690277
"tic-tac-toe",2,"<function dropout at 0x7f7e89c1ab70>",512,1,"rect",0,2,0.973770451545715,0.987447738647461
"tic-tac-toe",3,"<function dropout at 0x7f416a9fda60>",1024,0.01,"cone",0,2,0.973770403862,0.974895417690277
"tic-tac-toe",8,"<function dropout at 0x7f7e89c1ab70>",256,0.01,"rect",0,2,0.971311390399933,0.962343156337738
"tic-tac-toe",2,"<function dropout at 0x7f7e89c1ab70>",256,0.1,"rect",0.5,2,0.971311390399933,0.983263611793518
"tic-tac-toe",2,"<function dropout at 0x7f7e89c1ab70>",1024,0.01,"rect",0.5,2,0.969672065973282,0.966527223587036
"tic-tac-toe",2,"<function dropout at 0x7f416a9fda60>",1024,0.01,"cone",0,2,0.967213040590286,0.970711290836334
"tic-tac-toe",8,"<function dropout at 0x7f7e89c1ab70>",512,0.01,"rect",0,2,0.967213034629822,0.974895417690277
"tic-tac-toe",8,"<function dropout at 0x7f416a9fda60>",1024,0.1,"cone",0,2,0.967213034629822,0.974895417690277
"tic-tac-toe",8,"<function dropout at 0x7f7e89c1ab70>",256,0.1,"rect",0,2,0.967213034629822,0.966527223587036
"tic-tac-toe",8,"<function dropout at 0x7f7e89c1ab70>",512,0.1,"rect",0,2,0.967213034629822,0.979079484939575
"tic-tac-toe",4,"<function dropout at 0x7f416a9fda60>",1024,0.01,"cone",0,2,0.967213034629822,0.970711290836334
"tic-tac-toe",3,"<function dropout at 0x7f7e89c1ab70>",512,0.01,"rect",0,2,0.967213034629822,0.97907954454422
"tic-tac-toe",3,"<function dropout at 0x7f7e89c1ab70>",1024,0.01,"rect",0,2,0.967213034629822,0.974895417690277
"tic-tac-toe",2,"<function dropout at 0x7f7e89c1ab70>",256,0.01,"rect",0,2,0.967213034629822,0.95815896987915
"tic-tac-toe",2,"<function dropout at 0x7f7e89c1ab70>",1024,0.01,"rect",0,2,0.967213034629822,0.966527163982391
"tic-tac-toe",2,"<function dropout at 0x7f416a9fda60>",512,0.1,"cone",0.5,2,0.9663933634758,0.979079484939575
"tic-tac-toe",3,"<function dropout at 0x7f7e89c1ab70>",256,0.1,"rect",0.5,2,0.963114678859711,0.945606708526611
"tic-tac-toe",16,"<function dropout at 0x7f7e89c1ab70>",256,0.01,"rect",0,2,0.9590163230896,0.949790775775909
"tic-tac-toe",4,"<function dropout at 0x7f7e89c1ab70>",256,0.01,"rect",0,2,0.9590163230896,0.974895358085632
"tic-tac-toe",4,"<function dropout at 0x7f7e89c1ab70>",512,0.01,"rect",0,2,0.9590163230896,0.979079484939575
"tic-tac-toe",2,"<function dropout at 0x7f7e89c1ab70>",512,0.01,"rect",0,2,0.9590163230896,0.945606648921967
"tic-tac-toe",2,"<function dropout at 0x7f416a9fda60>",512,1,"cone",0.5,2,0.95245897769928,0.970711231231689
"tic-tac-toe",16,"<function dropout at 0x7f7e89c1ab70>",1024,0.01,"rect",0,2,0.950819611549377,0.941422581672668
"tic-tac-toe",3,"<function dropout at 0x7f7e89c1ab70>",1024,0.01,"rect",0.5,2,0.946721255779266,0.941422581672668
"tic-tac-toe",8,"<function dropout at 0x7f416a9fda60>",512,0.01,"cone",0,2,0.945901584625244,0.941422581672668
"tic-tac-toe",32,"<function dropout at 0x7f7e89c1ab70>",512,0.01,"rect",0,2,0.942622900009155,0.949790716171265
"tic-tac-toe",3,"<function dropout at 0x7f416a9fda60>",512,0.01,"cone",0,2,0.942622900009155,0.953974843025208
"tic-tac-toe",2,"<function dropout at 0x7f416a9fda60>",256,0.1,"cone",0.5,2,0.936065495014191,0.928870320320129
"tic-tac-toe",3,"<function dropout at 0x7f416a9fda60>",512,0.1,"cone",0.5,2,0.930327820777893,0.949790835380554
"tic-tac-toe",2,"<function dropout at 0x7f416a9fda60>",256,1,"cone",0.5,2,0.928688478469849,0.933054447174072
"tic-tac-toe",32,"<function dropout at 0x7f7e89c1ab70>",256,0.01,"rect",0,2,0.927049148082733,0.933054387569427
"tic-tac-toe",2,"<function dropout at 0x7f7e89c1ab70>",512,0.01,"rect",0.5,2,0.927049118280411,0.916317939758301
"tic-tac-toe",32,"<function dropout at 0x7f7e89c1ab70>",1024,0.01,"rect",0,2,0.918032705783844,0.945606708526611
"tic-tac-toe",32,"<function dropout at 0x7f416a9fda60>",1024,0.01,"cone",0,2,0.909836000204086,0.882845163345337
"tic-tac-toe",2,"<function dropout at 0x7f416a9fda60>",256,0.01,"cone",0,2,0.899180269241333,0.916317939758301
"tic-tac-toe",4,"<function dropout at 0x7f7e89c1ab70>",256,0.1,"rect",0.5,2,0.865573716163635,0.882845163345337
"tic-tac-toe",2,"<function dropout at 0x7f416a9fda60>",1024,0.01,"cone",0.5,2,0.854098296165466,0.857740521430969
"tic-tac-toe",4,"<function dropout at 0x7f7e89c1ab70>",1024,0.01,"rect",0.5,2,0.830327820777893,0.815899610519409
"tic-tac-toe",2,"<function dropout at 0x7f7e89c1ab70>",256,0.01,"rect",0.5,2,0.799999940395355,0.81589949131012
"tic-tac-toe",3,"<function dropout at 0x7f7e89c1ab70>",512,0.01,"rect",0.5,2,0.774590128660202,0.794978976249695
"tic-tac-toe",2,"<function dropout at 0x7f416a9fda60>",256,0.01,"cone",0.5,2,0.772950798273087,0.73221755027771
"tic-tac-toe",2,"<function dropout at 0x7f416a9fda60>",512,0.01,"cone",0.5,2,0.768032705783844,0.736401617527008
"tic-tac-toe",2,"<function dropout at 0x7f416a9fda60>",1024,1,"cone",0.5,2,0.762295043468475,0.732217609882355
"tic-tac-toe",4,"<function dropout at 0x7f7e89c1ab70>",256,0.01,"rect",0.5,2,0.736885195970535,0.673640131950378
"tic-tac-toe",2,"<function dropout at 0x7f416a9fda60>",512,1,"cone",0,2,0.707377016544342,0.673640131950378
"tic-tac-toe",16,"<function dropout at 0x7f416a9fda60>",256,0.1,"cone",0,2,0.703278630971909,0.652719616889954
"tic-tac-toe",3,"<function dropout at 0x7f7e89c1ab70>",256,0.01,"rect",0.5,2,0.70245897769928,0.736401677131653
"tic-tac-toe",3,"<function dropout at 0x7f416a9fda60>",1024,0.01,"cone",0.5,2,0.69836061000824,0.677824258804321
"tic-tac-toe",4,"<function dropout at 0x7f416a9fda60>",256,0.01,"cone",0,2,0.697540962696075,0.682008266448975
"tic-tac-toe",4,"<function dropout at 0x7f416a9fda60>",512,0.01,"cone",0.5,2,0.696721261739731,0.698744714260101
"tic-tac-toe",4,"<function dropout at 0x7f7e89c1ab70>",512,0.01,"rect",0.5,2,0.670491743087769,0.740585744380951
"tic-tac-toe",2,"<function dropout at 0x7f416a9fda60>",1024,1,"cone",0,2,0.668032711744308,0.652719616889954
"tic-tac-toe",3,"<function dropout at 0x7f416a9fda60>",256,0.01,"cone",0.5,2,0.666393387317658,0.652719616889954
"tic-tac-toe",8,"<function dropout at 0x7f416a9fda60>",256,0.01,"cone",0,2,0.665573698282242,0.652719676494598
"tic-tac-toe",4,"<function dropout at 0x7f416a9fda60>",1024,0.01,"cone",0.5,2,0.664754021167755,0.652719616889954
"tic-tac-toe",32,"<function dropout at 0x7f416a9fda60>",256,0.01,"cone",0.5,2,0.663934350013733,0.652719616889954
"tic-tac-toe",32,"<function dropout at 0x7f416a9fda60>",512,0.01,"cone",0.5,2,0.663934350013733,0.652719616889954
"tic-tac-toe",32,"<function dropout at 0x7f416a9fda60>",1024,0.01,"cone",0.5,2,0.663934350013733,0.652719616889954
"tic-tac-toe",32,"<function dropout at 0x7f416a9fda60>",256,0.01,"cone",0,2,0.663934350013733,0.652719676494598
