"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"wine",32,"<function dropout at 0x7f7c97cc6b70>",256,0.01,"rect",0,2,1,0.931818246841431
"wine",32,"<function dropout at 0x7f7c97cc6b70>",512,0.01,"rect",0,2,1,0.931818246841431
"wine",32,"<function dropout at 0x7f7c97cc6b70>",1024,0.01,"rect",0,2,1,0.954545497894287
"wine",16,"<function dropout at 0x7ff2a0772a60>",1024,0.1,"cone",0,2,1,0.977272748947144
"wine",8,"<function dropout at 0x7ff2a0772a60>",1024,0.01,"cone",0,2,1,0.954545497894287
"wine",8,"<function dropout at 0x7f7c97cc6b70>",1024,0.01,"rect",0,2,1,0.977272748947144
"wine",4,"<function dropout at 0x7ff2a0772a60>",256,0.01,"cone",0.5,2,1,0.977272748947144
"wine",4,"<function dropout at 0x7ff2a0772a60>",512,0.01,"cone",0.5,2,1,0.909090876579285
"wine",4,"<function dropout at 0x7ff2a0772a60>",1024,0.01,"cone",0.5,2,1,0.931818187236786
"wine",4,"<function dropout at 0x7f7c97cc6b70>",512,0.01,"rect",0.5,2,1,0.954545497894287
"wine",4,"<function dropout at 0x7ff2a0772a60>",256,0.01,"cone",0,2,1,0.954545497894287
"wine",4,"<function dropout at 0x7ff2a0772a60>",512,0.01,"cone",0,2,1,0.977272748947144
"wine",4,"<function dropout at 0x7ff2a0772a60>",1024,0.01,"cone",0,2,1,0.954545497894287
"wine",4,"<function dropout at 0x7f7c97cc6b70>",256,0.01,"rect",0,2,1,0.931818187236786
"wine",4,"<function dropout at 0x7f7c97cc6b70>",512,0.01,"rect",0,2,1,0.954545497894287
"wine",4,"<function dropout at 0x7f7c97cc6b70>",1024,0.01,"rect",0,2,1,0.977272748947144
"wine",4,"<function dropout at 0x7ff2a0772a60>",512,0.1,"cone",0.5,2,1,0.954545497894287
"wine",4,"<function dropout at 0x7ff2a0772a60>",256,0.1,"cone",0,2,1,0.977272748947144
"wine",4,"<function dropout at 0x7ff2a0772a60>",512,0.1,"cone",0,2,1,1
"wine",4,"<function dropout at 0x7ff2a0772a60>",1024,0.1,"cone",0,2,1,1
"wine",4,"<function dropout at 0x7f7c97cc6b70>",256,0.1,"rect",0,2,1,0.954545497894287
"wine",4,"<function dropout at 0x7f7c97cc6b70>",512,0.1,"rect",0,2,1,0.954545497894287
