"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"zoo",16,"<function dropout at 0x7f4399ccbb70>",512,0.01,"rect",0,2,1,1
"zoo",8,"<function dropout at 0x7fc81b0c8a60>",256,0.01,"cone",0,2,1,0.919999957084656
"zoo",8,"<function dropout at 0x7fc81b0c8a60>",1024,0.01,"cone",0,2,1,0.919999957084656
"zoo",8,"<function dropout at 0x7f4399ccbb70>",256,0.01,"rect",0,2,1,0.959999978542328
"zoo",8,"<function dropout at 0x7f4399ccbb70>",512,0.01,"rect",0,2,1,1
"zoo",8,"<function dropout at 0x7f4399ccbb70>",1024,0.01,"rect",0,2,1,1
"zoo",8,"<function dropout at 0x7f4399ccbb70>",256,0.1,"rect",0,2,1,0.959999978542328
"zoo",4,"<function dropout at 0x7f4399ccbb70>",256,0.01,"rect",0.5,2,1,0.879999995231628
"zoo",4,"<function dropout at 0x7f4399ccbb70>",512,0.01,"rect",0.5,2,1,0.959999978542328
"zoo",4,"<function dropout at 0x7f4399ccbb70>",1024,0.01,"rect",0.5,2,1,1
"zoo",4,"<function dropout at 0x7fc81b0c8a60>",256,0.01,"cone",0,2,1,0.959999978542328
"zoo",4,"<function dropout at 0x7fc81b0c8a60>",512,0.01,"cone",0,2,1,0.959999978542328
"zoo",4,"<function dropout at 0x7fc81b0c8a60>",1024,0.01,"cone",0,2,1,0.919999957084656
"zoo",4,"<function dropout at 0x7f4399ccbb70>",256,0.01,"rect",0,2,1,0.919999957084656
"zoo",4,"<function dropout at 0x7f4399ccbb70>",512,0.01,"rect",0,2,1,1
"zoo",4,"<function dropout at 0x7f4399ccbb70>",1024,0.01,"rect",0,2,1,1
"zoo",4,"<function dropout at 0x7fc81b0c8a60>",512,0.1,"cone",0,2,1,0.959999978542328
"zoo",4,"<function dropout at 0x7fc81b0c8a60>",1024,0.1,"cone",0,2,1,1
"zoo",4,"<function dropout at 0x7f4399ccbb70>",256,0.1,"rect",0,2,1,1
"zoo",4,"<function dropout at 0x7f4399ccbb70>",512,0.1,"rect",0,2,1,0.959999978542328
"zoo",3,"<function dropout at 0x7fc81b0c8a60>",512,0.01,"cone",0.5,2,1,0.919999957084656
"zoo",3,"<function dropout at 0x7fc81b0c8a60>",1024,0.01,"cone",0.5,2,1,0.959999978542328
"zoo",3,"<function dropout at 0x7f4399ccbb70>",256,0.01,"rect",0.5,2,1,0.919999957084656
"zoo",3,"<function dropout at 0x7f4399ccbb70>",512,0.01,"rect",0.5,2,1,0.959999978542328
"zoo",3,"<function dropout at 0x7f4399ccbb70>",1024,0.01,"rect",0.5,2,1,1
"zoo",3,"<function dropout at 0x7fc81b0c8a60>",256,0.01,"cone",0,2,1,1
"zoo",3,"<function dropout at 0x7fc81b0c8a60>",512,0.01,"cone",0,2,1,0.959999978542328
"zoo",3,"<function dropout at 0x7fc81b0c8a60>",1024,0.01,"cone",0,2,1,0.959999978542328
"zoo",3,"<function dropout at 0x7f4399ccbb70>",256,0.01,"rect",0,2,1,1
"zoo",3,"<function dropout at 0x7f4399ccbb70>",512,0.01,"rect",0,2,1,1
"zoo",3,"<function dropout at 0x7f4399ccbb70>",1024,0.01,"rect",0,2,1,1
"zoo",3,"<function dropout at 0x7fc81b0c8a60>",256,0.1,"cone",0.5,2,1,0.919999957084656
"zoo",3,"<function dropout at 0x7fc81b0c8a60>",256,0.1,"cone",0,2,1,1
"zoo",3,"<function dropout at 0x7fc81b0c8a60>",512,0.1,"cone",0,2,1,1
"zoo",3,"<function dropout at 0x7fc81b0c8a60>",1024,0.1,"cone",0,2,1,1
"zoo",3,"<function dropout at 0x7f4399ccbb70>",256,0.1,"rect",0,2,1,1
"zoo",3,"<function dropout at 0x7f4399ccbb70>",1024,0.1,"rect",0,2,1,1
"zoo",2,"<function dropout at 0x7fc81b0c8a60>",256,0.01,"cone",0.5,2,1,0.879999995231628
"zoo",2,"<function dropout at 0x7fc81b0c8a60>",512,0.01,"cone",0.5,2,1,0.839999973773956
"zoo",2,"<function dropout at 0x7fc81b0c8a60>",1024,0.01,"cone",0.5,2,1,0.959999978542328
"zoo",2,"<function dropout at 0x7f4399ccbb70>",256,0.01,"rect",0.5,2,1,0.919999957084656
"zoo",2,"<function dropout at 0x7f4399ccbb70>",512,0.01,"rect",0.5,2,1,1
"zoo",2,"<function dropout at 0x7f4399ccbb70>",1024,0.01,"rect",0.5,2,1,1
"zoo",2,"<function dropout at 0x7fc81b0c8a60>",256,0.01,"cone",0,2,1,0.879999995231628
"zoo",2,"<function dropout at 0x7fc81b0c8a60>",512,0.01,"cone",0,2,1,0.959999978542328
"zoo",2,"<function dropout at 0x7fc81b0c8a60>",1024,0.01,"cone",0,2,1,1
"zoo",2,"<function dropout at 0x7f4399ccbb70>",256,0.01,"rect",0,2,1,1
"zoo",2,"<function dropout at 0x7f4399ccbb70>",512,0.01,"rect",0,2,1,1
"zoo",2,"<function dropout at 0x7f4399ccbb70>",1024,0.01,"rect",0,2,1,1
"zoo",2,"<function dropout at 0x7fc81b0c8a60>",256,0.1,"cone",0.5,2,1,0.959999978542328
"zoo",2,"<function dropout at 0x7fc81b0c8a60>",512,0.1,"cone",0.5,2,1,0.959999978542328
"zoo",2,"<function dropout at 0x7fc81b0c8a60>",1024,0.1,"cone",0.5,2,1,0.959999978542328
"zoo",2,"<function dropout at 0x7f4399ccbb70>",256,0.1,"rect",0.5,2,1,1
"zoo",2,"<function dropout at 0x7f4399ccbb70>",1024,0.1,"rect",0.5,2,1,0.959999978542328
"zoo",2,"<function dropout at 0x7fc81b0c8a60>",256,0.1,"cone",0,2,1,1
"zoo",2,"<function dropout at 0x7fc81b0c8a60>",512,0.1,"cone",0,2,1,1
"zoo",2,"<function dropout at 0x7fc81b0c8a60>",1024,0.1,"cone",0,2,1,1
"zoo",2,"<function dropout at 0x7f4399ccbb70>",512,0.1,"rect",0,2,1,1
"zoo",2,"<function dropout at 0x7f4399ccbb70>",1024,0.1,"rect",0,2,1,0.959999978542328
"zoo",4,"<function dropout at 0x7f4399ccbb70>",256,0.1,"rect",0.5,2,0.977777791023254,0.959999978542328
"zoo",4,"<function dropout at 0x7f4399ccbb70>",512,0.1,"rect",0.5,2,0.977777779102325,0.959999978542328
"zoo",2,"<function dropout at 0x7f4399ccbb70>",512,0.1,"rect",0.5,2,0.977777779102325,0.959999978542328
"zoo",4,"<function dropout at 0x7fc81b0c8a60>",256,0.1,"cone",0,2,0.966666674613953,1
"zoo",3,"<function dropout at 0x7f4399ccbb70>",256,0.1,"rect",0.5,2,0.955555558204651,1
"zoo",8,"<function dropout at 0x7fc81b0c8a60>",256,0.1,"cone",0,2,0.944444453716278,0.799999952316284
"zoo",3,"<function dropout at 0x7fc81b0c8a60>",512,0.1,"cone",0.5,2,0.944444453716278,0.959999978542328
"zoo",3,"<function dropout at 0x7f4399ccbb70>",512,0.1,"rect",0.5,2,0.944444453716278,0.919999957084656
