"dataset","blockForm","valAccuracy","nhidden","testAccuracy","bottleneck","nblocks","learningrate"
"audiology-std","diavolo",0.822580605745316,512,0.799999952316284,0.25,4,0.1
"audiology-std","diavolo",0.774193525314331,512,0.639999985694885,0.5,4,0.1
"audiology-std","diavolo",0.774193525314331,1024,0.719999969005585,0.25,2,0.01
"audiology-std","rect",0.774193525314331,1024,0.720000028610229,0.25,2,0.1
"audiology-std","diavolo",0.774193525314331,1024,0.799999952316284,0.25,2,0.1
"audiology-std","rect",0.764516115188599,1024,0.759999990463257,0.25,3,0.1
"audiology-std","diavolo",0.761290311813354,1024,0.679999947547913,0.5,3,0.1
"audiology-std","diavolo",0.75806450843811,1024,0.719999969005585,0.25,4,0.1
"audiology-std","diavolo",0.745161294937134,1024,0.679999947547913,0.5,4,0.1
"audiology-std","rect",0.74193549156189,1024,0.639999985694885,0.5,4,0.01
"audiology-std","rect",0.74193549156189,512,0.719999969005585,0.5,4,0.1
"audiology-std","diavolo",0.74193549156189,256,0.679999947547913,0.25,4,0.1
"audiology-std","diavolo",0.74193549156189,256,0.759999990463257,0.5,4,0.1
"audiology-std","rect",0.74193549156189,1024,0.799999952316284,0.5,2,0.1
"audiology-std","diavolo",0.74193549156189,512,0.719999969005585,0.5,2,0.1
"audiology-std","diavolo",0.74193549156189,256,0.719999969005585,0.25,2,0.1
"audiology-std","rect",0.725806444883347,1024,0.679999947547913,0.5,8,0.01
"audiology-std","diavolo",0.722580635547638,1024,0.719999969005585,0.5,8,0.01
"audiology-std","rect",0.722580635547638,1024,0.759999990463257,0.5,16,0.01
"audiology-std","diavolo",0.716129016876221,256,0.839999973773956,0.25,8,0.1
"audiology-std","diavolo",0.709677398204803,512,0.560000002384186,0.5,3,0.01
"audiology-std","diavolo",0.709677398204803,1024,0.799999952316284,0.25,3,0.1
"audiology-std","diavolo",0.709677398204803,512,0.600000023841858,0.25,3,0.1
"audiology-std","rect",0.709677398204803,256,0.799999952316284,0.25,3,0.1
"audiology-std","diavolo",0.709677398204803,256,0.560000002384186,0.25,3,0.1
"audiology-std","diavolo",0.706451588869095,512,0.599999964237213,0.25,16,0.01
"audiology-std","diavolo",0.706451588869095,512,0.679999947547913,0.5,8,0.1
"audiology-std","rect",0.696774160861969,1024,0.639999985694885,0.5,3,0.01
"audiology-std","rect",0.696774160861969,256,0.759999990463257,0.5,3,0.1
"audiology-std","diavolo",0.69354835152626,256,0.600000023841858,0.5,2,0.1
"audiology-std","diavolo",0.690322542190552,1024,0.719999969005585,0.5,16,0.01
"audiology-std","diavolo",0.690322542190552,512,0.439999997615814,0.5,4,0.01
"audiology-std","rect",0.683870923519134,1024,0.600000023841858,0.25,8,0.01
"audiology-std","rect",0.680645126104355,512,0.599999964237213,0.5,3,0.01
"audiology-std","diavolo",0.68064512014389,256,0.639999985694885,0.5,8,0.1
"audiology-std","rect",0.677419304847717,1024,0.560000002384186,0.25,16,0.01
"audiology-std","diavolo",0.677419304847717,512,0.559999942779541,0.25,3,0.01
"audiology-std","diavolo",0.677419304847717,256,0.599999964237213,0.5,3,0.01
"audiology-std","rect",0.677419304847717,512,0.799999952316284,0.5,3,0.1
