"dataset","testAccuracy","nblocks","nhidden","learningrate","blockForm","bottleneck","valAccuracy"
"bank",0.879646062850952,3,256,0.01,"rect",0.25,0.886592161655426
"bank",0.88938045501709,2,256,0.01,"rect",0.5,0.884171342849732
"bank",0.892035365104675,3,512,0.01,"rect",0.5,0.883798897266388
"bank",0.88938045501709,8,512,0.1,"rect",0.5,0.882681584358215
"bank",0.894690275192261,16,1024,0.1,"diavolo",0.25,0.881750470399857
"bank",0.892035305500031,8,256,0.1,"diavolo",0.25,0.88175043463707
"bank",0.884070813655853,3,1024,0.1,"rect",0.5,0.879515844583512
"bank",0.887610614299774,3,512,0.1,"diavolo",0.5,0.879515844583511
"bank",0.884070873260498,4,512,0.1,"rect",0.5,0.879515838623047
"bank",0.899999976158142,16,512,0.1,"diavolo",0.25,0.879329615831375
"bank",0.896460175514221,8,512,0.1,"diavolo",0.25,0.878584736585617
"bank",0.884955763816833,3,256,0.1,"rect",0.5,0.878584730625153
"bank",0.884955704212189,16,256,0.1,"rect",0.5,0.878398507833481
"bank",0.886725723743439,4,512,0.1,"diavolo",0.25,0.878026098012924
"bank",0.896460175514221,8,256,0.1,"diavolo",0.5,0.877653634548187
"bank",0.896460175514221,3,512,0.1,"diavolo",0.25,0.877467393875122
"bank",0.896460175514221,4,512,0.1,"diavolo",0.5,0.877281206846237
"bank",0.893805265426636,2,256,0.1,"rect",0.25,0.876908767223358
"bank",0.89203542470932,3,512,0.1,"rect",0.5,0.876722568273544
"bank",0.899999976158142,8,256,0.1,"rect",0.25,0.876722550392151
"bank",0.89115047454834,4,256,0.01,"rect",0.5,0.876536339521408
"bank",0.888495564460754,8,256,0.01,"rect",0.5,0.876350104808807
"bank",0.894690275192261,2,256,0.1,"diavolo",0.25,0.876350092887878
"bank",0.887610554695129,4,256,0.1,"diavolo",0.25,0.876163882017136
"bank",0.892920315265656,3,512,0.1,"rect",0.25,0.875977671146393
"bank",0.886725664138794,2,512,0.1,"diavolo",0.5,0.875977671146393
"bank",0.884955763816833,2,256,0.1,"diavolo",0.5,0.875977659225464
"bank",0.899115085601807,8,1024,0.1,"diavolo",0.25,0.875791430473328
"bank",0.883185863494873,3,512,0.01,"rect",0.25,0.875791418552399
"bank",0.887610614299774,3,512,0.01,"diavolo",0.5,0.875419026613235
"bank",0.882300853729248,8,256,0.01,"diavolo",0.5,0.875418996810913
