"dataset","learningrate","testAccuracy","bottleneck","blockForm","valAccuracy","nblocks","nhidden"
"breast-cancer",0.01,0.746478855609894,0.25,"rect",0.908333349227905,8,1024
"breast-cancer",0.1,0.774647891521454,0.25,"diavolo",0.854166686534882,2,256
"breast-cancer",0.1,0.718309819698334,0.5,"rect",0.854166680574417,2,256
"breast-cancer",0.01,0.704225361347198,0.5,"rect",0.850000023841858,4,512
"breast-cancer",0.01,0.690140843391418,0.25,"rect",0.837500035762787,3,256
"breast-cancer",0.01,0.676056385040283,0.25,"rect",0.837500035762787,2,1024
"breast-cancer",0.01,0.704225301742554,0.25,"rect",0.833333373069763,16,512
"breast-cancer",0.1,0.704225301742554,0.25,"rect",0.833333373069763,16,1024
"breast-cancer",0.1,0.704225301742554,0.25,"diavolo",0.833333373069763,16,1024
"breast-cancer",0.1,0.704225301742554,0.5,"rect",0.833333373069763,16,1024
"breast-cancer",0.1,0.704225301742554,0.5,"diavolo",0.833333373069763,16,1024
"breast-cancer",0.1,0.704225301742554,0.25,"rect",0.833333373069763,16,512
"breast-cancer",0.1,0.704225301742554,0.25,"diavolo",0.833333373069763,16,512
"breast-cancer",0.1,0.704225301742554,0.5,"rect",0.833333373069763,16,512
"breast-cancer",0.1,0.704225301742554,0.5,"diavolo",0.833333373069763,16,512
"breast-cancer",1,0.704225301742554,0.25,"rect",0.833333373069763,16,1024
"breast-cancer",1,0.704225301742554,0.25,"diavolo",0.833333373069763,16,1024
"breast-cancer",1,0.704225301742554,0.5,"rect",0.833333373069763,16,1024
"breast-cancer",1,0.704225301742554,0.5,"diavolo",0.833333373069763,16,1024
"breast-cancer",1,0.704225301742554,0.25,"rect",0.833333373069763,16,512
"breast-cancer",1,0.704225301742554,0.25,"diavolo",0.833333373069763,16,512
"breast-cancer",1,0.704225301742554,0.5,"rect",0.833333373069763,16,512
"breast-cancer",1,0.704225301742554,0.5,"diavolo",0.833333373069763,16,512
"breast-cancer",1,0.704225301742554,0.25,"rect",0.833333373069763,16,256
"breast-cancer",1,0.704225301742554,0.25,"diavolo",0.833333373069763,16,256
"breast-cancer",1,0.704225301742554,0.5,"rect",0.833333373069763,16,256
"breast-cancer",1,0.704225301742554,0.5,"diavolo",0.833333373069763,16,256
"breast-cancer",0.1,0.704225301742554,0.25,"rect",0.833333373069763,8,1024
"breast-cancer",0.1,0.704225301742554,0.5,"rect",0.833333373069763,8,1024
"breast-cancer",0.1,0.704225301742554,0.25,"rect",0.833333373069763,8,256
"breast-cancer",1,0.704225301742554,0.25,"rect",0.833333373069763,8,1024
"breast-cancer",1,0.704225301742554,0.25,"diavolo",0.833333373069763,8,1024
"breast-cancer",1,0.704225301742554,0.5,"rect",0.833333373069763,8,1024
"breast-cancer",1,0.704225301742554,0.5,"diavolo",0.833333373069763,8,1024
"breast-cancer",1,0.704225301742554,0.25,"rect",0.833333373069763,8,512
"breast-cancer",1,0.704225301742554,0.25,"diavolo",0.833333373069763,8,512
"breast-cancer",1,0.704225301742554,0.5,"rect",0.833333373069763,8,512
"breast-cancer",1,0.704225301742554,0.5,"diavolo",0.833333373069763,8,512
"breast-cancer",1,0.704225301742554,0.25,"rect",0.833333373069763,8,256
"breast-cancer",1,0.704225301742554,0.25,"diavolo",0.833333373069763,8,256
