"dataset","blockForm","testAccuracy","bottleneck","valAccuracy","nblocks","learningrate","nhidden"
"breast-tissue","diavolo",0.423076957464218,0.25,0.664285755157471,2,0.01,1024
"breast-tissue","diavolo",0.46153849363327,0.5,0.600000029802322,3,0.01,256
"breast-tissue","rect",0.423076957464218,0.5,0.571428596973419,3,0.01,256
"breast-tissue","rect",0.576923131942749,0.5,0.557142877578735,4,0.01,256
"breast-tissue","diavolo",0.46153849363327,0.5,0.550000011920929,4,0.01,512
"breast-tissue","diavolo",0.576923131942749,0.5,0.54285717010498,3,0.01,1024
"breast-tissue","rect",0.423076957464218,0.25,0.535714310407639,8,0.01,256
"breast-tissue","rect",0.576923131942749,0.25,0.528571456670761,16,0.01,512
"breast-tissue","rect",0.538461565971375,0.25,0.528571456670761,8,0.01,512
"breast-tissue","diavolo",0.538461565971375,0.5,0.528571450710297,8,0.01,512
"breast-tissue","diavolo",0.423076957464218,0.5,0.528571444749832,2,0.01,1024
"breast-tissue","rect",0.346153855323792,0.5,0.521428591012955,2,0.01,512
"breast-tissue","diavolo",0.46153849363327,0.5,0.514285737276077,4,0.01,1024
"breast-tissue","rect",0.576923131942749,0.25,0.507142865657806,4,0.01,256
"breast-tissue","rect",0.576923131942749,0.5,0.507142865657806,2,0.01,256
"breast-tissue","diavolo",0.5,0.25,0.485714316368103,8,0.01,512
"breast-tissue","rect",0.5,0.5,0.485714310407639,8,0.01,1024
"breast-tissue","rect",0.423076957464218,0.5,0.485714307427406,2,0.01,1024
"breast-tissue","rect",0.46153849363327,0.5,0.471428579092026,4,0.01,512
"breast-tissue","diavolo",0.46153849363327,0.5,0.457142874598503,8,0.01,256
"breast-tissue","rect",0.692307710647583,0.5,0.450000023841858,3,0.1,256
"breast-tissue","diavolo",0.307692348957062,0.5,0.45000001937151,2,0.01,512
"breast-tissue","diavolo",0.46153849363327,0.25,0.44285717010498,4,0.1,1024
"breast-tissue","rect",0.423076957464218,0.25,0.44285717010498,3,0.01,1024
"breast-tissue","rect",0.538461565971375,0.5,0.442857164144516,4,0.01,1024
"breast-tissue","rect",0.384615421295166,0.25,0.442857158184052,2,0.01,256
"breast-tissue","rect",0.5,0.25,0.442857158184051,2,0.1,256
"breast-tissue","rect",0.5,0.25,0.435714307427406,8,0.01,1024
"breast-tissue","diavolo",0.5,0.25,0.43571430593729,8,0.01,1024
"breast-tissue","diavolo",0.576923131942749,0.25,0.435714304447174,8,0.01,256
"breast-tissue","diavolo",0.5,0.25,0.435714301466942,3,0.1,256
"breast-tissue","diavolo",0.46153849363327,0.5,0.428571450710297,4,0.1,256
"breast-tissue","diavolo",0.615384697914124,0.25,0.428571447730064,3,0.1,1024
"breast-tissue","rect",0.384615421295166,0.25,0.428571435809135,4,0.01,1024
"breast-tissue","rect",0.46153849363327,0.5,0.421428599953651,3,0.01,512
"breast-tissue","diavolo",0.576923131942749,0.5,0.421428593993187,2,0.1,256
"breast-tissue","rect",0.46153849363327,0.5,0.42142858505249,16,0.01,256
"breast-tissue","rect",0.423076927661896,0.25,0.414285737276077,3,0.01,256
