"dataset","nhidden","testAccuracy","valAccuracy","learningrate","nblocks","blockForm","bottleneck"
"car",512,0.928240776062012,0.973404252529144,0.1,8,"rect",0.5
"car",256,0.96064817905426,0.971808487176895,0.1,8,"rect",0.25
"car",256,0.930555582046509,0.970744645595551,0.1,16,"diavolo",0.5
"car",256,0.946759402751923,0.966489332914352,0.1,16,"rect",0.25
"car",256,0.976851940155029,0.962234073877335,0.1,16,"diavolo",0.25
"car",512,0.935185253620148,0.961702084541321,0.1,8,"diavolo",0.5
"car",256,0.953703701496124,0.961702060699463,0.1,8,"rect",0.5
"car",512,0.956018507480621,0.95478720664978,0.1,3,"rect",0.25
"car",1024,0.946759402751923,0.951063799858093,0.1,2,"rect",0.25
"car",512,0.946759283542633,0.951063787937164,0.1,4,"rect",0.25
"car",512,0.93750011920929,0.95,0.1,4,"rect",0.5
"car",1024,0.94907408952713,0.948404210805893,0.1,4,"diavolo",0.5
"car",512,0.942129611968994,0.947872340679169,0.1,3,"rect",0.5
"car",1024,0.946759343147278,0.947340399026871,0.1,3,"rect",0.25
"car",1024,0.951389014720917,0.946276569366455,0.1,3,"rect",0.5
"car",512,0.944444477558136,0.945212715864182,0.1,16,"diavolo",0.25
"car",1024,0.935185134410858,0.943616980314255,0.1,4,"rect",0.5
"car",512,0.96527773141861,0.943085086345673,0.1,2,"rect",0.5
"car",512,0.9375,0.936702108383179,0.1,2,"rect",0.25
"car",1024,0.946759283542633,0.936170190572739,0.1,8,"diavolo",0.25
"car",1024,0.958333373069763,0.932446795701981,0.1,2,"rect",0.5
"car",256,0.921296238899231,0.931914865970612,0.1,8,"diavolo",0.25
"car",256,0.916666626930237,0.931382960081101,0.1,8,"diavolo",0.5
"car",256,0.94907408952713,0.92978720664978,0.1,2,"rect",0.25
"car",1024,0.942129731178284,0.928191465139389,0.1,3,"diavolo",0.5
"car",256,0.928240776062012,0.927659559249878,0.1,3,"rect",0.25
"car",256,0.891203641891479,0.922872322797775,0.1,4,"diavolo",0.5
"car",256,0.937500059604645,0.921276599168778,0.1,3,"rect",0.5
"car",256,0.916666686534882,0.91914889216423,0.1,2,"rect",0.5
"car",512,0.918981432914734,0.917553162574768,0.1,8,"diavolo",0.25
"car",512,0.907407462596893,0.916489320993423,0.1,4,"diavolo",0.25
"car",512,0.939814865589142,0.915957409143448,0.1,3,"diavolo",0.5
"car",1024,0.921296298503876,0.913297843933106,0.1,2,"diavolo",0.25
"car",256,0.912037074565887,0.912765944004059,0.1,4,"rect",0.5
"car",1024,0.925925850868225,0.912234038114548,0.1,4,"diavolo",0.25
"car",512,0.895833313465118,0.911170208454132,0.01,2,"rect",0.25
"car",512,0.928240776062012,0.911170196533203,0.1,2,"diavolo",0.5
"car",512,0.921296358108521,0.906914871931076,0.1,4,"diavolo",0.5
"car",1024,0.91435182094574,0.905851066112518,0.1,3,"diavolo",0.25
"car",256,0.935185253620148,0.903723365068436,0.1,4,"rect",0.25
"car",512,0.935185253620148,0.901063817739487,0.1,3,"diavolo",0.25
