"dataset","nhidden","testAccuracy","bottleneck","learningrate","valAccuracy","nblocks","blockForm"
"cardiotocography-10clases",1024,0.817325830459595,0.5,0.1,0.866115617752075,3,"rect"
"cardiotocography-10clases",512,0.796610176563263,0.5,0.1,0.861570203304291,4,"rect"
"cardiotocography-10clases",512,0.807909607887268,0.5,0.1,0.85619832277298,8,"rect"
"cardiotocography-10clases",256,0.789077162742615,0.25,0.1,0.854132175445557,4,"diavolo"
"cardiotocography-10clases",256,0.796610116958618,0.5,0.1,0.852066075801849,2,"rect"
"cardiotocography-10clases",512,0.815442562103271,0.25,0.1,0.847933852672577,3,"rect"
"cardiotocography-10clases",256,0.819208979606628,0.5,0.1,0.847107398509979,3,"rect"
"cardiotocography-10clases",512,0.790960490703583,0.5,0.1,0.844628059864044,8,"diavolo"
"cardiotocography-10clases",256,0.798493444919586,0.25,0.1,0.844214814901352,2,"rect"
"cardiotocography-10clases",512,0.796610116958618,0.25,0.1,0.843801599740982,4,"rect"
"cardiotocography-10clases",256,0.821092247962952,0.25,0.1,0.843388390541077,8,"rect"
"cardiotocography-10clases",1024,0.783427476882935,0.5,0.1,0.84173549413681,8,"diavolo"
"cardiotocography-10clases",256,0.824858784675598,0.5,0.1,0.841735482215881,16,"rect"
"cardiotocography-10clases",256,0.828625202178955,0.25,0.1,0.839669394493103,8,"diavolo"
"cardiotocography-10clases",1024,0.770244836807251,0.5,0.1,0.839669388532639,4,"diavolo"
"cardiotocography-10clases",1024,0.807909607887268,0.25,0.1,0.839669364690781,3,"rect"
"cardiotocography-10clases",512,0.804143190383911,0.25,0.1,0.83925616145134,8,"rect"
"cardiotocography-10clases",512,0.81732577085495,0.25,0.1,0.83719003200531,16,"diavolo"
"cardiotocography-10clases",512,0.819208979606628,0.25,0.1,0.836363619565964,8,"diavolo"
"cardiotocography-10clases",256,0.822975516319275,0.5,0.1,0.835537111759186,4,"rect"
"cardiotocography-10clases",1024,0.798493385314941,0.25,0.1,0.835123914480209,4,"rect"
"cardiotocography-10clases",1024,0.78907722234726,0.25,0.1,0.834297448396683,16,"diavolo"
"cardiotocography-10clases",1024,0.779660999774933,0.5,0.1,0.83347105383873,2,"rect"
"cardiotocography-10clases",256,0.830508410930634,0.5,0.1,0.832644587755203,8,"diavolo"
"cardiotocography-10clases",256,0.770244836807251,0.25,0.1,0.829338812828064,4,"rect"
"cardiotocography-10clases",256,0.804143130779266,0.25,0.1,0.829338788986206,16,"rect"
"cardiotocography-10clases",512,0.822975516319275,0.5,0.1,0.828925555944443,16,"diavolo"
"cardiotocography-10clases",1024,0.794726848602295,0.5,0.1,0.828099125623703,4,"rect"
"cardiotocography-10clases",512,0.772127985954285,0.25,0.1,0.826033025979996,2,"rect"
"cardiotocography-10clases",512,0.743879497051239,0.5,0.1,0.825206571817398,4,"diavolo"
"cardiotocography-10clases",1024,0.785310745239258,0.5,0.1,0.824793356657028,3,"diavolo"
"cardiotocography-10clases",256,0.779661059379578,0.25,0.1,0.824793320894241,3,"rect"
"cardiotocography-10clases",1024,0.762711822986603,0.25,0.1,0.821900802850723,2,"rect"
"cardiotocography-10clases",1024,0.766478300094604,0.25,0.1,0.82107435464859,8,"diavolo"
"cardiotocography-10clases",256,0.824858784675598,0.25,0.1,0.821074342727661,16,"diavolo"
"cardiotocography-10clases",256,0.79472690820694,0.5,0.1,0.816942101716995,8,"rect"
"cardiotocography-10clases",256,0.781544208526611,0.5,0.1,0.81652889251709,4,"diavolo"
"cardiotocography-10clases",512,0.774011313915253,0.5,0.1,0.81404954791069,3,"rect"
"cardiotocography-10clases",512,0.783427476882935,0.5,0.1,0.810743749141693,2,"rect"
"cardiotocography-10clases",512,0.779660999774933,0.25,0.1,0.809090864658356,4,"diavolo"
"cardiotocography-10clases",1024,0.760828614234924,0.25,0.1,0.807437974214554,2,"diavolo"
"cardiotocography-10clases",512,0.757062137126923,0.5,0.1,0.807437974214554,2,"diavolo"
"cardiotocography-10clases",1024,0.764595031738281,0.5,0.1,0.807024759054184,2,"diavolo"
"cardiotocography-10clases",256,0.766478359699249,0.25,0.1,0.806611531972885,2,"diavolo"
"cardiotocography-10clases",256,0.758945345878601,0.25,0.1,0.803718972206116,3,"diavolo"
"cardiotocography-10clases",512,0.772128105163574,0.25,0.1,0.803305733203888,2,"diavolo"
"cardiotocography-10clases",512,0.743879497051239,0.25,0.1,0.801652872562409,3,"diavolo"
"cardiotocography-10clases",1024,0.732580006122589,0.25,0.1,0.800826388597488,4,"diavolo"
"cardiotocography-10clases",256,0.749529242515564,0.5,0.1,0.797933822870255,3,"diavolo"
"cardiotocography-10clases",256,0.749529182910919,0.5,0.01,0.796280944347382,3,"rect"
"cardiotocography-10clases",1024,0.758945405483246,0.25,0.1,0.794628059864044,3,"diavolo"
"cardiotocography-10clases",256,0.775894522666931,0.5,0.1,0.78719003200531,2,"diavolo"
"cardiotocography-10clases",256,0.717514157295227,0.25,0.01,0.78677681684494,2,"diavolo"
"cardiotocography-10clases",256,0.728813529014587,0.5,0.01,0.785123920440674,2,"rect"
"cardiotocography-10clases",512,0.726930320262909,0.25,0.01,0.783884257078171,2,"rect"
"cardiotocography-10clases",512,0.704331398010254,0.5,0.1,0.78181813955307,3,"diavolo"
"cardiotocography-10clases",256,0.709981203079224,0.25,0.01,0.781404942274094,3,"rect"
"cardiotocography-10clases",512,0.760828614234924,0.25,0.1,0.7677685379982,16,"rect"
"cardiotocography-10clases",512,0.693031966686249,0.5,0.01,0.767355334758759,3,"rect"
"cardiotocography-10clases",256,0.783427476882935,0.5,0.1,0.76694210767746,16,"diavolo"
"cardiotocography-10clases",256,0.681732654571533,0.5,0.01,0.761570203304291,16,"diavolo"
"cardiotocography-10clases",512,0.69679844379425,0.25,0.01,0.759917306900024,16,"rect"
"cardiotocography-10clases",256,0.713747620582581,0.25,0.01,0.759090876579285,16,"rect"
"cardiotocography-10clases",256,0.72504711151123,0.25,0.01,0.755785077810287,2,"rect"
"cardiotocography-10clases",512,0.730696797370911,0.5,0.01,0.755785071849823,2,"rect"
