"dataset","testAccuracy","blockForm","nhidden","nblocks","bottleneck","valAccuracy","learningrate"
"chess-krvk",0.854291379451752,"diavolo",1024,3,0.25,0.851095879077912,0.1
"chess-krvk",0.857427895069122,"diavolo",512,16,0.5,0.850657522678375,0.1
"chess-krvk",0.839749038219452,"diavolo",1024,16,0.25,0.849906140565872,0.1
"chess-krvk",0.850014209747314,"rect",512,8,0.25,0.848779046535492,0.1
"chess-krvk",0.845024228096008,"diavolo",1024,8,0.25,0.8483094394207,0.1
"chess-krvk",0.855289399623871,"diavolo",1024,4,0.25,0.847651898860931,0.1
"chess-krvk",0.863273441791534,"diavolo",1024,3,0.5,0.846430885791779,0.1
"chess-krvk",0.840747058391571,"diavolo",512,16,0.25,0.843675738573074,0.1
"chess-krvk",0.839749097824097,"diavolo",1024,2,0.25,0.843112170696259,0.1
"chess-krvk",0.839891672134399,"diavolo",1024,4,0.5,0.842642533779144,0.1
"chess-krvk",0.841032147407532,"diavolo",512,8,0.25,0.841609334945679,0.1
"chess-krvk",0.839036226272583,"rect",1024,3,0.5,0.841233628988266,0.1
"chess-krvk",0.851012229919434,"rect",512,8,0.5,0.840325689315796,0.1
"chess-krvk",0.844453930854797,"diavolo",1024,2,0.5,0.840137839317322,0.1
"chess-krvk",0.85029935836792,"rect",1024,3,0.25,0.839167267084122,0.1
"chess-krvk",0.851154744625092,"diavolo",512,4,0.25,0.838290619850159,0.1
"chess-krvk",0.847447872161865,"diavolo",512,8,0.5,0.83807145357132,0.1
"chess-krvk",0.831337332725525,"rect",1024,4,0.5,0.838040155172348,0.1
"chess-krvk",0.84145987033844,"diavolo",512,3,0.25,0.837257432937622,0.1
"chess-krvk",0.837752997875214,"rect",512,3,0.25,0.836975646018982,0.1
"chess-krvk",0.835614442825317,"rect",512,4,0.25,0.836255562305451,0.1
"chess-krvk",0.841174721717834,"diavolo",512,3,0.5,0.835879868268967,0.1
"chess-krvk",0.844453930854797,"diavolo",512,2,0.25,0.835848540067673,0.1
"chess-krvk",0.845451891422272,"diavolo",256,8,0.25,0.835535472631455,0.1
"chess-krvk",0.834901630878448,"diavolo",256,16,0.5,0.835253673791885,0.1
"chess-krvk",0.83860844373703,"rect",256,8,0.25,0.835065799951553,0.1
"chess-krvk",0.841602444648743,"diavolo",1024,8,0.5,0.833093357086182,0.1
"chess-krvk",0.834901571273804,"rect",512,4,0.5,0.832091498374939,0.1
"chess-krvk",0.833903551101685,"rect",256,8,0.5,0.830901777744293,0.1
"chess-krvk",0.840889573097229,"diavolo",512,2,0.5,0.829931199550629,0.1
"chess-krvk",0.834616482257843,"diavolo",256,8,0.5,0.8299311876297,0.1
"chess-krvk",0.832477927207947,"diavolo",256,4,0.5,0.829085868597031,0.1
"chess-krvk",0.830481886863708,"rect",512,3,0.5,0.828365737199783,0.1
"chess-krvk",0.836612462997437,"rect",1024,2,0.5,0.827864825725555,0.1
"chess-krvk",0.834758996963501,"rect",512,2,0.5,0.82692556977272,0.1
"chess-krvk",0.834616422653198,"diavolo",256,3,0.5,0.826706391572952,0.1
"chess-krvk",0.811092019081116,"rect",256,4,0.5,0.826675087213516,0.1
"chess-krvk",0.830481886863708,"diavolo",256,16,0.25,0.826268070936203,0.1
"chess-krvk",0.829769015312195,"diavolo",256,3,0.25,0.82595499753952,0.1
"chess-krvk",0.823638439178467,"diavolo",256,4,0.25,0.825798434019089,0.1
"chess-krvk",0.826347231864929,"rect",1024,2,0.25,0.825735837221146,0.1
"chess-krvk",0.828200697898865,"diavolo",1024,16,0.25,0.825328814983368,0.01
"chess-krvk",0.812802910804749,"diavolo",256,2,0.5,0.824921804666519,0.1
"chess-krvk",0.827915608882904,"rect",256,3,0.25,0.823825991153717,0.1
"chess-krvk",0.816082119941711,"rect",256,4,0.25,0.823575514554978,0.1
"chess-krvk",0.831622362136841,"diavolo",1024,8,0.25,0.823481619358063,0.01
"chess-krvk",0.836612343788147,"rect",512,2,0.25,0.822542315721512,0.1
"chess-krvk",0.819788932800293,"rect",256,3,0.5,0.820757722854614,0.1
"chess-krvk",0.824351251125336,"diavolo",1024,8,0.5,0.819881093502045,0.01
"chess-krvk",0.816652357578278,"diavolo",512,8,0.25,0.818065178394318,0.01
"chess-krvk",0.831052184104919,"diavolo",1024,4,0.5,0.81800257563591,0.01
"chess-krvk",0.831194758415222,"diavolo",1024,4,0.25,0.818002569675446,0.01
"chess-krvk",0.827060103416443,"rect",256,2,0.25,0.817752087116241,0.1
"chess-krvk",0.83732533454895,"rect",256,2,0.5,0.817720806598663,0.1
"chess-krvk",0.825919508934021,"diavolo",512,4,0.5,0.81759557723999,0.1
"chess-krvk",0.832192778587341,"diavolo",256,2,0.25,0.817407739162445,0.1
"chess-krvk",0.812802910804749,"diavolo",512,16,0.25,0.81678152680397,0.01
"chess-krvk",0.816367149353027,"diavolo",1024,3,0.25,0.816061443090439,0.01
"chess-krvk",0.821927487850189,"rect",1024,8,0.5,0.814683866500855,0.01
"chess-krvk",0.81237518787384,"diavolo",512,4,0.5,0.812116533517838,0.01
"chess-krvk",0.822497725486755,"diavolo",512,8,0.5,0.811866068840027,0.01
"chess-krvk",0.822925567626953,"diavolo",1024,3,0.5,0.811427748203278,0.01
"chess-krvk",0.814513802528381,"rect",512,16,0.25,0.811427748203278,0.01
"chess-krvk",0.818790912628174,"rect",256,16,0.5,0.810112768411636,0.1
"chess-krvk",0.822497844696045,"rect",1024,4,0.25,0.810081458091736,0.01
"chess-krvk",0.805246651172638,"rect",256,16,0.5,0.808954381942749,0.01
"chess-krvk",0.818790912628174,"diavolo",512,3,0.5,0.808860439062119,0.01
"chess-krvk",0.805389165878296,"diavolo",256,8,0.5,0.808797806501389,0.01
"chess-krvk",0.81494152545929,"rect",512,8,0.25,0.808672577142715,0.01
"chess-krvk",0.818933546543121,"rect",1024,4,0.5,0.808453404903412,0.01
"chess-krvk",0.807812869548798,"diavolo",512,3,0.25,0.808296865224838,0.01
"chess-krvk",0.824493765830994,"diavolo",512,4,0.25,0.80767068862915,0.01
"chess-krvk",0.81679493188858,"rect",512,16,0.5,0.807420235872269,0.01
"chess-krvk",0.819646418094635,"diavolo",1024,2,0.25,0.806919306516647,0.01
"chess-krvk",0.811234652996063,"diavolo",256,16,0.5,0.805854803323746,0.01
"chess-krvk",0.805246591567993,"diavolo",1024,2,0.5,0.804602438211441,0.01
"chess-krvk",0.810949444770813,"diavolo",256,16,0.25,0.804352009296417,0.01
"chess-krvk",0.817935526371002,"rect",512,8,0.5,0.804226750135422,0.01
"chess-krvk",0.814086139202118,"diavolo",512,2,0.5,0.802504760026932,0.01
"chess-krvk",0.802822887897491,"diavolo",512,2,0.25,0.802410823106766,0.01
"chess-krvk",0.808240592479706,"rect",1024,3,0.25,0.801815992593765,0.01
"chess-krvk",0.803678333759308,"rect",256,16,0.25,0.79862248301506,0.01
"chess-krvk",0.790989398956299,"rect",256,4,0.25,0.798121523857117,0.01
"chess-krvk",0.813373267650604,"rect",512,4,0.25,0.797150981426239,0.01
"chess-krvk",0.803963422775269,"rect",1024,2,0.25,0.796618717908859,0.01
"chess-krvk",0.811804950237274,"rect",512,3,0.25,0.796274322271347,0.01
