"dataset","valAccuracy","nhidden","learningrate","bottleneck","blockForm","testAccuracy","nblocks"
"chess-krvkp",0.997151064872742,1024,0.1,0.5,"rect",0.991239070892334,4
"chess-krvkp",0.996866178512573,256,0.1,0.25,"rect",0.987484455108643,16
"chess-krvkp",0.995726519823074,512,0.1,0.5,"rect",0.989987552165985,3
"chess-krvkp",0.994302093982696,256,0.1,0.5,"rect",0.991239070892334,3
"chess-krvkp",0.994301974773407,256,0.1,0.5,"rect",0.98998749256134,16
"chess-krvkp",0.994301974773407,512,0.1,0.25,"rect",0.987484455108643,8
"chess-krvkp",0.994301974773407,256,0.1,0.5,"rect",0.988736033439636,4
"chess-krvkp",0.994301974773407,256,0.01,0.5,"diavolo",0.981226563453674,2
"chess-krvkp",0.992307680845261,512,0.1,0.25,"rect",0.983729720115662,4
"chess-krvkp",0.991453033685684,256,0.1,0.5,"diavolo",0.986232876777649,4
"chess-krvkp",0.991452991962433,256,0.1,0.5,"rect",0.983729720115662,8
"chess-krvkp",0.991452991962433,1024,0.1,0.25,"rect",0.983729720115662,3
"chess-krvkp",0.991452991962433,1024,0.1,0.25,"rect",0.986232876777649,2
"chess-krvkp",0.991452968120575,256,0.01,0.5,"rect",0.979975044727325,3
"chess-krvkp",0.991168087720871,1024,0.1,0.25,"rect",0.988736033439636,4
"chess-krvkp",0.991168034076691,512,0.1,0.5,"diavolo",0.984981298446655,3
"chess-krvkp",0.990598297119141,512,0.1,0.5,"diavolo",0.987484455108643,2
"chess-krvkp",0.99059824347496,1024,0.1,0.5,"diavolo",0.982478141784668,2
"chess-krvkp",0.98974357843399,512,0.1,0.5,"diavolo",0.982478141784668,16
"chess-krvkp",0.989743572473526,256,0.1,0.25,"rect",0.986232876777649,3
"chess-krvkp",0.989173805713654,512,0.1,0.5,"diavolo",0.986232876777649,8
"chess-krvkp",0.989173805713654,1024,0.01,0.25,"rect",0.981226563453674,2
"chess-krvkp",0.989173793792725,1024,0.1,0.5,"rect",0.988736033439636,3
"chess-krvkp",0.989173775911331,512,0.1,0.25,"rect",0.983729779720306,2
"chess-krvkp",0.988604009151459,512,0.1,0.25,"diavolo",0.984981298446655,16
"chess-krvkp",0.988604009151459,256,0.1,0.5,"diavolo",0.987484455108643,16
"chess-krvkp",0.988604009151459,1024,0.1,0.25,"diavolo",0.987484335899353,4
"chess-krvkp",0.988319110870361,256,0.1,0.25,"rect",0.986232876777649,2
"chess-krvkp",0.988319063186645,512,0.1,0.25,"rect",0.983729720115662,3
"chess-krvkp",0.988319057226181,256,0.1,0.5,"diavolo",0.986232757568359,8
"chess-krvkp",0.988319051265717,256,0.1,0.5,"rect",0.987484395503998,2
"chess-krvkp",0.988034152984619,1024,0.1,0.25,"diavolo",0.984981298446655,8
"chess-krvkp",0.987179517745972,1024,0.1,0.5,"rect",0.991239190101624,2
"chess-krvkp",0.986324822902679,256,0.1,0.5,"diavolo",0.982478141784668,3
"chess-krvkp",0.986324745416641,1024,0.1,0.5,"diavolo",0.977471947669983,16
