"dataset","nhidden","nblocks","blockForm","testAccuracy","learningrate","bottleneck","valAccuracy"
"congressional-voting",256,3,"rect",0.596330225467682,0.01,0.25,0.642857152223587
"congressional-voting",256,3,"diavolo",0.57798159122467,0.01,0.5,0.630952388048172
"congressional-voting",1024,4,"diavolo",0.541284382343292,0.01,0.5,0.628571432828903
"congressional-voting",512,3,"diavolo",0.541284322738647,0.01,0.5,0.619047647714615
"congressional-voting",512,4,"diavolo",0.532110095024109,0.01,0.25,0.61904764175415
"congressional-voting",256,4,"diavolo",0.550458669662476,0.01,0.25,0.61904764175415
"congressional-voting",1024,3,"rect",0.60550457239151,0.01,0.25,0.61904764175415
"congressional-voting",256,2,"rect",0.587155878543854,0.1,0.5,0.61904764175415
"congressional-voting",256,3,"rect",0.57798159122467,0.1,0.5,0.614285743236542
"congressional-voting",512,2,"diavolo",0.57798159122467,0.1,0.25,0.614285737276077
"congressional-voting",256,4,"diavolo",0.568807303905487,0.1,0.5,0.614285731315613
"congressional-voting",1024,8,"diavolo",0.57798159122467,0.01,0.5,0.611904788017273
"congressional-voting",256,16,"diavolo",0.550458669662476,0.01,0.25,0.611904782056809
"congressional-voting",1024,16,"diavolo",0.60550457239151,0.01,0.25,0.607142895460129
"congressional-voting",512,3,"rect",0.559632956981659,0.1,0.5,0.607142895460129
"congressional-voting",512,3,"diavolo",0.559633016586304,0.1,0.25,0.607142889499664
"congressional-voting",512,4,"diavolo",0.633027493953705,0.1,0.5,0.607142889499664
"congressional-voting",512,4,"diavolo",0.568807303905487,0.1,0.25,0.604761946201325
"congressional-voting",512,2,"diavolo",0.568807303905487,0.01,0.25,0.604761922359467
"congressional-voting",256,3,"diavolo",0.587155878543854,0.1,0.5,0.60238099694252
"congressional-voting",1024,8,"rect",0.559632956981659,0.01,0.25,0.602380990982056
"congressional-voting",1024,16,"diavolo",0.614678859710693,1,0.25,0.597619098424912
"congressional-voting",256,2,"rect",0.568807303905487,0.1,0.25,0.597619098424912
"congressional-voting",1024,8,"diavolo",0.60550457239151,0.1,0.25,0.597619080543518
"congressional-voting",1024,2,"diavolo",0.568807303905487,0.01,0.5,0.597619080543518
"congressional-voting",512,8,"diavolo",0.614678859710693,0.1,0.25,0.597619074583054
"congressional-voting",1024,16,"rect",0.614678859710693,0.01,0.25,0.595238149166107
"congressional-voting",1024,16,"rect",0.614678859710693,0.1,0.25,0.595238149166107
"congressional-voting",1024,16,"rect",0.614678859710693,0.1,0.5,0.595238149166107
"congressional-voting",1024,16,"diavolo",0.614678859710693,0.1,0.5,0.595238149166107
"congressional-voting",512,16,"rect",0.614678859710693,0.1,0.5,0.595238149166107
"congressional-voting",512,16,"diavolo",0.614678859710693,0.1,0.5,0.595238149166107
"congressional-voting",256,16,"rect",0.614678859710693,0.1,0.5,0.595238149166107
"congressional-voting",1024,16,"rect",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",1024,16,"rect",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",1024,16,"diavolo",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",512,16,"rect",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",512,16,"rect",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",512,16,"diavolo",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",512,16,"diavolo",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",256,16,"rect",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",256,16,"rect",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",256,16,"diavolo",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",256,16,"diavolo",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",1024,8,"rect",0.614678859710693,0.1,0.25,0.595238149166107
"congressional-voting",1024,8,"rect",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",1024,8,"rect",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",1024,8,"diavolo",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",1024,8,"diavolo",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",512,8,"rect",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",512,8,"rect",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",512,8,"diavolo",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",512,8,"diavolo",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",256,8,"rect",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",256,8,"rect",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",256,8,"diavolo",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",256,8,"diavolo",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",256,4,"rect",0.596330225467682,0.1,0.25,0.595238149166107
"congressional-voting",1024,4,"rect",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",1024,4,"rect",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",1024,4,"diavolo",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",1024,4,"diavolo",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",512,4,"rect",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",512,4,"rect",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",512,4,"diavolo",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",512,4,"diavolo",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",256,4,"rect",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",256,4,"rect",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",256,4,"diavolo",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",256,4,"diavolo",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",1024,3,"rect",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",1024,3,"rect",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",1024,3,"diavolo",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",1024,3,"diavolo",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",512,3,"rect",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",512,3,"rect",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",512,3,"diavolo",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",512,3,"diavolo",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",256,3,"rect",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",256,3,"rect",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",256,3,"diavolo",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",256,3,"diavolo",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",1024,2,"rect",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",1024,2,"rect",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",1024,2,"diavolo",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",1024,2,"diavolo",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",512,2,"rect",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",512,2,"rect",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",512,2,"diavolo",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",512,2,"diavolo",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",256,2,"rect",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",256,2,"rect",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",256,2,"diavolo",0.614678859710693,1,0.25,0.595238149166107
"congressional-voting",256,2,"diavolo",0.614678859710693,1,0.5,0.595238149166107
"congressional-voting",512,8,"rect",0.532110035419464,0.1,0.25,0.595238143205643
"congressional-voting",256,3,"diavolo",0.587155878543854,0.01,0.25,0.595238137245178
"congressional-voting",1024,16,"diavolo",0.568807303905487,0.01,0.5,0.595238125324249
"congressional-voting",1024,4,"rect",0.587155938148499,0.01,0.25,0.595238125324249
"congressional-voting",1024,2,"diavolo",0.587155878543854,0.1,0.5,0.592857193946838
"congressional-voting",1024,2,"diavolo",0.568807303905487,0.1,0.25,0.592857187986374
"congressional-voting",1024,3,"diavolo",0.60550457239151,0.1,0.25,0.592857176065445
"congressional-voting",256,8,"rect",0.532110035419464,0.1,0.25,0.59047623872757
"congressional-voting",1024,4,"rect",0.596330285072327,0.1,0.5,0.59047623872757
"congressional-voting",512,2,"diavolo",0.60550457239151,0.01,0.5,0.59047623872757
"congressional-voting",512,4,"diavolo",0.568807303905487,0.01,0.5,0.590476232767105
"congressional-voting",512,2,"rect",0.587155878543854,0.1,0.5,0.590476232767105
"congressional-voting",1024,8,"rect",0.633027493953705,0.01,0.5,0.588095283508301
"congressional-voting",512,2,"rect",0.614678859710693,0.01,0.5,0.588095283508301
"congressional-voting",256,8,"rect",0.57798159122467,0.01,0.25,0.588095277547836
"congressional-voting",256,8,"rect",0.587155938148499,0.1,0.5,0.588095271587372
"congressional-voting",1024,3,"rect",0.55045872926712,0.01,0.5,0.588095271587372
"congressional-voting",512,3,"rect",0.541284382343292,0.01,0.5,0.585714328289032
"congressional-voting",512,3,"diavolo",0.559633016586304,0.1,0.5,0.585714322328568
"congressional-voting",512,3,"rect",0.623853206634521,0.01,0.25,0.583333367109299
"congressional-voting",256,16,"rect",0.633027493953705,0.01,0.25,0.580952423810959
"congressional-voting",256,16,"diavolo",0.614678859710693,0.1,0.25,0.580952423810959
"congressional-voting",256,8,"diavolo",0.57798159122467,0.01,0.5,0.580952417850494
"congressional-voting",512,4,"rect",0.614678859710693,0.01,0.5,0.578571480512619
"congressional-voting",512,2,"diavolo",0.596330285072327,0.1,0.5,0.578571480512619
"congressional-voting",512,4,"rect",0.623853206634521,0.1,0.25,0.578571474552155
"congressional-voting",1024,4,"diavolo",0.568807303905487,0.1,0.5,0.578571462631226
"congressional-voting",256,8,"diavolo",0.614678859710693,0.1,0.5,0.578571462631225
"congressional-voting",1024,3,"rect",0.614678859710693,0.1,0.25,0.578571462631225
"congressional-voting",256,4,"diavolo",0.660550475120544,0.01,0.5,0.578571450710297
"congressional-voting",1024,16,"diavolo",0.614678859710693,0.1,0.25,0.57619052529335
"congressional-voting",512,16,"rect",0.614678859710693,0.1,0.25,0.57619052529335
"congressional-voting",1024,4,"rect",0.614678859710693,0.1,0.25,0.57619052529335
"congressional-voting",512,2,"rect",0.614678859710693,0.1,0.25,0.57619052529335
"congressional-voting",256,8,"rect",0.495412796735764,0.01,0.5,0.576190507411957
"congressional-voting",256,2,"diavolo",0.60550457239151,0.1,0.25,0.576190507411957
"congressional-voting",256,3,"rect",0.587155878543854,0.1,0.25,0.573809570074082
"congressional-voting",512,8,"rect",0.431192636489868,0.01,0.5,0.571428614854813
"congressional-voting",1024,3,"diavolo",0.57798159122467,0.1,0.5,0.571428614854813
"congressional-voting",512,4,"rect",0.577981650829315,0.1,0.5,0.571428614854813
"congressional-voting",256,4,"diavolo",0.550458669662476,0.1,0.25,0.571428608894348
"congressional-voting",1024,16,"rect",0.614678859710693,0.01,0.5,0.571428608894348
"congressional-voting",512,3,"diavolo",0.577981650829315,0.01,0.25,0.571428596973419
"congressional-voting",256,3,"rect",0.568807303905487,0.01,0.5,0.571428596973419
"congressional-voting",256,2,"diavolo",0.568807303905487,0.1,0.5,0.571428596973419
