"dataset","bottleneck","nhidden","nblocks","learningrate","valAccuracy","blockForm","testAccuracy"
"conn-bench-sonar-mines-rocks",0.5,512,3,0.01,0.85185182094574,"rect",0.807692289352417
"conn-bench-sonar-mines-rocks",0.5,256,4,0.1,0.844444447755814,"diavolo",0.865384697914124
"conn-bench-sonar-mines-rocks",0.5,1024,8,0.01,0.822222208976746,"rect",0.788461565971375
"conn-bench-sonar-mines-rocks",0.5,256,2,0.1,0.814814805984497,"diavolo",0.826923131942749
"conn-bench-sonar-mines-rocks",0.5,512,2,0.01,0.792592597007751,"rect",0.788461565971375
"conn-bench-sonar-mines-rocks",0.25,256,16,0.01,0.781481492519379,"rect",0.769230842590332
"conn-bench-sonar-mines-rocks",0.5,1024,2,0.01,0.777777791023254,"diavolo",0.769230842590332
"conn-bench-sonar-mines-rocks",0.5,256,3,0.01,0.77407408952713,"diavolo",0.596153855323792
"conn-bench-sonar-mines-rocks",0.5,1024,4,0.01,0.77407408952713,"diavolo",0.807692348957062
"conn-bench-sonar-mines-rocks",0.25,512,4,0.01,0.77407408952713,"rect",0.769230842590332
"conn-bench-sonar-mines-rocks",0.5,256,2,0.1,0.770370388031006,"rect",0.711538553237915
"conn-bench-sonar-mines-rocks",0.5,1024,3,0.1,0.766666686534882,"diavolo",0.826923131942749
"conn-bench-sonar-mines-rocks",0.25,1024,4,0.01,0.766666686534881,"rect",0.730769276618958
"conn-bench-sonar-mines-rocks",0.5,1024,2,0.1,0.762962985038757,"rect",0.826923191547394
"conn-bench-sonar-mines-rocks",0.25,256,2,0.1,0.762962985038757,"diavolo",0.807692408561707
"conn-bench-sonar-mines-rocks",0.25,1024,4,0.01,0.762962985038757,"diavolo",0.730769276618958
"conn-bench-sonar-mines-rocks",0.5,512,2,0.1,0.762962985038757,"rect",0.769230842590332
"conn-bench-sonar-mines-rocks",0.5,1024,3,0.01,0.759259283542633,"rect",0.769230782985687
"conn-bench-sonar-mines-rocks",0.5,256,16,0.01,0.755555582046509,"diavolo",0.673076987266541
"conn-bench-sonar-mines-rocks",0.25,256,8,0.1,0.755555582046509,"rect",0.769230842590332
"conn-bench-sonar-mines-rocks",0.5,256,2,0.01,0.755555582046509,"rect",0.750000059604645
"conn-bench-sonar-mines-rocks",0.25,1024,2,0.1,0.755555582046509,"rect",0.846153855323792
"conn-bench-sonar-mines-rocks",0.5,512,8,0.1,0.74814817905426,"diavolo",0.730769276618958
"conn-bench-sonar-mines-rocks",0.25,512,2,0.1,0.748148167133331,"rect",0.826923131942749
"conn-bench-sonar-mines-rocks",0.25,1024,8,0.01,0.744444477558136,"rect",0.730769276618958
"conn-bench-sonar-mines-rocks",0.5,256,3,0.01,0.744444477558136,"rect",0.711538553237915
"conn-bench-sonar-mines-rocks",0.5,256,8,0.1,0.744444477558136,"rect",0.807692408561707
"conn-bench-sonar-mines-rocks",0.25,1024,2,0.01,0.744444477558136,"rect",0.769230842590332
"conn-bench-sonar-mines-rocks",0.25,256,8,0.01,0.740740776062012,"diavolo",0.730769276618958
"conn-bench-sonar-mines-rocks",0.5,256,8,0.01,0.740740776062012,"diavolo",0.730769276618958
"conn-bench-sonar-mines-rocks",0.25,1024,4,0.1,0.740740776062012,"diavolo",0.711538553237915
"conn-bench-sonar-mines-rocks",0.25,1024,3,0.1,0.740740776062012,"diavolo",0.769230842590332
"conn-bench-sonar-mines-rocks",0.25,256,3,0.1,0.740740776062012,"rect",0.846153855323792
"conn-bench-sonar-mines-rocks",0.5,512,2,0.1,0.740740776062012,"diavolo",0.75
"conn-bench-sonar-mines-rocks",0.5,512,4,0.1,0.740740776062012,"rect",0.711538553237915
"conn-bench-sonar-mines-rocks",0.25,512,2,0.1,0.737037074565888,"diavolo",0.788461565971375
"conn-bench-sonar-mines-rocks",0.25,512,4,0.1,0.737037068605423,"diavolo",0.846153974533081
"conn-bench-sonar-mines-rocks",0.5,1024,16,0.01,0.733333373069763,"diavolo",0.673076987266541
"conn-bench-sonar-mines-rocks",0.25,512,8,0.1,0.733333373069763,"diavolo",0.75
"conn-bench-sonar-mines-rocks",0.25,256,3,0.01,0.733333361148834,"diavolo",0.769230842590332
"conn-bench-sonar-mines-rocks",0.25,512,16,0.01,0.729629671573639,"diavolo",0.75
"conn-bench-sonar-mines-rocks",0.25,1024,2,0.1,0.729629671573639,"diavolo",0.846153855323792
