"dataset","nblocks","bottleneck","valAccuracy","learningrate","blockForm","testAccuracy","nhidden"
"conn-bench-vowel-deterding",8,0.25,0.99009895324707,0.1,"rect",0.99350643157959,512
"conn-bench-vowel-deterding",4,0.5,0.958415776491165,0.1,"rect",0.976190447807312,1024
"conn-bench-vowel-deterding",8,0.5,0.950495004653931,0.1,"diavolo",0.965367913246155,512
"conn-bench-vowel-deterding",2,0.5,0.950494974851608,0.1,"rect",0.980519413948059,1024
"conn-bench-vowel-deterding",8,0.5,0.945544499158859,0.1,"rect",0.978355050086975,512
"conn-bench-vowel-deterding",4,0.5,0.945544499158859,0.1,"diavolo",0.961039006710052,1024
"conn-bench-vowel-deterding",4,0.25,0.942574179172516,0.1,"rect",0.982683897018433,1024
"conn-bench-vowel-deterding",8,0.5,0.94158405661583,0.1,"rect",0.956709921360016,256
"conn-bench-vowel-deterding",8,0.25,0.938613760471344,0.1,"diavolo",0.956709921360016,512
"conn-bench-vowel-deterding",3,0.5,0.936633563041687,0.1,"rect",0.961038947105408,1024
"conn-bench-vowel-deterding",8,0.5,0.935643464326859,0.1,"diavolo",0.939393937587738,1024
"conn-bench-vowel-deterding",4,0.25,0.931683117151261,0.1,"rect",0.952381014823914,512
"conn-bench-vowel-deterding",4,0.5,0.925742477178573,0.1,"rect",0.939393877983093,512
"conn-bench-vowel-deterding",3,0.5,0.920791989564896,0.1,"diavolo",0.896103858947754,1024
"conn-bench-vowel-deterding",3,0.25,0.920791983604431,0.1,"rect",0.956709921360016,1024
"conn-bench-vowel-deterding",4,0.25,0.920791983604431,0.1,"diavolo",0.917748987674713,1024
"conn-bench-vowel-deterding",2,0.5,0.916831588745117,0.1,"rect",0.904761910438538,512
"conn-bench-vowel-deterding",8,0.25,0.913861364126205,0.1,"diavolo",0.980519413948059,1024
"conn-bench-vowel-deterding",8,0.25,0.906930619478226,0.1,"rect",0.958874464035034,256
"conn-bench-vowel-deterding",2,0.25,0.89999994635582,0.1,"rect",0.926406919956207,512
"conn-bench-vowel-deterding",8,0.5,0.898019737005234,0.1,"diavolo",0.952381014823914,256
"conn-bench-vowel-deterding",3,0.5,0.898019713163376,0.1,"rect",0.945887386798859,512
"conn-bench-vowel-deterding",4,0.5,0.895049417018891,0.1,"diavolo",0.92207795381546,512
