"dataset","learningrate","nhidden","blockForm","valAccuracy","bottleneck","nblocks","testAccuracy"
"connect-4",0.1,1024,"diavolo",0.879138350486755,0.25,16,0.871632874011993
"connect-4",0.1,1024,"diavolo",0.878891706466675,0.5,8,0.87719863653183
"connect-4",0.1,1024,"rect",0.878580135107041,0.5,3,0.871810615062714
"connect-4",0.1,1024,"rect",0.878138732910156,0.5,2,0.875185489654541
"connect-4",0.1,512,"rect",0.877567535638809,0.5,8,0.872402608394623
"connect-4",0.1,512,"diavolo",0.877385795116425,0.25,16,0.875126242637634
"connect-4",0.1,1024,"rect",0.876360231637955,0.25,4,0.868731558322906
"connect-4",0.1,1024,"rect",0.875659167766571,0.25,3,0.872521042823792
"connect-4",0.1,1024,"diavolo",0.875230801105499,0.5,3,0.867310523986816
"connect-4",0.1,1024,"rect",0.87504905462265,0.5,4,0.866955280303955
"connect-4",0.1,1024,"diavolo",0.874893265962601,0.25,3,0.87595522403717
"connect-4",0.1,1024,"rect",0.874555748701096,0.25,2,0.871396005153656
"connect-4",0.1,1024,"diavolo",0.874503791332245,0.5,2,0.872639536857605
"connect-4",0.1,512,"rect",0.874101364612579,0.25,3,0.869738161563873
"connect-4",0.1,1024,"diavolo",0.87394557595253,0.25,4,0.869146049022675
"connect-4",0.1,1024,"diavolo",0.873530173301697,0.25,2,0.867192149162292
"connect-4",0.1,256,"rect",0.873062819242477,0.25,16,0.867251396179199
"connect-4",0.1,512,"diavolo",0.87290700674057,0.25,3,0.867725014686584
"connect-4",0.1,1024,"diavolo",0.872621440887451,0.5,4,0.875185489654541
"connect-4",0.1,512,"diavolo",0.871946334838867,0.25,2,0.871159195899963
"connect-4",0.1,512,"rect",0.871725648641586,0.25,8,0.85369211435318
"connect-4",0.1,256,"diavolo",0.87160884141922,0.5,16,0.86932373046875
"connect-4",0.1,512,"diavolo",0.871582847833633,0.25,4,0.864409208297729
"connect-4",0.1,512,"rect",0.871284294128418,0.25,2,0.866777658462524
"connect-4",0.1,512,"diavolo",0.871154475212097,0.5,8,0.870152592658997
"connect-4",0.1,512,"diavolo",0.871141481399536,0.5,4,0.872106611728668
"connect-4",0.1,512,"rect",0.870985704660416,0.5,4,0.865593492984772
"connect-4",0.1,256,"diavolo",0.8705313205719,0.25,16,0.869205296039581
"connect-4",0.1,512,"diavolo",0.870284658670425,0.25,8,0.860086917877197
"connect-4",0.1,1024,"diavolo",0.870154857635498,0.25,8,0.867014467716217
"connect-4",0.1,512,"diavolo",0.870089948177338,0.5,3,0.865534245967865
"connect-4",0.1,512,"diavolo",0.869739425182343,0.5,2,0.868613183498383
"connect-4",0.1,256,"diavolo",0.869687509536743,0.5,3,0.863876402378082
"connect-4",0.1,256,"rect",0.869492745399475,0.25,2,0.862869799137115
"connect-4",0.1,256,"rect",0.868454200029373,0.5,2,0.866422414779663
"connect-4",0.1,512,"rect",0.867934918403626,0.5,2,0.865119755268097
"connect-4",0.1,512,"diavolo",0.86787001490593,0.5,16,0.868198752403259
"connect-4",0.1,256,"rect",0.867597365379334,0.5,8,0.86174476146698
"connect-4",0.1,512,"rect",0.867441606521606,0.25,4,0.856356620788574
"connect-4",0.1,256,"rect",0.867207908630371,0.25,3,0.863343477249146
"connect-4",0.1,256,"diavolo",0.867156028747559,0.5,8,0.86506050825119
"connect-4",0.1,256,"rect",0.867052179574966,0.5,3,0.86523824930191
"connect-4",0.1,512,"rect",0.866649663448334,0.5,3,0.856415867805481
"connect-4",0.1,256,"rect",0.866506910324097,0.25,4,0.859139561653137
"connect-4",0.01,1024,"rect",0.866078507900238,0.25,2,0.8636394739151
"connect-4",0.1,256,"rect",0.865572202205658,0.5,16,0.862751364707947
"connect-4",0.01,1024,"diavolo",0.865286594629288,0.25,16,0.859672427177429
"connect-4",0.01,512,"rect",0.865234678983688,0.25,2,0.861567139625549
"connect-4",0.1,256,"diavolo",0.865026932954788,0.25,4,0.857836961746216
"connect-4",0.1,256,"diavolo",0.864780282974243,0.25,2,0.862632870674133
"connect-4",0.1,256,"rect",0.864196103811264,0.5,4,0.863935589790344
"connect-4",0.1,256,"diavolo",0.863923472166062,0.25,3,0.858547449111938
"connect-4",0.01,1024,"rect",0.863534045219422,0.5,2,0.85813295841217
"connect-4",0.01,1024,"diavolo",0.863534027338028,0.25,2,0.85671192407608
"connect-4",0.1,256,"rect",0.863482069969177,0.25,8,0.86079740524292
"connect-4",0.1,256,"diavolo",0.863313347101212,0.5,4,0.859198808670044
"connect-4",0.01,1024,"rect",0.863274383544922,0.25,3,0.859731674194336
"connect-4",0.01,512,"rect",0.863183510303497,0.5,2,0.858725070953369
"connect-4",0.01,1024,"rect",0.862716156244278,0.5,3,0.859257936477661
"connect-4",0.1,256,"diavolo",0.862170892953873,0.5,2,0.861152708530426
"connect-4",0.01,1024,"rect",0.862028104066849,0.5,8,0.857659339904785
"connect-4",0.01,1024,"rect",0.861963188648224,0.25,4,0.856119751930237
"connect-4",0.01,512,"rect",0.86193722486496,0.25,3,0.856830358505249
"connect-4",0.01,512,"rect",0.861534774303436,0.5,3,0.858133018016815
"connect-4",0.01,1024,"rect",0.861508798599243,0.5,4,0.858725070953369
"connect-4",0.1,256,"diavolo",0.861236196756363,0.25,8,0.857836902141571
"connect-4",0.01,1024,"diavolo",0.861158317327499,0.25,3,0.85606062412262
"connect-4",0.01,1024,"diavolo",0.86096356511116,0.25,4,0.859317123889923
"connect-4",0.01,1024,"diavolo",0.860755884647369,0.5,4,0.852863252162933
"connect-4",0.01,512,"diavolo",0.860652011632919,0.5,16,0.857540845870972
"connect-4",0.01,1024,"diavolo",0.860535168647766,0.5,8,0.856415927410126
"connect-4",0.01,512,"rect",0.860184687376022,0.5,8,0.847771167755127
"connect-4",0.01,1024,"rect",0.860171675682068,0.5,16,0.855172455310822
"connect-4",0.01,256,"rect",0.859950959682465,0.25,2,0.85529088973999
"connect-4",0.01,1024,"rect",0.859925013780594,0.25,16,0.852744817733765
"connect-4",0.01,1024,"diavolo",0.859418702125549,0.25,8,0.852508068084717
"connect-4",0.01,512,"diavolo",0.859236979484558,0.25,16,0.851323783397675
"connect-4",0.01,1024,"diavolo",0.858977341651917,0.5,2,0.855113208293915
"connect-4",0.01,1024,"diavolo",0.858938372135162,0.5,16,0.850554049015045
"connect-4",0.01,1024,"diavolo",0.858730667829514,0.5,3,0.85576456785202
